"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A01B","SOIL WORKING IN AGRICULTURE OR FORESTRY; PARTS, DETAILS, OR ACCESSORIES OF AGRICULTURAL MACHINES OR IMPLEMENTS, IN GENERAL  (making or covering furrows or holes for sowing, planting, or manuring A01C5/00; soil working for engineering purposes E01, E02, E21; {measuring areas for agricultural purposes G01B})","A01C5/00|E01|E02|E21|G01B","Making or covering furrows or holes for sowing, planting, or manuringSeat constructions WheelsShelters for driversSeats specially adapted for vehicles, arrangement or mounting of seats in vehiclesWheel scrapersSoil working for engineering purposes, , Measuring areas for agricultural purposes","A01C5/00|A47C|B60B|B60J|B60N2/00|B60S1/68|E01|E02|E21|G01B","In  all relevant details of tools, method, implements or parts of agricultural machinery which are used for an action that will result in furrowing, ploughing, tilling, moving, opening, smoothing, etc, the soil (soil working) should be classified here. Some of these parts, tools, or methods may not refer directly to a blade for working the soil, but will be however directly related to the soil working action, like guiding the machine to work the soil according to a planned path or at a constant depth (which are related to steering, to the connection/hitch to the tractor, etc). Double classification in other classes, like in , is allowed depending on the precise details (see the lower classification in  and ). For instance, a coulter for a seeder which has a seed pipe attached, the coulter having no specific description (no detail relevant for the soil working classification scheme), will only be classified under . However, a coulter for a seeder, even if it includes a seed pipe, whose action in the soil is described in detail or has some special feature for working the soil (opening the furrow) is/may be relevant for . Normally, knowledge of agricultural machines is necessary to determine the relevance. Experience in the field of agricultural machines and general knowledge of the classification in ,  and  should be required in order to establish a proper classification. References are not limiting but informative, to make readers aware of the existence of other potential classification for details related to soil working which may not be covered in  or which may be found easier in other groups.","A01B|A01C|A01B|A01C|A01C5/00|A01B|A01B|A01C|A01D|A01B","PlantAny of a kingdom (Plantae) of multicellular eukaryotic mostly photosynthetic organisms typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.",""
"A01B1/00","Hand tools  (edge trimmers for lawns A01G3/06  {; machines for working soil A01B35/00; making hand tools B21D})","A01G3/06|A01B35/00|B21D","Machines for working soilEdge trimmers for lawnsMaking hand tools","A01B35/00|A01G3/06|B21D","","","","This place covers: Hand tools for gardening or for agricultural purposes."
"A01B1/02","Spades; Shovels {(hand-operated dredgers E02F3/02)}","E02F3/02","Shovels for snowHand held dredgers or shovels","E01H5/02|E02F3/02","","","","This place covers: Hand shovels for gardening or agricultural purposes."
"A01B1/06","Hoes; Hand cultivators {(rakes A01D7/00; forks A01D9/00; picks B25D)}","A01D7/00|A01D9/00|B25D","RakesForksPercussive tools","A01D7/00|A01D9/00|B25D","","","",""
"A01B1/22","Attaching the blades or the like to handles  (handles for tools, or their attachment, in general B25G); Interchangeable or adjustable blades","B25G","Handles for tools, or their attachment, in general","B25G","","","",""
"A01B3/24","Tractor-drawn ploughs  (A01B3/04 takes precedence)","A01B3/04","","","","","",""
"A01B3/74","Use of electric power for propelling ploughs {for rotary cultivators or the like  (electric current collectors B60L5/00)}","B60L5/00","Electric current collectors","B60L5/00","","","",""
"A01B5/00","Ploughs with rolling non-driven tools, e.g. discs  (with rotary driven tools A01B9/00)","A01B9/00","","","","","",""
"A01B9/00","Ploughs with rotary driven tools  (tilling implements with rotary driven tools A01B33/00)","A01B33/00","Tilling implements with rotary driven tools","A01B33/00","","","",""
"A01B13/00","Ploughs or like machines for special purposes  (for drainage E02B11/02){; Ditch diggers, trench ploughs, forestry ploughs, ploughs for land or marsh reclamation  (machines for aerating meadows A01B45/02; making furrows A01C5/00; dredging machines in general E02F)}","E02B11/02|A01B45/02|A01C5/00|E02F","Machines for aerating meadowsMaking furrowsDrainage device-laying apparatusDredging machines in general","A01B45/02|A01C5/00|E02B11/02|E02F","All ploughs dig, but most of them do it in a continuous manner, they have the form of a blade or disk which is pulled under the soil in a straight line until the headland is reached. This group is for special designs, in which the ploughs perform, for example, a sidewards oscillating movement in addition to its linear displacement, or for ploughs containing tools/blades which perform some kind of additional discontinuous work on the soil. ","","",""
"A01B13/02","for making or working ridges, e.g. with symmetrically arranged mouldboards {, e.g. ridging plough}","","Machines for planting potatoes or tubersMachines for transplanting seedlings","A01C9/00|A01C11/00","","","",""
"A01B13/06","Arrangements for preventing damage to the vines, or the like {, e.g. hydraulic  (machines specially adapted for working in vineyards A01B39/16)}","A01B39/16","","","","","",""
"A01B13/08","for working subsoil","","Details about the subsoiler's or mouldboard's blades","A01B15/08","","","",""
"A01B15/04","Shares {(making ploughshares by rolling B21H)}","B21H","Making ploughshares by rolling","B21H","","","","This place covers: Details about the subsoiler's or mouldboard's blades"
"A01B15/08","Mouldboards","","Subsoiler, machines for working subsoil","A01B13/08","","","","This place covers: Details about the subsoiler's or mouldboard's blades"
"A01B15/14","Frames  (means or arrangements to facilitate transportation A01B73/00)","A01B73/00","Means or arrangements to facilitate transportation","A01B73/00","","","",""
