"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A01F","PROCESSING OF HARVESTED PRODUCE; HAY OR STRAW PRESSES; DEVICES FOR STORING AGRICULTURAL OR HORTICULTURAL PRODUCE  (devices for topping or skinning onions or flower bulbs A23N15/08)","A23N15/08","Hulling, husking, decorticating or removing awns otherwise than in connection with threshingSeparating solids using pneumatic tables or jigsSeparating solids from solids by dry methods, in generalConveying in generalForming of bundles of straw, hay or like material of plant origin, , - , Loaders for bales, Baling presses in generalBaling of compressible fibrous material in generalBales of materialConveying in generalForming of bales, Mobile binders for use while harvesting, , - Loaders for sheavesBundling of articles in generalBundling of compressible fibrous material in generalMowingCutting implements specially adapted for horticultural purposes, e.g. flower shears, fruit shears, secateurs or hedge shearsApparatus for destruction of unwanted vegetationHousehold implements for mashing potatoes or other foodstuffDisintegrating in generalHand-held cutting toolsCutting in generalConveying in generalProtecting growing plantsPreservation of plants or parts thereofPreserving flour by storage in an inert atmospherePreservation of fruits or vegetablesPreservation of edible seedsPreservation of edible oils or fat, Preservation of materials to produce animal feeding stuffPreservation of foods or foodstuffs in generalContainers for storage of articles or materials in generalStorage and associated handling of bulk material or articles in generalConserving hopsRefrigerators, cold rooms, or the likeDrying in general","B02B3/00|B03B|B07B|B65G|A01D37/00|A01D39/00|A01D57/00|A01D75/00|A01F1/00|A01D87/12|A01D90/08|B30B9/30|B65B27/12|B65D71/00|B65G|A01F13/00|A01F15/00|A01D37/00|A01D39/00|A01D57/00|A01D75/00|A01D87/12|B65B13/00|B65B27/12|A01D|A01G3/00|A01M21/00|A47J19/04|B02C|B26B|B26D|B65G|A01G13/00|A01N3/00|A21D4/00|A23B7/00|A23B9/00|A23D7/06|A23D9/06|A23K30/00|A23L3/00|B65D|B65G|C12C3/04|F25D|F26B","","","Bale (noun)A compressed, solid package of harvested material, which is either held together by thread or webs or formed by the material itself (with or without additives) to maintain its shape.Bundle (noun)A relatively loose package of harvested material, normally consisting of straws or stalks that are oriented in parallel to each other. It can either be held together by thread or webs or be formed by the material itself.Combine (noun)Harvester or mower combined with a threshing device.Harvest (verb)Separate useful parts from growing plants in situ, mow plants, or gather whole plants or their useful parts from the ground or from where the plants grow, with the intention to make use of the separated, mown or gathered plantmaterial.Mow (verb)Cut down grass, cereals or other standing plants.ThreshingSeparation of grains or seeds from harvested plants or plant parts (e.g. cereals, maize/corn, peas, beans or pine cones) by mechanical action (e.g. shaking, stamping, rubbing, beating or applying intermittent pressure).","This place covers: The scope of this subclass is composed of five separate parts, relating to the five parts of the subclass title. For ease of reference each section of these definitions is separated under five corresponding simplified headings: ""Threshing"", ""Baling"", ""Bundling"", ""Cutting"" and ""Storing"". Threshing (relating to main groups  -  and  - ): Methods and apparatus for separating grains or seeds from harvested plants or plant parts by mechanical action. Baling (relating to main groups  - ): Methods and apparatus for forming bales of straw, hay or like harvested products of plant origin. Bundling (relating to main group  ): Stationary apparatus or hand tools for forming or binding bundles of straw, hay or like harvested products of plant origin. Cutting (relating to main groups   and  ): Apparatus specially adapted for cutting or disintegrating straw, hay or like already harvested products of plant origin. Storing (relating to main group  ): Mechanical aspects (e.g. material handling aspects) of apparatus (e.g. silos) or methods that are specially adapted for storing harvested agricultural or horticultural crops."
"A01F1/00","Stationary apparatus or hand tools for forming or binding straw, hay or the like into bundles  (baling apparatus or presses A01F13/00, A01F15/00; mobile binders for use in the field A01D37/00, A01D39/00)","A01F13/00|A01F15/00|A01D37/00|A01D39/00","Baling apparatus or presses, Mobile binder for use on the field, ","A01F13/00|A01F15/00|A01D37/00|A01D39/00","","","",""
"A01F3/00","Hand-operated implements for cutting-up straw, hay or the like  (mechanically-driven straw cutters A01F29/00)","A01F29/00","Cutting in general","B26","","","","This place covers: As the title describes, documents concerning devices which are hand-operated (i.e. by hand) to cut straw, hay or the like should be classified here. Illustrated example of subject matter classified in  Hay Cutter"
"A01F7/00","Threshing apparatus","","","","","","",""
"A01F7/06","with axles in line with the feeding direction {; Axial threshing machines}","","Threshing devices","A01F12/18","","","",""
"A01F12/00","Parts or details of threshing apparatus  (devices, other than safety devices for feeders, for protecting human beings A01D75/20, A01F21/00)","A01D75/20|A01F21/00","Devices for protecting human beings , ","A01D75/20|A01F21/00","Any document including canvas or tray to be put on the ground to measure loss of grain must be classified/searched here.","","",""
"A01F12/30","Straw separators {, i.e. straw walkers, for separating residual grain from the straw  (grain cleaning A01F12/44)}","A01F12/44","Grain cleaning ","A01F12/44","","","",""
"A01F12/32","with shaker screens or sieves","","","","","","Screens or sievesOn the walker.",""
"A01F12/40","Arrangements of straw crushers or cutters","","Cutting apparatus specially adapted for cutting hay, straw or the like","A01F29/00","","","",""
"A01F12/42","Apparatus for removing awns from the grain","","Decorticating or removing awns otherwise than in threshing machines","B02B3/00","","","",""
