"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A01K","ANIMAL HUSBANDRY; CARE OF BIRDS, FISHES, INSECTS; FISHING; REARING OR BREEDING ANIMALS, NOT OTHERWISE PROVIDED FOR; NEW BREEDS OF ANIMALS","","New plants or processes for obtaining them; Plant reproduction by tissue culture techniquesMilking; Accessories therefor, Manufacture of dairy products, other than milking, Shoeing of animalsCatching, trapping or scaring of animals; Apparatus for the destruction of noxious animalsPreservation of bodies of animals or parts thereof; Pest repellants or attractantsFeeding-stuffs specially adapted for animals; Methods specially adapted for production thereofVeterinary instruments, implements, tools, or methodsHarnesses; Devices used in connection therewithFencing, e.g. fences, enclosures, corralsConstruction of valvesElectric circuits or apparatus specially designed for use in equipment for killing, stunning, enclosing or guiding living beings","A01H|A01J1/00|A01J9/00|A01J11/00|A01J27/00|A01L|A01M|A01N|A23K|A61D|B68B|E04H17/00|F16K|H05C","","","AnglingA form of fishing using a hook and line. A rod or pole is often additionally used, e.g. for sport fishing.GameWild mammals or birds hunted for sport or food.HoneycombA structure of hexagonal wax cells, made by bees to store honey and larvae.PoultryDomesticated fowl, such as chickens, ducks, turkeys and geese.StockDomesticated animals bred and kept for their produce.","This place covers: Equipment and methods for the care, culture or rearing of all animals or for obtaining their products, not otherwise provided for Equipment and methods for fishing Equipment for angling Methods of breeding animals, not otherwise provided for New breeds of animals"
"A01K1/00","Housing animals; Equipment therefor","","Stable partitions.Air-conditioning, e.g. ventilation, of animal housings., Pigsties; Dog-kennels; Rabbit-hutches or the like., Housing for domestic or laboratory animals.Milking stations.Pasturing equipment, e.g. tethering devices, Grids for...Housing birds. building construction, features of buildingsBuildings or groups of agricultural purpose. ","A01K1/0005|A01K1/0047|F24F|A01K1/02|A01K1/03|A01K1/03|A01K1/12|A01K3/00|A01K31/00|E04|E04H5/08","","","","This place covers: Stable buildings and structural details therefore. Shelters for animal other than pets. Shelter and stables, may be transportable. Partition walls and -grids may be incorporated. Stables and shelters may comprise various installations, e.g. feeders, computer/ registration-systems, ventilation systems etc. Movable animal enclosure, may be part of stable. Wildlife homes, self-sustaining wildlife habitat sanctuary."
"A01K1/0005","{Stable partitions  (devices for fastening animals A01K1/06; pasturing enclosures A01K3/00)}","A01K1/06|A01K3/00","Housing animal; Equipment thereforPigsties; Dog-kennels; Rabbit-hutches or the likeFeeding pens for pigs or cattleDevices for use in keeping domestic animals, e.g. fittings Devices for immobilisation or restraint of animals, e.g. chutesMilking stationFeed troughs; Feed pailsSlaughtering pensRace or rodeo starting gates or boxes...Walls, e.g. partitions for buildings Serving doors; Passing-through doors, (Pet doors)","A01K1/00|A01K1/02|A01K1/0209|A01K1/035|A01K1/0613|A01K1/12|A01K5/01|A22B5/02|A63K|E04B2/00|E06B7/32","","","","This place covers: Means for dividing stable room and/or limiting animal space. Partitions; grids; box dividers; barriers. Partitions etc. may be movable, existing of different materials and/or electrified. Different ways of fastening partitions, e.g. yokes. Doors (on or in stables); their actuation. Doors, partitions etc. may serve for guiding or driving e.g. crowd gates, or for starting rodeos. (Prefabricated) boxes which can serve as independent quarters, within stables. Partitions may include ground-borne barriers such as thresholds. Barriers controlling access to feeders Separation possibilities between liquid/ solid manure."
"A01K1/0011","{Cubicle partitions}","","","","","","","This place covers: A fence for laterally partitioning, forming cubicle partitions in a stable. Divider may consist of single bent tube or more partitions. (mushroom-shape) A cubicle partition may comprise at least one standing pipe, or a footles cubicle partition. Partitions may be movable e.g. by rails. Gate assembly for an animal enclosure such as milking parlour. Box installations which are adjustable between an operative and an inoperative position in or to a stable. Different ways for coupling the fence."
"A01K1/0017","{Gates, doors}","","Outdoor gates in connection with a fence Serving doors; passing-through doors; pet doors ","A01K3/00|E06B7/32","","","","This place covers: Gates, may be used as a fence and/or have a bumper system. Gates may be extendible, e.g. have an adjustable frame. Non-return gates, e.g. guillotine gate, tailgate. Sheep control means, may comprise a workstation and/or a race and/or a drafting gate. Doors may be automatically closing swing doors etc. Device for prevent livestock passing through an open gate. (e.g. battery operated). Hinge lock for animal gates, may have a releasable hinge mechanism. Gate assembly for milking parlour, may be automatic.( e.g. trough rotating turnstile)"
"A01K1/0023","{Sorting gates}","","","","","","","This place covers: Sorting gates: may include an alley comprising an entrance, a main exit and a sorting exit. may be adjustable. may enable sorting according to weight, size, etc. may contain a selective electronic confinement system, infra-red detector etc. e.g. turnstile-type gate, swing-gate. Livestock trap and sorter. Gates may be adjustable, may include an opening e.g. for pedestrians. Separating lactating animals in automatic milking installations by means of identification gates, switchable gates, enticement etc. Feeding device for selective feeding cattle."
"A01K1/0029","{Crowding gates or barriers}","","","","","","","This place covers: Crowding gates or barriers: may be foldable may be attachable to wall/ fence, etc. may be moved along a rails/ endless chain, etc. may be electrified. Assemblies for driving cattle along a route: by means of a tailgate, mover member etc. Animal catching and carrying devices. For feeding control systems e.g. an electrified barrier. Barrier for preventing passage of livestock. Poultry agitators. Drones or helicopters influencing the motion of the herd."
"A01K1/0035","{Transportable or mobile animal shelters}","","Transport boxes, bags, cages, baskets, harnesses for animalsPasturing equipment, outdoor corrals or fencesVehicles for transporting animals ","A01K1/0236|A01K3/00|B60P3/04","","","","This place covers: Shelters specially adapted for being transported and placed where needed. These shelters can be portable, collapsible, and modular, can include feeding, watering and an outdoor space and can be moved by the provision of wheels, towing hooks and the like. These shelters are intended to be built or installed in situ for animals on the way and/or to be transported and installed in the place where needed to give shelter to animals."
"A01K1/0041","{Rotary, round or circular animal barns}","","Milking carousels Fences and corrals for outdoor useRotary buildings ","A01K1/126|A01K3/00|E04B1/346","","","","This place covers: Buildings for housing animals comprising a mainly circular or round shape or rotating, e.g. circular plan view or round walls. These buildings can be rotary, can comprise flat walls forming a kind of circumference, e.g hexagonal, octagonal, and decagonal, can be oval, can be connected to other structures and can be for individual or multiple animals."
"A01K1/0047","{Air-conditioning, e.g. ventilation, of animal housings}","","Floor coverings, e.g. bedding-down sheets.Pigsties; Dog-kennels; Rabbit-hutches or the like.Poultry house ventilationCorresponding means for specific animal housingPurposesIncubators for poultryHeating buildingsVentilating buildings. ","A01K1/015|A01K1/02|A01K31/00|A01K31/17|A01K31/18|A01K41/00|F24D|F24F","","","","This place covers: Means for heating, cooling, ventilating, drying or humidifying stable rooms in general. Method and system for disbursing ozone into a stable room e.g. deduction in flies, odour, dust etc. Climate and ventilation control means, e.g. alarm system, responsive timer, etc. Means of cleaning waste air: may use filtering devices, remove dust, odours, ammonia etc. may add pre-coated material, e.g. coke dust, lime dust. may add disinfectants. Methods for influencing and determining the airflow, e.g. metal panels. Specially adapted details, e.g. roof lids, etc."
"A01K1/0052","{Arrangement of fans or blowers}","","","","","","","This place covers: Fans or blowers, for use in stable rooms in general. may be movable. may be placed in rows or back to back etc. may have variable speed control. may have cooling system, mist generator etc. included. Wind diverters for fans and blowers."
"A01K1/0058","{Construction of air inlets or outlets in roofs}","","","","","","","This place covers: Construction of air inlets or outlets in roofs, e.g. fans and ducts etc. may include evaporative coolers, ionizing apparatus, heat exchanging system, etc. Methods of controlling ventilation in roofs. Ventilation ceiling and panels therefor."
"A01K1/0064","{Construction of air inlets or outlets in walls}","","","","","","","This place covers: Construction of air inlets or outlets in walls. by means of sheet metal panels with vents, ventilators, valves etc. Ventilating system may be responsive to temperature, may be able to control humidity and movement of forced air etc."
"A01K1/007","{Arrangement of curtain systems}","","Roller blinds ","E06B9/40","","","","This place covers: Arrangement of curtain systems. may include selvedge reinforcement. may include curtain control system. Automatic curtain systems with ventilation monitoring, control, alarm and auto-release systems. Blinds."
"A01K1/0076","{Arrangement of heaters or heat exchangers}","","","","","","","This place covers: Heating devices for a stall and method for operating the same. May include: control device one or more radiating elements energy exchange unit air control flow air cleaning systems etc. Heating devices may be energy saving Ventilation heat recovery systems Climate control systems"
"A01K1/0082","{Water misting or cooling systems}","","Floor coverings with floor heating or cooling Heating/cooling for medical/therapeutical treatment of human body ","A01K1/0158|A61F7/00","","","","This place covers: Cooling station for animals, may be automatic. By means of liquid and air flow. Evaporative cooling system e.g. fan guard mounted mister. Cleaning waste air, e.g. by means of adding pre-coated material or water spray."
"A01K1/0088","{Animal shelters especially adapted for keeping young cattle, i.e. calves}","","Farrowing pens ","A01K1/0218","","","","This place covers: Shelters specially adapted for young farm animals, especially calves. These shelters can be transportable, collapsible, modular, can include warming or cooling means, feeding, watering and an outdoor space. Boxes for containing one calf. Small igloos for animal."
"A01K1/0094","{Animal shelters or barns especially adapted for keeping horses}","","Transportable or mobile animal sheltersTransport boxes, bags, cages, baskets, harnesses for animalsContainment apparatus for transport in automobiles Vehicles adapted for transporting animals","A01K1/0035|A01K1/0236|A01K1/0272|B60P3/04","","","","This place covers: Enclosures directed for raising horses. These enclosures can include cooling or warming, feeding and/or watering and can be individual or multiple horses. Structures to be installed in stalls for horses, e.g. to prevent crib biting. Gates especially designed for horse stalls. Horse protectors and safety kerbing in doors, walls or buildings, e.g. skirting or stable bank."
"A01K1/01","Removal of dung or urine, {e.g. from stables} (A01K1/015 takes precedence; {from poultry houses A01K31/04})","A01K1/015|A01K31/04","Stable partitionsCat trays; Dog urinals; Toilets for petsLitterDevices for use in keeping domestic animalsLaying batteriesPoultry runsTreating manure.Obtaining proteins from animal wasteMachines for cleaning floors, carpets, furniture, walls, or wall coverings Mixing or agitating manure, dung Refuse receptacles Snow ploughsPumps","A01K1/0005|A01K1/0107|A01K1/0152|A01K1/035|A01K31/17|A01K31/22|A01C3/02|A23J1/00|A47L11/00|B01F2101/005|B65F1/00|E01H5/06|F04C","","","","This place covers: Collecting solid or liquid manure in stables, by any means, e.g. waste treatment bags, composting box, (liquid) manure tank etc. Device for removing manure from animal stalls, e.g. bedding fork, scraper. Device may be automatic, e.g. vehicle. Device for transporting manure. Bedding removal and refilling system for animal cages. Treatment of manure, drying, heating, cooling, deodorizing. Details of channels or (slatted) floors."
