"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A01P","BIOCIDAL, PEST REPELLANT, PEST ATTRACTANT OR PLANT GROWTH REGULATORY ACTIVITY OF CHEMICAL COMPOUNDS OR PREPARATIONS","","New plants or non-transgenic processes for obtaining them; plant reproduction by tissue culture techniquesPreservation of bodies of humans or animals or plants or parts thereof; biocides, e.g. As disinfectants, as pesticides, as herbicides; pest repellants or attractants; plant growth regulatorsPreservation of food or foodstuff, e.g. pasteurizing, sterilizing, , Preservation or chemical ripening of harvested fruits or vegetablesCompositions for medical, dental or toilet purposes which kill or prevent the growth or proliferation of unwanted organismsSex sterilants for animals other than invertebratesMethods or apparatus for sterilisingInorganic chemistryOrganic chemistryOrganic macromolecular compounds; their preparation or chemical working-up; compositions based thereonMicroorganisms or enzymes; compositions thereof; propagating, preserving, or maintaining microorganisms; mutation or genetic engineering; culture media","A01H|A01N|A23B|A23K30/00|A23L3/00|A23B7/00|A61K|A61K|A61L|C01|C07|C08|C12N","In this subclass, all of the different biocidal, repellant, attractant and plant growth regulatory activities stated in the claims and also significantly disclosed as examples in the disclosure are classified in all appropriate places.The classification symbols of this subclass are not listed first when assigned to patent documents.","","AcaricideAny substance or mixture of substances intended for preventing or destroying mites and ticks or making them less harmful.ArthropodicideAny substance or mixture of substances intended for preventing or destroying arthropods, e.g. insects, myriapods, arachnids, crustaceans or making them less harmful.BiocideAny substance or mixture of substances intended for preventing, destroying, or mitigating any living organism (e.g., plant, animal). Examples of a biocide are: acaricide, arthropodicide, fungicide, insecticide, molluscicide, rodenticide.DisinfectantAny substance or mixture of substances intended for preventing, destroying, or mitigating microorganisms.FungicideAny substance or mixture of substances intended for preventing or destroying moulds and fungi or making them less harmful.HerbicideAny substance or mixture of substances intended for preventing or destroying plant life or making it less harmful.InsecticideAny substance or mixture of substances intended for preventing or destroying insects or making them less harmful.MolluscicideAny substance or mixture of substances intended for preventing or destroying molluscs, e.g. snails, clams or making them less harmful.PesticideAny substance or mixture of substances intended for preventing or destroying any pest (e.g., insects, rodents) or making it less harmful.PlantAny of a kingdom (Plantae) of multicellular eukaryotic mostly photosynthetic organisms typically lacking locomotive movement or obvious nervous or sensory organs and possessing cellulose cell walls.Plant Growth RegulatorMaterials which alter the plant or may affect plant growth through a chemical modification of the plant metabolism, such as auxins.RodenticideAny substance or mixture of substances intended for preventing or destroying rodents, e.g. rats, mice or making them less harmful.","This place covers: The use of compounds or preparations thereof for regulating plant growth, for pest control or for biocidal activity. Biocidal activity and pest control includes the treatment of plants and inanimate surfaces such as materials, equipment and furniture that are not used for direct contact with food or feeding stuffs. Also included is disinfection and pest control for general hygiene purposes of animate surfaces of humans or animals wherein the effect is not intended to be medical or cosmetic, for example the treatment of parasites, lice, or ticks on humans or animals. Pest control also includes repellants such as those used on animal or human skin."
"A01P1/00","Disinfectants; Antimicrobial compounds or mixtures thereof","","","","","","","This place covers: This group covers the use of compounds or preparations thereof as disinfectants, having for instance an antimicrobial activity. Disinfectant activity includes disinfection of inanimate surfaces such as materials, equipment and furniture that are not used for direct contact with food or feeding stuffs. Also included is disinfection of animate surfaces including of plants, and for general hygiene purposes of humans or animals wherein the effect is not intended to be medical or cosmetic."
"A01P3/00","Fungicides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having anti-fungal or mold destroying activity."
"A01P5/00","Nematocides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against nematodes."
"A01P7/00","Arthropodicides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against arthropods, e.g. insects, myriapods, arachnids or crustaceans."
"A01P7/02","Acaricides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against ticks and mites."
"A01P7/04","Insecticides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against insects."
"A01P9/00","Molluscicides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against molluscs, e.g. snails, slugs, clams."
"A01P11/00","Rodenticides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having an activity against rodents, like mice or rats."
"A01P13/00","Herbicides; Algicides","","","","","","","This place covers: This group covers the use of compounds or preparations thereof for controlling unwanted plants or algae."
"A01P13/02","selective","","","","","","","This place covers: This group covers the use of compounds or preparations thereof for selectively controlling unwanted plants or algae usually in the presence of desired plants and algae."
"A01P15/00","Biocides for specific purposes not provided for in groups A01P1/00 - A01P13/00","A01P1/00|A01P13/00","","","","","","This place covers: This group covers the use of compounds or preparations thereof for controlling unwanted growth of living organisms (e.g. plant or animal or microorganism) not specifically covered by   -  ."
"A01P17/00","Pest repellants","","","","","","","This place covers: This group covers the use of compounds or preparations thereof having a repulsive activity against pests."
"A01P19/00","Pest attractants","","","","","","","This place covers: This group covers the use of compounds or preparations thereof capable of attracting pests."
"A01P21/00","Plant growth regulators","","","","","","","This place covers: This group covers the use of compounds or preparations thereof capable of modifying the growth of plants, including those that chemically modify plant metabolism, such as auxins."
"A01P23/00","Chemosterilants","","","","","","","This place covers: This group covers the use of chemical compounds that cause reproductive sterility in a pest organism."
