"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A23K","FODDER","","Mechanical aspects of methods that are specifically adapted for storing agricultural or horticultural crops (e.g. in silos) Apparatus specially adapted for cutting or disintegrating straw, hay or like harvested products of plant origin  Manufacture of dairy products  Animal husbandry; Care of birds, fishes or insects  Preparation of bait for angling  Preservation of plants in general  Biocides, pest repellents or pest attractants -  Machines or equipment for making or processing doughs  Treating of flour or dough  Processing meat, poultry or fish  Preserving meat, fish, eggs, fruit, vegetables or edible seeds; The preserved products  Dairy products; Making dairy products  Edible oils or fats  Protein compositions for foodstuffs; Working-up proteins for foodstuffs; Phosphatide compositions for foodstuffs  Preservation of foods or foodstuffs in general  Foods or foodstuffs not covered by subclasses  - ; Their preparation or treatment  -  Machines or apparatus for treating harvested fruit or vegetables in bulk, not otherwise provided for -  Apparatus specially adapted for preparing animal feeding-stuffs  Shaping or working of foodstuffs  Veterinary methods  Medicinal preparations  Mixing in general  Granulating materials  Disintegrating in general  Cutting in general  Presses in general, e.g. for making briquettes  Polysaccharides; Derivatives thereof  Derivatives of natural macromolecular compounds  Producing animal or vegetable oils, fats, fatty substances or waxes  Preparation of fats, oils, or fatty acids  Microorganisms or enzymes; Compositions thereof  Fermentation or enzyme-using processes to synthesise a desired chemical compound or composition  Sugar industry Drying solid materials  ","A01F25/00|A01F29/00|A01J|A01K|A01K97/04|A01N3/00|A01N25/00|A01N65/00|A21C|A21D|A22C|A23B|A23C|A23D|A23J|A23L3/00|A23B|A23J|A23L5/00|A23L35/00|A23N1/00|A23N15/00|A23N17/00|A23P|A61D|A61K|B01F|B01J2/00|B02C|B26D|B30B|C08B|C08H|C11B|C11C|C12N|C12P|C13|F26B","","","","This place covers: Feeding-stuffs that are specially adapted, processed or formulated for non-human animals. Processes that are specially adapted for production of such animal feeding-stuffs. Processes that are specially adapted for preservation of materials (e.g. grass or roots) in order to produce such animal feeding-stuffs."
"A23K10/00","Animal feeding-stuffs","","Detoxicating or removing bitter tastes from seeds, e.g. lupin seeds for fodder or food","A23L11/30","","","","This place covers: Feedstuffs and processes for production in general."
"A23K10/10","obtained by microbiological or biochemical processes  (using chemicals or microorganisms for ensilaging of green fodder A23K30/15)","A23K30/15","","","","","","This place covers: Non-specified microbiological processes for fodder or non-specified addition of microbes in general. "
"A23K10/12","by fermentation of natural products, e.g. of vegetable material, animal waste material or biomass","","","","","","","This place covers: Use of microorganisms to produce fodder ingredients or fodders (biomass) and the ingredients of fodders per se. "
"A23K10/14","Pretreatment of feeding-stuffs with enzymes","","","","","","","This place covers: Treating fodder by addition of enzymes (in general and specific) for particular effects."
"A23K10/16","Addition of microorganisms or extracts thereof, e.g. single-cell proteins, to feeding-stuff compositions  (A23K10/12 takes precedence)","A23K10/12","","","","","","This place covers: Methods of adding microbes such as probiotics to fodders and the fodders per se. "
"A23K10/18","of live microorganisms","","","","","","","This place covers: Methods of adding live microbes such as probiotics to fodders and the fodders per se. "
"A23K10/20","from material of animal origin  (obtained by microbiological or biochemical processes A23K10/10)","A23K10/10","","","","","","This place covers: Production of fodder from animal or waste material in general, and fodders containing same as a significant ingredient. "
"A23K10/22","from fish","","","","","","","This place covers: Production of fodder from fish (including shellfish, crustaceans), and fodders containing same as a significant ingredient. "
"A23K10/24","from blood","","Proteins from bloodMedicinal preparations containing blood","A23J1/06|A61K35/14","","","","This place covers: Production of fodder from blood or blood products and fodder containing these as a significant ingredient. "
"A23K10/26","from waste material, e.g. feathers, bones or skin  (A23K10/24 takes precedence)","A23K10/24","","","","","","This place covers: Production of fodder from animal (including fish, etc.) waste material, and fodders containing same as a significant ingredient. "
"A23K10/28","from waste dairy products","","","","","","","This place covers: Production of fodder from dairy wastes and fodder containing these as a significant ingredient. "
"A23K10/30","from material of plant origin, e.g. roots, seeds or hay; from material of fungal origin, e.g. mushrooms  (obtained by microbiological or biochemical processes, e.g. using yeasts or enzymes, A23K10/10)","A23K10/10","Preserving food, ","A23B|A23L","","","","This place covers: Production of fodder from vegetable material in general (including plant extracts), and fodders containing same as a significant ingredient. "
"A23K10/32","from hydrolysates of wood or straw","","","","","","","This place covers: Production of fodder from chemical or enzymatic hydrolysates of wood or straw (including lignaceous or cellulosic) material, and fodders containing same as a significant ingredient. "
"A23K10/33","from molasses","","","","","","","This place covers: Production of fodder from molasses and fodder containing molasses as a significant ingredient. "
"A23K10/35","from potatoes","","","","","","","This place covers: Production of fodder from potatoes (including by-products), and fodders containing same as a significant ingredient. "
"A23K10/37","from waste material  (from hydrolysates of wood or straw A23K10/32; from molasses A23K10/33)","A23K10/32|A23K10/33","","","","","","This place covers: Production of fodder from vegetable waste material, and fodders containing same as a significant ingredient. "
"A23K10/38","from distillers’ or brewers’ waste","","","","","","","This place covers: Production of fodder from waste products of brewing and distilling (e.g. solubles) and fodder containing same as a significant ingredient. "
"A23K10/40","Mineral licks, e.g. salt blocks","","","","","","","This place covers: Block of salt and other minerals for livestock to lick."
"A23K20/00","Accessory food factors for animal feeding-stuffs","","","","","","","This place covers: Animal feed or fodder supplemented with additives which may, for example, enhance the nutritional value, digestibility or appeal of the feed, may effect weight-gain of the animal, or the appearance of the flesh or meat of the animal, etc.  Specific additives being classified in the subgroups, e.g. vitamins as fodder additives are classified in  , sugars as fodder additives are classified in  . "
"A23K20/10","Organic substances","","","","","","","This place covers: Addition of organic substances of undefined composition, including mixtures thereof. "
"A23K20/105","Aliphatic or alicyclic compounds","","","","","","","This place covers: Addition of non-aromatic carbon compounds (not including fatty, amino, or heterocyclic, etc. compounds covered by other subclasses). "
"A23K20/111","Aromatic compounds","","","","","","","This place covers: Addition of non-heterocyclic compounds containing at least one benzene ring. "
"A23K20/116","Heterocyclic compounds","","","","","","","This place covers: Addition of heterocyclic compounds in general."
"A23K20/121","containing oxygen or sulfur as hetero atom","","","","","","","This place covers: Addition of saturated or unsaturated oxo- or sulfo- heterocycles (e.g. oxirane, oxetane, etc., and thiirane, thietane, etc., compounds). "
"A23K20/126","Lactones","","","","","","","This place covers: Addition of lactone type cyclic esters."
"A23K20/132","containing only one nitrogen as hetero atom","","","","","","","This place covers: Addition of saturated or unsaturated single nitrogen containing heterocycles (e.g. aziridine, pyridine, etc.). "
"A23K20/137","containing two hetero atoms, of which at least one is nitrogen","","","","","","","This place covers: Addition of saturated or unsaturated heterocycles, with more than one hetero atom and containing at least one nitrogen atom (e.g. oxazepines, thiazepines, pyridazine). "
"A23K20/142","Amino acids; Derivatives thereof","","","","","","","This place covers: Addition of amino acids (including esters, salts, etc.)."
"A23K20/147","Polymeric derivatives, e.g. peptides or proteins","","","","","","","This place covers: Addition of peptide and worked up protein material, including proteolyzates."
"A23K20/153","Nucleic acids; Hydrolysis products or derivatives thereof","","","","","","","This place covers: Addition of nucleic acids and fragments (DNA, RNA, etc.)."
"A23K20/158","Fatty acids; Fats; Products containing oils or fats","","","","","","","This place covers: Addition of oils, fats, fatty acids, fatty materials including waxes. "
"A23K20/163","Sugars; Polysaccharides","","","","","","","This place covers: Addition of saccharides including simple sugars and starches as well as cellulosic materials. "
"A23K20/168","Steroids","","","","","","","This place covers: Addition of steroids (e.g. cortisone, prednisolone, etc.) and derivatives. "
"A23K20/174","Vitamins","","","","","","","This place covers: Animal feed or fodder supplemented with additives which may, for example, enhance the nutritional value , digestibility or appeal of the feed, may effect weight-gain of the animal, or the appearance of the flesh or meat of the animal, etc. "
"A23K20/179","Colouring agents, e.g. pigmenting or dyeing agents","","","","","","","This place covers: Addition of colouring agent to the fodder resulting in, for example, brightly coloured food, e.g. to attract birds, or resulting in enhanced colour of the flesh or meat, e.g. pink colouring to salmon flesh. "
"A23K20/184","Hormones","","","","","","","This place covers: Addition of hormones (e.g., growth hormone, oxtocin, etc.) and derivatives."
"A23K20/189","Enzymes","","","","","","","This place covers: Addition of enzymes (in general and specific)."
"A23K20/195","Antibiotics","","","","","","","This place covers: Addition of antibiotics per se (not including probiotics - see  )."
"A23K20/20","Inorganic substances, e.g. oligoelements","","","","Oligoelements are classified in the group ","A23K20/30","","This place covers: Addition of inorganic materials, e.g. metals, salts, gases, etc."
"A23K20/22","Compounds of alkali metals","","","","","","","This place covers: Addition of group 1 elements (Li, Na, K, etc.). "
"A23K20/24","Compounds of alkaline earth metals, e.g. magnesium","","","","","","","This place covers: Addition of group 2 elements (Be, Mg, Ca, etc.)."
"A23K20/26","Compounds containing phosphorus","","","","","","","This place covers: Addition of organic and inorganic P compounds (e.g. pyrophosphates, etc.)."
"A23K20/28","Silicates, e.g. perlites, zeolites or bentonites","","","","","","","This place covers: Addition of Si compounds (including earths, clays, etc.)."
"A23K20/30","{Oligoelements}","","","","","","","This place covers: Addition of trace elements (e.g. Fe, Cu, Mn, Zn, Se, I., etc.). "
"A23K30/00","Processes specially adapted for preservation of materials in order to produce animal feeding-stuffs","","","","","","","This place covers: Feedstuffs characterized by preservation method and the feedstuffs per se."
"A23K30/10","of green fodder","","Mechanical aspects of methods specially adapted for storing agricultural or horticultural cropsSilos","A01F25/00|E04H7/22","","","","This place covers: Feedstuffs characterized by preservation of green material (grasses, lucerne, etc.) and the feedstuffs per se. "
"A23K30/12","Dehydration","","","","","","","This place covers: Feedstuffs characterized by dehydration preservation of green material (grasses, lucerne, etc.) and the feedstuffs per se. "
"A23K30/15","using chemicals or microorganisms for ensilaging","","","","","","","This place covers: Feedstuffs characterized by addition of chemicals (or biochemicals) to produce silage and the silage per se. "
"A23K30/18","using microorganisms or enzymes","","","","","","","This place covers: Feedstuffs characterized by addition of enzymes and/or microbes to produce silage and the silage per se. "
"A23K30/20","Dehydration  (of green fodder A23K30/12)","A23K30/12","","","","","","This place covers: Feedstuffs characterized by dehydration preservation and the feedstuffs per se. "
"A23K40/00","Shaping or working-up of animal feeding-stuffs","","","","","","","This place covers: Processes for producing fodders not covered in subgroups, as well as fodders resulting from processes. "
"A23K40/10","by agglomeration; by granulation, e.g. making powders","","","","","","","This place covers: Processes for producing fodders by agglomeration, granulation, powdering, as well as granular, powdered fodders resulting from processes. "
"A23K40/20","by moulding, e.g. making cakes or briquettes","","","","","","","This place covers: Processes for producing fodders by molding, pressing; as molded, compressed or pressed fodders resulting from such processes. "
"A23K40/25","by extrusion","","","","","","","This place covers: Processes for producing fodders by extrusions as well as extruded fodders resulting from such processes."
"A23K40/30","by encapsulating; by coating","","","","","","","This place covers: Processes for producing fodders by encapsulating, coating, covering Coated, covered, or enveloped fodders resulting from these processes"
"A23K40/35","Making capsules specially adapted for ruminants","","","","","","","This place covers: Processes for making coatings designed to bypass the rumen and products per se. "
"A23K50/00","Feeding-stuffs specially adapted for particular animals","","Milk Substitutes","A23C11/00","","","","This place covers: Feeds adapted for specific animals in general."
"A23K50/10","for ruminants","","","","","","","This place covers: Feeds for ruminant animals (e.g. cows, goats, sheep, etc.)."
"A23K50/15","containing substances which are metabolically converted to proteins, e.g. ammonium salts or urea","","","","","","","This place covers: Feeds for ruminants which contain nitrogenous protein precursors."
"A23K50/20","for horses","","","","","","","This place covers: Feeds for equine animals (e.g. horses, donkeys, zebra)."
"A23K50/30","for swines","","","","","","","This place covers: Feeds for suidae (e.g. pig, hog, boar, etc.)."
"A23K50/40","for carnivorous animals, e.g. cats or dogs","","","","","","","This place covers: Feeds for carnivorous animals in general (canines, felines, mink, etc.)."
"A23K50/42","Dry feed","","","","","","","This place covers: 0-15% H O."
"A23K50/45","Semi-moist feed","","","","","","","This place covers: 15-50% H O."
"A23K50/48","Moist feed","","","","","","","This place covers: 50-100% H O."
"A23K50/50","for rodents","","","","","","","This place covers: Feeds for rodents (e.g. mice, rats, hamsters, etc.). "
"A23K50/60","for weanlings","","","","","","","This place covers: Feeds for young animals in general."
"A23K50/70","for birds","","","","","","","This place covers: Feeds for avian animals in general (e.g. pigeons, wild birds, etc.)."
"A23K50/75","for poultry","","","","","","","This place covers: Feeds for domesticated farmed avians (e.g. chicken, turkey, geese, duck, etc.). "
"A23K50/80","for aquatic animals, e.g. fish, crustaceans or molluscs","","","","","","","This place covers: Feeds used in aquaculture in general (including shellfish and marine mammals). "
"A23K50/90","for insects, e.g. bees or silkworms","","","","","","","This place covers: Feeds for insects (e.g. honeybees, flies, etc.)."
