"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A42C","MANUFACTURING OR TRIMMING HEAD COVERINGS, e.g. HATS","","","","","","","This place covers: Details of manufacturing head coverings and appliances or trimmings therefor."
"A42C1/00","Manufacturing hats","","","","","","HatSoft head covering","This place covers: Details of manufacturing hats."
"A42C2/00","Manufacturing helmets by processes not otherwise provided for","","","","","","HelmetHard protective head covering","This place covers: Details of manufacturing helmets."
"A42C2/002","{In-mould forming}","","Shaping by internal pressure generated in the material, e.g. swelling, foamingIncorporating or moulding on preformed partsShaping by blow-mouldingShaping by thermoformingShaping composites,i.e. plastics material comprising reinforcements, fillers or preformed parts, e.g. inserts","B29C44/00|B29C44/12|B29C49/00|B29C51/00|B29C70/00","","","","This place covers: Manufacturing of helmets whereby an inner layer is moulded directly into an outer hard shell."
"A42C2/005","{Forming from solid sheets}","","Working of sheet metal","D21D","","","","This place covers: Forming helmet shells from solid sheets of material (can be metal or plastic)."
"A42C2/007","{Manufacturing custom-sized helmets}","","Measuring headsMeasuring in general","A61B4/07|G01B","","","","This place covers: Helmets custom-made to fit the head of an individual."
"A42C3/00","Miscellaneous appliances for hat-making, e.g. for making wire forms for hat-frames  (sewing-machines for straw hats D05B; sewing- machines for making hat-brims D05B); Apparatus for changing the form or size of finished hats","D05B|D05B","Sewing-machines for straw hats; sewing-machines for making hat-brims","D05B","","","",""
"A42C5/00","Fittings or trimmings for hats, e.g. hat-bands","","Artificial flowers, feathers","A41G","","","",""
"A42C5/02","Sweat-bands","","","","","","","This place covers: Sweat-bands to be used inside the hat to absorb sweat."
"A42C99/00","Subject matter not provided for in other groups of this subclass","","","","","","","This place covers: This group is not used."
