"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A45F","TRAVELLING OR CAMP EQUIPMENT: SACKS OR PACKS CARRIED ON THE BODY","","Hand implements for working earth, e.g. shovels, picksVeilsOuterwear; Protective garments  Boxes for needles or pinsHand carried bags or luggagePicnic boxesHandles for suitcases or bagsStraps, bands as travelling accessoriesWheeled carriersBags for golf clubs  Camping vehiclesFoldable sledgesFoldable vesselsRigid or semi-rigid containersSacks, bags or like containers,Devices for moving or tilting heavy loads  Transportable devices to obtain potable waterMatches for starting firesTools, implements, or accessories for hand sewingTents convertible, e.g. from one type tent to another type tentStands or trestles as supports for apparatus or articles placed thereonPortable lightingStoves with special adaptation for travelling, e.g. collapsible: stoves in which the type of fuel or energy supply is not specifiedstoves for gaseous fuelsstoves for liquid fuelsstoves heated by electric energyPortable water heatersMeans for wearing or carrying smallarms  Gun-slingsArrangements for carrying mobile phones  ","A01B1/00|A01K55/00|A41D|A41H19/00|A45C|A45C11/20|A45C13/26|A45C13/30|A45C13/38|A63B|B60P3/32|B62B13/16|B63B7/00|B65D1/00|B65D29/00|B65D31/00|B65G|C02F1/18|C06F5/00|D05B91/00|E04H15/30|F16M11/00|F21L|F24C1/16|F24C3/14|F24C5/20|F24C7/10|F24H1/06|F41C|F41C33/00|H04B","","","KnapsackA bag with shoulder straps, carried on the back","This place covers: Devices for carrying articles on the body of a person, e.g. for travelling. Travelling articles for personal use to be carried by not more than one person. Backpacks. Harnesses. Holders for carrying articles on the body, garment or belt of a person. Travelling or camp articles such as water-bottles, mess-tins, cups, hammocks and accessories for them, hanging seats, picnic sets, sewing kits, map cases, nets affording protection against insects; Travelling or camp articles which may be converted into articles for other use, e.g. coats or capes convertible into tent coverings Sacks or packs carried on the body by means of one strap passing over the shoulder or by means of two straps passing over the two shoulders including sacks or packs specially adapted for military purposes;  Sacks and packs specially adapted for children, e.g. for schoolchildren;  Carrying-frames and frames combined with sacks; carrying-straps, e.g. with adjustable fastenings of straps or belts; shoulder-pads; Sacks or packs carried on the body and convertible into other articles e.g. into tents, beds or mattresses, hammocks, litters or sleeping-bags, boats, sledges, coats or capes Holders or carriers for hand articles and holders or carriers for use while travelling or camping, such as fastening articles to the garment, handles, book-carriers; holders for spades, hatchets or the like"
"A45F3/00","Travelling or camp articles  (travelling rugs A47G9/06); Sacks or packs carried on the body  (convertible into other articles A45F4/00)","A47G9/06|A45F4/00","Holders or carriers for hand articles  Baby-carriers  Bags for golf clubs  ","A45F5/00|A47D|A63B","","","","This place covers: Illustrative example of subject matter classified in  :        "
"A45F3/005","{Sacks or packs carried on the body by means of a single strap around the waist}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/02","Sacks or packs carried on the body by means of one strap passing over the shoulder","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/04","Sacks or packs carried on the body by means of two straps passing over the two shoulders","","Bags for golf clubs  ","A63B55/00","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/042","{specially adapted for school children}","","","","","","","This place covers: Illustrative example of subject matter classified in         "
"A45F3/047","{with adjustable fastenings for the shoulder straps or waist belts}","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/06","specially adapted for military purposes","","Means for wearing or carrying smallarms  ","F41C33/00","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/08","Carrying-frames; Frames combined with sacks","","Wheeled carriers","A45C13/38","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/10","Pack-frames carried on the body","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/12","Shoulder-pads","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/14","Carrying-straps; Pack-carrying harnesses","","Carriers for heavy loads  Means for wearing or carrying smallarms  Cords, straps or harnesses for musical instruments  ","B65G7/12|F41C33/00|G10G5/005","","","","This place covers: Straps or harnesses for carrying articles which are not too heavy, i.e. articles which do not have to be carried by more than one person          "
"A45F3/15","Harnesses specially adapted for carrying small boats","","","","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/16","Water-bottles; Mess-tins; Cups","","Drinking straws as tableware  Closures with discharging devices  ","A47G|B65D47/00","","","","This place covers: Illustrative example of subject matter classified in       "
"A45F3/18","of rigid material","","","","","","","This place covers: Illustrative example of subject matter classified in       "
