"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A47G","HOUSEHOLD OR TABLE EQUIPMENT  (book-ends A47B5/00; knives B26B)","A47B5/00|B26B","","","","","","This place covers:  relates to household or hotel equipment: Distinguished from kitchen equipment ( ), shop equipment ( ) and bathroom equipment ( ), Not including furniture ( ,  ), cleaning equipment ( ) and Not including equipment otherwise provided for e.g. heating/cooling equipment  / , building equipment  , games  , toys  , electrical equipment for example lighting devices  , electric heating equipment  , musical instruments   and radio/television/telephone sets  ."
"A47G1/00","Mirrors  (as optical elements G02B5/08); Picture frames or the like, {e.g. provided with heating, lighting or ventilating means}","G02B5/08","As optical elements","G02B5/08","","","",""
"A47G1/02","Mirrors used as equipment  (hand, pocket, or shaving mirrors A45D42/00; {optical viewing means for vehicles B60R1/00})","A45D42/00|B60R1/00","Tiltable mirrors fixed to a cabinetShaving, portable, hand mirrorsConvex shop mirrorsCar mirrorsMirrors as optical element as suchDigital mirrors","A47G1/24|A45D42/00|A47F13/00|B60R1/00|G02B5/00|G06T11/00","","","","This place covers: Mirrors for home use e.g. to comb hair or to dress, bathroom mirrors, decorative mirrors, etc."
"A47G1/06","Picture frames  (making from paper B31D)","B31D","Making Picture frames from paperPostcardsDigital picture frames, Showcards, menu cards e.g. of cartonDisplay frames for commercial use, outdoor use e.g. postersCD, DVD,VCR holders e.g. stands, cases, cabinets","B31D|B42D15/00|G06F3/14|G09G5/00|G09F1/00|G09F15/00|G11B33/02","","","",""
"A47G1/0616","{Ornamental frames, e.g. with illumination, speakers or decorative features}","","Frames comprising magnifying propertiesFrames made from flexible materialFrames for housing medals, badges or the likeDecorative arts, , Mountings for pictures; Mountings of horns on platesAdvertising framesCases for storing discs","A47G2001/002|A47G2001/005|A47G1/12|B44C|B44D|B44F|B44C5/02|G09F15/00|G11B33/0405","","","","This place covers: Picture frames comprising special features other than those necessary for picture display such as: picture frames having special features, e.g. decoration, illumination, sound, inflatability, picture frames in combination with another article, e.g. furniture, article of clothing, book, firefighting equipment, doll. Examples:"
"A47G1/065","{Interconnected frames; Frame assemblies; Frames for two or more pictures}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"A47G1/08","adjustable {(A47G1/0644 takes precedence)}","A47G1/0644","","","","","",""
"A47G1/101","{for insertion within frame members}","","Corner mounts for frameless picture holdersClamps for holding (mitred) frame membersCorner-holding devices for photographs in albumsCanvas stretching framesCorner filling pieces for plinthsMitre joints for windows, doors or wings using separate connection piecesNon-metal corner connections for furnitureMetal corner connections for furniturehaving a corner insert inserted in mitred members","A47G1/0638|B25B5/142|B42F5/06|B44D3/185|E04F19/0486|E06B3/9645|F16B12/46|F16B12/50|F16B2012/505","","","","This place covers: Corner clips or corner-connecting appliances which are: for connecting mitred picture frame members for insertion within, components separate from the mitred picture frame members, substantially L-shaped, each arm connected to a picture frame member, hidden when viewing the display side of the picture frame. Examples:"
"A47G1/102","{having an aperture to receive a fastener to connect to a frame member}","","Canvas stretching framesCorner filling pieces for plinthsMitre joints for windows, doors or wings using separate connection piecesfurniture having a corner insert inserted in mitred members","B44D3/185|E04F19/0486|E06B3/9645|F16B2012/505","","","","This place covers: Corner clips or corner-connecting appliances which are: for connecting mitred picture frame members for insertion within, components separate from the mitred picture frame members, substantially L-shaped, each arm connected to a picture frame member, hidden when viewing the display side of the picture frame, and having an aperture in an arm to receive a fastener, e.g. a screw, a nail, a movable expansion member, an excentric, a wedge or the like, to connect to or frictionally engage a frame member. Examples:"
"A47G1/14","Photograph stands","","Stands of hingedly (vertical axis) interconnected picture framesBook-restsEasels for blackboardsSupports for desk-type calendars or diariesDevices for holding books openStands in generalStands for digital picture frames, ","A47G1/065|A47B23/00|A47B97/04|B42D5/04|B42D9/00|F16M|G06F3/14|G09G5/00","","","","This place covers: Selfstanding picture frames e.g. picture cubes Stands for pictures combined with other articles, desk organisers"
