"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A47H","FURNISHINGS FOR WINDOWS OR DOORS  (concerned with the functioning of the door or window E05; roller blinds E06B)","E05|E06B","Picture rails; accessories therefor, e.g. hooks or the like, specially adapted for use with picture railsFireproof curtainsScenery; curtains; other decorations; means for moving same","A47G1/1686|A62C2/10|A63J1/02","","","","This place covers: Devices for each of support, operation, and installation of curtains; curtain structures."
"A47H1/00","Curtain suspension devices","","Details of how curtains are fastened to the rod or rail; ","A47H13/00|A47H15/00","","","","This place covers: Curtain suspension devices, such as curtain rails and curtain rods. It also covers means for mounting them, such as adjustable mountings and brackets. Next to rails and rods it also covers other curtain suspension devices, such as wire and cord."
"A47H2/00","Pelmets or the like","","","","","","Valance or valance boardsPelmet","This place covers: Decorative headings to conceal curtain fixtures at the top of a window casing."
"A47H3/00","Fastening, clamping, or guiding devices for the bands or cords of curtains or the like","","","","","","","This place covers: Clamps and cord tensioning devices. Horizontally moving fabric curtains"
"A47H5/00","Devices for drawing draperies, curtains, or the like","","","","","","","This place covers: Devices for drawing horizontally moving curtains."
"A47H5/14","Apparatus for lowering curtains or the like {(in order to remove curtain rods A47H7/02)}","A47H7/02","Removing curtain rods","A47H7/02","","","","This place covers: For lowering horizontally opening and closing curtains made of fabric."
"A47H7/00","Devices for putting-up and removing curtain rods","","","","","","","This place covers: Devices for installing or removing a curtain rod; devices for lowering or lifting a curtain rod with or without a curtain attached."
"A47H11/00","Curtain cord appurtenances","","Operating, guiding or securing devices or arrangements for roll-type closures; for direct manual operation, e.g. by tassels, by handles","E06B9/78","","","","This place covers: Accessories for curtain cords for horizontally opening and closing fabric curtains."
"A47H13/00","Fastening curtains on curtain rods or rails","","","","","","","This place covers: Clamps, rings, hooks and pins for fastening curtains on curtain rails or rods."
"A47H15/00","Runners or gliders for supporting curtains on rails or rods","","","","Details of pins, clamps, hooks and rings  and subgroups.Details of rails and rods  and subgroups.","A47H13/00|A47H1/00","","This place covers: Gliders, i.e. gliding curtain supports and runners, i.e. supports for curtains having wheel-like rollers, for supporting curtains on rails or rods."
"A47H19/00","Rosettes for holding curtains; Festoon holders","","","","","","FestoonDecorative representation of a string of flowers suspended between two points; used on pottery or in architectural work","This place covers: Devices fastened to the side of the door or window for holding curtains tied-up in place."
"A47H21/00","Curtain shields","","","","","","","This place covers: Devices that have the function of shielding off curtains, for curtains which are fixed to a window, so that the curtains are protected to external influences."
"A47H23/00","Curtains; Draperies  (shower curtain arrangements A47K3/38)","A47K3/38","Lamellar or like blindsRoller blinds","E06B9/26|E06B9/40","","","","This place covers: Details of curtains, such as shapes and materials. Only horizontally opening and closing fabric curtains."
"A47H27/00","Boxes, shelves, holders or similar supports for holding flowers  (windows adapted to carry plants E06B7/28)","E06B7/28","Hanging flower-pot holders, e.g. mounted on walls, balcony fences or the likeWindows adapted to carry plants","A47G7/044|E06B7/28","","","","This place covers: Devices for carrying flowers, flower pots, flower trays and the like on or at windows."
"A47H99/00","Subject matter not provided for in other groups of this subclass","","","","","","","This place covers: All devices, methods etc. related to horizontally moving fabric curtains not classified in other   groups."
