"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A47L","DOMESTIC WASHING OR CLEANING  (brushes A46B; cleaning quantities of bottles or of other hollow articles of one kind B08B9/00; laundry D06F); SUCTION CLEANERS IN GENERAL  (cleaning in general B08)","A46B|B08B9/00|D06F|B08","Methods or apparatus for sterilising materials of objects in generalSeparation, filtration in generalCleaning in generalCleaning quantities of bottles or of other hollow articles of one kindPolishing machines in generalHandlesCleaning of vehiclesCleaning of vehicles not otherwise provided for - Other vehicle hand-held cleaning arrangements, e.g. with sponges, brushes, scrapers or the likeMachines for cleaning carpets not fixed to a surfaceStreet cleaning; cleaning of permanent waysRoof working-toolsArrangements for cleaning building façadesNon-positive displacement pumpsValvesPipes; hoses; means for thermal; insulation in generalControl or regulation of non-electric variablesElectric switchesBatteriesDynamo-electric machinesControl or regulation of electric motors, generators or dynamoelectric convertors","A61L|B01D|B08B|B08B9/00|B24B29/00|B25G|B60S|B60S3/045|D06G|E01H|E04D|E04G23/002|F04D|F16K|F16L|G05D|H01H|H01M|H02K|H02P","Machines or implements which can be used for cleaning windows, window shades, window screens, venetian blinds, as well as floors, carpets, furniture, walls or wall coverings are classified in groups  or .Reference(s) ,  and  are non-limiting in the subclass . CPC will be updated/corrected once this inconsistency is resolved in IPC.","A47L11/00|A47L13/00|B08|B08B|B08B9/00|A47L","","This place covers: The following overview of the main groups indicating the coverage of the subclass   is given below. A detailed description of the covered subject matter at main-group level, e.g.  , is to be found at said main groups. Cleaning windows, window shades, window screens, venetian blinds, Safety devices for use in window cleaning Cleaning windows Safety devices for use in window-cleaning Cleaning window shades, window screens, venetian blinds Suction cleaners Structural features of suction cleaners Suction cleaners adapted for additional purposes; Tables with suction openings for cleaning purposes; Containers for cleaning articles by suction; Suction cleaners adapted to cleaning of brushes; Suction cleaners adapted to taking-up liquids Details or accessories of suction cleaners, e.g. mechanical means for controlling the suction or for effecting pulsating action; Storing devices specially adapted to suction cleaners or parts thereof; Carrying-vehicles specially adapted for suction cleaners Machines and implements for cleaning floors, carpets, furniture, walls, or wall coverings: Machines for cleaning floors, carpets, furniture, walls, or wall coverings Implements for cleaning floors, carpets, furniture, walls, or wall coverings Apparatus or implements for cleaning or polishing household articles or the like: Washing or rinsing machines for crockery or tableware, e.g. of non-domestic use type Apparatus or implements used in manual washing or cleaning of crockery, table-ware, cooking-ware or the like Drying devices for crockery or table-ware, e.g. tea-cloths Polishing of table-ware, e.g. knives, forks, spoons Cleaning footwear Miscellaneous cleaning devices"
"A47L1/00","Cleaning windows","","Spraying apparatus; Atomising apparatus; Nozzles - Single-unit; Hand-held apparatusCleaning or de-icing of aircrafts","B05B11/00|B65F5/00","","","","This place covers: All aspects of cleaning windows including wetting, cleaning and drying of the window surface. Power-driven machines or devices for cleaning windows, e.g. all machines and devices with a power driven motor, power heating element or the like. Hand implements for cleaning windows, e.g. all hand operated implements."
"A47L3/00","Safety devices for use in window-cleaning  (safety belts A62B35/00; for scaffolding in general E04G; for ladders E06C)","A62B35/00|E04G|E06C","Apparatus for mountaineering - Safety belts of body harnessesApparatus for mountaineering - Mountaineering ropesWork on existing buildings - Scaffold and mobile platforms essentially supported by building constructions.Devices for preventing persons from falling from ladders","A62B35/00|A63B29/028|E04G3/00|E06C7/18","","","","This place covers: Safety devices specifically for use in window-cleaning such as mounted or suspended platforms and cages attachable to windows/window frames; and safety ropes having securing means or sit portions for window cleaners for home use."
"A47L4/00","Cleaning window shades, window screens, venetian blinds  (A47L1/15 takes precedence; suction cleaner nozzles A47L9/02)","A47L1/15|A47L9/02","Cleaning windowsSuction cleaners; ; ","A47L1/00|A47L5/00|A47L7/00|A47L9/00","","","","This place covers: All aspects of cleaning window shades, screens, venetian blinds."
"A47L5/00","Structural features of suction cleaners","","BrushesNon-Positive-Displacement Pumps (fans, blowers)Dynamo-electric machines","A46B|F04D|H02K","It is highly desirable to add the Indexing Code  to identify ""robotic"" aspects (see  FCR for further details) of the suction cleaners covered by this main group.","A47L2201/00|A47L2201/00","","This place covers: All structural features of suction cleaning machines, using suction as major cleaning tool in domestic environments. With user-driven air-pumps or compressors, e.g. all suction cleaners with manually driven air pumps or compressors With power-driven air-pumps or compressors, e.g. all suction cleaners with motor driven air pumps or compressors Hand supported suction cleaners, e.g. all suction cleaners which are dedicated to be used hand supported or as a back-pack. All upright suction cleaners with wheels and fixed steering handle, e.g. vertical, tank or bucket type Suction cleaners with hose between nozzle and casing, e.g. horizontal, canister or sledge type Suction cleaners for fixing on staircases."
"A47L7/00","Suction cleaners adapted for additional purposes  (suction devices for removing ash F23J1/02); Tables with suction openings for cleaning purposes; Containers for cleaning articles by suction; Suction cleaners adapted to cleaning of brushes; Suction cleaners adapted to taking-up liquids","F23J1/02","Suction cleaner adapted to take up liquids of the bucket typeLawn Mowers supported by an air cushionDevices for removing chips for machine tools","A47L5/365|A01D34/695|B23Q11/0046","It is highly desirable to add the Indexing Code  to identify ""robotic"" aspects (see  FCR for further details) of the suction cleaners covered by this main group.","A47L2201/00|A47L2201/00","","This place covers: Special type suction cleaners. Furniture pieces with suction opening for domestic use. Suction cleaners adapted to take up liquid, e.g. suction cleaners of the wet/dry type. Using the exhaust air for other purposes, e.g. distribution of chemicals/deodorant For supporting the suction cleaner on the exhaust air, e.g. all suction cleaners floating on their respective exhaust air, most without wheels."
"A47L9/00","Details or accessories of suction cleaners, e.g. mechanical means for controlling the suction or for effecting pulsating action; Storing devices specially adapted to suction cleaners or parts thereof; Carrying-vehicles specially adapted for suction cleaners","","Machines for cleaning floors in combination with vacuum cleaners. Including suction cleaner accessories such as suction cleaner nozzles with fluid delivery means.Apparatus using free vortex flow, e.g. cyclonesNozzles in generalShaping or joining of plasticsProtecting against, or damping of, acoustic waves, e.g. sound","A47L11/4094|B04C|B05B1/00|B29C|G10K11/16","It is highly desirable to add the Indexing Code  to identify ""robotic"" aspects (see  FCR for further details) of the suction cleaners covered by this main group.","A47L2201/00|A47L2201/00","Agitator, beaterelement striking the surface to be cleaned for dislodging dirt from itBlower, fan, turbineelement provided with blades and rotating for generation of an underpressureDry filterfilter separating small particles contained in air flowing through it and which is not shaped as a bagSuction mouth, suction headvacuum cleaner nozzle","This place covers: Details of suction cleaners. Details of parts, elements of the suction cleaner such as those related to the hose, nozzle or casing of the vacuum cleaner. Accessories of suction cleaners. Elements which are not integral part of the suction cleaner itself, but which can be used in combination with it. Examples: exchangeable nozzles or brushes, extension wands, etc. Storing devices. Those for storing the whole suction cleaner or elements of it. They can be elements external to the suction cleaner or elements integrated in the suction cleaner. Carrying vehicles. This includes any means facilitating, contributing to or making possible the displacement of the whole suction cleaner or a part of it (e.g. its nozzle), regardless of whether the means is integrated (e.g. wheels) or not in the suction cleaner. This also includes means for avoiding mechanical obstacles, such as control means, as well as bumpers in the casing of the suction cleaner."
"A47L11/00","Machines for cleaning floors, carpets, furniture, walls, or wall coverings","","Dispensing, delivering or transferring liquids not otherwise provided for.Mechanical or pressure cleaning of carpets not in position.Arrangements for removing of previously fixed floor coveringsSteam generation per-se.","B67D|D06G|E04G23/006|F22B","It is highly desirable to add the Indexing Code  to identify ""robotic"" aspects (see  for further details) of the machines covered by this main group.","A47L2201/00|A47L2201/00","","This place covers: Floor surfacing or polishing machines. (  -  ) In this group polishing (burnishing, buffering, waxing) : to provide a glossy, reflective surface. Can be aided with polishing agents or waxes. Floor-sweeping machines. (  -  ) In this group sweeping is defined as a dry (in contrast to scrubbing) operation involving removing dust, debris and larger particles from a floor such as brushing, vacuuming or blowing - i.e. to loose particles. Floor-scrubbing machines (  -  ) In this group scrubbing (scouring): wet operation involving application of water/cleaning composition together with mechanical action on the floor surface with mops, rotating pads or brushes or other cleaning tools. It may involve recovery of the dirty liquid or not. Carpet-sweepers. (  -  ) In this group a carpet sweeper in the sense of   and subgroups is defined as a mechanical device for the cleaning of carpets that typically consists of a small box, the base of the box having rollers and brushes, connected by a belt or gears. There may also be a container for dirt. Machines for treating carpets in position by liquid, foam, or vapour, e.g. by steam. ( ) These machines are intended for powerful carpet extraction - i.e. for removing deep, embedded soils in carpets laying on the floor (also called carpet extractors). Higher pressure steam, cleaning fluid and/or shampoo is applied to the carpet. Scrubbing action may be used (brushes, etc...). Dirty liquid is normally - not always - recovered by the machine. Machines for beating upholstery ( ). Machines, specially adapted for cleaning walls, ceilings, roofs, or the like ( ). Parts or details of the machines, e.g. handles, arrangement of switches, skirts,... (  -  )."
"A47L13/00","Implements for cleaning floors, carpets, furniture, walls, or wall coverings  (brushes, their handles or fastenings A46B, B25G; scrapers for finishing work on buildings E04F21/00)","A46B|B25G|E04F21/00","Sanitary equipment not otherwise provided for; toilet accessoriesAbsorbent pads, e.g. sanitary towels, swabs or tampons for external or internal application to the bodyHand propelled vehicles e.g. hand-cartsLayered products","A47K|A61F13/15|B26B|B32B","","","","This place covers: Scraping implements such as steel wool, wire meshes... Scrubbing implements such as wipes, sponges, cloths, mops... Scouring implements including scouring implements for hearths or metal objects. Polishing implements as well as squeegees, carpet beaters, dusters and other implements for cleaning floors, carpets, furniture, walls or wall coverings in the domestic ambit. Manual operation of the user is required to perform the cleaning action. Auxiliary devices related to said implements are classified here too (storing devices, shakers for dust-cloths, dust pans, crumb trays, wringers, kneeling supports for cleaning floors...)."
"A47L15/00","Washing or rinsing machines for crockery or tableware","","Cleaning, e.g. washing, meat or sausages Machines for cleaning, blanching, drying or roasting fruits or vegetables, e.g. coffee, cocoa, nutsDevices for washing vegetables or the likeCleaning devices specially adapted for surgical instrumentsCleaning devices for bed-pans, urinals or other sanitary devices for bed-ridden personsMethods or apparatus for disinfecting or sterilising materials or objects other than foodstuffsApparatus for cleaning or rinsing laboratory receptacles or instrumentsCleaning in generalLaundry washing machines","A22C17/08|A23N12/00|A47J43/24|A61B90/70|A61G9/02|A61L2/00|B01L13/02|B08B|D06F","","","Dishwashing machinea machine for washing dishes, plates and like tableware, cutlery, cooking vessels and utensils.","This place covers: Features of washing or rinsing machines for crockery or tableware, i.e. machines which are suitable for washing or rinsing articles such as dishes, plates, knives, forks, spoons, glasses, cups, etc., used at meals or in the kitchen, e.g. for cooking."
