"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A61J","CONTAINERS SPECIALLY ADAPTED FOR MEDICAL OR PHARMACEUTICAL PURPOSES; DEVICES OR METHODS SPECIALLY ADAPTED FOR BRINGING PHARMACEUTICAL PRODUCTS INTO PARTICULAR PHYSICAL OR ADMINISTERING FORMS; DEVICES FOR ADMINISTERING FOOD OR MEDICINES ORALLY; BABY COMFORTERS; DEVICES FOR RECEIVING SPITTLE","","Foods, foodstuffs, or their preparation or treatmentDrinking vessels used for table serviceSpoon type tablewareProtective casings or covers for appliances or instrumentsMedical preparations characterized by special physical formSuppositoriesCapsules and medicinal compositionsDevices for introducing media into or on the body - Droppers or containers for laboratory useContainers for storage or transport of articles or materials in general or their accessories, closures, or fittings - Containers specially constructed to be opened by cutting or piercing, or by tearing of frangible member or portionDetails of bottles or jars not otherwise provided forDropper type dispensers for closing containersClosures for containers with means for discouraging their opening or removal without authorization or required level of physical aptitudeBlister packagesApplying closure members to bottles, jars, or similar containers - ","A23L5/00|A47G19/22|A47G21/04|A61B50/00|A61K9/00|A61K9/02|A61K9/48|A61M1/00|A61M39/00|B01L3/00|B65D1/00|B65D85/00|B65D17/00|B65D23/00|B65D47/18|B65D50/00|B65D75/36|B67B1/00|B67B7/00","The following Indexing Codes can be used throughout  - . They should be added where relevant or appropriate:General characteristics or adaptationsGeneral identification or selection means","A61J1/00|A61J19/00|A61J2200/00|A61J2205/00","Disabled personA human being that is unable to do a certain basic physical task (e.g., walking) without assistance due to a physical or mental impairment/condition.Medicine, MedicationChemical or biological substance intended to be used for the diagnosis, treatment, mitigation, alleviation, or prevention of diseases, disorders, injuries, or any other abnormal physical or mental state in humans.PatientHuman being awaiting or undergoing any form of (a) medical care (e.g., testing) or treatment by medical staff (e.g., doctors, dentists, midwives, chiropractors) or (b) physical tending (e.g., feeding) by care providers (e.g., hospice or nursing home staff) due to impairment.Pharmaceutical productMan made or natural medicines specially adapted by manufactures or pharmacies into forms that facilitate their internal or external usage by humans.","This place covers: Apparatus, devices, or methods specially adapted for changing or fashioning bulk medicines, or their essential constituents, into pharmaceutical products having specific physical forms designed to either: facilitate their accurate dispensing to, or proper usage by, humans (e.g., tablets of specified dosage), enhance their desirability so as to improve their likelihood of being consumed or used (e.g., candy coated tablets, impregnated food, lubricated suppositories), improve their ability to, or make them physically able to, be consumed or used (e.g., encapsulated fish oil, ointments), or increase their effectiveness. Apparatus, devices, or methods specially adapted for administering medications or pharmaceutical products to humans through their oral cavity. Receptacles that are not designed to be ingestible and are specially adapted for holding or containing medicines or pharmaceutical products prior to their usage or consumption by humans. Receptacles specially adapted to hold, contain, or transport pharmaceutical, surgical, or therapy related materials other than medicines or pharmaceutical products (e.g., containers for storing blood). Hollow flexible conduits specially adapted, or solely intended, for the purpose of providing nutriments in fluid or fluent forms to humans by insertion of the conduits into an orifice of their bodies (e.g., enteral feeding using functioning gastrointestinal tract). Containers specially adapted for holding water or nutriments in fluid or fluent forms (e.g., feeding bottles) that is withdrawn by the sucking of infants, young children, or other humans (e.g., patients, disabled persons) on orally engaged portions or subcomponents of the containers. The orally engaged subcomponents per se of the containers of the preceding paragraph (e.g., compressible rubber teats for feeding bottles) which are specially adapted for infants, young children, or other humans to suck upon to withdraw water or nutriments in fluid or fluent forms from the containers. Other types of apparatus or devices specially adapted for orally administering only nutriments in fluid or fluent forms to infants, patients or disabled persons. Devices that are not designed to be ingestible and are specially adapted, or solely intended, for either: soothing, calming, or relaxing infants or young children by relieving a physical craving (e.g., oral pacifier) or allowing infants or young children to relieve minor irritations or inflammations themselves though usage of the devices (e.g., teething devices for gum irritation). Devices or receptacle specially adapted, or solely intended, for receiving spittle, phlegm, or other forms of naturally occurring oral discharge from humans. Devices specially adapted to prevent irritation of the teat portion of the mammary gland of humans from abrasive or rubbing contact. Specially adapted subcomponents or steps for the above types of apparatus, containers, devices or methods of the preceding paragraphs that are not provided for in another subclass. Auxiliary appliances or accessories specially adapted for use with the apparatus, containers, or devices of the preceding paragraphs to facilitate either: the proper dispensation or usage of medications or pharmaceutical products (e.g., medication reminders, pill counters) or the taking of food orally by humans."
"A61J1/00","Containers specially adapted for medical or pharmaceutical purposes  (capsules or the like for oral use A61J3/07; specially adapted for surgical or diagnostic appliances or instruments A61B50/00; {antithrombogenic treatment of articles for conditioning blood A61L33/00; devices for introducing media into or onto the body A61M;} containers for radioactive substances G21F5/00)","A61J3/07|A61B50/00|A61L33/00|A61M|G21F5/00","","","Documents in  -  disclosing the following container types should always be given at least a corresponding Indexing Code:Blister type containersCarpulesRigid ampoules, e.g. glass ampoulesFlexible ampoules, e.g. squeezable ampoulesBag type containers","A61J1/00|A61J1/22|A61J1/035|A61J1/062|A61J1/065|A61J1/067|A61J1/10","","This place covers: Receptacles that are not designed to be ingestible and are specially adapted for holding or containing medicines or pharmaceutical products prior to their usage or consumption by humans. Receptacles specially adapted to hold, contain, or transport pharmaceutical, surgical, or therapy related materials other than medicines or pharmaceutical products (e.g., containers for storing blood).  refers nearly exclusively to medicament containers."
"A61J1/03","for pills or tablets  (containers with special dispensing means therefor B65D83/04)","B65D83/04","Containers with active dispensing means, e.g. pressing a button","B65D83/04","Documents belonging in this subgroup should always be sent to  -  for classification.Distribution means for pills or tablets should be classified in .Containers comprising passive means for indicating the time of administration of the medicament should be additionally classified in .Containers comprising active or electronic means for indicating the time of administration of the medicament should be additionally classified in .","B65D1/00|B65D85/00|A61J7/0076|A61J7/04|A61J7/0409","",""
"A61J1/035","{Blister-type containers  (blisters in general B65D75/36)}","B65D75/36","Blisters in generalDispensing from blisters","B65D75/36|B65D83/0409","Documents in  -  disclosing blister type containers should be given at least Indexing Code .","A61J1/00|A61J1/22|A61J1/035","","This place covers: Containers enclosing pharmaceuticals to be taken orally between two opposed sheets or blanks which are joined, wherein one of both sheets or blanks comprise recessed compartments to accommodate said pharmaceuticals, and wherein the pharmaceutical is released by pressing it through the backing sheet or blank. Examples of blister type containers: DE202009015049U DE202009012194U"
"A61J1/05","for collecting, storing or administering blood, plasma or medical fluids {(multiple bags systems for separating or storing blood components A61M1/0209); Infusion or perfusion containers}","A61M1/0209","","","","","",""
"A61J1/06","Ampoules or carpules  (syringe ampoules or carpules A61M5/28)","A61M5/28","Syringe ampoules or carpules","A61M5/28","Documents in  disclosing ampoules should be given at least Indexing Code  or corresponding Indexing Code.","A61J|A61J1/06","",""
"A61J1/062","{Carpules}","","","","Documents in  -  disclosing carpules should be given at least Indexing Code .","A61J1/00|A61J19/00|A61J1/062","","This place covers: Carpules, i.e. ampoules for containing a (unit dose of a) pharmaceutical fluid comprising a plunger or piston for expelling its contents. Examples of carpules: EP2281542 US2004004086"
"A61J1/065","{Rigid ampoules, e.g. glass ampoules}","","","","Documents in  -  disclosing rigid ampoules should be given at least Indexing Code ","A61J1/00|A61J19/00|A61J1/065","","This place covers: Ampoules, i.e. sealed, small rigid or glass containers containing a (unit dose of a) pharmaceutical fluid for hypodermic injection. Examples of rigid ampoules: EP1918214 EP2301510"
"A61J1/067","{Flexible ampoules, the contents of which are expelled by squeezing}","","","","Documents in  -  disclosing flexible ampoules should be given at least Indexing Code .","A61J1/00|A61J19/00|A61J1/067","","This place covers: Sealed, small flexible containers containing a (unit dose of a) pharmaceutical fluid which is to be expelled by squeezing. Examples of flexible ampoules: DE102006009611   DE20217814U"
"A61J1/10","Bag-type containers","","","","Documents in  -  disclosing bag type containers should be given at least Indexing Code .","A61J1/00|A61J19/00|A61J1/10","","This place covers: Examples of bag type containers: EP1803552 US2009234317"
