"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A61M","DEVICES FOR INTRODUCING MEDIA INTO, OR ONTO, THE BODY  (introducing media into or onto the bodies of animals A61D7/00; means for inserting tampons A61F13/26; devices for administering food or medicines orally A61J; containers for collecting, storing or administering blood or medical fluids A61J1/05); DEVICES FOR TRANSDUCING BODY MEDIA OR FOR TAKING MEDIA FROM THE BODY  (surgery A61B; chemical aspects of surgical articles A61L); DEVICES FOR PRODUCING OR ENDING SLEEP OR STUPOR {(Electrotherapy, e.g. producing anaesthesia by the use of alternating or intermittent currents A61N1/36021)}","A61D7/00|A61F13/26|A61J|A61J1/05|A61B|A61L|A61N1/36021","Devices worn by patients for reception of urine, faeces, catamenial, or other bodily dischargesApplication swabsDevices for receiving spittle","A61F5/44|A61F13/15|A61J19/00","When a device or method covered by subclass  includes a separating process for body-liquids that utilizes chromatography, and features of general interest related to chromatography are usefully disclosed but not claimed, the features should also be non-obligatorily classified within group .The breakdown symbols (i.e. the non ""parallel"" or non ""mirror"" symbols) and ""orthogonal"" symbols are to be used for classifying the invention information (in addition to the invention symbols) in case the invention is insufficiently classified by an invention information symbol. They are also to be used for classifying the additional information. They are stored in the additional information field.","A61M|B01D15/08","MediaSolid, liquid, or gaseous substances or devices (e.g., medicine, food, in vivo testing material, catheters) which are either used by or within human bodies for medical or physical purposes, components of or substances naturally within human bodies (e.g., artificial heart, blood, insulin), or bodily discharge or waste created by human bodies or medical processes taking place within human bodies (e.g., urine).","This place covers: Devices or processes specially adapted to be used to insert or place media into human bodies (e.g., pumps, syringes, atomisers, insufflators, inhalers) and that do so either by an artificial method (i.e., a human created or contrived method that cannot occur naturally such as hypodermic-syringe injections) or by enhancing a naturally occurring method (e.g., inhalers used in conjunction with normal breathing) other than oral.. Devices or processes specially adapted to be used to place media upon human bodies (e.g., percutaneous devices, radioactive dressings) and that do so either by an artificial method or by enhancing a naturally occurring method (e.g., standard absorption, rubbing substances onto skin). Devices or processes which are specially adapted to be used to direct, lead, convey, or carry media up to, away from, or within human bodies (e.g., tubes for carrying oxygen, medical pumps, artificial hearts, mechanical blood circulatory assistors, blood oxygenation devices, devices for artificial respiration by treatment with gas or air) and that do so either by an artificial method (e.g., dialysis systems) or by enhancing a naturally occurring method (e.g., standard circulation of blood, standard discharging of bodily waste). Devices or processes specially adapted to be used to remove, eject, or expel media from human bodies (e.g., suction type breast relievers, discharge draining devices for wounds) and that do so by an artificial method (e.g., subaquatic intestinal cleaning systems) or by enhancing a naturally occurring method (e.g., babies sucking on breast, boils natural discharging). Devices or processes specially adapted to cause or provoke a change in the state of consciousness of humans (e.g., induce sleep, fully awaken) and that do so in a manner other than one which commonly occurs (e.g., falling asleep on a good mattress, physical exhaustion). Devices or processes specially adapted to increase or decrease the mental activity of humans while awake (e.g., relax, stimulate) and that do so in a manner other than that which commonly occurs (e.g., creating boredom). Accessories specially adapted for use with at least one of the above devices and that contribute to the effectiveness or safety of the device or its use. Specially adapted components having structural features limiting them to use with a device of one of the types specified above."
"A61M1/00","Suction or pumping devices for medical purposes; Devices for carrying-off, for treatment of, or for carrying-over, body-liquids; Drainage systems  (catheters A61M25/00; tube connectors, tube couplings, valves or branch units specially adapted for medical use A61M39/00; devices for taking samples of blood A61B5/15; filters implantable into blood vessels A61F2/01)","A61M25/00|A61M39/00|A61B5/15|A61F2/01","Non-implantable gland structures or devices, e.g. non-implantable artificial pancreas, , Syringes; Infusion devicesInfusion devices using feedback of body parameters, e.g. blood-sugar, pressure, artificial pancreasSprayers or atomizersInhalatorsRespiratorsDilatorsDevices for introducing or retaining mediaImplements for holding wounds open Devices worn by the patient for reception of urine, faeces, catamenial or other dischargeTissue or organ culturePumps in general, , , ","A61M1/3489|A61M1/3679|A61M1/3689|A61M5/00|A61M5/1723|A61M11/00|A61M15/00|A61M16/00|A61M29/00|A61M31/00|A61B17/02|A61F5/44|C12N5/0671|F04B|F04C|F04D|F04F","Suction-irrigation devices where the irrigation is described in detail should also be proposed for classification in .If gas treatment is described in detail, the documents should also be proposed for classification in .Only catheters specially adapted for suction drainage are classified in the relevant subgroups of ; for general aspects of catheters, the documents should also be proposed for classification in .In this main group, it is desirable to also allocate the indexing groups  - .","A61M3/00|A61M35/00|A61M1/00|A61M25/00|A61M2202/00|A61M2250/00","",""
"A61M1/0001","{Containers for suction drainage, e.g. rigid containers}","","Blood reservoirs","A61M1/3627","This group covers containers which are described as being usable in the context of medical suction drainage, they thus can be considered as being part of a suction device. Therefore there is no contradiction with the definition of . The containers do not need to be rigid but many of them are. They are not required to act as a pump but some do, and then the appropriate subgroups may be applicable (e.g. ,  or  in some cases). It does not always make sense to say that they are capable of being subject to vacuum, e.g. in the case that they have a flexible member creating suction this would make no sense. However, if it is clear that a container is not capable of being subject to vacuum there is the special group  for those. The fluid does not have to pass through the vacuum source, but it can, in some cases.","A61M1/00|A61M1/67|A61M1/0011|A61M1/0003|A61M1/69","",""
"A61M1/0003","{Self-contained vacuum aspirators}","","","","","","","This place covers: Vacuum aspirators which contain the pumping means and the containers in a compact way, e.g. mucous aspirators for babies"
"A61M1/0011","{Drainage containers incorporating a flexible member creating suction, e.g. bags in a low-pressure chamber, bellows}","","Rigid container with flexible linerLiner in a rigid containerMembrane (air) pumps for creating suction Emptying infusion-containers","A61M1/0001|A61M1/604|A61M1/82|A61M5/1483","","","","This place covers: only DRAINAGE CONTAINERS having a flexible member, thus not bulb or membrane pumps where the aspirated material is not collected inside the pump"
"A61M1/0023","{Suction drainage systems  (containers therefor A61M1/0001; suction-irrigation systems A61M1/0058)}","A61M1/0001|A61M1/0058","Containers Suction-irrigation systems","A61M1/0001|A61M1/0058","A suction drainage system generally has a suction means, a container and a drainage tube. If the focus is on the container,  or its subgroups should be used. If the focus is on the system,  or subgroups is used. If both are described, both classifications should be given. If the vacuum source is at the same time the container receiving the drained liquid, then the device is not considered as a system but as a container. Therefor only the appropriate subgroup of  should be used or the head group  if none of the subgroups applies.","A61M1/0001|A61M1/0023|A61M1/0001|A61M1/0001","","This place covers: Units with incorporated vacuum source, through which no liquid passes:"
"A61M1/0058","{Suction-irrigation systems  (aspiration tips supplying fluids A61M1/85; combined with tracheal tubes A61M16/0463)}","A61M1/85|A61M16/0463","Aspiration tips supplying fluidsCombined with tracheal tubesIn endoscopesDental","A61M1/85|A61M16/0463|A61B1/12|A61C17/0208","","","",""
"A61M1/0062","{operating alternately  (A61M1/774 takes precedence)}","A61M1/774","","","","","","This place covers: Suction irrigation systems whith suction and irrigation being operated alternately"
"A61M1/02","Blood transfusion apparatus  (blood infusion by syringes A61M5/14)","A61M5/14","","","Either collection of blood in amounts interesting for transfusion (taking a sample for diagnosis would not fall under this) or treatment of collected blood in view of later transfusion is required for classification in this group.","","","This place covers: Apparatus for blood transfusion, for blood collection in view of transfusion and for treatment of collected blood in view of later transfusion"
"A61M1/0209","{Multiple bag systems for separating or storing blood components}","","Details of blood bags","A61J1/10","","","",""
