"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A61N","ELECTROTHERAPY; MAGNETOTHERAPY; RADIATION THERAPY; ULTRASOUND THERAPY  (measurement of bioelectric currents A61B; surgical instruments, devices or methods for transferring non-mechanical forms of energy to or from the body A61B18/00; anaesthetic apparatus in general A61M; incandescent lamps H01K; infra-red radiators for heating H05B)","A61B|A61B18/00|A61M|H01K|H05B","Measuring bioelectrical signals of the body or body parts Surgical accessories Artificial substitutes or replacements for parts of the body Heating or cooling appliances for medical or therapeutic treatment Saunas Radiopharmaceuticals Anaesthetic apparatus in general Pressure infusion pumps Devices or methods to cause a change in the state of consciousness by mechanical, optical or acoustical means, e.g. audiovisual stimuli Artificial hearts and circulatory assistance means intended for implantation Specific therapeutic activity of chemical compounds or medicinal preparationsMeasurement of nuclear X-radiation Techniques for handling of particles or electromagnetic radiation Incandescent lamps having general utility Infrared radiators for heating ","A61B5/24|A61B90/00|A61F2/00|A61F7/00|A61H33/06|A61K51/12|A61M|A61M5/142|A61M21/00|A61M60/122|A61P|G01T|G21K|H01K|H05B","","","","This place covers: Specially adapted apparatus, instruments, devices, or processes for the following types of therapy: electrotherapy, e.g. iontophoresis; magnetotherapy; radiation therapy; ultrasound therapy. Components having specialized structural features that limit their use to the apparatus, instruments, or devices for the types of therapy appropriate for this subclass."
"A61N1/00","Electrotherapy; Circuits therefor  (A61N2/00 takes precedence; irradiation apparatus A61N5/00)","A61N2/00|A61N5/00","Irradiation apparatusMeasuring blood pressure / blood flowMeasuring blood output from heartMeasuring electrical impedance of a portion of the human bodyMeasuring movement of the entire body or parts thereofDetecting specific parameters of the ECG cycleDetecting muscle signalsDetecting urogenital signalsDetecting gastrointestinal signalsDiagnosis using ultrasound in generalMeasuring blood pressure by ultrasoundMeasuring blood flow by ultrasoundGastric anti-eating devices using electrical stimulationDevices implantable in the eye e.g. ocular insertsDevices for eye surgeryMechanical stimulation of ear nervesHeart stimulation by mechanical meansStimulating specific reflex points using electric currentsPercussion or vibration massage with electrotherapyAcoustically, mechanically or optically inducing sleep or relaxation Electrically conditioning the air e.g. by ionisingApplying static electricity for purifying the airRecognising signal patterns per seICT specially adapted for therapies or health-improving plans (e.g. for handling prescriptions, for steering therapy or for monitoring patient compliance) relating to mechanical, radiation or invasive therapies (e.g. surgery, laser therapy, dialysis or acupuncture) Deaf aid sets","A61N5/00|A61B5/02|A61B5/029|A61B5/053|A61B5/11|A61B5/349|A61B5/389|A61B5/391|A61B5/392|A61B8/00|A61B8/04|A61B8/06|A61F5/0026|A61F9/0017|A61F9/007|A61F11/04|A61H31/004|A61H39/002|A61H2201/10|A61M21/02|B60H3/0071|F24F8/192|G06K9/00496|G16H20/40|H04R25/00","Additional information could be eitherspecific details about components, signals or algorithms which are not related to the invention as such; orless preferred embodiments which are shortly mentioned (e.g. inventive specification of cochlear implants which can be used for retinal implants as well).Documents with such information should be given an Indexing Code.","","","This place covers: Details about electric fields which directly provide a therapeutic effect or which render the delivery of therapeutic substances possible; details about (components of) apparatuses which generate these electric fields."
"A61N1/04","Electrodes {(electrosurgical electrodes A61B18/14)}","A61B18/14","Patient's garment with incorporated electrodes for medical monitoringElectrodes specially adapted for ECGElectrodes specially adapted for EEGElectrodes specially adapted for EMGElectrodes for electrosurgeryStents and instruments for their placementStimulating specific reflex points using electric currentsAnchoring by balloon expansionForm details about flexible conductors per seForm details about conductors for implantation in a human body","A41D13/1281|A61B5/25|A61B5/291|A61B5/296|A61B18/14|A61F2/82|A61H39/002|A61M25/10|H01B7/04|H01B7/048","Details about the stimulating device as such, about the therapeutic signal and/or about the stimulating algorithm should be classified in -.","A61N1/36|A61N1/3712","","This place covers: Details about the electrodes and their associated leads specially adapted for delivering electrical therapeutic stimulation."
"A61N1/08","Arrangements or circuits for monitoring, protecting, controlling or indicating {(for external stimulators A61N1/3603; for implantable neurostimulators A61N1/36128; for heart stimulators A61N1/37; for defibrillators A61N1/3925)}","A61N1/3603|A61N1/36128|A61N1/37|A61N1/3925","Neutralising atmospheric radiationMattresses for protecting against e.g. static electricity or radiationDynamisation and other esoteric therapies using medicinal preparations obtained by wave energyNMR gyrometersMeasuring electric variablesInstruments for measuring magnetic variables involving magnetic resonanceProvisions within MR facilities for enhancing safety during MRControl of generator output per se, Screening of apparatus or components against electric or magnetic fields","A61N1/16|A47C31/004|A61K41/0004|G01C19/60|G01R|G01R33/20|G01R33/288|H02P|H03L|H05K9/00","Protecting the functioning of the medical device constitutes the difference with , which relates to protecting the human body. E.g. pacemaker circuitry protecting the pacemaker from the field of a TV antenna should go to  whereas as special building arrangement for protecting a person from the same field to .","A61N1/16|A61N1/08|A61N1/16","","This place covers: Protecting the functioning of electrical therapeutic stimulation devices, especially against MRI. This group only relates to protection (especially against MRI) for electrical therapeutic stimulation devices and not for other types of medical devices such as drug pumps. The purpose of this protection is to protect the functioning of the medical device."
"A61N1/086","{Magnetic resonance imaging [MRI] compatible leads}","","","","","","","This place covers: Leads (both implantable and external) having features that mitigate the effects of unwanted electric currents induced by a Magnetic Resonance Imaging [MRI] device or field."
"A61N1/16","Screening or neutralising undesirable influences from {or using,} atmospheric or terrestrial radiation or fields {(using atmospheric electricity or earth currents H05F3/00)}","H05F3/00","Measuring magnetic field characteristics of the earthCarrying-off electrical charges using atmospheric electricity or earth currents","G01V3/00|H05F3/00","Protecting the human body constitutes the difference with , which relates to protecting the functioning of the medical device. E.g. pacemaker circuitry protecting the pacemaker from the field of a TV antenna should go to  whereas as special building arrangement for protecting a person from the same field to .  takes precedence over .","A61N1/08|A61N1/08|A61N1/16|A61N1/08|A61N1/16","","This place covers: Screening or neutralising atmospheric or terrestrial radiation or fields with the purpose of protecting the human body. The purpose of this protection is to protect the human body."
"A61N1/36","for stimulation","","Details about the electrodes or the leads, Applying constant continuous current - Electromedical beltsElectromedical brushes, combs, massage devicesInteference currentsIontophoresisPromoting growth of cellsElectroporationImproving skin appearance","A61N1/04|A61N1/06|A61N1/20|A61N1/306|A61N1/321|A61N1/322|A61N1/323|A61N1/325|A61N1/326|A61N1/327|A61N1/328","","","","This place covers: Details about the therapeutic signal and/or about the stimulation algorithm, constructional and/or circuitry details, telemetry details."
"A61N1/36002","{Cancer treatment, e.g. tumour}","","","","","","","This place covers: Covers devices (both implanted and external to the body) that treat cancer by electrical stimulation."
"A61N1/3603","{Control systems}","","","","","","","This place covers: Covers features of control systems used by electrical stimulation devices that are external to the body (e.g. switches/buttons used for controlling TENS devices, control displays for pain relief devices, controlling modes of operation for muscle stimulators, algorithms/flow charts for controlling external stimulation devices, etc.)."
"A61N1/36031","{using physiological parameters for adjustment}","","","","","","","This place covers: Device control systems under  , which adjust therapeutic electrical stimulation based upon at least one sensed physiological parameter."
