"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A61Q","SPECIFIC USE OF COSMETICS OR SIMILAR TOILET PREPARATIONS","","Medicinal preparation characterised by physical formDeodorisation of airTherapeutic activityEssential oils or perfumes per-seDyeing of wool","A61K9/00|A61L9/00|A61P17/00|C11B9/00|D06P3/14","The last place rule is not applicable in this subclass.This subclass is always combined with the subclass  and can be further classified in  and/or .Properties of cosmetic compositions or active ingredients thereof or formulation aids used therein and process related aspects and subgroupsThe Indexing Codes of this scheme are to be used mainly with classification  and  and is considered to be obligatory supplementary classification of subject matter already classified in  and  if applicable.Compositions or compounds characterised by specific propertiesThis subclass is considered as additional information (**), i.e. obligatory supplementary classification of subject matter already classified in  and  if applicable. This subclass concerns cosmetic uses which are indicated as eventual application(s) for the composition, see Example IIExample I: general cosmetic use.Some patent documents are concerned with general formulation problems like viscosity or specific preparations (i.e. suspensions or gels), i.e. no specific cosmetic use is thus foreseen. In those case classification is made in Example II: principal or additional use(s)A skin moisturising composition which is further used in a anti-ageing preparation or as lip cream, would be classified in  and as additional information in  or .If the active is a new sunscreen and an anti-ageing preparation which contains this new compound is exemplified, it should be classified in  and as additional information in .If the active is a compound to condition the hair and a shampoo or a colouring composition (non-permanent hair dyeing containing direct dyes) is exemplified, it should be classified in  and as additional information  and ","A61K8/00|A61K2800/00|A61Q|A61K2800/00|A61K8/00|A61Q|A61K8/00|A61Q|A61Q|A61K8/00|A61Q|A61Q19/00|A61Q19/00|A61Q19/08|A61Q19/001|A61Q17/04|A61Q19/08|A61Q5/12|A61Q5/02|A61Q5/065","(*) Core of the inventionCompounds in the composition or specific form (example: emulsion, foam) linked to the effect aimed. This means that not all compounds present in a composition are classified. To classify a document, the claims, the description and the examples have to be checked. Only specific components, i.e. those present in the exemplified compositions, are classified not a general concept or a general formula.(**) Principal use vs. additional useThe principal use is linked to the effect intended in the document and is classified in  .In the claims or examples further uses or types of compositions are often described which should be classified in  .For example: a mixture of compounds is directed to an anti-aging purpose ( ) which is further introduced in sunscreen composition (  ). ","This place covers: Cosmetic compositions having one or more ingredient(s) classified in  , i.e. ingredients considered to belong to the core of the invention (*). Only principal use(s) linked to the inventive effect (**). A patent document, i.e. claims, description and examples are pertinent to classify principal and eventually additional use(s) (**).) (**)."
"A61Q1/00","Make-up preparations; Body powders; Preparations for removing make-up","","","","","","","This place covers: Preparations which are intended to be topically applied to adorn, groom, absorb or to remove unwanted skin preparations."
"A61Q1/02","Preparations containing skin colorants, e.g. pigments  (preparations in powder form A61Q1/12)","A61Q1/12","Foundations (i.e.""fond de teint"")","A61Q1/12","","","","This place covers: Foundation (""fond de teint"") ."
"A61Q1/04","for lips","","Preparations for the lips, e.g. lip gloss ","A61Q19/001","","","","This place covers: Lips gloss."
"A61Q1/08","for cheeks, e.g. rouge","","","","","","","This place covers: Preparations for the cheeks, e.g. blush. "
"A61Q1/10","for eyes, e.g. eyeliner, mascara","","","","","","","This place covers: Preparations for eye lashes, eye brows or eye shadows."
"A61Q1/12","Face or body powders for grooming, adorning or absorbing","","","","","","","This place covers: Foundations powders; Compact powders."
"A61Q3/00","Manicure or pedicure preparations","","Artificial nails are classified in per se","A45D31/00","Compositions for the in situ formation of artificial nails should be classified in  together with the appropriate Indexing Code under .","A61K8/02|A61K2800/00","","This place covers: Preparations which are topically applied to artificial or natural nails of the hands or feet for adorning, treating, fortifying, removing nail cuticles, or removing unwanted nail preparations."
"A61Q3/02","Nail coatings","","","","","","","This place covers: Nail coatings, nail enamels, nail gloss."
"A61Q5/00","Preparations for care of the hair","","","","","","","This place covers: Preparations applied to the hair or scalp for for grooming, adorning, protecting, or otherwise treating."
"A61Q5/02","Preparations for cleaning the hair","","","","Conditioning shampoos should be classified in  and also in .","A61Q5/02|A61Q5/12","","This place covers: Preparations for cleansing the hair, e.g. shampoo."
