"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"A63G","MERRY-GO-ROUNDS; SWINGS; ROCKING-HORSES; CHUTES; SWITCHBACKS; SIMILAR DEVICES FOR PUBLIC AMUSEMENT","","","","","","","This place covers: Roundabouts, up-and-down hill tracks, swings, see-saws, rocking-horses, toy animals for riding, chutes, rotating or rocking pots, bumper cars, Russian swings, Ferris wheels, rolling drums and amusement arrangements in general, e.g. playground appliances."
"A63G1/12","rotated by the passengers themselves","","","","","","","This place covers:    "
"A63G1/14","rotated by pushing the feet against a fixed surface or by running","","","","","","","This place covers:    "
"A63G1/16","rotated by means of grip-rings","","","","","","","This place covers:    "
"A63G1/18","rotated by oars","","","","","","","This place covers:    "
"A63G1/20","rotated by swinging or rocking","","","","","","","This place covers:    "
"A63G1/24","with seats performing movements in a horizontal plane, other than circular movements","","","","","","","This place covers:      "
"A63G1/38","with rocking turntables","","","","","","","This place covers:      "
"A63G1/40","and oblique masts","","","","","","","This place covers:    "
"A63G1/44","with turntables moved up and down","","","","","","","This place covers:      "
"A63G1/46","moved by a screw spindle","","","","","","","This place covers:    "
"A63G1/48","with turntables and movably-mounted vehicles thereon which move to the outside when the roundabout is rotated","","","","","","","This place covers:    "
"A63G3/00","Water roundabouts, e.g. freely floating","","Training appliances or apparatus for surfing, i.e. without a sail; for skate or snow boarding  Design or layout of playing courts, rinks, bowling greens or areas for water-skiing; Covers therefor  ","A63B69/0093|A63C19/00","","","",""
"A63G4/00","Accessories for roundabouts not restricted to one of groups A63G1/00 or A63G3/00","A63G1/00|A63G3/00","","","","","","This place covers:    "
"A63G5/00","Games on roundabouts","","","","","","","This place covers:    "
"A63G7/00","Up-and-down hill tracks; Switchbacks","","Tracks for special kinds of railways  ","E01B25/00","","","",""
"A63G9/00","Swings","","Rocking chairs pivotally mounted in a frame; Swings  Nursery furniture: Rocking chairs; Indoor swings; Baby bouncers  ","A47C3/0255|A47D13/10","","","",""
"A63G9/02","with two suspensory axles","","","","","","","This place covers:    "
"A63G9/04","with moving supporting-points","","","","","","","This place covers:    "
"A63G9/06","Climbing swings","","","","","","","This place covers:    "
"A63G9/08","Looping-the-loop swings","","","","","","","This place covers:    "
"A63G9/12","Special fastenings of the suspensory point","","","","","","","This place covers:    "
"A63G9/14","elastically suspended","","","","","","","This place covers:    "
"A63G9/16","Driving mechanisms, such as ropes, gear, belt, motor drive","","","","","","","This place covers:    "
"A63G9/20","Oar swings","","","","","","","This place covers:    "
"A63G9/22","Brakes","","","","","","","This place covers:    "
"A63G11/00","See-saws","","","","","","","This place covers:    "
"A63G13/00","Cradle swings; Rocking-horses; Like devices resting on the ground","","","","","","",""
"A63G13/02","Cradle swings","","","","","","","This place covers:    "
"A63G13/04","Spring-supported cradle swings","","","","","","","This place covers:    "
"A63G13/08","mounted on links or springs","","","","","","","This place covers: Mounted on links contemplates, for instance, elastic links and other types of mechanical links that allow rocking motions.    "
"A63G13/10","with dismountable runners usable for other purposes","","Vehicles having alternatively-usable runners and wheels  ","B62B13/18","","","","This place covers: Rocking-horses with any type of dismountable runners directed to add further functionalities and usability to the rocking-horses      "
"A63G15/00","Rocking horses on runners adapted for progressive movement","","","","","","","This place covers:      "
"A63G15/02","with divided runners","","","","","","","This place covers:    "
"A63G17/00","Hobby-horses","","","","","","","This place covers:      "
"A63G19/00","Toy animals for riding","","Children vehicles hand carried by adult  Children's cycles  ","B62B3/00|B62K9/00","","","",""
"A63G19/04","with eccentric wheels","","","","","","","This place covers:    "
"A63G19/06","Swingably-mounted toy animals for riding made to travel by means of parallelogram-joints","","","","","","","This place covers:    "
"A63G19/08","made to travel by ratchet-wheels, e.g. by stretching the legs","","","","","","","This place covers:    "
"A63G19/10","by pressing the seats or saddles up-and-down","","","","","","","This place covers:    "
"A63G19/12","by performing oscillations","","","","","","","This place covers:    "
"A63G19/14","by moving the stirrups or pedals","","","","","","","This place covers:    "
"A63G19/16","made to travel by punting","","Rider propulsion of wheeled vehicles  ","B62M1/00","","","",""
"A63G19/18","made to travel by pacing","","","","","","","This place covers: Toy animals for riding propelled by foot power    "
"A63G19/20","motor-driven","","","","","","","This place covers:    "
"A63G21/00","Chutes; Helter-skelters","","","","","","Helter-skeltersA funfair amusement park ride with a slide built in a spiral around a high tower. Users climb up inside the tower and slide down the outside, usually on a mat or sack.",""
"A63G21/02","without rails","","","","","","","This place covers:    "
"A63G21/04","with fixed rails","","","","","","","This place covers:    "
"A63G21/06","with passing arrangements for cars","","","","","","","This place covers:    "
"A63G21/08","with additional rotation of cars","","","","","","","This place covers:    "
"A63G21/10","with spiral tracks","","","","","","","This place covers:    "
"A63G21/12","with special cars, e.g. horse-shaped","","","","","","","This place covers:    "
"A63G21/14","with driven slideways","","","","","","","This place covers: Chutes with driven slideways, i.e. slideways or part of the slideways that are suitable to be moved from one position to another one.        "
"A63G21/16","with forced removal of the passenger from the seat","","","","","","","This place covers:    "
"A63G21/18","Water-chutes","","Training appliances or apparatus for surfing, i.e. without a sail; for skate or snow boarding  Design or layout of playing courts, rinks, bowling greens or areas for water-skiing; Covers therefor  ","A63B69/0093|A63C19/00","","","",""
"A63G21/20","Slideways with movably suspended cars, or with cars moving on ropes, or the like","","Elevated railway systems with suspended vehicles  ","B61B3/00","","","","This place covers:    "
"A63G21/22","Suspended slideways","","","","","","","This place covers:    "
"A63G23/00","Rotating or rocking pots{, e.g. by moving the whole body  (rotating or rocking exercising for training agility or coordination of movements A63B22/14, A63B22/16, A63B22/18)}","A63B22/14|A63B22/16|A63B22/18","Rotating or rocking exercising for training agility or coordination of movements , ,  ","A63B22/14|A63B22/16|A63B22/18","","","","This place covers:    "
"A63G25/00","Autocar-like self-drivers; Runways therefor","","","","","","","This place covers:      "
"A63G27/00","Russian swings; Great wheels, e.g. Ferris wheels","","","","","","","This place covers:      "
"A63G27/02","with special movements of the seat-carriers","","","","","","","This place covers:      "
"A63G27/04","with tiltable axis","","","","","","","This place covers:        "
"A63G27/08","mounted on roundabouts","","","","","","","This place covers:      "
"A63G29/00","Rolling drums turning somersaults with or without rolling seats {(hoop exercising apparatus driven by the user A63B19/00)}","A63B19/00","Hoop exercising apparatus  ","A63B19/00","","","","This place covers:    "
"A63G29/02","with seats staying at the bottom of the drum","","Disposition of motor in, or adjacent to, traction wheel  Unicycles  ","B60K7/00|B62K1/00","","","","This place covers: Illustrative example of subject matter classified in this group:    "
"A63G31/00","Amusement arrangements {(hoop exercising apparatus driven by the user A63B19/00)}","A63B19/00","","","","","",""
"A63G31/007","{involving water}","","Training appliances or apparatus for surfing, i.e. without a sail; for skate or snow boarding  Design or layout of playing courts, rinks, bowling greens or areas for water-skiing; Covers therefor  ","A63B69/0093|A63C19/00","","","",""
"A63G31/04","with jolting substructures","","","","","","","This place covers: Jolting substructures, e.g. providing for rough motion, sudden abrupt movement.    "
"A63G31/06","with undulatory motion of the substructure","","","","","","","This place covers:    "
"A63G31/08","with looping, hopping, or throwing motions of the substructure","","","","","","","This place covers:      "
"A63G31/12","with inflatable and movable substructures  (connection of valves to inflatable elastic bodies B60C29/00)","B60C29/00","Arrangements of tyre-inflating valves to tyres or rims  ","B60C29/00","","","","This place covers:    "
"A63G31/14","with planes mounted on springs; with movable planes","","","","","","","This place covers:    "
"A63G31/16","creating illusions of travel","","Arrangements for interaction with the human for user immersion in virtual reality  ","G06F3/011","","","",""
"A63G33/00","Devices allowing competitions between several persons, not otherwise provided for","","","","","","","This place covers:      "
