"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B05D","PROCESSES FOR APPLYING FLUENT MATERIALS TO SURFACES, IN GENERAL  (conveying articles or workpieces through baths of liquid B65G, e.g. B65G49/02)","B65G|B65G49/02","","","Coating processes for specific application should be classified in the application field first, they should only be classified in  if they have a more general interest.","B05D","CoatingThe applied material. A coating may be a solidified layer originally applied as a liquid (e.g. dried paint) or a layer of material which, once applied, remains in a liquid or semi-liquid state (e.g. lubricant).FlockingThe deposition of fibre particles ('flock') upon a surface where the particles land non-parallel to the surface. The process may be facilitated by the application of electrostatic charge to the flock to cause its attraction to an adhesive-coated surface ('electrostatic flocking'). This results in the fibres standing perpendicular to the surface.Fluidised-bed techniqueA technique used to cause dry particulate material to behave like a fluid. This is commonly achieved by the introduction of a pressurised fluid into the material and promotes a high degree of contact between the fluid and material.Liquid or fluentdesignates materials which can flow, e.g. liquids, including solutions, dispersions and suspensions, as well as semi-liquids, pastes, melts and particulate materials.Particulate materialsSolid materials in the form of very small pieces, e.g. powders, granules, short fibres or chips.Langmuir-Blodgett films (LB)Contains one or more monolayers of an organic material, deposited from the surface of a liquid onto a solid by immersing (emersing) the solid substrate into (or from) the liquid, the layer being compressed before depositionSAMSelf assembled monolayers that are formed spontaneously by adsorption of amphifunctional molecules at solid-liquid and solid-gas interfaces, forming organised molecular assemblies","This place covers: Processes for coating substrates in general only. Coating processes for specific application should be classified in the application field first, they should only be classified in   if they have a more general interest."
"B05D1/002","{the substrate being rotated}","","","","","","","This place covers: Processes where the substrate is rotated during coating or during drying/curing of the coating."
"B05D1/005","{Spin coating}","","","","","","",""
"B05D1/007","{using an electrostatic field  (B05D1/02 - B05D1/16 take precedence)}","B05D1/02|B05D1/16","","","","","",""
"B05D1/02","performed by spraying","","","","","","",""
"B05D1/025","{using gas close to its critical state}","","","","","","","This place covers: Spraying with supercritical solvents or solvent close to their supercritical state."
"B05D1/045","{on non-conductive substrates}","","","","The treatment for enhancing the substrate conductivity per se is classified in .The type of substrate can be classified with symbols chosen from  -.","B05D3/005|B05D2203/00|B05D2210/00","","This place covers: Electrostatic spraying of substrates which are normally non-conductive e.g. wood, plastic, whether they got a treatment for enhancing their conductivity or not. The treatment for enhancing the substrate conductivity per se is classified in  . The type of substrate can be classified with additional information symbols."
"B05D1/06","Applying particulate materials","","","","If the substrate is non-conductive, then classify also in .","B05D1/045","","This place covers: Processes for applying fluent materials by spraying only particulate materials, e.g. powder involving the use of an electrostatic field"
"B05D1/08","Flame spraying","","","","","","","This place covers: Spraying with flames or plasma of polymers only."
"B05D1/10","Applying particulate materials","","","","","","","This place covers: Flame/plasma spraying of polymeric powders."
"B05D1/14","Flocking","","Non-woven pile fabrics","D04H11/00","","","",""
"B05D1/16","Flocking otherwise than by spraying","","","","","","",""
"B05D1/18","performed by dipping","","Impregnating woodImmersion processes for applying the coating material in the molten state, e.g molten metal immersionTreatment of fibers or yarn, not provided for elsewhere in class ","B27K3/00|C23C2/00|D06|D06M","","","",""
