"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B09C","RECLAMATION OF CONTAMINATED SOIL  (gatherers for removing stone or the like from the soil A01B43/00; sterilising soil by steam A01G11/00; removing undesirable matter, e.g. rubbish, from the land E01H15/00)","A01B43/00|A01G11/00|E01H15/00","processes for making harmful chemical substances harmless or less harmful by effecting chemical change in the substanceTreatment of water, waste water, sewage or sludge, e.g. separation of contaminants from watercleaning beaches","A62D3/00|C02F|E01H12/00","","","Reclamation the partial or total elimination or the fixing of contaminants in soil.","This place covers: Different devices and methods of reclaiming contaminated soil."
"B09C1/00","Reclamation of contaminated soil","","","","","","","This place covers: Removing contaminants from contaminated soil. Reclamation of contaminated soil comprising systems and methods generally applicable to any type of reclamation of contaminated soil. Example: FR-A1-2872719"
"B09C1/002","{involving in-situ ground water treatment}","","","","","","","This place covers: Any type of in-situ ground water treatment. Example: CH-A5-696639"
"B09C1/005","{Extraction of vapours or gases using vacuum or venting}","","Degasification of liquidsDegasification of water, waste water, or sewage","B01D19/00|C02F1/20","","","","This place covers: Removing contaminants from contaminated soil by means of soil venting. Example: US-A1-2009/080979"
"B09C1/02","Extraction using liquids, e.g. washing, leaching {, flotation}","","Extracting solids from liquidsGravity separation of suspended solid particles from liquids Flotation of contaminants from water, waste water, or sewageExtraction of contaminants from water, waste water, or sewage","B01D11/02|B01D21/00|C02F1/24|C02F1/26","","","","This place covers: Removing contaminants from contaminated soil by means of contacting the contaminated soil with a liquid. Example: DE-A1-4228966"
"B09C1/06","thermally","","Incinerators for contaminated soil","F23G7/14","","","","This place covers: Removing contaminants from contaminated soil by means of a thermal treatment, such as desorbing, volatilizing. Example: WO-A1-2007046688"
"B09C1/067","{by vitrification}","","","","","","","This place covers: Rendering contaminated soil harmless by means of vitrification. Example: WO-A1-94/04761"
"B09C1/08","chemically","","Removal of contaminants by addition of specific substancesRemoval of contaminants from water, waste water, or sewage by reductionRemoval of contaminants from water, waste water, or sewage by oxidation","C02F1/68|C02F1/70|C02F1/72","","","","This place covers: Rendering contaminated soil harmless by means of chemical treatment. Removing contaminants from contaminated soil by means of chemical treatment. Binding of soil contaminants."
"B09C1/085","{electrochemically, e.g. by electrokinetics}","","Electrochemical treatment of water, waste water, or sewage","C02F1/46","","","","This place covers: Electrochemical treatment of contaminated soil. Example: US-A-5458747"
"B09C1/10","microbiologically, {biologically} or by using enzymes","","Biological treatment of water, waste water, or sewage","C02F3/00","","","","This place covers: Rendering contaminated soil harmless by means of biological treatment. Removing contaminants from contaminated soil by means of biological treatment. Example: US-B1-6796741"
"B09C1/105","{using fungi or plants}","","Treatment of water, waste water, or sewage using plants","C02F3/32","","","","This place covers: Removing contaminants from contaminated soil by means of fungi or plants. Example: US-A1-2004/101945"
