"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B21K","MAKING FORGED OR PRESSED METAL PRODUCTS, e.g. HORSE-SHOES, RIVETS, BOLTS OR WHEELS  (making particular articles by working sheet metal without essentially removing material B21D; processing wire B21F; making pins, needles or nails B21G; making particular articles by rolling B21H; forging machines, pressing machines, hammering machines, in general B21J; making chains B21L; plating B23K)","B21D|B21F|B21G|B21H|B21J|B21L|B23K","General metal forging or pressing methods not dedicated to the manufacture of a specific product; Metal forging or pressing devices and furnacesProducts per se obtainable by forging, e.g. pistons, rocking arms, etc. , ","B21J|F02F3/00|F01L1/18","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of specific products; Devices for handling, heating or cooling, controlling forging hammers or presses."
"B21K1/00","Making machine elements","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of machine elements."
"B21K1/02","balls, rolls, or rollers, e.g. for bearings","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of balls, rolls or rollers, e.g. for bearings. Illustrative examples of subject matter classified in this group:"
"B21K1/025","{of bullets}","","","","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of bullets. Illustrative examples of subject matter classified in this group:"
"B21K1/04","ball-races {or sliding bearing races}","","Parts of bearings","F16C33/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of ball races. Illustrative examples of subject matter classified in this group:"
"B21K1/05","cages for bearings","","Parts of bearings","F16C33/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of cages for bearings. Illustrative examples of subject matter classified in this group:"
"B21K1/06","axles or shafts","","Axle unitsShafts","B60B35/00|F16C3/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of axles or shafts."
"B21K1/08","crankshafts","","CamshaftsCrankshafts","F01L1/047|F16C3/06","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of crankshafts. Illustrative examples of subject matter classified in this group:"
"B21K1/10","of cylindrical form","","Axle units","B60B35/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of axles or shafts of cylindrical form. Illustrative examples of subject matter classified in this group:"
"B21K1/12","of specially-shaped cross-section","","Axle unitsShafts","B60B35/00|F16C3/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of axles or shafts of special cross-section. Illustrative examples of subject matter classified in this group:"
"B21K1/14","fittings","","Branching pipes","F16L41/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of fittings, e.g. lubricant fittings. Illustrative examples of subject matter classified in this group:"
"B21K1/16","parts of pipe or hose couplings","","Joints, sealing for fuel injectionJoints or fitting for pipes - ","F02M55/004|F16L13/00|F16L39/00","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of parts of pipe or hose couplings. Illustrative examples of subject matter classified in this group:"
"B21K1/18","pistons or plungers","","Making pistons by operations not covered by any other single subclassPistons in combustion enginesPistons in general","B23P15/10|F02F3/00|F16J","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of pistons or plungers. Illustrative examples of subject matter classified in this group:"
"B21K1/20","valve parts","","Making branched piecesRotary valves","B21C37/29|B62D5/083","","","","This place covers: Metal forging or pressing methods dedicated to the manufacture of valve parts. Illustrative examples of subject matter classified in this group:"
