"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B23P","METAL-WORKING NOT OTHERWISE PROVIDED FOR; COMBINED OPERATIONS; UNIVERSAL MACHINE TOOLS  (arrangements for copying or controlling B23Q)","B23Q","","","""combined operations"" excludes the assembling of parts if it is an essential feature of the next metal-working operation, since it is not regarded as an operation PER SE.""working of metal"" and equivalent expressions include non-mechanical treatment of metal so far as it is not provided for in any other class or subclass, for example in , , , . Thus, combinations of such non- mechanical treatment with other metal-working are classified in this subclass.","C21D|C22C|C22F|C23","","This place covers: Repairing ( ), improving the properties ( ), connecting ( ,  ), manufacturing ( ,  ), metal-working operations ( ) but also to the assembling ( ,  ) of metallic parts. It also relates to universal machine tools ( ) and to auxiliary treating of workpieces during machining ( ). It is evident that the scope of the subclass   is so broad that a proper detailed description of the subject matter appropriate for this place is possible only at the group level, e.g.   and even at subgroup level when required, e.g.  . Provisions that are valid at a general level (e.g. of a kind appropriate to more than one of the main groups) are provided in the sections that follow."
"B23P5/00","Setting gems or the like on metal parts, e.g. diamonds on tools","","Gems setting-toolsProfiling tools for metal drawing - comprising diamond partsCutting tools of which the bits or tips with diamond bitsManufacture of grinding toolsDrill bits characterised by wear resisting parts, e.g. diamond inserts","A44C17/043|B21C3/025|B23B27/20|B24D18/00|E21B10/46","","","","This place covers: Methods and devices for setting gems or the like in metal parts"
"B23P6/00","Restoring or reconditioning objects  (straightening or restoring form of sheet metal, metal rods, metal tubes, metal profiles, or specific articles made therefrom B21D1/00, B21D3/00; repairing defective or damaged objects by casting techniques B22D19/10; procedures or apparatus covered by a single other subclass, see the relevant subclass)","B21D1/00|B21D3/00|B22D19/10","Repairing aircraft, not otherwise provided for","B64F5/40","For reasons of completeness of the search and classification, when the document refers to the repairing method of a specific object, the group where the product is classified should be consulted and the document should circulate for eventual classification within the product(s) groups.The entries of the scheme  should be allocated together with the group  for the corresponding objects, e.g. parts of combustion chambers, cooling passages of turbine components, etc being repaired.The same applies for search purposes, in case an entry for the corresponding object exists on said scheme.","B23P2700/00|B23P6/00","","This place covers: Restoring or reconditioning of damaged metallic objects or machine components by operations covered mainly by the class  ."
"B23P6/002","{Repairing turbine components, e.g. moving or stationary blades, rotors,  (B23P6/045 takes precedence)}","B23P6/045","Articles made by soldering, welding or cutting by applying heat locally: turbinesRepairing methods or devices for blades or blade-carrying membersRepairing, retrofitting or upgrading methods","B23K2101/001|F01D5/005|F05B2230/80","","","","This place covers: Repairing of damaged metallic (not composite) turbine components, e.g. moving or stationary blades, casings, discs, flanges, shrouds, etc. The repair operation must be carried out on the part body and not only on the coating."
"B23P6/04","Repairing fractures or cracked metal parts or products, e.g. castings","","","","","","","This place covers: Repair methods or devices of cracks on metal parts or fractured metal parts, e.g. filling of cracks, avoiding the propagation of existing cracks."
"B23P6/045","{of turbine components, e.g. moving or stationary blades, rotors, etc.}","","Articles made by soldering, welding or cutting by applying heat locally: turbinesRepairing methods or devices for blades or blade-carrying membersRepairing, retrofitting or upgrading methods","B23K2101/001|F01D5/005|F05B2230/80","","","","This place covers: Repairing of fractured or cracked metallic (not composite) turbine components, e.g. moving or stationary blades, casings, discs, flanges, shrouds, etc. The repair operation must be carried out on the part body and not only on the coating."
"B23P9/00","Treating or finishing surfaces mechanically, with or without calibrating, primarily to resist wear or impact, e.g. smoothing or roughening turbine blades or bearings  (treatment covered by a single other subclass, see the relevant subclass, e.g. B24C, C21D7/00, C22F1/00); Features of such surfaces not otherwise provided for, their treatment being unspecified","B24C|C21D7/00|C22F1/00","Devices for performing ""autofrettage""Modifying the physical properties of iron or steel by deformation, by expanding tubular bodies (""autofrettage"")","B21D26/033|C21D7/12","","","","This place covers: Mechanical treatment of surfaces independently of their shape (flat, cylindrical, holes, openings, etc) in order to improve their mechanical properties, e.g. fatigue resistance, wear or impact resistance. It also covers cases where more than one method covered by   and   is exemplified."
"B23P9/02","Treating or finishing by applying pressure, e.g. knurling  (B23P9/04 takes precedence)","B23P9/04","Finishing gear teeth with cylindrical outline, e.g. burnishingFinishing bevel gear teeth, e.g. burnishingMaking grooved pins; Rolling grooves, e.g. oil grooves, in articlesBurnishing machines or devices, i.e. requiring pressure members for compacting the surface zoneModifying the physical properties of iron or steel by burnishing or the like","B21H5/022|B21H5/045|B21H7/18|B24B39/00|C21D7/08","Documents in this subgroup should also circulate for classification in .If device details are mentioned and the device itself is covered by other groups the document should also circulate for classification in those groups, e.g. burnishing machines ( and lower). These remarks apply for search purposes as well.","C21D7/00|B24B39/00","","This place covers: The mechanical treatment or finishing of surfaces by applying pressure, e.g. roller burnishing, ""Festwalzen"" (deep-rolling), knurling and the like."
"B23P9/025","{to inner walls of holes by using axially moving tools}","","","","","","","This place covers: Processes and devices for imparting beneficial stresses to inner walls of holes by using axial moving tools (mandrels)."
"B23P9/04","Treating or finishing by hammering or applying repeated pressure","","Methods for compacting surfaces, e.g. shot-peeningPercussive tool bitsModifying the physical properties of iron or steel by shot-peening or the like","B24C1/10|B25D17/02|C21D7/06","Documents in this subgroup should also circulate for classification in .If device details are mentioned and the device itself is covered by other group the document should also circulate for classification in those groups, e.g. impact tools. These remarks apply for search purposes as well.","C21D7/00","","This place covers: The mechanical treatment of surfaces by means of repeated pressure, e.g. impact burnishing, hammering and the like."
"B23P11/00","Connecting metal parts or objects by metal-working techniques, not covered wholly by either B21J or B23K  (connecting sheet metal or metal tubes, rods, or profiles B21D39/00; {objects produced by methods not important per se, see the relevant subclasses dealing with the objects, e.g. B21F15/00; B21L19/00}; hand tools for connecting wire or strip B25B25/00; connecting metal parts by adhesives F16B11/00)","B21J|B23K|B21D39/00|B21F15/00|B21L19/00|B25B25/00|F16B11/00","","","The entries of the scheme  should be allocated together with the group , or one of its subgroups when appropriate, for the corresponding objects, e.g. camshafts, catalysts, etc. being connected.The same applies for search purposes, in case an entry for the corresponding object exists on said scheme.","B23P2700/00|B23P11/00","","This place covers: Methods and devices for connecting metal parts or objects by metal-working techniques, generally involving deformation, and not covered alone by groups in the subclasses of forging ( ) and welding ( ). The connections achieved by the methods covered by this group can be achieved by frictional forces ""kraftshlüssig"" (non-positive or friction fit) and/or by the shape of the parts in the connection area ""formschlüssig"" (positive or interlock fit)."
"B23P11/027","{for mounting tools in tool holders}","","Tool holders (chucks)Arrangements for indicating or measuring existing or desired position of tool or workShrinkage connectionsHeating by electric, magnetic, or electromagnetic fields - tools, ","B23B31/02|B23Q17/22|F16B4/006|H05B6/14|H05B6/38","","","","This place covers: Assembling and disassembling of tools (drills, mills, etc.) in tool holders by thermal shrinking."
"B23P15/00","Making specific metal objects by operations not covered by a single other subclass or a group in this subclass","","","","The entries of the scheme  should be allocated together with the group  for the corresponding objects, e.g. connecting rods, joints, etc. being manufactured. The same applies for search purposes, in case an entry for the corresponding object exists on said scheme.","B23P2700/00|B23P15/00","","This place covers: In addition to the title above, this group covers not only manufacturing methods of metal objects covered by its subgroups but also manufacturing methods of other objects that include combined operations in the sense used on this subclass."
"B23P15/105","{Enlarging pistons}","","","","","","","This place covers: Documents relating to to enlarging (terms as expanding, resizing and reshaping are also used) pistons to compensate for wear, incorrect machining, or for any other reason."
"B23P15/14","gear parts, e.g. gear wheels","","","","","","","This place covers: The making of gear parts, e.g. gear wheels by operations not covered by a single other subclass or a group in this subclass."
"B23P17/00","Metal-working operations, not covered by a single other subclass or another group in this subclass","","","","","","","This place covers: The main group   is not widely used due to the fact that documents relating to metal-working operations and not specifying the kind of product produced by this operation are rather rare. Since in the great majority of the documentation the type of the product is mentioned and the metal working operation has its application on the particular product the main group   and its subgroups have been used instead. Also since in many cases the metal working operation involves machining the main group   and its subgroups are more appropriate. The same applies for the subgroup   and  ."
"B23P17/06","Making steel wool or the like","","Wire-working in the manufacture of other particular articlesReinforcing elements, e.g. for concrete; Auxiliary elements therefor, Discrete reinforcing elements, e.g. fibres ","B25F45/00|E04C5/012","","","",""
"B23P19/00","Machines for simply fitting together or separating metal parts or objects, or metal and non-metal parts, whether or not involving some deformation {(connecting metal parts or objects by metal-working procedures B21J, B23K)}; Tools or devices therefor so far as not provided for in other classes  (hand tools in general B25)","B21J|B23K|B25","Connecting metal parts or objects by metal-working proceduresHAND TOOLS; PORTABLE POWER-DRIVEN TOOLS; MANIPULATORSHand tools, specially adapted for fitting together or separating parts or objects whether or not involving some deformation, not otherwise provided forJoining of preformed plastic parts","B23P11/00|B25|B25B27/00|B29C65/00","Reference  is non-limiting in the Main Group . CPC will be corrected once this inconsistency is resolved in IPC.","B25|B23P19/00","","This place covers: Machines for simply fitting together or separating metal parts, or metal and non-metal parts, whether or not involving some deformation; Tools or devices therefor so far as not provided for in other classes."
"B23P19/001","{Article feeders for assembling machines  (screws or nuts being carried by a disposable strip or disc B25B23/045)}","B25B23/045","","","","","",""
"B23P19/02","for connecting objects by press fit or for detaching same  (B23P19/10 takes precedence)","B23P19/10","Connecting metal parts or objects by metal-working techniqueHand tools for connecting objects by press fit or detaching samePress fits, force fits, interference fits, i.e. fits without heat or chemical treatment","B23P11/00|B25B27/02|F16B4/004","","","",""
"B23P19/033","using vibration","","","","","","","This place covers: Apparatuses that use physical means for causing parts to vibrate in a manner to as to connect the parts in a press fitting manner, or to detach parts from one another that were press fitted. Other physical means used for the same purposed, i.e. for causing parts to vibrate, can also be covered within this subgroup, e.g. electromagnetic forces and water, etc."
"B23P19/04","for assembling or disassembling parts","","","","","","","This place covers: Apparatuses used for assembling or disassembling operations when the operation is performed by a device (not by an operator)."
"B23P19/047","{for flexible profiles, e.g. sealing or decorating strips in grooves or on other profiles by devices moving along the flexible profile  (hand tools therefor B25B27/0092)}","B25B27/0092","Assembly of weather strips or seals with vehicle partsImplements for finishing work on buildings","B60J10/45|E04F21/00","","","",""
"B23P19/06","Screw or nut setting or loosening machines","","","","","","","This place covers: Machines for screwing or unscrewing screws or nuts."
"B23P19/061","{for pipes or pipe-couplings}","","Connecting or disconnecting pipe couplings or jointsScrew-threaded joints","E21B19/16|F16L15/00","","","",""
"B23P19/062","{Pierce nut setting machines}","","Nuts or like thread-engaging members by means of riveting","F16B37/062","","","","This place covers: Machines for assembling fastening elements to metal sheets. Although the title only mentions pierce nuts, other elements, e.g. studs, bolts are included. The method of connection can be by deforming a fastening element portion, a metal sheet portion or both, wherein a pre-pierced hole may or may not exist in the metal sheet, i.e. the fastening element may or may not pierce itself the metal sheet."
"B23P19/067","{Bolt tensioners  (for hand tools B25B29/02)}","B25B29/02","Flange connections; Bolting arrangementsPrestressed connections tensioned by means of liquid, grease, rubber, explosive charge, or the like","F01D25/243|F16B31/043","","","","This place covers: Devices for axially tensioning (elongating) a bolt. A nut is tightened while the bolt is in the elongated tensioned state; consequently a pre-stressed bolted connection is achieved."
"B23P19/084","{for placing resilient or flexible rings, e.g. O-rings, circlips}","","Inserting or withdrawing split pins or circlips","B25B27/20","","","",""
"B23P19/086","{Non-metallic protective bellows}","","Mounting or demounting piston rings","B25B27/12","","","",""
"B23P19/102","{using remote centre compliance devices}","","Compliance devices","B25J17/0208","","","",""
"B23P21/00","Machines for assembling a multiplicity of different parts to compose units, with or without preceding or subsequent working of such parts, e.g. with programme control","","","","","","","This place covers: Machines for assembling, assembly cells, assembly lines or combinations thereof, when it is not covered alone by other groups of other subclasses, e.g.  ,  . Conveyance means is usually present."
"B23P23/00","Machines or arrangements of machines for performing specified combinations of different metal-working operations not covered by a single other subclass  (if the particular kinds of operation are not essential B23Q37/00 - B23Q41/00; {working by laser beam combined with other working of metal B23K26/0093})","B23Q37/00|B23Q41/00|B23K26/0093","","","","","","This place covers: Machines or arrangements of machines for performing specified combinations of different metal-working operations not covered by a single other subclass."
"B23P23/02","Machine tools for performing different machining operations  (lathes, e.g. capstan lathes, B23B; combined horizontal boring and milling machines B23B39/02)","B23B|B23B39/02","","","","","","This place covers: Machine tools for performing different machining operations. This subgroup is directed to machines or apparatuses and their capabilities to perform different machining operations. Machining in is the broadest sense is used to describe removal of material from a workpiece. Hence, welding is not machining. However, EDM is."
"B23P23/04","for both machining and other metal-working operations","","","","","","","This place covers: This subgroup is directed to machines or apparatuses and their capabilities to perform both machining operations and other metal-working operations such as: welding, hardening, burnishing, bending, etc."
"B23P23/06","Metal-working plant comprising a number of associated machines or apparatus","","","","","","","This place covers: Metal-working plant comprising a number of associate machines or apparatus. Metal-working plant comprising a number of associate machines or apparatus."
"B23P25/00","Auxiliary treatment of workpieces, before or during machining operations, to facilitate the action of the tool or the attainment of a desired final condition of the work, e.g. relief of internal stress","","","","","","","This place covers: Auxiliary treatment of workpieces, before or during machining operations, to facilitate the action of the tool or the attainment of a desired final condition of the work, e.g. relief of internal stress."
