"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B25J","MANIPULATORS; CHAMBERS PROVIDED WITH MANIPULATION DEVICES  ({manipulators specially adapted for use in surgery A61B34/70; manipulators used in cleaning hollow articles B08B9/04} ; manipulators associated with rolling mills B21B39/20; manipulators associated with forging machines B21J13/10; {manipulators associated with picking-up and placing mechanisms B23P19/007} ; means for holding wheels or parts thereof B60B30/00; {vehicles with ground-engaging propulsion means, e.g. walking members B62D57/02, B62D57/032; devices for picking-up and depositing articles or materials between conveyors B65G47/90, B65G47/91; manipulators with gripping or holding means for transferring packages B65H67/065}; cranes B66C; {manipulators used in the protection or supervision of pipe-line installations F17D5/00; walking equipment adapted for nuclear steam-generators F22B37/006}; manipulators specially adapted for, or associated with, nuclear reactors G21C; {apparatus used for handling wafers during manufacture or treatment of semiconductor H01L21/68})","A61B34/70|B08B9/04|B21B39/20|B21J13/10|B23P19/007|B60B30/00|B62D57/02|B62D57/032|B65G47/90|B65G47/91|B65H67/065|B66C|F17D5/00|F22B37/006|G21C|H01L21/68","","","","","","This place covers: Handling tools, devices, or machines having a gripping or work head capable of bodily movement in space and of change of orientation, such bodily movement and change of orientation being controlled, at will, by means remote from the head. The group   moreover covers chambers provided with manipulation devices. Most of the manipulators classified in   are industrial robots. The International Organization for Standardization gives the following definition of an industrial robot in ISO 8373: an automatically controlled, reprogrammable, multipurpose manipulator programmable in three or more axes, which may be either fixed in place or mobile for use in industrial automation applications. This definition is used by the International Federation of Robotics, the European Robotics Research Network (EURON) and many national standards committees. Here is a list of other types of manipulators or robots classified in  , i.e. manipulators which are usually not industrial robots: Manipulators positioned in space by hand Manipulators not otherwise provided for Master-slave manipulators Manipulators mounted on wheels or on carriages ,  Micromanipulators Service robots Exoskeletons Manipulators moved by gravity Manipulators comprising mechanical ""programming"" means, e.g. cams Cellular, reconfigurable manipulators, e.g. cebot"
"B25J1/00","Manipulators positioned in space by hand  (of master-slave type B25J3/00; micromanipulators B25J7/00)","B25J3/00|B25J7/00","Manual manipulators3C007/BS29Structures and purposes of manual manipulators3C007/XF00","","","","","This place covers: Manipulators which are not computer controlled but controlled directly by the hand of a user."
"B25J1/02","articulated or flexible","","Manual manipulators having a joint3C007/XF01Flexible manual manipulators3C007/XF02","","","","","This place covers: Illustrative example of subject matter classified in  US 5647622"
"B25J1/04","rigid, e.g. shelf-reachers {(without grippers A47F13/06)}","A47F13/06","Devices for picking apples or like fruitsReaching devices in a shopPliers; Other hand-help gripping tools with jaws on pivoted limbsHand-held gripping tools other than those covered by group Hand implements for removing undesirable matter, e.g. litter pickersTool hands3C007/XF05Support hands3C007/XF06","A01D46/24|A47F13/06|B25B7/00|B25B7/00|B25B9/00|E01H1/12","","","","This place covers: Illustrative example of subject matter classified in  US 2010102583"
"B25J1/06","of the lazy-tongs type","","","","","","","This place covers: Illustrative example of subject matter classified in  DE 8901596 U"
"B25J1/08","movably mounted in a wall","","Shielded cells or rooms in structural combination with remotely controlled apparatus, e.g. with manipulators","G21F7/06","Manipulators of master-slave type should additionally be classified in .","B25J3/02","","This place covers: Illustrative example of subject matter classified in  FR 2542658"
"B25J1/10","Sleeve and pivot mountings therefor","","","","","","","This place covers: Illustrative example of subject matter classified in  FR 1266572"
"B25J1/12","having means for attachment to a support stand","","Manual manipulator containing mounting device to support structure3C007/XF03","","","","","This place covers: Manipulators which are moved in space by hand and which are attached to the ground or the ceiling. DE 102008013729"
"B25J3/00","Manipulators of master-slave type, i.e. both controlling unit and controlled unit perform corresponding spatial movements","","","","","","","This place covers: Manipulators consisting of a master unit for inputting the movements of a user and a remote slave unit, connected to the master unit, for performing movements corresponding to the input movements."
"B25J3/02","involving a parallelogram coupling of the master and slave units  (pantographic instruments B43L13/00)","B43L13/00","Control bar connected mechanically to subordinated part3C007/JT01Connected by wires3C007/JT02Containing parallelogram mechanism3C007/JT03","","","","","This place covers: Master-slave manipulators having a mechanical connection between the master unit and the slave unit (e.g. connection by shafts, rods, wires, etc). WO 9718927"
