"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60H","ARRANGEMENTS OF HEATING, COOLING, VENTILATING OR OTHER AIR-TREATING DEVICES SPECIALLY ADAPTED FOR PASSENGER OR GOODS SPACES OF VEHICLES","","Garments or clothes including a HVACFilters per seVentilating solely by opening windows, doors, roof parts or the likeHeating or ventilating devices for vehicle seats independent from the vehicle HVACWindow or windscreen cleaners using air, e.g. defrostersHVAC for railway vehiclesHVAC for boats or shipsHVAC for air craftsCompressors per seHeat exchangers comprising heat generating meansHVAC for buildingsHeat exchangers per se, Heating, cooling or ventilating batteries or accumulators and independent from the cabin HVAC","A41D|B01D|B60J|B60N|B60S|B61D|B63J|B64D11/0626|F04B|F24H|F25B|F28F|F28D|H01M","Refrigerated goods vehicles:  if the vehicle aspect is pertinent","B60P","HVACHeating, Ventilating and Air Conditioning (devices or systems)","This place covers: Arrangements or adaptations of heating, cooling, ventilating or other air treating devices specially for passengers or goods in spaces of vehicles. Only inventions, that relate exclusively to vehicles are covered by this subclass."
"B60H1/00","Heating, cooling or ventilating {[HVAC]} devices  (heating, cooling or ventilating devices providing other air treatment, the other treatment being relevant, B60H3/00; ventilating solely by opening windows, doors, roof parts, or the like B60J; heating or ventilating devices for vehicle seats B60N2/56; vehicle window or windscreen cleaners using air, e.g. defrosters, B60S1/54)","B60H3/00|B60J|B60N2/56|B60S1/54","",""," and subgroups: vehicle specific documents and subgroups: refrigerant circuit and component specific documents","B60H1/00|B60H1/32","","This place covers: Heating, cooling and/or ventilating (HVAC) devices for the air inside a vehicle cabin or a load area."
"B60H1/00014","{for load cargos on load transporting vehicles}","","Refrigerated goods vehicles in general","B60P3/20","","","","This place covers: Structure of HVAC units the vehicle, air ducts."
"B60H1/00271","{HVAC devices specially adapted for particular vehicle parts or components and being connected to the vehicle HVAC unit}","","","","","","",""
"B60H1/00278","{for the battery  (arrangement of batteries B60R16/04)}","B60R16/04","Mounting batteries in electric vehiclesBatteries in hybrid vehiclesMonitoring batteriesArrangement of batteriesCooling batteries Battery technology as such","B60K1/04|B60K6/28|B60L58/00|B60R16/04|H01M6/5038|Y02E60/10","If there is an additional evaporator for cooling the battery in an airstream, also classify in .","B60H1/323","","This place covers: Battery cooling and/or heating linked to the vehicle interior air conditioning circuit."
"B60H1/00314","{Arrangements permitting a rapid heating of the heating liquid  (B60H1/00492, B60H1/03 take precedence; aiding engine start by heating of engine coolants F02N19/10)}","B60H1/00492|B60H1/03|F02N19/10","","","","","",""
"B60H1/00321","{Heat exchangers for air-conditioning devices  (B60H1/3227 takes precedence)}","B60H1/3227","","","","","",""
"B60H1/00328","{of the liquid-air type}","","","","In general: , , .Convectors: , , In houses: ","F28D1/0233|F28D1/024|F28D1/0246|F28F1/14|F28F1/16|F28F1/18|F24D19/04","","This place covers: Coolant / air heat exchangers are classified here."
"B60H1/00335","{of the gas-air type  (B60H1/18 takes precedence)}","B60H1/18","","","","","","This place covers: Refrigerant / air heat exchangers are classified here"
"B60H1/00342","{of the liquid-liquid type}","","","","","","","This place covers: Refrigerant / water or refrigerant / refrigerant or water/water heat exchangers, e.g. stacked plates."
"B60H1/00357","{Air-conditioning arrangements specially adapted for particular vehicles}","","Vehicle bodies, , ","B62D29/00|B62D31/00|B62D39/00","","","","This place covers: HVAC characterized by features related to the type of vehicle are classified here and in the subclasses."
"B60H1/00364","{for caravans or trailers}","","Animal transport vehicles as suchRefrigerated goods vehicles as such","B60P3/04|B60P3/20","","","","This place covers: HVAC for camping trailers, recreational vehicles and other trailers."
"B60H1/00371","{for vehicles carrying large numbers of passengers, e.g. buses}","","","","","","","This place covers: HVAC specific to all road vehicles carrying more passengers than a standard passenger car."
"B60H1/00378","{for tractor or load vehicle cabins}","","Truck cabins with sleeping accommodationsTractor and off-road vehicle cabins","B62D33/0612|B62D33/0617","","","",""
"B60H1/00385","{for vehicles having an electrical drive, e.g. hybrid or fuel cell}","","Hybrid vehiclesElectric vehicles with batteries or fuel cellsSeries hybrid vehiclesControlHeating a fuel cell Cooling a fuel cellFor electric or hybrid carsFI:B60H1/22&671 ","B60K6/00|B60L50/50|B60L50/61|B60W20/00|H01M8/04022|H01M8/04059","","","",""
"B60H1/00392","{for electric vehicles having only electric drive means}","","","","","","","This place covers: Vehicles driven by an electric motor. Includes fuel cell vehicles and vehicles having a combustion motor only for generating electric power (""range extender"")."
"B60H1/004","{for vehicles having a combustion engine and electric drive means, e.g. hybrid electric vehicles}","","","","","","","This place covers: All hybrid vehicles where the combustion engine can be mechanically coupled to the wheels for vehicle propulsion."
"B60H1/00407","{for open or convertible vehicles}","","Convertibles in generalSeats having ""air scarfs"" ","B60J7/00|B60N2/5671","","","","This place covers: Vehicles having body parts that can be opened (e.g. convertibles, golf carts) and this affects the air conditioning system."
"B60H1/00414","{for military, emergency, safety or security vehicles}","","AmbulancesArmored vehicles in general.","A61G3/008|F41H7/00","","","","This place covers: Vehicles like ambulances, tanks, anti bacteriological warfare vehicles etc. where the air conditioning system is specially adapted to the use of the vehicle (e.g. germ filters, pressurized cabin)."
