"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60L","PROPULSION OF ELECTRICALLY-PROPELLED VEHICLES  (arrangements or mounting of electrical propulsion units or of plural diverse prime-movers for mutual or common propulsion in vehicles B60K1/00, B60K6/20; arrangements or mounting of electrical gearing in vehicles B60K17/12, B60K17/14; preventing wheel slip by reducing power in rail vehicles B61C15/08; dynamo-electric machines H02K; control or regulation of electric motors H02P); SUPPLYING ELECTRIC POWER FOR AUXILIARY EQUIPMENT OF ELECTRICALLY-PROPELLED VEHICLES  (electric coupling devices combined with mechanical couplings of vehicles B60D1/64; electric heating for vehicles B60H1/00); ELECTRODYNAMIC BRAKE SYSTEMS FOR VEHICLES IN GENERAL  (control or regulation of electric motors H02P); MAGNETIC SUSPENSION OR LEVITATION FOR VEHICLES; MONITORING OPERATING VARIABLES OF ELECTRICALLY-PROPELLED VEHICLES; ELECTRIC SAFETY DEVICES FOR ELECTRICALLY-PROPELLED VEHICLES","B60K1/00|B60K6/20|B60K17/12|B60K17/14|B61C15/08|H02K|H02P|B60D1/64|B60H1/00|H02P","Motor driven wheel chairsAuxiliary drives on vehiclesPower supply lines for supplying power to electrically-propelled vehiclesArrangement of signalling or lighting devices, the mounting or supporting thereof or circuits therefor, for vehicles in generalPower-driven ground-engaging fittings for manoeuvring the vehicleVehicle brake control systems in generalConjoint control of vehicle sub-units of different type or different function, including control of electrical propulsion units in case the vehicle is not purely electrically-propelledControl systems specially adapted for hybrid vehicles. i.e. vehicles having two or more prime movers of more than one type, e.g. electrical and internal combustion motors, all used for propulsion of the vehicleElectric locomotives or railcarsPreventing wheel slip by reducing power in rail vehiclesRailway track circuits in generalConstruction of cyclesRider propulsion of wheeled vehiclesConstruction of electrically-powered cyclesLighting in general,  – Switches in generalCoupling devices for electric connections in generalConversion of electric powerElectric heating in general – ","A61G5/04|B60K25/00|B60M|B60Q|B60S9/205|B60T|B60W10/00|B60W20/00|B61C3/00|B61C15/08|B61L|B62K|B62M|B62M6/40|F21|H05B31/00|H05B41/00|H01H|H01R|H02M|H05B1/00|H05B11/00","","","electrodynamic braking system An electric machine that acts as a brake. Braking is accomplished by reversing the electric fields on the machine, effectively turning it into a generator. The usage of the generated power, either in useful applications or as dissipation of heat, restrains the motor-generator and provides a braking action.As such, this term is virtually coterminous with ""dynamo-electric braking system"" (see below). However the term ""electrodynamic"" on its own is broader and less clear than the term ""dynamo-electric"". It means ""pertaining to electric current, electricity in motion and the effects of magnetism and induction"", and could theoretically encompass electrical devices other than dynamo-electric devices. batterygeneric term covering primary and secondary electrical cells.dynamo-electric braking systemA dynamo-electric machine is a device for converting electrical energy into mechanical energy or mechanical energy into electrical energy or combinations thereof, which involve electromagnetic induction. In respect of brakes, a braking effect could be produced by converting the kinetic energy of a vehicle into electrical energy, for dissipation (e.g. by resistors or as eddy-currents) or for storage (e.g. by regenerative braking). Alternatively, electrical energy could be supplied to the device to drive it into reverse, thereby producing a braking effect.electric vehicleVehicle propelled by electric motor(s), these motors being mechanically connected to the drive wheels. This definition embraces also vehicles with engine-driven generators, sometimes referred to a as serial hybrid vehicles.hybrid vehicleVehicles having two or more prime movers of more than one type connected with the driven wheels, e.g. electrical and internal combustion motors, and that are either singularly or in combination used for propulsion of the vehicle.plug-in hybrid vehicleHybrid vehicle which uses rechargeable batteries that can be restored to full charge by connecting a plug or other connection means to an external electric power source.primary cellelectrochemical generator in which the cell energy is present in chemical form and is not regenerated.range extenderDevices to extend the range of an electric vehicles supplied by a traction battery. Most of the time the term refers to an engine driven generator. It can however also refer to fuel cells or additional energy storage for electrical energy. Range extenders have generally a lower power than the maximum output of the vehicle.prime moverA machine that transforms energy from thermal, electrical or pressure form to mechanical form, typically an engine or turbinesecondary cellaccumulator receiving and supplying electrical energy by means of reversible electrochemical reactions.fuel cellelectrochemical generator wherein the reactants are supplied from outside.","This place covers: Supply of electric power to auxiliary equipment of electrically-propelled vehicles, e.g. electric heating or lighting circuits. Current-collectors and arrangements thereof on electrically-propelled vehicles, e.g. rollers in contact with trolley wire, pantographs or third-rail current-collectors. Electro-dynamic brake systems for vehicles in general, e.g. electric resistor braking, electric regenerative braking or eddy-current braking. Electric propulsion of vehicles with power supply external to the vehicle or supplied within the vehicle. Charging or exchange of Batteries for electric vehicles whilst the car is stopped and details of charging stations including communication between vehicle and the charging station. Electric propulsion of vehicles with power supply from force of nature, e.g. sun or wind. Electric propulsion for monorail vehicles, suspension vehicles or rack railways. Magnetic suspension or levitation for vehicles. Methods, circuits or devices for controlling the propulsion of electrically-propelled vehicles. Monitoring operating variables, e.g. speed, deceleration or power consumption. Electric devices on electrically-propelled vehicles for safety purposes, e.g. dead-man's devices, devices for limiting the current under mechanical overload conditions or for preventing excessive speed of the vehicle. Adaptation of control equipment on electrically-propelled vehicles for remote actuation from a stationary place, from alternative parts of the vehicle or from alternative vehicles in the same vehicle train."
"B60L1/00","Supplying electric power to auxiliary equipment of vehicles  (circuit arrangements for charging batteries H02J7/00)","H02J7/00","Electric circuits for cars in generalLighting in general , Installations of electric cables or lines in vehiclesCircuit arrangements for charging batteries ","B60R1/16|F21|H05B|H02G3/00|H02J7/00","This sub-group is only applicable to electrically propelled vehicles.","","auxiliary equipment of vehiclesaggregates not directly used for propulsion, e.g. pumps, compressors, light, heating, air-conditioning, powered steering",""
"B60L1/003","{to auxiliary motors, e.g. for pumps, compressors}","","Control of vans in cars","B60H1/00828","","","","This place covers: The supply of electric energy to auxiliary motors. These auxiliary motors can be in form of actuators or used to drive all kind of equipment like pumps, compressors."
"B60L1/006","{to power outlets}","","","","","","","This place covers: Supply of electric energy to power outlets or sockets in or at the vehicle. Power may be provided in form of 12 V DC supply or high volt AC. Providing power to charging ports for auxiliary vehicles is also covered."
"B60L1/02","to electric heating circuits","","Control of heating, cooling or ventilation in cars in generalElectric heating in cars in general Heating or cooling of trainsHeating or cooling of batteries per se ","B60H1/00828|B60H1/2215|B61D27/00|H01M10/60","Heating in this group is to be understood in the broader meaning of changing temperature including cooling and ventilating","","","This place covers: The provision of electric energy for the climatisation for electric cars. Climatisation covers heating, cooling and ventilation, e.g. cabin climate control."
"B60L1/04","fed by the power supply line","","","","","","","This place covers: Vehicles supplied by overhead contact lines. Provision of heating during charging of battery driven electrically propelled vehicles"
"B60L1/06","using only one supply","","","","","","","This place covers: The provision of electrical energy to heating devices that use only one kind of supply. The origin of this group are heating devices that run on electricity, steam or hot air e.g. in trains."
"B60L1/10","with provision for using different supplies","","","","","","","This place covers: The provision of electrical energy to heating devices that use different supplies. This group covers not only heating devices that run on different forms of electric energy but also heating devices in trains that run additionally on steam, hot water or hot air."
"B60L1/14","to electric lighting circuits","","Electric lighting systems for toy vehicles Lighting in general , ","A63H17/28|F21|H05B","","","","This place covers: Provision of electric energy to electric lighting circuits for electric cars."
"B60L1/16","fed by the power supply line","","","","","","","This place covers: Vehicles supplied by overhead contact lines."
