"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60N","SEATS SPECIALLY ADAPTED FOR VEHICLES; VEHICLE PASSENGER ACCOMMODATION NOT OTHERWISE PROVIDED FOR","","furniture constructionMotor vehicles Locks in general ","A47|B62D|E05B","","","","This place covers: Seat specially adapted for vehicles ( ) Arrangements or adaptations of other passenger fittings ( ) Arrangements or devices on vehicles for entrance or exit control of passengers, e.g. turnstiles ( ) Manufacturing methods specially adapted for manufacturing seat covers ( ). Manufacturing mehtods specially adapted for manufacturing seat upholstery ( )."
"B60N2/00","Seats specially adapted for vehicles; Arrangement or mounting of seats in vehicles  (railway seats B61D33/00; cycle seats B62J1/00; aircraft seats B64D11/06, B64D25/04, B64D25/10)","B61D33/00|B62J1/00|B64D11/06|B64D25/04|B64D25/10","Seats in general (furniture) For facilitating access of invalids to, or exit of invalids from, vehicles","A47C7/00|A61G3/02","1) In this subclass multiple classification is applied, i.e. when a document shows a disclosure, which is relevant for a plurality of groups, the different aspects will be classified as invention information in all relevant groups. Thus a plurality of CCI symbols will be given.2) Generally all information will be classified as invention information where a CCI symbol exist, because there was no distiction made between inventive and additional information in the past. The breakdowns groups with 2000 symbols (CCA) could also contain invention information.","","Seat the seat comprises the cushion, the back-rest, the head and armrests and the connecting elements connecting the seat to the vehicle floorCushionseating part of a seat distinguished from the back-rest; the cushion comprises e.g. a frame and an upholstery, but does not comprise connecting legs to the vehicle floorBack-restthe back-rest like the cushion comprises e.g. a frame and an upholsteryBraking systems Systems which prevent relative rotational movement between two adjusted elements, e.g. caused by vibration or other exterior forces, in particular for positioning devices not having a sufficient self locking effect, e.g. cycloidal or planetary gear mechanisms.",""
"B60N2/002","{Passenger detection systems}","","Weighing apparatus, e.g. for airbag systems","G01G19/4142","","","",""
"B60N2/01","Arrangement of seats relative to one another","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/015","Attaching seats directly to vehicle chassis","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01508","{using quick release attachments}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01525","{with locking elements expanding inside or under the vehicle floor or rail}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01533","{using balls interlocking with notches}","","Interlocking balls in general","E05B63/121","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01541","{using moving hooks  (B60N2/01583 takes precedence)}","B60N2/01583","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0155","{with the locking mechanism on the vehicle floor or rail}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01558","{with key and slot}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01566","{key rotating about a vertical axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01575","{key sliding inside the vehicle floor or rail}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01583","{locking on transversal elements on the vehicle floor or rail, e.g. transversal rods}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/01591","{with wheels coupled to the seat}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/02","the seat or part thereof being movable, e.g. adjustable  (adjustable arm-rests B60N2/75; adjustable head-rests B60N2/806)","B60N2/75|B60N2/806","Seats or parts thereof displaced during a crash","B60N2/427","","","",""
"B60N2/0224","{Non-manual adjustment, e.g. with electrical operation}","","Seat or part thereof being moved by a central command actuator to selectively switch on or engage one of several special purpose circuits or mechanismsSeat suspension devices using fluid meansFlexible bowed lumbar supports with motor driven adjustmentsSlidable headrests characterised by adjusting mechanism, using electric motorsTiltable headrests characterised by adjusting mechanism, using electric motors","B60N2/0296|B60N2/52|B60N2/6673|B60N2/829|B60N2/853","","","",""
"B60N2/0244","{with logic circuits}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/028","{Elastically mounted back-rests}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0284","{Adjustable seat-cushion length  (B60N2/0224 takes precedence)}","B60N2/0224","","","","","","This place covers: Seats where the effictive area of the seat is modified, e.g. by moving the back rest or by slidable extention parts, see illustrative examples of subject matter classified in this group."
"B60N2/0292","{Multiple configuration seats, e.g. for spacious vehicles or mini-buses}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0296","{Central command actuator to selectively switch on or engage one of several special purpose circuits or mechanisms}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/045","{Longitudinal adjustment by means of articulated rods supporting the seat, e.g. parallelogram mechanisms  (B60N2/38 takes precedence)}","B60N2/38","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/067","{by linear actuators, e.g. linear screw mechanisms}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0705","{omega-shaped}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0707","{J-shaped}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/071","{T-shaped}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0712","{H or double T-shaped}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0715","{C or U-shaped}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0717","{Rounded, e.g. circular}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/072","{Complex cross-section, e.g. obtained by extrusion}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0725","{Closing members for covering the slide}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/073","{Reinforcement members preventing slide dislocation}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0732","{Attachment of seat frame to the slide, e.g. eyelets}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/074","{rotated about the transversal axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0742","{rotated about the vertical axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0745","{the slide path being curved}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0747","{the opening of the cross section being oriented in a direction different from the vertical, e.g. transversal}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/075","roller-less","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0806","{with pin alignment systems, e.g. with at least one of a plurality of locking pins always aligned w.r.t. at least one of a plurality of pin-receiving elements}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0818","{inside the rail}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0825","{outside the rail}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0843","{about a longitudinal axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/085","{about a transversal axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0856","{about a vertical axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0868","{in a transversal direction}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0875","{in a vertical direction}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0887","{with synchronised movements}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/0893","{allowing independent movement of the latches, e.g. to recover tolerance errors}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/10","tiltable  (B60N2/12 {, B60N2/2875} take precedence)","B60N2/12|B60N2/2875","Seat being rotatable about an at least partly vertical axisBack-rest being tiltableBack-rest being adjustable","B60N2/14|B60N2/20|B60N2/22","","","","This place covers: Seats which are tiltable as a whole unit. Illustrative example of subject matter classified in this group."
"B60N2/12","slidable and tiltable","","","","","","","This place covers: Seats when where the whole seat is slidable and the whole seat or a part of it e.g. back-rest is tiltable about a horizontal axle. In this group there are in particular seats with ""easy access"" position."
"B60N2/123","{and provided with memory locks}","","","","","","Memory locka lock mechanism which helps the user to get a seat which was moved from a first position to a second position back from the second position exactly to the first position","This place covers: Slidable and tiltable seats moving as a whole characterised by memory locks, see illustrative example of subject matter classified in this group."
"B60N2/14","rotatable, e.g. to permit easy access  (B60N2/10 {, B60N2/2869} take precedence)","B60N2/10|B60N2/2869","","","","","Easy accesseasy access to the seat which is rotated (e.g. for children or handicapped people)","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/143","{taking a position opposite to the original one}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B60N2/146","{characterised by the locking device}","","","","","","","This place covers: Locking means between the seat and the base, e.g. the floor, in order to avoid rotation around the vertical axis of the seat. Illustrative example of subject matter classified in this group."
