"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60Q","ARRANGEMENT OF SIGNALLING OR LIGHTING DEVICES, THE MOUNTING OR SUPPORTING THEREOF OR CIRCUITS THEREFOR, FOR VEHICLES IN GENERAL","","Arrangements of cameras in vehiclesVehicle electric circuits in generalArrangement of lighting devices for rail vehiclesArrangement of signalling and lighting devices for bicyclesArrangement of signalling and lighting devices for shipsArrangement of signalling and lighting devices for aircraftsMounting meansLighting or signalling devices per se, Inter-vehicle communication for warning purposesIllumination of logos, symbols, advertisementElectric switches per seElectric lighting not otherwise provided for","B60R1/00|B60R16/00|B61D29/00|B62J6/00|B63B45/00|B64D47/02|F16B|F21S|F21V|G08G1/00|G09F|H01H|H05B","","","LEDLight Emitting Diode","This place covers: The arrangement of lighting or signalling devices with relationship to the vehicle or to each other. The mounting or supporting of lighting and signalling devices on the vehicle. The circuits therefor. The switches therefor. The control and signal-initiating means therefor. The monitoring therefor. The devices mentioned being: for illuminating areas inside or outside a vehicle or for giving signals to the outside of the vehicle or to the vehicle occupants; and mounted to the vehicle in a fixed or adjustable manner or supported by the vehicle with the provision of being portable."
"B60Q1/00","Arrangements or adaptations of optical signalling or lighting devices  (for lighting vehicle interior B60Q3/00 {; circuit arrangements for electric light sources in general H05B47/00})","B60Q3/00|H05B47/00","Horn switches integrated in steering wheel covers with tear lines Gear selector levers","B60R21/21658|F16H59/02","","","","This place covers: The arrangement or adaptation of non-portable devices on vehicles dedicated to: illuminate areas outside of a vehicle in visible and non-visible wavelength range; give optical signals to the outside of the vehicle. The mounting thereof, also for adjustable devices. The circuits thereof. The switches thereof. The manual or automatic control and signal-initiating means thereof. Further details of subgroups This subgroup covers only devices in which the cap has no mechanical link (no holding function) with the bulb. If the cap serves to hold the bulb, it is only classified in   or   and subgroups. This subgroup covers only connections to the vehicle power supply or connections of several lamp units with each other. Arrangements on headlights for positioning or indexing other vehicle parts (e.g. bumper cover or wing) are classified here and in the field relating to the other parts, e.g.  ,  . This subgroup covers arrangements in which the headlight can be entirely swivelled around an axis (for instance to change the bulb). Small swivelling for adjustment purposes  ,  . ,  ,  Details of headlight adjustment by electric actuating means, e.g. motors, shafts, ball-joints, are classified in   even for automatic systems because  ,   are intended for the control systems only excluding this general features.  and its subgroups,  ,  Documents in these subgroups are also classified in   according to the parameters used for the automatic adjustment or switching. However, classification in   is only done for parameters whose contribution in the automatic process is clearly shown. Statements such as that ""parameter x could be used for the adjustment"" or ""parameter x is measured by a sensor and fed into the control unit"" without further details are not sufficient for classification in  .   is not used for other subgroups than   and its subgroups,  ,  . ,  Devices in which automatic cornering is done by an additional, separate headlamp are classified in   and  . If of interest classification is also given in  . Although portable and not mounted on vehicles, lighting and signalling devices worn by a (motorcycle) driver or passenger are classified here, but only when the device repeats or replaces a lighting or signalling function of the vehicle."
"B60Q3/00","Arrangement of lighting devices for vehicle interiors; Lighting devices specially adapted for vehicle interiors","","Lighting devices for door or window locksNon-portable lighting devices in generalDetails of lighting devices, of general applicationLighting devices for individual instruments, e.g. speedometers, , ","E05B17/10|F21S|F21V|G01D11/28|G01D13/265|G01D13/28","","","LEDLight Emitting Diode","This place covers: Lighting devices in vehicles dedicated to illuminate in visible and non-visible wavelength range areas or parts located inside a vehicle, e.g. in the passenger or engine compartment. The arrangement thereof. The mounting thereof. The circuits therefor. The switches specifically adapted therefor. The manual or automatic control means therefor."
"B60Q3/10","for dashboards","","Arrangement or adaptations of instruments in vehiclesArrangement of instruments or fittings on dashboardLighting devices for individual instruments, Internal illumination of Liquid Crystal DisplaysIlluminated signs","B60K35/00|B60K37/00|G01D11/28|G01D13/28|G02F1/00|G09F13/00","","","","This place covers: Lighting devices for illuminating the dashboard or parts thereof, from inside or outside the dashboard. Circuits and control means therefor."
"B60Q3/12","lighting onto the surface to be illuminated","","","","","","","This place covers: Lighting devices or arrangements where the light impinges on the dashboard or parts thereof."
"B60Q3/14","lighting through the surface to be illuminated","","","","","","","This place covers: Backlight arrangements of the dashboard or parts thereof."
"B60Q3/16","Circuits; Control arrangements","","Circuits for electric light sources in general, ","H05B47/00|H05B39/00","","","","This place covers: Circuits or control arrangements for the illumination of the dashboard as a whole or parts thereof, e.g. illuminating the dashboard when starting the vehicle, changing illumination colors for decoration purposes. Circuits or control arrangements for the illumination of the instruments and buttons when it is not related to the function of the instruments or buttons themselves, e.g. adjusting the color of the illumination of instruments or buttons depending on the time of the day."
"B60Q3/18","for varying the light intensity","","Controlling light sources in displays, ","G09G3/06|G09G3/22","","","","This place covers: Circuits or control arrangements for varying the intensity of illumination onto or from the dashboard, e.g. to compensate for variations in ambient light intensity."
"B60Q3/20","for lighting specific fittings of passenger or driving compartments; mounted on specific fittings of passenger or driving compartments  (lighting for dashboards B60Q3/10)","B60Q3/10","Receptacle for food or beverages, e.g. cup holders","B60N3/10","","","","This place covers: Lighting devices associated with a particular vehicle fitting, either by being mounted on or in the fitting, or by illuminating from or onto the fitting."
"B60Q3/208","Sun roofs; Windows","","Vehicle windowsVehicle sun roofs","B60J1/00|B60J7/00","","","",""
