"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60R","VEHICLES, VEHICLE FITTINGS, OR VEHICLE PARTS, NOT OTHERWISE PROVIDED FOR","","Wheels and axles for vehicles Tyres for vehicles Vehicles for use both on rail and on road Vehicles for use on land and in or on water Vehicles convertible to travel in or on different media Vehicles predominantly for transporting loads Air0-cushion vehicles ","B60B|B60C|B60F1/00|B60F3/00|B60F5/00|B60P|B60V","In  an Indexing Code- classification is present with respect to the groups:, , , , , , , .","B60R|B60R1/00|B60R11/00|B60R13/00|B60R19/00|B60R21/00|B60R22/00|B60R25/00|B60R99/00","Direct-impact type injury For drivers or passengers within a vehicle this consists of the types of injuries caused by a portion of an occupant's body striking a component that is within or encloses the passenger compartment of their vehicle (e.g. a bumper actuated air bag specifically protecting a passenger from hitting the steering wheel in contrast to an energy absorbing bumper protecting the vehicle ) and for non-occupants this consists of the types of injuries caused by a portion of a non-occupant's body striking an exterior component of a vehicle (e.g. a bumper actuated safety net catching a pedestrian prior to hitting the vehicle for specifically protecting the pedestrian in contrast to a flexible vehicle body part that is intended to resist damage due to any type of impact). Vehicle  This term has been used with the following two variations in meaning within this subclass: (1) all varieties of apparatus (e.g. automobiles) intended to carry people or goods significant distances (e.g. between cities, to or from separate building complexes) across land, over water, or through the air except those restricted to one of the following types: rail vehicles, waterborne vessels, aircraft, space vehicles, hand carts, cycles, animal-drawn vehicles, or sledges. Moreover, the term ""vehicle"" also includes (i) vehicular characteristics which are common to more than one of the above-listed types of vehicles, (ii) certain characteristics restricted to automobiles, road trailers, or cross-country trailers, and (iii) all land vehicles having characteristics specifically adapted for occupant safety such as air bags, seat belts, or safety harnesses. (2) In some instances in this definition, the term ""vehicle"" has been qualified by another word which takes its meaning outside the scope of (1) above (e.g. ""rail vehicle""), in such cases the word ""vehicle"" takes its broader dictionary meaning. The reader can determine from the context whether an occurrence of the word ""vehicle"" in this definition falls within the meaning stated in (1) or (2). ","This place covers: Any categories of vehicles per se that: Are not explicitly covered by another subclass of the class ( ) for this subclass or Are not structurally restricted to the vehicular categories fully covered by subclasses providing for rail vehicles, waterborne vessels, aircraft, space vehicles, handcarts, cycles, animal-drawn vehicles, or sledges. Vehicle components or parts of the following types when they are either of general utility or specially adapted for a category of vehicle proper for this subclass: Devices utilizing plumbing that are specially adapted for vehicles, or modification to vehicles for accommodating such devices, which are used by vehicle occupants for sanitary purposes (e.g. water closets, urinals, sinks). Specially adapted arrangements, devices, or fittings for preventing or reducing direct-impact type injuries to occupants of vehicles (e.g. air bags, seat belts) or otherwise directly protecting (e.g. from a physical attack) occupants of vehicles. Specially adapted arrangements, devices, or fittings for preventing or reducing direct-impact type injuries to people that are not occupying vehicles (e.g. pedestrians). Arrangements or devices for indicating or stopping the unauthorized use of vehicles. Mirrors or other optical-type devices (e.g. camera/screen traffic viewers) specially adapted for vehicles, or arrangements of such mirrors or optical devices on vehicles, that are used during travel or vehicular operation to assist in viewing external objects. Compartments or devices located on the interior or exterior of vehicles that are primarily intended to hold or contain stowed articles (e.g. luggage, maps, skis) for their occupants. Devices or arrangements located on the interior or exterior of vehicles for holding articles used for vehicular maintenance (e.g. tools, jacks) Devices or arrangements located on the interior or exterior of vehicles for mounting articles (e.g. television sets, makeup mirrors) or vehicle components (e.g. loud speakers) used by occupants for functions that are non- essential to the operation of vehicles. Electrical or fluid circuits, or arrangements of electrical or fluid components used in such circuits, that are specially adapted for use with vehicles (excluding electric and hybrid vehicles). Specially adapted arrangements, devices, or fittings for the lubrication of vehicles. Specially adapted steps, or other vehicle components for supporting occupants (e.g. running boards), which are used by occupants when accessing vehicles or exterior portions of vehicles. Exterior components of vehicles primarily designed to protect vehicles (e.g. bumpers), or particular components of vehicles (e.g. radiator guards), from damage caused by impact with other vehicles or objects. Ornamental or functional vehicle components used in the finishing of vehicle bodies or interiors. Vehicle components used for the identification of vehicles or parts of vehicles. Devices mounted on or attached to vehicles, or modifications to the body components of vehicles, used for marketing or promotional purposes (e.g. advertising signs). Vehicle components or parts of general utility that are for uses other than those specified above and that are not specially adapted for or restricted to usage with vehicles provided for in another subclass of the class ( ) for this subclass or a category of vehicle fully covered by subclasses providing for rail vehicles, waterborne vessels, aircraft, space vehicles, handcarts, cycles, animal-drawn vehicles, or sledges."
"B60R1/00","Optical viewing arrangements; Real-time viewing arrangements for drivers or passengers using optical image capturing systems, e.g. cameras or video systems specially adapted for use in or on vehicles",""," Mounting aspects of displaysThe mounting aspects of cameras operative during driveHouse mirrors and spiesAntiglare equipment, e.g. polarising, for windscreens or windowsOptical image capturing systems used in vehicle control systems such as automatic manoeuvring for parking an path keepingVisual aids for tractors Mapping or imaging using measurements systems such as radar, sonar or lidar , , Camera and display systems where the display does not display a generally realistic real time picture i.e. where it displays a symbol or an alarmClosed-circuit televisions systems","B60R11/02|B60R11/04|A47G1/00|B60J3/00|B60W30/00|B62D49/0614|G01S13/89|G01S15/89|G01S17/89|G08B|H04N7/18","There is an Indexing Code  when the inventive information of the document does not suffice for the subclass  and there is a further Indexing Code subdivision scheme to be found under  applicable under  when classifying viewing arrangements using displays and cameras specially adapted for use in a vehicle.The subject-matter relating to viewing arrangements using displays and cameras specially adapted for use in a vehicle which falls under  covers the functionalities of the viewing arrangements with respect to the adaptation to the vehicle and the occupant.Parts of the system, for example camera optics, image processing, object detection, decision making means or display hardware details, are black boxes and therefore should not be a core aspect of the invention. If the invention concerns just the implementation of these black boxes no class should be given in .Subject-matter related solely to the implementation of specific functions or functionalities as such, i.e. image transformation as such is not classified in  nor in the related  scheme.The Indexing Codes below  are given in case the intended use of the viewing arrangement is specific to the technical solution. Mere mentioning of possible uses should not automatically lead to an Indexing Code.","B60R1/00|B60R1/00|B60R2300/00|B60R1/00|B60R1/00|B60R1/00|B60R1/00|B60R2300/00|B60R2300/80","","This place covers: All optical viewing arrangements which are not structurally restricted to the vehicular categories fully covered by subclasses provided for rail vehicles, waterborne vessels, aircraft, space vehicles, handcarts, cycles, animal-drawn vehicles, or sledges. This group covers mainly optical viewing arrangements for automobiles, busses and trucks. The optical viewing arrangements provide an occupant of the vehicle with a generally realistic real time view of the vehicle or the surroundings of the vehicle. The subclass covers mirror, periscope and lens arrangements (  –  ) as well as viewing arrangements using displays and cameras specially adapted for use in a vehicle (  –  ). In the case of viewing arrangements using displays and cameras both the display and the camera arrangement have to be present and the real time picture has to be displayed to the occupant (see also further subdivision under Indexing Code scheme  ). Aspects for  : Improvement of driver's vision Enhancement of driver's scene perception and understanding Details of presentation of scene information"
"B60R1/12","Mirror assemblies combined with other articles, e.g. clocks","","","","There is an Indexing Code subdivision scheme to be found under  applicable when classifying under  and . The related subject-matter may be of interest to be classified as well in the related technical field for mirror assemblies with lamps or turn indicators in  Vehicle lighting or signalling.Further classification entries may be given in  according to aspects of signalling.","B60R1/12|B60R1/12|B60R1/1207|B60Q|B60Q","","This place covers: Mirror assemblies forming an unit with other articles, e.g. clocks, radio receivers, cameras"
"B60R1/1207","{with lamps; with turn indicators}","","","","Further classification entries may be given in  according to aspects of signalling.","B60Q","",""
"B60R2001/1215","{with information displays}","","","","","","","This place covers: An information display is displaying symbols, letters, icons etc."
"B60R1/28","with an adjustable field of view","","Devices for controlling cameras ","H04N5/232","","","",""
"B60R1/30","providing vision in the non-visible spectrum, e.g. night or infrared vision","","Televisions systems using infrared light ","H04N5/33","","","",""
"B60R1/31","providing stereoscopic vision","","Stereoscopic displays for measurement system such as radar, sonar or lidarImage signal generators using stereoscopic image cameras ","G01S7/20|H04N13/204","","","",""
"B60R3/00","Arrangements of steps {or ladders facilitating access to or on the vehicle}, e.g. running-boards  ({construction of steps for railway vehicles B61D23/00} ; ladders E06C)","B61D23/00|E06C","Construction of steps for railway vehicles Ladders","B61D23/00|B61D23/00|E06C","In case the construction of steps for railway vehicles is obviously applicable or mentioned as applicable to a vehicle within  the document is as well classified under .Warning: The IPC subclass  covering running-boards, steps, or the like, as superstructure sub-unit is not implemented in ECLA.","B60R|B60R|B62D25/22","","This place covers: Arrangements of steps or ladders facilitating access to or on the vehicle, e.g. running-boards. The steps are adapted for use with a vehicle or combined with a vehicle."
"B60R3/007","{Removable steps or ladders, e.g. foldable  (as access means for vehicle tops B60R3/005)}","B60R3/005","Auxiliary measures taken, or devices used, in connection with preventing, minimising, or fighting fire Auxiliary measures taken, or devices used, in connection with loading or unloadingNon-permanently installed loading ramps, e.g. transportableLoading ramps as road or railway equipment","A62C|B65G69/00|B65G69/30|E01F1/00","","","","This place covers: Removable steps or ladders where the removable step or ladder is specially adapted for use with a vehicle or the vehicle is adapted for the provision of a removable step or ladder."
