"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60T","VEHICLE BRAKE CONTROL SYSTEMS OR PARTS THEREOF; BRAKE CONTROL SYSTEMS OR PARTS THEREOF, IN GENERAL  (electrodynamic brake systems for vehicle, in general B60L; brakes per se, i.e. devices where braking effect occurs, including ultimate brake actuators, F16D); ARRANGEMENT OF BRAKING ELEMENTS ON VEHICLES IN GENERAL; PORTABLE DEVICES FOR PREVENTING UNWANTED MOVEMENT OF VEHICLES; VEHICLE MODIFICATIONS TO FACILITATE COOLING OF BRAKES","B60L|F16D","Railway stops, track brakes or retarding apparatus, fixed to permanent way  Braking devices for cranes, lift hoists, etc.  Braking devices for fork lift trucks  Safety arrangements on roads for slowing, redirecting or stopping errant vehicles, e.g. guard posts, bollards  Pumps ,  Hydraulic systems  Brakes themselves, i.e. the devices where the braking effect actually occurs, and actuators directly acting on those devices  Valves  Foot actuated controlling members  Traffic control systems for road vehicles  ","B61K7/00|B66D5/00|B66F9/075|E01F15/00|F04B|F04C|F15B|F16D|F16K|G05G1/30|G08G1/00","In group , when the subject matter to be classified is characterised by both electronic and non-electronic aspects, multiple classification should be applied, i.e. it should be classified both in group  or its subgroups, and in groups , ,  or  or their subgroups.","B60T8/00|B60T8/17|B60T8/18|B60T8/24|B60T8/26|B60T8/32"," Boosters Means for providing power assistance to the braking effortVehicle This term can have two different meanings here, viz. (1) all vehicles except those restricted to one of the following types of vehicles: rail vehicles, waterborne vessels, aircraft, space vehicles, hand carts, cycles, animal-drawn vehicles, and sledges, which are covered by the relevant subclasses of  - . The term “vehicle” also includes (i) vehicular characteristics which are common to more than one of the above-listed types, and (ii) certain characteristics restricted to automobiles, road or cross-country trailers.(2) In some instances in this definition, the term “vehicle” has been qualified by another word which takes its meaning outside the scope of (1) above (e.g. “rail vehicle”), in which case the word “vehicle” takes its normal dictionary meaning. The reader can determine from the context whether an occurrence of the word “vehicle” in this definition falls within the meaning stated in (1) or (2). ","This place covers: Arrangement of braking elements on vehicles (as defined in the Glossary of terms below). Portable devices for preventing unwanted movement of vehicles, and especially where the devices are specially adapted to engage an exterior portion of a stationary vehicle to prevent or restrain its movement, e.g. chocks. Vehicle modifications to facilitate cooling of brakes. Control systems or parts thereof, in general or specially adapted for vehicles, for processing variables which influence the extent or duration of a braking event, for the following purposes: For adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force. For continuous braking making use of fluid or powdered medium, e.g. when descending a long slope. For transmitting braking action from initiating means to ultimate brake actuator. Component parts, details or accessories of brake control systems, for example: Brake-action initiating means, e.g. manually or automatically-operated. Construction, arrangement or operation of valves incorporated in power brake systems. Component parts, details or accessories presenting other characteristic features, e.g. arrangements of pumps or compressors, brake cylinders other than ultimate actuators, safety or monitoring devices."
"B60T1/00","Arrangements of braking elements, i.e. of those parts where braking effect occurs {specially for vehicles}","","Control of retarders  Combinations of different braking elements or brake types   Regenerative braking , ,  Positive locking brakes  ","B60T10/00|B60T13/58|B60L7/24|B60T8/00|B60W30/18127|F16D63/006","","","","This place covers: Arrangements of braking elements; braking by positive locking, retarding wheels or otherwise."
"B60T3/00","Portable devices for preventing unwanted movement of vehicles, e.g. chocks","","","","","","","This place covers: Portable wheel chocks, wedges."
"B60T5/00","Vehicle modifications to facilitate cooling of brakes","","","","","","","This place covers: For example air flow guiding elements, air ducts."
"B60T7/00","Brake-action initiating means",""," Hill-Holding ,  ACC , ,  Trailer braking systems ,   Overrun brakes ,  Hand- or foot actuated brake-action initiating means in pneumatic braking systems  Hand- or foot actuated controlling members in general  ","B60T8/17|B60W30/18118|B60T8/48|B60T7/22|B60K31/0008|B60T13/00|B60T8/00|B60T13/08|B60T7/122|B60T15/04|G05G1/00","","","","This place covers: Brake-action initiating means, hand- and foot actuated brake initiating means; Automatic initiation of braking systems, also for trailers."
"B60T8/00","Arrangements for adjusting wheel-braking force to meet varying vehicular or ground-surface conditions, e.g. limiting or varying distribution of braking force  (by changing number of effective brake cylinders in power brake systems B60T17/10)","B60T17/10","","","Reference is made to the special rules of classification as defined under  ","B60T","","This place covers: Load dependent braking systems and parts thereof Braking systems that produce differential braking pressures on either side of the vehicle or between front and rear wheels of the vehicle and parts thereof, Speed responsive braking systems (like ABS, ASR, ESP, BA) and parts thereof, and Systems using electrical or electronic regulation means to control the braking."
"B60T8/17","Using electrical or electronic regulation means to control braking {(detecting or indicating faulty operation B60T8/885)}","B60T8/885","ABS vehicle reference speed  Friction condition (road/tire)  ","B60T8/172|B60T8/172","","","","This place covers: Electric or electronic regulation means to control: Load dependent braking systems, Braking systems that produce differential braking pressures on either side of the vehicle or between front and rear wheels of the vehicle Speed responsive braking systems (like ABS, ASR, ESP, BA)."
"B60T8/18","responsive to vehicle weight or load, e.g. load distribution  ({using electrical circuitry on regulation means B60T8/17; } B60T8/30 takes precedence; responsive to weight and speed condition B60T8/58)","B60T8/17|B60T8/30|B60T8/58","","","","","","This place covers: Braking systems and parts thereof responsive to vehicle weight or load, especially for vehicle having more than two axles or braking systems wherein producing a differential braking between front and rear or left and right wheels is irrelevant."
"B60T8/24","responsive to vehicle inclination or change of direction, e.g. negotiating bends {(using electrical circuitry or regulation means B60T8/17)}","B60T8/17","Trailer braking systems  ","B60T7/20","","","","This place covers: Braking systems or parts thereof producing differential brake forces (left/right) according to roll of vehicle or wile negotiating bends or to avoid trailer sway and braking systems and parts thereof producing differential brake forces (left/right and/or front/rear) when the vehicle is on a slope."
"B60T8/26","characterised by producing differential braking between front and rear wheels {(using electrical circuitry or regulation means B60T8/17)}","B60T8/17","Motor cycle braking systems ,  ","B62L|B60T8/3225","","","","This place covers: Braking systems and parts thereof for producing differential braking forces between the front and rear wheel(s) (or axles) of the vehicle. Pressure, deceleration and load responsive systems and parts thereof."
