"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B60W","CONJOINT CONTROL OF VEHICLE SUB-UNITS OF DIFFERENT TYPE OR DIFFERENT FUNCTION; CONTROL SYSTEMS SPECIALLY ADAPTED FOR HYBRID VEHICLES; ROAD VEHICLE DRIVE CONTROL SYSTEMS FOR PURPOSES NOT RELATED TO THE CONTROL OF A PARTICULAR SUB-UNIT","","Arrangement or mounting of plural diverse prime-movers for mutual or common propulsion, e.g. hybrid propulsion systems comprising electrical and internal combustion motorsVehicle fittings for automatically controlling vehicle speed by acting on a single sub-unitElectrical circuits for triggering safety arrangements to protect or prevent injuries to occupants or pedestriansBrake control systems for vehicle drive stabilityControlling combustion engines, such controlling being peculiar to the devices driven thereby, the devices being other than parts or accessories essential to engine operation, e.g. controlling of engines by signals external theretoCombinations of clutches and brakesControl functions within change-speed- or reversing-gearings for conveying rotary motionSystems for controlling position, course, altitude, or attitude of land, water, air, or space vehiclesTraffic control systems i.e. systems transmitting information to a plurality of vehicles simultaneously in order to co-ordinate the flow of vehicles or systems controlling platoons of vehiclesAnti-collision systems","B60K6/00|B60K31/00|B60R21/01|B60T8/1755|F02D29/00|F16D67/00|F16H61/00|G05D1/00|G08G1/00|G08G1/16","Whenever one or more specific types of sub-units are controlled, classification in main group  should be given for each of the different sub-units controlled. For each controlled sub-unit a classification symbol should be added in the relevant place. When documents classified in main group  are also relevant for main groups  - , a classification in one of these groups is required.Contrary to the IPC ,  in CPC is a multi-aspect classification system where classifications have to be given for all features of the independent claims and for all features contributing to the operability of the disclosed invention.The use of the indexing codes is mandatory.","B60W10/00|B60W10/00|B60W20/00|B60W60/00|B60W","Automatic controlControl system for mechanising or assisting, to a full- or partial extent, tasks associated with driving of the vehicle, e.g. those normally carried out by the driver or those necessary to control the motion of the vehicle.Auxiliary equipmentSubsidiary or supplementary device of the propulsion, transmission or other units of the vehicle, e.g. a pump for supply of pressure for the control unit.Conjoint ControlProgrammed or condition-responsive automatic controller on-board the vehicle, embodying control logic for plural vehicle sub-units and sends control signals to actuators of two or more vehicle sub-units, so that the sub-units act together to solve a particular problem, in order to improve stability, comfort or safety by managing the global dynamics of the vehicle, or in response to a particular driving condition. The control logic considers the plural vehicle sub-units simultaneously, however, the control signals need not be sent at the same time.Conjoint control of diverse vehicle sub-unitsControl of different sub-units within the same vehicle for those vehicles defined under note to class , and of general applicability to different types of vehicles normally under the control of a human driver or autonomous driving system.Cruise controlSystem for automatically controlling vehicle speed, which may include additional functions e.g. control of distance between vehicles, so-called ""Adaptive Cruise Control"" (ACC).Drive control systemElectronic system in a road vehicle for automatically controlling the movement of that vehicle in order to take certain actions.Driveline ClutchClutch used for purposes other than changing gear ratios.Driving parameterAll input or output parameters of the road vehicle drive control systems, e.g. road specific parameters, driver or passenger related parameters, state variables of motion of the vehicle body or parameters related to the vehicle itself like load or weight of the vehicle.Hybrid vehicleVehicles having two or more prime movers of more than one type, e.g. electrical and internal combustion motors, and that are either singularly or in combination used for propulsion of the vehicle.Road VehicleMotorised passenger vehicle for transportation on roads, e.g. an automobile, truck or busSub-UnitOne of the following vehicle systems: propulsion system, clutch system, torque converters, change-speed gearing system, system for distributing drive torque between front and rear axles, axle differential system, brake system, steering system, suspension system, energy storage means, fuel cells or auxiliary equipment.","This place covers: Control systems for conjoint control of vehicle sub-units of different type or different function. Control systems specially adapted for hybrid vehicles. Purposes of road vehicle drive control systems for purposes that are  not related to control of any particular sub-unit, i.e. the controlled sub-unit is not specified, or related to conjoint control of vehicle sub-units of different type or different function. Estimation or calculation of driving parameters for road vehicle drive systems that are used for purposes not related to a particular sub-unit, i.e. the controlled sub-unit is not specified, or for conjoint control of vehicle sub-units of different type or different function. Details of control systems for road vehicle drive control, e.g. monitoring of signals for controllers that are used for purposes not related to a particular sub-unit, i.e. the controlled sub-unit is not specified, or for conjoint control of vehicle sub-units of different type or different function. Control systems specially adapted for autonomous road vehicles (AV). Philosophy of conjoint control in subclass  :"
"B60W10/00","Conjoint control of vehicle sub-units of different type or different function  (for propulsion of purely electrically-propelled vehicles with power supplied within the vehicle B60L50/00 - B60L58/00)","B60L50/00|B60L58/00","","","When classifying in group , classification must also be made in groups  -  in order to identify the purpose or use of the control. For each of the sub-units which are controlled by the controller a classification symbol (invention-type) should be added. The sub-units covered by  have to be sub-units of a vehicle as defined by  - .The use of the indexing codes is mandatory.","B60W10/00|B60W20/00|B60W60/00|B60W10/00|B60W20/00|B60W60/00","","This place covers: Sub-units of different type or function, which are controlled by a controller on board of the vehicle. The controller sends control signals to two or more vehicle sub-units, so that the sub-units act together to solve a particular problem in order to improve stability, comfort or safety of the vehicle or to propel the vehicle. For each of the sub-units which are controlled by the controller a classification symbol (invention-type) should be added."
"B60W10/198","with exhaust brakes","","Including control of combustion engines","B60W10/06","","","","This place covers: Exhaust brake systems provided in addition to the engine."
"B60W20/00","Control systems specially adapted for hybrid vehicles {(hybrid vehicle design, B60K6/00; electric vehicles B60L)}","B60K6/00|B60L","","","Whenever one or more specific types of sub-units are controlled, classification in main group  should be given for each of the different sub-units controlled. When the architecture or type of transmission of the hybrid vehicle is of interest, it should be classified in the relevant groups of .","B60W10/00|B60K6/00","","This place covers: Control systems exclusively for hybrid vehicles, i.e. vehicles combining at least two different prime movers which convert energy taken from at least two different in vehicle storage devices, e.g. fuel tank and battery, into mechanical energy for the propulsion of the vehicle."
"B60W20/10","Controlling the power contribution of each of the prime movers to meet required power demand","","","","","","","This place covers: Conjoint control of the prime movers to meet power demand including also situations in which the power is not demanded for propelling the vehicle, to keep one prime mover in an off-state or an on-state, e.g. engine is kept on for warming up with high battery charge state or engine is kept off even with low battery charge state in a traffic jam."
"B60W20/11","using model predictive control [MPC] strategies, i.e. control methods based on models predicting performance {(utilising navigation and traffic information in the control strategy B60W20/12)}","B60W20/12","","","If the particular effect is fuel economy, no additional classification is necessary. If it is another effect, additional classification in  is necessary.","B60W20/15","MPCModel Predictive Control; Control relying on one or more models of the drive train or vehicle sub-units, wherein the presently applied control signal is based on an optimal control signal computed over a future period of time. For example, the current status of the vehicle, e.g. vehicle dynamics or weight, torque at drive wheels, the driver input, e.g. accelerator pedal position, steering and the status of various sub-units, e.g. engine speed, motor torque, gear ratio engaged, clutch position or torque, temperature, battery charge state. These data are fed into the models. Based on this information, MPC simulates possible changes to the sub-units, e.g. changing engine speed or gear ratio, switching from series hybrid to parallel hybrid. The models may deliver several results. These results are analysed to determine the most suitable sub-unit status in order to arrive at a particular effect.","This place covers: Control strategies using performance models of prime movers and sub-units, e.g. battery or gearing, are predicted and adjusted to be controlled at their optimal working points; Control is based on internal vehicle information only; Control strategies to operate the vehicle or one or more sub-units at the point of highest energy efficiency with MPC providing the data for selecting optimal points of operation to meet the required power demand."
"B60W20/12","using control strategies taking into account route information {(estimation or calculation of non-directly measurable driving parameters B60W40/00)}","B60W40/00","","","","","","This place covers: Control systems using path-dependent information, e.g. road slope, curve radius, distance to intersection, traffic information, weather conditions, emission or noise restrictions; The sub-units are brought into the most suitable status depending on this information, e.g. keeping the engine switched off and propelling the vehicle using only the motor if there is a traffic jam."
"B60W20/13","in order to stay within battery power input or output limits; in order to prevent overcharging or battery depletion","","Control methods based on models predicting performance","B60W20/11","","","","This place covers: Control strategies aiming at maintaining battery state of charge (SOC) within defined limits to extend battery lifetime."
"B60W20/14","in conjunction with braking regeneration","","","","Mandatory classification in Braking Regeneration: ","B60W30/18127","","This place covers: Control systems only usable for hybrid vehicles controlling power contribution of prime movers to keep battery healthy in combination with braking regeneration."
"B60W20/15","Control strategies specially adapted for achieving a particular effect","","","","","","","This place covers: Control strategies directed to performance or operation of the vehicle in such a way so as to provide a specific benefit, e.g. maintaining lubrication of an engine."
