"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B65G","TRANSPORT OR STORAGE DEVICES, e.g. CONVEYORS FOR LOADING OR TIPPING, SHOP CONVEYOR SYSTEMS OR PNEUMATIC TUBE CONVEYORS  (packaging B65B; handling thin or filamentary materials, e.g. paper sheets or thread, B65H; cranes B66C; portable mobile or lifting or hauling appliances, e.g. hoists, B66D; devices for lifting or lowering goods for loading or unloading purposes, e.g. fork-lift trucks, B66F9/00; emptying bottles, jars, casks, barrels or similar containers, not otherwise provided for, B67C9/00; delivering or transferring liquids B67D; filling or discharging vessels for liquefied, solidified or compressed gases F17C; pipe-line systems for fluids F17D)","B65B|B65H|B66C|B66D|B66F9/00|B67C9/00|B67D|F17C|F17D","ManipulatorsProducing conveyor beltsVehicles adapted for load transportationRailway wagons adapted for load transportationHand cartsSuperstructures for load-carrying vehiclesLoading or load-accommodating arrangements for ships or vessels, Equipment for handling freight in aircraftContainers, palletsHoisting, lifting, hauling or pushing not otherwise provided for, e.g. jacksConstruction of bulk storage containers employing civil engineering techniquesPumps for fluidsControl of flow in generalControl of level in generalHolding or levitation devices using magnetic attraction or repulsion","B25J|B29D29/06|B60P|B61D|B62B|B62D33/00|B63B25/00|B63B27/00|B64D9/00|B66B21/00|B66F|E04H7/00|F04D|G05D7/00|G05D9/00|H02N15/00","","","","This place covers: Methods or devices for storage on an industrial or commercial scale of articles in warehouses or magazines bulk solid material or disorderly articles fluids in cavities or chambers in the earth Devices, for example rollers or slings, for assisting manual moving or manipulation of heavy loads Methods or apparatus for conveying articles or bulk solid material from one location to another, for example within an industrial plant, by gravity, for example in chutes by rollers, for example on driven or non-driven roller-ways on endless load-carrying surfaces, for example belts or chains, or an essentially endless series of individual load-carriers on jigging surfaces by impellers, for example reciprocating scrapers, rotating fingers or elements carried by endless traction members by throwing by rotating or screw-like impellers by fluid flow or pressure, for example in tubes or by floating by electrostatic, electric or magnetic effects by other mechanical or non-mechanical means Methods or devices for handling articles or materials in connection with conveyors, for example for feeding or discharging conveyors or for orientating articles on a conveyor Conveying systems characterised by their application for specified purposes and not otherwise provided for, for example conveying workpieces through baths Methods or devices for stacking or de-stacking of three-dimensional articles or loose materials in bulk Methods or devices for loading or unloading of vehicles, large containers, ships and the like, for example in storage areas, marshalling yards or harbours"
"B65G1/00","Storing articles, individually or in orderly arrangement, in warehouses or magazines  (conveyor combinations in warehouses, magazines or workshops B65G37/00; stacking of articles B65G57/00; removing articles from stacks B65G59/00; loading machines B65G65/02)","B65G37/00|B65G57/00|B65G59/00|B65G65/02","Arrangements of articles for drying or baking in kilns or ovens, Controlling the size of articles to be stored before storage (measuring arrangements), Controlling the size of articles to be stored before storage (measuring contours), Controlling the size of articles to be stored before storage (measuring the length or width) Controlling the size of articles to be stored before storage (measuring the volume)Controlling the size of articles to be stored before storage, (optical means, light barriers)Analogue computers Coin-freed dispensing apparatus","F26|F27|G01B11/00|G01B11/24|G01B21/06|G01F17/00|G01V8/00|G06G|G07F11/00","","","",""
"B65G1/02","Storage devices  (furniture A47B; shop fittings A47F)","A47B|A47F","For elongated articlesSafety and protecting devices, e.g. against earthquake, collisions (fences, safety net, ...), For particular type of storing, e.g. cheese storageRack/shelfConnection to the groundProtecting rims, buffersTable equipmentPalletsRail construction on the floor (for stacker crane)Protection of shelves against forklift accidentCoin changers or sorters","B65G1/0442|B65G2207/20|B65G2207/40|A01J25/162|A47B47/021|A47B91/00|A47B95/043|A47G|B65D19/00|E01B|E01F15/141|G07D","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G1/023","{Arrangements of article supporting rollers on racks}","","Roller-waysRoller framesArrangements of rollers mounted on framework","B65G13/00|B65G13/11|B65G39/12","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G1/026","{Racks equipped with a displaceable load carrying surface to facilitate loading or unloading}","","","","","","","This place covers: Only the supporting surface moves Illustrative example of subject matter classified in this group:"
"B65G1/04","mechanical","","Vertically or horizontally movable racks, Control of position of vehicles","B65G1/127|B65G1/133|G05D1/00","","","","This place covers:  It is the head group of mechanical devices used in conjuction with racks in order to charge, discharge the racks, provided these are not stacker cranes. This group alco involves lifts, conveyor platforms (moving vertically) in form of racks. Illustrative example of subject matter classified in this group:"
"B65G1/0407","{using stacker cranes  (constructional features of stacker cranes B66F9/06)}","B66F9/06","Automatically guided forklift trucks","B66F9/063","","","","This place covers: Only for Stacker cranes movable along the shelves Illustrative example of subject matter classified in this group:"
"B65G1/0414","{provided with satellite cars adapted to travel in storage racks}","","with cars adapted to travel in storage aisleswith self propelled cars","B65G1/0492|B65G1/065","","","","This place covers: Satellite cars ""controlled"" by a stacker crane Illustrative example of subject matter classified in this group:"
"B65G1/0421","{with control for stacker crane operations}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
"B65G1/0428","{Transfer means for the stacker crane between the alleys}","","","","","","","This place covers: Illustrative example of subject matter classified in this group:"
