"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B67B","APPLYING CLOSURE MEMBERS TO BOTTLES JARS, OR SIMILAR CONTAINERS; OPENING CLOSED CONTAINERS  (opening or closing devices attached to, or incorporated in, containers or container closures B65D)","B65D","Devices for breaking closed containers , Manufacturing of bottle cork safety cages or muzzles.Apparatus for cutting in general.Applying plugs or threadless stoppersInserting and rotating screw stoppersDetails related to the filling gas bottles","B01F35/713|A61J1/2089|B21F45/04|B26F1/00|B65B7/2821|B65B7/2828|F17C13/00","","","","This place covers: Closing bottles or jars by applying: Stoppers; caps protective or decorative covers to closures; wire to secure bottle closures; Devices for opening closed containers being hand- or power operated.  Apparatuses for applying closures and/or covers (of closures) to gas bottles."
"B67B1/00","Closing bottles, jars or similar containers by applying stoppers  (stoppers per se B65D39/00)","B65D39/00","Applying plugs or threadless stoppersClosing containers other than bottle- or jar-type containers , , Inserting and rotating screw stoppersOrienting and/or conveying of caps in generalOpening or closing test tubes in laboratory (see e.g. SA850578)","B65B7/2821|B65B7/2821|B65B7/2828|B65B7/2835|B65B7/2828|B65G47/14|G01N35/00","","","","This place covers: Feeding stoppers. Pretreatment of stoppers. Inserting threadless stoppers. Inserting and rotating screw stoppers. Securing stoppers. Inserting disc closures."
"B67B1/005","{Feeding stoppers  (in general B65G)}","B65G","","","","","","This place covers: Illustrative example of subject matter classified in this "
"B67B1/03","Pretreatment of stoppers, e.g. cleaning, steaming, heating, impregnating or coating; Applying resilient rings to stoppers  (mechanical working of cork B27J5/00)","B27J5/00","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B1/04","by inserting threadless stoppers, e.g. corks","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B1/06","by inserting and rotating screw stoppers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B1/08","Securing stoppers, e.g. swing stoppers, which are held in position by associated pressure-applying means coacting with the bottle neck","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B1/10","by inserting disc closures","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/00","Closing bottles, jars or similar containers by applying caps  (caps per se B65D41/00)","B65D41/00","Inserting and rotating preformed threaded capsOpening or closing test tubes in laboratory (see e.g. SA850578), ","B65B7/2835|G01N35/00|G01N2035/0405","","","","This place covers: Pretreatment of caps. Applying marks to caps. Applying: Flanged caps, e.g. crown corks, by deformation of flanges; preformed threaded caps; snap-on caps. Means for applying caps under vacuum Applications of control, warning and safety in capping machinery."
"B67B3/003","{Pretreatment of caps, e.g. cleaning, steaming, heating or sterilizing}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/006","{Applying date marks, code marks, or the like, to caps during capping  (applying marks to labels B65C9/46)}","B65C9/46","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/02","by applying flanged caps, e.g. crown caps, and securing by deformation of flanges","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/20","by applying and rotating preformed threaded caps  (forming threads in situ by resilient deforming means B67B3/16, by rotary capping heads B67B3/18)","B67B3/16|B67B3/18","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2006","{using manually-controlled or manually operated devices}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/202","{using friction means for screwing the caps, e.g. belts or guides  (B67B3/2026, B67B3/2033 take precedence)}","B67B3/2026|B67B3/2033","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2026","{comprising stationary capping heads}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2033","{comprising carousel co-rotating capping heads}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/204","{Linear-type capping machines}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2046","{using friction means for screwing the caps, e.g. belts or wheels  (B67B3/2053 takes precedence)}","B67B3/2053","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2053","{comprising capping heads}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/206","{Means for preventing rotation of the container or cap}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2066","{Details of capping heads  (B67B3/2073 takes precedence)}","B67B3/2073","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/2073","{comprising torque limiting means  (torque limiters in wrenches or screwdrivers B25B23/14; couplings or clutches per se F16D)}","B25B23/14|F16D","Permanent magnetic clutches","H02K49/10","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/22","by applying snap-on caps","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/24","Special measures for applying and securing caps under vacuum","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/26","Applications of control, warning, or safety devices in capping machinery","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B3/28","Mechanisms for causing relative movement between bottle or jar and capping head","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B5/00","Applying protective or decorative covers to closures; Devices for securing bottle closures with wire  (infant feeding teats with means for fastening to bottles A61J11/04)","A61J11/04","","","","","","This place covers: Applying protective or decorative covers to closures. Securing bottle closures with wire."
"B67B5/03","Applying protective or decorative covers to closures, e.g. by forming in situ","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B5/06","Devices for securing bottle closures with wire  (B67B1/08 takes precedence)","B67B1/08","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B6/00","Closing bottles, jars or similar containers by applying closure members, not provided for in groups B67B1/00 - B67B5/00","B67B1/00|B67B5/00","","","This main group has been created to bring the scheme in line with the IPC but has not been used so far (July 2011).","","",""
"B67B7/00","Hand- or power-operated devices for opening closed containers  (nail pullers or extractors B25C11/00; attached to, or incorporated in, containers or container closures {B65D75/58, B65D77/30})","B25C11/00|B65D75/58|B65D77/30","Devices for breaking closed containers, see also , Apparatus for cutting in general: .Devices for expelling or dispensing solid content, e.g. pills, from blister packs ","B01F35/713|A61J1/2089|B26F1/00|B65B69/0058","Groups  -  are based on IPC3.","B67B7/24|B67B7/92","","This place covers: Devices for removing: Stoppers; disc-closures; tightly fitting lids or covers; threaded caps; vacuum seals. Devices for piercing holes in closed containers Device for cutting open closed containers operated by hand Device for cutting open closed containers power operated Devices for engaging elements for opening closed containers by tearing Devices for removing barrel bungs Combination tools for opening several different closed containers Devices for opening closed containers by means of breaking."
"B67B7/02","for removing stoppers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"B67B7/04","Cork-screws","","Details of cork screws, cork screws that do not fit in any of the subgroups","B67B7/44","","","",""
"B67B7/0411","{without supporting means for assisting the pulling action}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
