"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"B82Y","SPECIFIC USES OR APPLICATIONS OF NANOSTRUCTURES; MEASUREMENT OR ANALYSIS OF NANOSTRUCTURES; MANUFACTURE OR TREATMENT OF NANOSTRUCTURES","","Nanocapsules for medicinal preparationsLangmuir-Blodgett filmsNanostructures formed by individual manipulation of atoms, molecules, or limited collections of atoms or molecules as discrete units; manufacture or treatment thereofPreparation of carbon nanostructures, e.g. bucky-balls, nanotubes, nanocoils, nanodoughnuts or nanoonionsScanning probe techniquesOptical quantum wells or boxesNanostructured thin magnetic filmsMolecular beam epitaxy [MBE]Quantum wire FETs","A61K9/51|B05D1/20|B82B|C01B32/15|G01Q|G02F1/017|H01F10/32|H01F41/30|H01L29/775","","","Nanosize, nanoscalerelate to a controlled geometrical size below 100 nanometres (nm) in one or more dimensionsNanostructurean entity having at least one nanosized functional component that makes physical, chemical or biological properties or effects available, which are uniquely attributable to the nanoscale","This place covers: Applications and aspects of nanostructures which are produced by any method, and is not restricted to those that are formed by manipulation of individual atoms or molecules."
"B82Y5/00","Nanobiotechnology or nanomedicine, e.g. protein engineering or drug delivery","","","","See also subclass .Note that this group deals with artificial structures, particles etc. Proteins and viruses as they appear in nature are to be classified in ,  or  and (viral) vectors constructed by cloning techniques are to be classified in .Although they may be of nanosize, liposomes and virus-like particles (VLPs) are not considered to be nanotechnology.","B82Y|C07K14/00|C12N9/00|C12N7/00|C12N15/00","Functionalized nanotube/ nanowirelinear nanostructures with a linear extension having a diameter of the order of 100 nanometer or less and a high aspect ratio (e.g > 1000), having specific chemical groups (e.g. receptors) physically or chemically bound to their surface.",""
"B82Y10/00","Nanotechnology for information processing, storage or transmission, e.g. quantum computing or single electron logic","","","","See subclass .","B82Y"," Nanowire, nanorod nanostructure with a linear extension having a diameter of the order of 100 nanometer or less and a high aspect ratio (e.g > 1000)Molecular wiremolecular-scale objects with linear structure, which conduct electrical current, commonly comprising freely moving electrodes",""
"B82Y15/00","Nanotechnology for interacting, sensing or actuating, e.g. quantum dots as markers in protein assays or molecular motors","","","","See subclass .Note that this group deals with nanostructures used for sensing or actuating, wherein the nanostructure itself (e.g. quantum dot, nanotube) is at least part of the sensor or actuator. Macroscopic apparatuses used for sensing or actuating at a nanoscopic scale or resolution (like, e.g., scanning probe microscopes) are to be classified in .","B82Y|B82Y35/00","Functionalized nanotube/ nanowirelinear nanostructures with a linear extension having a diameter of the order of 100 nanometer or less and a high aspect ratio (e.g > 1000), having specific chemical groups (receptors) physically or chemically bound to their surface.",""
"B82Y20/00","Nanooptics, e.g. quantum optics or photonic crystals","","","","See subclass .","B82Y","",""
"B82Y25/00","Nanomagnetism, e.g. magnetoimpedance, anisotropic magnetoresistance, giant magnetoresistance or tunneling magnetoresistance","","","","See subclass .","B82Y","",""
"B82Y30/00","Nanotechnology for materials or surface science, e.g. nanocomposites","","","","See subclass .","B82Y","",""
"B82Y35/00","Methods or apparatus for measurement or analysis of nanostructures","","","","See subclass .","B82Y","",""
"B82Y40/00","Manufacture or treatment of nanostructures","","","","See subclass .Note that this deals with nanostructures as defined in . This means that for example documents relating to nanocomposites which are prepared using pre-made nanostructures (i.e. as bought from a supplier) will not receive , since the nanostructures themselves are not prepared or manufactured in the document.","B82Y|B82Y|B82Y40/00","Nanostructuresan entity having at least one nanosized functional component that makes physical, chemical or biological properties or effects available, which are uniquely attributable to the nanoscale",""
"B82Y99/00","Subject matter not provided for in other groups of this subclass","","","","See subclass .Documents are preferably not classified here. Therefore, all other groups take precedence.","B82Y","",""
