"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C02F","TREATMENT OF WATER, WASTE WATER, SEWAGE, OR SLUDGE  (separation in general B01D; special arrangements on waterborne vessels of installations for treating water, waste water or sewage, e.g. for producing fresh water, B63J; adding materials to water to prevent corrosion C23F; treating radioactively-contaminated liquids G21F9/04; regeneration of reactants for recirculation into processes, see the relevant places for the processes)","B01D|B63J|C23F|G21F9/04","Treating waste water and sewage on vessels","B63J4/00","Devices are only classified in detail if there is no appropriate, more general place available and if they are clearly related to the water treatment aspect (i.e. if they are not universally applicable). Important (invention-related) information is classified with CPC classification symbols, e.g. , other (secondary) information with additional information symbols, e.g. . The following additional information symbols are available:Symbols for specifying the nature of the contaminant - Symbols for specifying the nature of water, waste water or sludge to be treated - Symbols for details of the apparatus used for treatment of water, wastewater or sludge - Symbols for specifying details of the apparatus and plants for the biological treatment of water, wastewater or sewageSymbols for controlling or monitoring parameters in water treatment. - Symbols for specifying general aspects of water treatment - Symbols for specific treatment goals - Symbols for the use of specific compounds in water treatment - Symbols for the location of water treatment or water treatment device - ","C02F1/02|C02F1/02|C02F2101/00|C02F2101/40|C02F2103/00|C02F2103/42|C02F2201/00|C02F2201/784|C02F2203/00|C02F2209/00|C02F2209/445|C02F2301/00|C02F2301/08|C02F2303/00|C02F2303/20|C02F2305/00|C02F2305/10|C02F2307/00|C02F2307/08","Sludgeaqueous suspension of solids resulting from water treatment processes and having a solids concentration of typically more than 2 g/L","This place covers: The physical, chemical and biological treatment of water, waste water or sewage, e.g. by distillation or evaporation, by degassing, by centrifugal separation, by flocculation of suspended impurities or by using plants such as algae. Selection or use of compositions for such treatments. Compositions (per se) specially adapted for water treatment. Softening water and preventing scale; Adding scale preventatives or scale removers to water, e.g. adding sequestering agents. Aeration of stretches of water. Multistep treatment of water, waste water or sewage. Treatment of sludge and devices therefore, e.g. bioreactors. Sludge treatment covered in this subclass is usually restricted to the treatment of sludge obtained from a water treatment process."
"C02F1/00","Treatment of water, waste water, or sewage  (C02F3/00 - C02F9/00 take precedence)","C02F3/00|C02F9/00","","","","","","This place covers: This group covers processes and apparatus relating to physical and chemical water treatment (ultrapure water, potable water, wastewater). Treatment concerns only water, waste water or sewage and not any liquids"
"C02F1/001","{Processes for the treatment of water whereby the filtration technique is of importance  (C02F1/44 takes precedence; construction of filters in general B01D24/00 - B01D41/00)}","C02F1/44|B01D24/00|B01D41/00","Membrane filters - ","B01D61/00|B01D71/00","The head group should only be used if none of the more specific groups is appropriate.","","","This place covers: Methods for separation of water and particles suspended in water."
"C02F1/002","{using small portable filters for producing potable water, e.g. personal travel or emergency equipment, survival kits, combat gear  (C02F1/003 takes precedence)}","C02F1/003","Indexing symbol for bottle-filters","C02F2307/02","","","","This place covers: This class relates to small portable filters, which are mostly pocket-sized, e.g. filters integrated in drinking straws, canteens or bottles. Bottle-filters can be further characterised using the symbol  ."
"C02F1/003","{using household-type filters for producing potable water, e.g. pitchers, bottles, faucet mounted devices  (C02F9/005 takes precedence)}","C02F9/005","Filter as part of a bottleFilter being part of a pitcher or jugFilter being mounted on a faucet or showerheadApparatus for making beverages including water filtersFilter condition indicatorsLiquid dispensers","C02F2307/02|C02F2307/04|C02F2307/06|A47J31/605|B01D35/143|B67D","","","","This place covers: This class contains household filters, e.g. pitchers, larger bottles, cartridges, faucet mounted devices, filters useable either in commercial or residential establishments. Additional details can be classified using Indexing symbols   -   (see the informative references)."
"C02F1/004","{using large scale industrial sized filters}","","BiofiltersFilters in general","C02F3/00|B01D","","","","This place covers: To be used for large scale (industrial scale) mechanical filtration, e.g. use of a sand filter, rapid filtration. Typical applications are filters in drinking water purification plants, post filtration in wastewater treatment plants, water filtration for industrial water stream."
"C02F1/005","{Systems or processes based on supernatural or anthroposophic principles, cosmic or terrestrial radiation, geomancy or rhabdomancy}","","Homeaopathy, esoteric applicationsScreening of terrestrial radiationRadio-esthesis, dowsing","A61K41/0004|A61N1/16|G01V9/002","Clear treatment steps, e.g. magnetic treatment, irradiation can be classified by adding the corresponding additional information symbol (, ; etc.).","C02F1/48|C02F1/30","","This place covers: Systems or processes based on supernatural or anthroposophic principles. This class is used for all esoteric applications which claim implausible effects (lack of scientific explanation, quackery)."
"C02F1/006","{Water distributors either inside a treatment tank or directing the water to several treatment tanks; Water treatment plants incorporating these distributors, with or without chemical or biological tanks  (for settling tanks B01D21/24)}","B01D21/24","","","","","","This place covers: This class is used for any devices directing the water to be treated into the treatment tank or installation, e.g. pipes, connecting vessels."
"C02F1/008","{Control or steering systems not provided for elsewhere in subclass C02F}","C02F","Control parameters and systems - Control in general","C02F2209/00|C02F2209/445|G01N","","","","This place covers: Control of parameters in the physical or chemical water treatment processes"
"C02F1/02","by heating  (methods of steam generation F22B; preheating boiler feed-water or accumulating preheated boiler feed-water F22D)","F22B|F22D","Heat sterilisation for pharmaceuticalsGeneral heat sterilisation","A61L2/0023|A61L2/04","The groups  -  cover applications in which the water treatment process concerns mainly the heating of the water to be treated, e.g. disinfection, evaporation, distillation.","C02F1/02|C02F1/18","","This place covers: Treatment of water by heating"
