"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C04B","LIME, MAGNESIA; SLAG; CEMENTS; COMPOSITIONS THEREOF, e.g. MORTARS, CONCRETE OR LIKE BUILDING MATERIALS; ARTIFICIAL STONE {(roofing granules E04D7/005)}; CERAMICS  (devitrified glass-ceramics C03C10/00); REFRACTORIES; TREATMENT OF NATURAL STONE","E04D7/005|C03C10/00","Materials for prostheses or for coating prostheses Chemical or biological purification of waste gases Layered products Treating inorganic non-fibrous materials to enhance their pigmenting or filling properties Adhesives Cementing or plastering compositions for boreholes or wells Alloys based on refractory metals Shaft or vertical furnaces in generalHydraulic hardening materials , e.g. concretes, ceramics or refractories for protection against radiation, i.e. shielding ","A61L27/00|B01D53/34|B32B|C09C|C09J|C09K8/00|C22C|F27B1/00|G21F1/00","In this subclass, for the parts -, , ,  the CIS indexing system is used. For details, see belowCombination set (C-sets)1. Introduction1.1 This manual relates to the rules to be applied when classifying documents using C-sets in the ""cement part"" of subclass . With the ""cement part"" we mean the whole of the subclass, with the exception of the range  - .However, symbols of the range  -  can be used as Indexing Codes (when the classification is in  or ).1.2 C-sets are used in three major areas:-  -  and : Compositions of cement/concrete mixtures or of artificial stone like materials- : porous materials- : after treatment.1.3 Symbols that are used in the present C-set system are chosen from:-  -  (with the exception of ):these are symbols which can be used as classification as well as symbols in the combination sets (C-set), - , :these are symbols used as additional information (CCA) or within the C-set (see below).1.4 The principles of Combination sets are based on the possibilities offered by the IPC (until IPC7) for using classification symbols also as (linked) Indexing Codes.The C-sets are present in EPODOC:/CCI : CPC classification symbol/CCA: Additional information/CLC: the combination sets (C-sets) of symbols linked to the classification (CCI) or to the additional information (CCA)The first symbol of a C-set is referred to as the ""base class"". Symbols in the C-set are separated by a comma (,).The base group can be an CCI or CCA group2. C-sets in the range  -  and 2.1 This part of  relates to cement-, mortar-, concrete- and artificial stone compositions or their constituents or ingredients.As a general rule such compositions (further referred to as ""mixtures"") contain three types of ingredients:- one or more binders (organic or inorganic)- fillers (inactive ingredients)- active ingredients, e.g. accelerators.[Exception: main group  relates to compositions not containing binders].2.2 Overview of main groups:-  -  : relate to inorganic binders as such-  -  : relate to fillers-  -  : relate to active ingredients-  -  : relate to the mixtures-  : relates to characteristics / preparation of the mixtures2.3 Classification rules:2.3.1 When an invention relates to an individual ingredient, classification is made in the range  -  if this ingredient is a binder, in the range  -  if the ingredient is a filler and in the range  -  if it is an active ingredient.2.3.2 When an invention relates to a mixture, classification is made in the range  - , according to the binder used while applying the last place rule (LPR). So if a combination of an organic and an inorganic binder is present, classification is made in , not in . If a combination of two inorganic binders is present, classification is done in  according to the LPR for one of the binders, the others are added as symbols in the C-set and are chosen from - groups. If one of the ingredients is (suspected to be) new or unusual, or special details describing this ingredient are given, classification is also made for this ingredient.2.3.3 When the invention merely relates to the preparation or characteristics of the mixture, classification is made in . If the mixture as such or one of its ingredients is considered to be new or unusual, classification is made for these aspects too. For obtaining porous materials see point 3. below.2.3.4 When the invention relates to an active additive which is a mixture on its own, e.g. the combination of two specific polymers and a specific inorganic salt, classification is made in . If the use of one of the ingredients as such is new to the field, classification for this ingredient as such is made also.2.4 C-set rules:2.4.1 Primary goal of the combination set is to identify the individual constituents of the mixtures, using the classification symbols for these ingredients as part of a C-set, linked to the classification symbol which already identifies (one of) the binder(s).Example 1:A mixture containing a mixed binder of aluminium cement, Portland cement and a polymeric co-binder, next to diatomaceous earth and an inorganic sulfate will be classified - according to the LPR - in , the other ingredients being identified by the appropriate symbols in the C-set:CCI:  C-set (CLC) : , , , , An organic co-binder next to an inorganic binder is indexed as an active organic ingredient (main group ).Because in this example, all ingredients as such are known in the field, no further classification is made.2.4.2 When for one of the ingredients alternatives are mentioned, separate C-sets are made.Example 2:If in the example 1, an inorganic chloride was mentioned as an alternative to the sulfate, the indexing would look like:Set 1: , , , , Set 2: , , , , (Putting  and  in the same set would mean they are both present in the same mixture).2.4.3 When classification is made for individual (active) ingredients, their function or in some cases their characteristics can be identified using the  series.Example 3:A new organic sulfonated plasticizer:/CCI :  /CCA : When for a mixture, many alternatives for the same ingredient with a specific function are mentioned, instead of making a set for each alternative, only one C-set with the  symbol in the C-set for the function can be made. If one of the alternatives is preferred in the document a second set with the symbol for that alternative can be made too.Example 4:In a concrete mixture, a superplasticizer is added. This superplasticizer can be chosen from many alternatives, for each of which a  entry exist. However a lignosulfonate is preferred./CCI :  C-set 1 , C-set 2 , 2.4.4 In a similar way, characteristics or uses of the mixtures are identified with symbols of the  series. These symbols are always used as additional information.(CCA)Example 5:The composition of example 1 is used for sound insulation:In addition to the above sets CCA: 2.4.5 When information is given about the preparation or characteristics ofthe mixtures - this information not being the ""main"" information - additional symbols of main group  can be added in the C-set.Example 6:The mixture of example 1 is hardened using microwaves:C-set : , , , , , The mixture of example 1 is of the deferred action type:C-set: , , , , , 2.4.6 When the process of making is the main invention a CCI in  can be given. As a general rule, when classifying in , symbols in the C-set are used to identify the kind of mixture, not to identify the individual ingredients. If it is important to identify these ingredients, further classification is made as mixture and the ingredients are identified by symbols linked to the classification symbol of the mixture in the C-set.Example 7:If only common ingredients are used:/CCI :  C-set: , If also the composition of the mixture is of interest:/CCI  and C-set 1: , C-set 2: , , 2.4.7 A special case within main group  are the pre-mixtures of ingredients.Here the same principle as for point 2.4.1 is applied, i.e. the classification symbols identifying the ingredients are linked to  (CCI) and a symbol from the range  -  is added to the C-set to indicate for which kind of mixture the pre-mixture is intended to be used.Example 8:/CCI : C-set : , , , , 2.4.8 In the range for inorganic binders as such ( - ) symbols can also be used in a C-set to identify aspects for which a classification symbol exists, but which aspects as such are not important enough to be classified.Example 9:/CCI:  C-set : , Example 10:/CCI :  C-set : , 2.4.9 For agglomerated materials (= artificial aggregates or fillers), which are classified in  and subgroups, the starting materials other than the binder can be identified with further symbols in the C-set.Example 11:Making artificial gravel from a mixture of cement and mining refuse:/CCI :  C-set : , 2.4.10 Main group  is a general group for fillers. When classification is made in this group, very often the specific filler involved is identified by adding the specific filler symbol in the C-set..Example 12:Expanding perlite in a rotary kiln:/CCI:  C-set: , Example 13:Coating alumina with metal:/CCI :  C-set : , 2.4.10a Groups  and  are used in the C-set only in combination with  to indicate:-in the case of  that a coating is an alternative to the previous indicated coatingExample 14:, , , , , , , -in the case of  that the coating layer is the same as a previous coating layerExample 15:, , , , , , , 3.Classifying in main group .3.1 This part of  relates to porous or lightweight cement-, mortar-, concrete-and artificial stone compositions and porous or lightweight ceramics.More generally we could say that  relates to inorganic foamed materials or bodies, with the exception of foamed metal.Subdivision of  is largely based on the methods used for obtaining the porosity or the reduction in weight, e.g. by adding lightweight filler (), by adding a gas forming agent () or by burning out a burnable additive ().3.2 Classification and C-set rules:3.2.1 Officially in main group , there is no LPR. Nonetheless when porosity is obtained by a combination of methods, as a general rule, classification is made in the last appropriate place. The second method, not identified by classification (CCI), is identified by a  symbol in the C-set. If of interest, documents can be even classified twice (see further point 3.2.3)3.2.2 The central idea for classification/indexing in  is:- classification according to the method (see 3.2.1) and- Indicating the nature of the material that is made porous or lightweight.For identifying the nature of the material, symbols can be chosen from  - . In very exceptional cases also  symbols can be used.Example 16:Obtaining a porous silicon carbide body by dissolving out a soluble salt./CCI :  C-set: , Example 17:Obtaining porous porcelain by burning out a monolithic PUR sponge impregnated with clay slip:/CCI :  C-set : , HOWEVER there is a fundamental difference in approach when classifying ""cement type"" mixtures and ""ceramic type"" materials or bodies: see points 3.2.6 and 3.2.7 below!3.2.3 When a combination of methods is used, the method that is not identified by the classification is given a  symbol in the C-set.Example 18:To the material of example 14 there is also added a gas forming agent:/CCI :  C-set: , , 3.2.4 In the same way other aspects of interest can be identified by giving further  symbols.Example 19:The material of example 18 is characterised by the dimensions of the nanosized pores and the overall % of porosity:/CCI :  C-set: , , , , 3.2.5 When classifying in main group , in the same way as for the indexing of mixtures as described in point 2 above, symbols of the series  can be used to indicate properties are uses, e.g. sound insulation.Example 20:The material of example 17 is used for electronic applications:/CCI:  CCA :  C-set: , 3.2.6 Porous or lightweight ceramics are always classified in  according to rules 3.2.1 to 3.2.53.2.7 Porous or lightweight cement-, concrete-, artificial stone- and like mixtures:3.2.7a These type of mixtures are classified as such mixtures, so in the range  - , according to the rules of point 2 above. The appropriate  symbols are added in the C-set.Example 21:Reinforced portland cement based concrete containing also carbon fibres and made porous by adding Al particles (Al will react with Ca(OH) liberated during cement hardening and thus produce H gas):/CCI :  C-set: , , , , Example 22:Foaming gypsum by adding specific sulfonated foaming agent:/CCI:  C-set: , , 3.2.7b When one or more of the other symbols give sufficient "" information"", no further  symbols are given.Example 23:Expanded clay containing concrete will NOT receive symbol , because  already gives sufficient information:/CCI:  C-set: , 3.2.7c So as a general rule these kind of mixtures are not classified in main group . Classification is made in this main group only when the invention relates to the process of obtaining the porosity or the reduction of weight. When the composition as such is still interesting in such a case, further classification is made for the mixture.Example 24:The characteristic feature of the invention of example 21 is the way in which the Al particles are handled in the context of obtaining the gas concrete:/CCI :  and C-set 1: , , , , C-set 2: , 3.2.8 While in general the LPR is applied in main group , exception is made for obtaining porous or lightweight ceramic particles . As a general rule, this group takes precedence over the other  groups.Example 25:Obtaining porous alumina particles by burning out polymeric core:/CCI  C-set: , , 4. Classifying in main group 4.1 This part of  relates to the after-treatment of materials covered by ,i.e. after-treatment of cement-, mortar-, concrete- and artificial stone products as well as ceramic materials AND natural stone. Hereinafter the treated materials are referred to as ""substrates"".While other kinds of after-treatment are not excluded,  relates to after-treatment of substrate, mainly to :- coating or impregnation of the substrates:  and subgroups- removing material from the substrates:  and subgroups.In main group , no distinction is made between coating or impregnation. Therefore the terms coating, impregnation and layer are considered equivalent.4.2 Classification and C-set rules:4.2.1 As a general rule subdivision of main group  is based on aspects relating to the method of after-treatment, such as the selection of the method for applying the coating material on the substrate, e.g. by CVD () or the selection of the coating or impregnation material with which the substrate is treated, e.g. coating with carbon ().When using C-set, only the range  -  is used . Documents classified in the range  -  always get also a class in  - , which may be combined with one or more C-sets.4.2.2 To identify the substrate that is after-treated, the class  is given and C-sets are created using complementary symbols chosen from:-  -  when natural stone is treated-  -  when artificial stone, e.g. concrete is treated-  -  when ceramics are treated-  -  when porous materials are treated-  -  when ceramic fibres are treated, i.e. only when classifying in .When the substrate is further defined e.g. a wood fiber/particle board, which in itself is information that does not require classification in the substrate class itself e.g.  , then the  set will be:, , If a class in  is also required because the mixture per se is interesting and is part of the invention information, then the  set will comprise only the  symbolExample 26:Impregnating a natural marble stone with polyester:/CCI:  and  C-set : , Example 27:Concrete based on aluminium cement is treated with waterglass (Na-silicate):/CCI:  and  C-set : , Example 28:A silicon nitride body is glazed:/CCI:  and  C-set :, Example 29:Coating alumina fibres with aluminium:/CCI:  and C-set 1:, C-set 2: , So for classification,  takes precedence over other  groups when ceramic particles or fibres are treated!Multiple coating of particulate or fibrous material is usually also classified in  so that it is possible to attribute C-sets for each coating layer (see point 4.2.5 below).4.2.3 In main group , the LPR applies. As most subgroups relate to specific methods of applying coatings are subgroups of , while the groups identifying the nature of the coating material are further down in the scheme, this LPR in general results in a classification according to the material applied. One or more symbols identifying aspects of the method used are added in the C-set.Example 30:The process of example 26 is carried out under vacuum and increased temperature:/CCI:  and C-set 1: , C-set 2: , , However, when the invention relates to the process proper, classification is made in the process group and a further symbol is used in the C-set for identifying the applied material on the substrate. If more ample information has to be given about the nature of the coating, classification is also made for this aspect in combination with a further C-set.Example 31:The process of example 26 is carried out under an atmosphere of very specific composition, this composition being the essential feature of the invention:/CCI:  and C-set 1:, C-set 2: , Example 32:In the example 31, the polyester can be mixed with other polymers:/CCI:  and  and C-set 1: , C-set 2: , C-set 3:, , , Exception on the LPR: for classification,  takes precedence over other groups of  when treatment of ceramic fibres or particles is concerned (see example 29).4.2.4 When alternatives are to be identified, the same procedure is applied as for concrete and like mixtures, i.e. two or more C-sets of symbols are made. There might be alternatives both for the process and the material applied to the substrate.Example 33:The treatment of example 27 can be carried out either under vacuum or under inert atmosphere:/CCI:  and C-set 1: , C-set 2: , C-set 3: , 4.2.5 Multiple coating or impregnation.When the same substrate is coated with two or more layers, classification is made in . If one of the layers as such might be new in the field, classification for this layer as such is made too.For each layer a separate C-set is made, each starting with , the first set relating to the first layer, the second set relating to the second layer etc.Example 34:A clay ware body is first coated with an engobe and then with a glaze:/CCI:  and C-set 1: , C-set 2: , C-set 3: , Example 35:The engobe used in example 34 looks new to the field:/CCI:  and  and C-set 1: , C-set 2: , C-set 3: , Exception: when the different coatings result in layers of the same composition, classification is made according to the nature of that layer and  is added to the C-set !Example 36:A boron carbide body is coated with two or more layers, which might slightly differ in composition, but which all result in a carbon coating:/CCI:  and C-set 1: , C-set 2: , As for single layer coatings, additional  codes can be added to the C-set to identify other interesting aspects of the respective coatings.4.2.6 When, in the case of multiple coating, alternatives are mentioned, the following procedure is followed.If, e.g. for layer 2 an alternative is to be identified, the third C-set will represent this alternative layer, with at the end the symbol . [This symbol is not to be used for classification.] So in this case, a possible third layer will be identified by the fourth C-set, because the third one refers to an alternative of the second layer (represented by the second set).Example 37:In the example 34, a porcelain layer can be used as an alternative to the engobe layer:/CCI:  and C-set 1: , C-set 2: , C-set 3: , , C-set 4: , -When a coating layer is the same as a previous coating layer, a similar procedure as above is followed, adding the symbol  at the end of the layer that is identical to a previously identified layerExample 38C - , , - , , - , , , - , , - , , , , %2- , , 4.2.7 For the sake of classification/C-sets in , treatment of ""green"" concrete or ceramics, i.e. concrete that has not hardened yet, resp. ceramic products that are not fired yet, is considered to be covered by . Such documents will receive  as an extra symbol in the C-set. Only in exceptional cases, classification can be made in this group.Example 39:The substrate of example 25 is treated before hardening of the concrete:/CCI:  /SI :  C-set: , 4.2.8 Group  relates to the removal of part of the materials of the treated article. A coating process including a step like polishing, roughening or etching is however not classified in  or a subgroup (what could be expected applying the last place rule), but is classified applying the general rules for coatings above and adding  or a subgroup to the C-set. If however the removal is the essential step of the invention, classification in  is (also) made.4.2.9 In the same way as when classifying/C-sets in the other parts of , mentioned above, symbols of the series  can be used to identify uses or characteristics of the products obtained.Example 40:The material of example 36 is used for electronic applications:/CCI:  , /Indexing Code: C-set 1: ,  andC-set 2: , ","C04B2/00|C04B32/00|C04B38/00|C04B40/00|C04B41/00|C04B|C04B33/00|C04B37/00|C04B33/00|C04B35/00|C04B38/00|C04B41/00|C04B2/00|C04B32/00|C04B40/00|C04B38/00|C04B41/00|C04B2/00|C04B41/00|C04B37/00|C04B2103/00|C04B2201/00|C04B2290/00|C04B2/00|C04B32/00|C04B40/00|C04B|C04B30/00|C04B2/00|C04B12/00|C04B14/00|C04B20/00|C04B22/00|C04B24/00|C04B26/00|C04B32/00|C04B40/00|C04B2/00|C04B12/00|C04B14/00|C04B20/00|C04B22/00|C04B24/00|C04B26/00|C04B32/00|C04B28/00|C04B26/00|C04B28/00|C04B7/00|C04B12/00|C04B40/00|C04B40/0039|C04B28/06|C04B28/06|C04B28/06|C04B7/02|C04B14/08|C04B22/142|C04B24/26|C04B24/00|C04B28/06|C04B7/02|C04B14/08|C04B22/142|C04B24/26|C04B28/06|C04B7/02|C04B14/08|C04B22/12|C04B24/26|C04B22/12|C04B22/142|C04B2103/00|C04B24/16|C04B2103/30|C04B|C04B24/00|C04B28/02|C04B28/02|C04B2103/32|C04B28/02|C04B24/18|C04B2111/00|C04B2111/52|C04B40/00|C04B28/06|C04B7/02|C04B14/08|C04B22/142|C04B24/26|C04B40/0218|C04B28/06|C04B7/02|C04B14/08|C04B22/142|C04B24/26|C04B40/06|C04B40/00|C04B40/00|C04B40/0286|C04B40/0286|C04B28/06|C04B40/0286|C04B28/06|C04B40/0286|C04B28/06|C04B28/06|C04B14/386|C04B22/0013|C04B40/00|C04B40/0039|C04B26/00|C04B32/00|C04B40/0042|C04B40/0042|C04B14/08|C04B22/142|C04B24/26|C04B28/06|C04B2/00|C04B12/00|C04B7/47|C04B7/47|C04B7/364|C04B11/26|C04B11/26|C04B11/024|C04B18/021|C04B18/021|C04B18/021|C04B18/12|C04B20/00|C04B20/061|C04B20/061|C04B14/18|C04B20/1062|C04B20/1062|C04B14/303|C04B20/123|C04B20/126|C04B20/12|C04B20/123|C04B20/12|C04B18/22|C04B20/1037|C04B20/12|C04B18/22|C04B20/1033|C04B20/123|C04B20/12|C04B18/22|C04B20/1055|C04B20/126|C04B20/12|C04B18/22|C04B20/1037|C04B20/12|C04B18/22|C04B20/1033|C04B20/12|C04B18/22|C04B20/1037|C04B20/126|C04B38/00|C04B|C04B38/00|C04B38/00|C04B38/08|C04B38/02|C04B38/06|C04B38/00|C04B38/00|C04B38/00|C04B26/00|C04B35/00|C04B14/00|C04B38/04|C04B38/04|C04B35/565|C04B38/0615|C04B38/0615|C04B33/24|C04B38/00|C04B38/04|C04B38/04|C04B35/565|C04B38/02|C04B38/00|C04B38/04|C04B38/04|C04B35/565|C04B38/0054|C04B38/0074|C04B38/02|C04B38/00|C04B2111/00|C04B38/0615|C04B2111/00844|C04B38/0615|C04B33/24|C04B38/00|C04B26/00|C04B32/00|C04B38/00|C04B28/04|C04B28/04|C04B14/386|C04B22/04|C04B32/02|C04B38/02|C04B28/14|C04B28/14|C04B24/16|C04B38/10|C04B38/00|C04B38/00|C04B38/08|C04B14/12|C04B28/02|C04B28/02|C04B14/12|C04B38/00|C04B28/04|C04B38/02|C04B28/04|C04B14/386|C04B22/04|C04B32/02|C04B38/02|C04B38/02|C04B28/04|C04B38/00|C04B38/009|C04B38/00|C04B38/009|C04B38/009|C04B35/10|C04B38/0615|C04B41/00|C04B|C04B|C04B41/00|C04B41/45|C04B41/53|C04B41/00|C04B41/00|C04B41/4531|C04B41/5001|C04B41/00|C04B41/5392|C04B41/60|C04B41/91|C04B41/00|C04B41/5392|C04B41/009|C04B14/02|C04B14/36|C04B26/00|C04B32/005|C04B33/00|C04B35/83|C04B38/00|C04B38/106|C04B14/38|C04B14/48|C04B41/4584|C04B28/02|C04B41/009|C04B41/009|C04B18/26|C04B28/02|C04B28/00|C04B41/009|C04B28/02|C04B41/4826|C04B41/009|C04B41/009|C04B14/285|C04B41/5089|C04B41/009|C04B41/009|C04B28/06|C04B41/5022|C04B41/009|C04B41/009|C04B35/584|C04B41/4584|C04B41/009|C04B41/009|C04B14/4625|C04B41/4584|C04B41/5155|C04B41/4584|C04B41/00|C04B41/52|C04B41/00|C04B41/4505|C04B41/4826|C04B41/009|C04B41/009|C04B14/285|C04B41/4826|C04B41/0072|C04B41/4515|C04B41/4519|C04B41/009|C04B41/009|C04B14/285|C04B41/4519|C04B41/4826|C04B41/4519|C04B41/4826|C04B41/009|C04B41/009|C04B14/285|C04B41/4519|C04B41/4826|C04B41/4826|C04B41/4519|C04B41/4811|C04B41/4823|C04B41/4584|C04B41/00|C04B41/4826|C04B41/009|C04B41/009|C04B14/285|C04B41/4826|C04B41/4515|C04B41/4826|C04B41/4517|C04B41/52|C04B41/52|C04B41/52|C04B41/009|C04B41/009|C04B33/00|C04B41/52|C04B41/504|C04B41/52|C04B41/5022|C04B41/52|C04B41/009|C04B41/504|C04B41/009|C04B33/00|C04B41/52|C04B41/504|C04B41/52|C04B41/5022|C04B41/52|C04B41/5001|C04B41/009|C04B41/009|C04B35/563|C04B41/5001|C04B41/52|C04B41/00|C04B41/522|C04B41/52|C04B41/009|C04B41/009|C04B33/00|C04B41/52|C04B41/504|C04B41/52|C04B41/5038|C04B41/522|C04B41/52|C04B41/5022|C04B41/524|C04B41/52|C04B41/4529|C04B41/5045|C04B41/52|C04B41/4529|C04B41/5054|C04B41/52|C04B41/4529|C04B41/5045|C04B41/524|C04B41/52|C04B41/4529|C04B41/5055|C04B41/52|C04B41/4529|C04B41/5045|C04B41/524|C04B41/524|C04B41/5055|C04B41/4529|C04B41/5031|C04B|C04B41/00|C04B41/4578|C04B41/5089|C04B28/06|C04B41/5089|C04B41/5007|C04B41/53|C04B41/53|C04B41/53|C04B41/53|C04B|C04B2111/00|C04B41/5001|C04B41/009|C04B2111/00844|C04B41/009|C04B35/563|C04B41/5001|C04B41/52"," Active ingredients Ingredients having an effect on the mortar-, concrete- or artificial stone composition during processing or on the characteristics of the final product, e.g. as set accelerator, as dispersant or as gas generating agent. Other examples are processing aids or property improvers, e.g. grinding aids, used after the cement burning process or in the absence of such a burning process. Cement The binder proper, i.e. excluding any additional ingredient or additive added to the finished binder as such, with the exception of mixtures of binders. Clinker The unground sintered product leaving the cement kiln. In patent literature this term might be used literally, i.e. to indicate the unground sintered product leaving the cement kiln, or it might be used to indicate the ground cement without any additive, i.e. not interground with additives such as gypsum.CeramicsInorganic, non metallic products obtained by a process involving a shaping step and a sintering or comparable heat treatment step, with the exclusion of cements , cermets and glasses, glazes, vitreous enamels and devitrified glass ceramics. Fillers  Inactive ingredients, include pigments, aggregates and fibrous reinforcing materials. Fine ceramics Ceramics having a polycrystalline fine-grained microstructure, e.g. of dimensions below 100 micrometer.Hydraulic binder For the purpose of classification and search in this subclass, the terms "" cement "" and "" hydraulic binder "" are considered to be equivalent, even if in literature, an hydraulic binder might be defined as a mixture of cement and one or more inorganic additives. Mortar- , concrete- and artificial stone compositions They are considered as a single group of materials, are mixtures of one or more binders with fillers or other ingredients. In the context of such compositions, the terms "" cement "" and ""binder"" are considered equivalent. Resin mortar or resin concrete Mortar or concrete containing resin as a binder instead of cement , i.e. excluding any inorganic binder and containing a considerable amount of inorganic filler compared with the amount of the organic binder. Refractories Ceramics or mortars withstanding high temperatures of at least about 1500 degrees C. For classification and search in this subclass no substantial distinction is made between the terms "" refractories "" and "" ceramics "". Porous materials Materials which are deliberately made porous, e.g. by adding gas-forming, foaming, burnable or lightweight additives to the composition they are made of.","This place covers: Chemical aspects of the processing of lime, magnesia or dolomite and of molten slag. Compositional aspects of: inorganic binders, such as hydraulic cements ; mortars, concrete and artificial stone, e.g. the choice of fillers or active ingredients therefore; shaped ceramic products, e.g. clay-wares, refractories , non-oxides. Physico-chemical aspects of methods for obtaining mortars, concrete, artificial stones or ceramics , e.g. for delaying the setting time of mortar compositions. Treatment including defibrillating of materials such as fillers , agglomerated or waste materials, or refuse to enhance their filling properties in mortars, concrete or artificial stone. Porous mortars, concrete, artificial stone or ceramic ware, and the preparation thereof. Methods and apparatus for: burning or slaking lime; obtaining mineral binders, e.g. Portland cement or hemihydrate plaster; the expansion of mineral fillers , such as clay, perlite or vermiculite. After- treatment of artificial stones, mortars, concrete and ceramics , e.g. coating or impregnation of green concrete after primary shaping. Non-mechanical treatment of natural stone. Processing powders of inorganic compounds in preparation to the manufacturing of ceramic products . The joining of burned ceramics with other articles by heating."
"C04B2/00","Lime, magnesia or dolomite  (hydraulic lime cements C04B7/34)","C04B7/34","","","","","","This place covers: Lime binders as such; Preparation thereof; C-set is used only incidentally in this class. If so, symbols are chosen from other   groups and  . A   symbol in a C-set set having a   CPC class indicates the presence of a second binder."
"C04B2/02","Lime {(obtaining Ca(OH)2 otherwise than by simple slaking of quick lime  C01F11/02)}","C01F11/02","","","","","",""
"C04B2/04","Slaking {(simultaneous dehydrating of gypsum and slaking of lime C04B11/022)}","C04B11/022","Devices and methoddocuments are classified in  and receive a C-set ; ","C04B2/08|C04B2/08|C04B2/04","","","","This place covers: Slaking, with water including air slaking, filtering after slaking"
"C04B2/063","{Slaking of impure quick lime, e.g. contained in fly ash}","","","","","","",""
"C04B2/08","Devices therefor","","","","","","","This place covers: Devices for slaking lime, e.g. devices for preparing milk of lime or for purifying slaked lime e.g. by filtering"
"C04B2/12","in shaft or vertical furnaces  (shaft or vertical furnaces in general F27B1/00)","F27B1/00","","","","","",""
"C04B5/00","Treatment of {metallurgical} slag  (manufacture of slag wool C03B; in, or for, the production of metals C21B, C22B); Artificial stone from molten {metallurgical} slag  (mechanical aspects B28B1/54 {other cast stone C04B32/005})","C03B|C21B|C22B|B28B1/54|C04B32/005","","","","","Metallurgical slag Slag from metallurgy processes ",""
"C04B7/00","Hydraulic cements  (calcium sulfate cements C04B11/00)","C04B11/00","","","CIS is used only incidentally in this class. If so, index codes are chosen from other  groups and . A  index code in a CIS set having a  EC class indicates the presence of a second binder.","C04B7/00|C04B|C04B7/00|C04B28/00","Hydraulic cement - like cements setting under the influence of water and - cements hardening in the air and under water","This place covers: Hydraulic cements as such and their manufacturing methods."
"C04B7/02","Portland cement","","","","","","","This place covers: Portland cement (PC), i.e. hydraulic cement produced by firing limestone or chalk and clay (or other silica, alumina, iron bearing materials) so that Ca-silicate sand aluminates are formed. Average composition: 45% C3S, 25%C2S, rest C3A, C4AF; i.e. average oxide composition: SiO2 17-24, Al2O3 3-7, Fe2O3 1-5, CaO60-65, MgO 1-5, alkali 1, SO3 1-3; i.e. average water : cement ratio is 0.4 - 0.6; i.e. during hydration Ca(OH)  is formed, given thus an alkaline reaction; i.e. PC clinker mostly coground with gypsum to retard setting; e.g. WHITE PC: low proportion of iron oxide by the choice of raw materials or by firing in reducing flame; e.g. MEDUSA CEMENT = white PC ; e.g. LOW HEAT CEMENT : high % of C2S and C4AF, low % of C3S and C3A; e.g. MASONRY CEMENT for more plastic mortar, often produced by grinding more finely than ordinary PC , a mixture of PC and limestone (or colloidal clay, diatomaceous earth); e.g. RAPID HARDENING PC = ground finer than PC, slightly altered, setting time similar but strength developed more rapidly; e.g. SULPHATE RESISTANT PC = high % of C3S and C2S, low % of C3A and C4AF. Should not contain C3A to avoid formation of ettringite (=""cement bacillus"")"
