"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C08G","MACROMOLECULAR COMPOUNDS OBTAINED OTHERWISE THAN BY REACTIONS ONLY INVOLVING UNSATURATED CARBON-TO-CARBON BONDS","","Layered productsLiquid crystal compositionsElectrolytic processes, e.g. electrophoresis","B32B|C09K19/00|C25","Classification guidanceIn this subclass, group  takes precedence over all other groups. A further classification is given if the polymers are obtained by reactions forming specific linkages for which an appropriate group is provided.Within each main group of this subclass, in the absence of an indication to the contrary, classification is made in the last appropriate place.In groups  - , in the absence of an indication to the contrary, macromolecular compounds obtained by reactions forming two different linkages in the main chain are classified only according to the linkage present in excess as disclosed in the document.This subclass also covers compositions based on monomers which form macromolecular compounds classifiable in this subclass.If the monomers are defined, classification is made in groups  - ,  according to the polymer to be formed.If the monomers are defined in a way that a composition cannot be classified within one main group of this subclass, the monomers are classified in group .If the compounding ingredients are of interest per se, classification is also made in subclass .Combination sets (C-Sets):In this subclass, C-Sets classification is applied to the following groups, listed in the table below, if the document discloses a pertinent combination of technical features that cannot be covered by the allocation of a single symbol. The fourth column of the table indicates the place where the detailed information about the C-Sets construction and the associated syntax rules can be found, in the definition section ""Special rules of classification"". C-Sets IDBase SymbolsSubsequent SymbolsC-Sets Formula; Location of C-Sets Rules#C8Ga, ,  - , , , , , , , , , , , , , , , ,  - ,  - (, ); reaction of a prepolymer with a reactive compound; see .#C8Gb,  - ,  - (, ); oligomerisation of isocyanate- or isothiocyanate-terminated of prepolymers; see .#C8Gc - , excluding  - (, ); manufacture of polymers from unsaturated low-molecular-weight compounds having active hydrogens and the resulting polymer also containing ionic or ionogenic group; see .#C8Gd-, , , , , , , , , , , , , , ,  - , ,  - (, ); reaction step of an unsaturated compound having active hydrogen(s) with an isocyanate-terminated prepolymer, the second symbol refers to the high-molecular weight reaction component of the prepolymer; see .#C8Ge -  - (, ); manufacture of unsaturated isocyanate(s) or isothiocyanate(s) containing ionic or ionogenic groups; see .#C8Gf - , , , , , , , , , , , , , , , -, , -,  - , ,  - (, ); reaction step of a process involving an unsaturated isocyanate-terminated prepolymer with a high molecular weight compound having active hydrogen; see .The specific C-Sets rule is located at only one place of the base symbol in the section ""Special rules of classification"" in the definition. If the C-Sets rule is applicable to all groups of a subclass, it is located at the subclass level only. If the same C-Sets rule is applicable to multiple groups or subgroups within the same subclass, the C-Sets rule is placed at the highest group or subgroup of the multiple groups.","C08G18/00|C08G61/00|C08G79/00|C08G2/00|C08G79/00|C08G83/00|C08G85/00|C08K|C08G18/10|C08G18/12|C08G18/2805|C08G18/30|C08G18/3897|C08G18/40|C08G18/42|C08G18/44|C08G18/46|C08G18/48|C08G18/50|C08G18/52|C08G18/54|C08G18/56|C08G18/58|C08G18/60|C08G18/61|C08G18/62|C08G18/63|C08G18/64|C08G18/65|C08G18/6696|C08G18/70|C08G18/8096|C08G|C08G|C08G18/00|C08G18/10|C08G18/12|C08G18/02|C08G18/027|C08G18/09|C08G18/097|C08G|C08G|C08G18/00|C08G18/67|C08G18/679|C08G18/6705|C08G18/0804|C08G18/0833|C08G|C08G|C08G18/00|C08G18/671|C08G18/672|C08G18/40|C08G18/42|C08G18/44|C08G18/46|C08G18/48|C08G18/50|C08G18/52|C08G18/54|C08G18/56|C08G18/58|C08G18/60|C08G18/61|C08G18/62|C08G18/63|C08G18/64|C08G18/65|C08G18/6696|C08G18/6705|C08G18/6795|C08G18/698|C08G|C08G|C08G18/00|C08G18/81|C08G18/8191|C08G18/0804|C08G18/0833|C08G|C08G|C08G18/00|C08G18/8158|C08G18/8175|C08G18/40|C08G18/42|C08G18/44|C08G18/46|C08G18/48|C08G18/50|C08G18/52|C08G18/54|C08G18/56|C08G18/58|C08G18/60|C08G18/61|C08G18/62|C08G18/63|C08G18/64|C08G18/65|C08G18/6696|C08G18/6705|C08G18/6795|C08G18/698|C08G18/65|C08G18/6696|C08G18/6705|C08G18/6795|C08G18/698|C08G|C08G|C08G18/00","Addition polymersPolymers in which unsaturated monomer molecules join together to form a polymer in which the molecular formula of the repeat unit is identical (except for the double bond) with that of the monomer.Block polymersPolymers formed by polymerization of monomers on to a macromolecule having groups capable of inducing the formation of new polymer chains bound at one or both ends of the starting macromolecule, or by polymerization using successively different catalyst types or successively different monomer systems without deactivating the intermediate polymer.Condensation polymersPolymers in which water or some other simple molecule is eliminated from 2 or more monomer molecules as they combine to form the polymer or crosslinks between polymer chains. CopolymersUsually denotes polymers of 2 chemically distinct monomers, and sometimes denotes terpolymers containing more than 2 types of monomer unit.Graft polymersMacromolecular compounds obtained by polymerizing monomers on to preformed polymers or on to inorganic materials. Such preformed polymers could be rubbers, polysaccharides, condensation polymers, homopolymers or copolymers of the addition polymer type.","This place covers: Macromolecular compounds obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds, e.g. condensation polymers, where the polymers are: Polymers from aldehydes or ketones, the polymers including polyacetals and phenol-formaldehyde-type resins such as novolaks or resoles, Polymers from isocyanates or isothiocyanates, the polymers including polyurethanes and polyureas, Epoxy resins, Polymers obtained by reactions forming a carbon-to-carbon link in the main chain, e.g. Polyphenylenes and polyxylylenes, Polymers obtained by reactions forming a linkage containing oxygen in the main chain, e.g. Polyesters, polycarbonates, polyethers and copolymers of carbon monoxide with aliphatic unsaturated compounds, Polymers obtained by reactions forming a linkage containing nitrogen in the main chain, e.g. Polyamides, polyamines, polyhydrazides, polytriazoles, polyimides, polybenzimidazoles and nitroso rubbers, Polymers obtained by reactions forming a linkage containing sulphur in the main chain, e.g. Polysulphides, polythioethers, polysulphones, polysulphoxides, polythiocarbonates and polythiazoles, Polymers obtained by reactions forming a linkage containing silicon in the main chain, e.g. Polysiloxanes, silicones or polysilicates, Other polymers obtained otherwise than by reactions only involving carbon-to-carbon unsaturated bonds, e.g. Polymers obtained by reactions forming a linkage containing other elements in the main chain, e.g. P, B, AL, Sn, block copolymers obtained by inter-reacting polymers in the absence of monomers, dendrimers and hyperbranched polymers. Processes for preparing the macromolecular compounds provided for in this subclass."
"C08G2/00","Addition polymers of aldehydes or cyclic oligomers thereof or of ketones; Addition copolymers thereof with less than 50 molar percent of other substances","","","","","","","This place covers: Addition polymers from aldehydes or ketones, i.e. polyacetals and copolyacetals Catalysts used for such polymerisation Post-polymerisation treatments of such resins. Polymerization of aldehydes or ketones initiated by wave energy or particle radiation Chemical modification of such resins by after-treatment"
"C08G2/12","Polymerisation of acetaldehyde or cyclic oligomers thereof","","","","","","","This place covers: Polymerisation of acetaldehyde or cyclic oligomers thereof e.g. polymerisation of trioxane"
"C08G4/00","Condensation polymers of aldehydes or ketones with polyalcohols; Addition polymers of heterocyclic oxygen compounds containing in the ring at least once the grouping —O—C—O—  (of cyclic oligomers of aldehydes C08G2/00)","C08G2/00","","","","","","This place covers: Condensation polymers of aldehydes or ketones with polyalcohols, e.g. the condensation product of formaldehyde and poly(alkylene oxides) Addition polymers of heterocyclic oxygen compounds containing in the ring at least once the grouping -O-C-O- , e.g. addition polymers of dioxolane, i.e. -  - ."
"C08G6/00","Condensation polymers of aldehydes or ketones only","","","","","","","This place covers: condensation polymers of aldehydes only condensation polymers of ketones only condensation polymers of aldehydes with ketones only"
"C08G6/02","of aldehydes with ketones","","","","","","","This place covers: Condensation polymers of aldehydes with ketones only, see for example WO2007141119 or US2005080222"
"C08G8/00","Condensation polymers of aldehydes or ketones with phenols only","","","","","","Novolac resinPhenol-formaldehyde resin where the molar ratio of formaldehyde to phenol of less than one, prepared in the presence of an acid catalystResol resinPhenol-formaldehyde resin where the formaldehyde to phenol ratio is greater than one, prepared in the presence of a base","This place covers: For example condensation of polymers of phenol with ketones and aldehydes ( ) m-cresol with propionaldehyde ( ) formaldehyde with phenol ( ) resorcinol with forlmaldehyde ( ) 3,4-xylenol with formaldehyde ( ) aminophenol with formaldehyde ( )"
"C08G10/00","Condensation polymers of aldehydes or ketones with aromatic hydrocarbons or halogenated aromatic hydrocarbons only","","","","","","","This place covers: For example, Naphthalene-formaldehyde polymer ( )."
"C08G12/00","Condensation polymers of aldehydes or ketones with only compounds containing hydrogen attached to nitrogen  (aminophenols C08G8/16)","C08G8/16","","","Within this main group, in the absence of an indication to the contrary, classification is made in the last appropriate place. This means that urea-melamine-formaldehyde resins are classified in .","C08G12/38","","This place covers: For example Aminoplast resins, i.e. urea-formaldehyde ( ) Melamine-formaldehyde ( ) or Urea-melamine-formaldehyde ( )"
"C08G14/00","Condensation polymers of aldehydes or ketones with two or more other monomers covered by at least two of the groups C08G8/00 - C08G12/00","C08G8/00|C08G12/00","","","","","","This place covers: for example Melamine-phenol-formaldehyde resins ( ) Urea-phenol-formaldehyde resins ( ), see EP2197928."
