"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C09K","MATERIALS FOR MISCELLANEOUS APPLICATIONS, NOT PROVIDED FOR ELSEWHERE","","Solid sorbent compositionsMaterials for treatment of water, waste water, or sewageFertilisers,e.g. mixtures of soil-conditioning or soil-stabilising materials with fertilisers characterised by their fertilising activity","B01J20/00|C02F|C05|C05G","","","Materialsinclude compounds, compositions, mixtures and preparations ","This place covers: The use of materials for applications not provided for elsewhere, e.g. sealing materials, drilling fluids. The use of materials in general having specific properties, not provided for elsewhere, e.g. anti-static properties, anti-oxidation properties. Materials selected for uses or applications not provided for elsewhere. All entries in this subclass relate to specific properties (e.g.   relates to materials with anti-static properties) or specific applications of materials (e.g.   relates to soil-conditioning or soil-stabilizing materials), except for main group   itself, which is the residual place for classifying materials with properties or applications for which no entries exist in   itself nor elsewhere in IPC."
"C09K3/00","Materials not provided for elsewhere","","","","","","","This place covers: Only materials for which no specific application is mentioned, for example thickeners that can be used for any composition are classified in this class ."
"C09K3/10","{Materials in mouldable or extrudable form} for sealing or packing joints or covers  (filling pastes C09D5/34)","C09D5/34","Use of inorganic ingredients- Use of organic ingredients- Compositions of macromolecular compounds","C08K3/00|C08K3/40|C08K5/00|C08K5/59|C08L","If no specific application of the sealant is cited, the document should only be classified in the appropriate  class.If the sealant is claimed without specific uses the document should be classified in the appropriate  class,howeverIf specific applications are cited (e.g. in the description) the document should additionally be classified in the relevant application fieldsandif many different applications are cited the document should only be classified in the appropriate  class. is not used for classification.All documents not falling under the definition of  or in the range  -  should be classified in Classification of additional information is done by using Indexing Codes:for indexing the properties and uses of the material :  - for indexing the chemical nature of the material:  - ","C09K3/10|C09K3/10|C09K3/10|C09K3/1006|C09K3/1003|C09K3/1009|C09K3/1021|C09K3/10|C09K3/10|C09K2003/1096|C09K2200/00|C09K2200/0697","","This place covers: Material in extrudable or mouldable form used for sealing or packing joints or covers"
"C09K3/14","Anti-slip materials; Abrasives {(products specifically intended for the fabrication of abrasive tools, blocks or papers, or for operations of the kind of sand-blasting and barrelling B24B31/14, B24C1/00; polishing compositions containing abrasive or grinding agents C09G1/02; polishing of semi-conductors H01L; friction compositions for brakes or clutches F16D69/02)}","B24B31/14|B24C1/00|C09G1/02|H01L|F16D69/02","Cleaning or scraping padsLappingproducts specifically intended for the fabrication of abrasive tools, blocks or papers, or for operations of the kind of sand-blasting and barrelling, ; Tools, grinding wheelsSawing fluids e.g. of silicon ingots, precious stonesPolishing of glassAbrasives as fillers for polymers ; polishing compositions containing abrasive or grinding agents Polishing of metals friction compositions for brakes or clutchespolishing of semi-conductors;","A47L17/00|B24B|B24B31/14|B24C1/00|B24D|B28D|C03C|C08K3/00|C09G1/02|C23F|F16D69/02|H01L","In this class boron and silicon are considered as metals , as well as association of carbon with metals e.g. carbides . Particles coated with boron , silicon or carbides : ","C09K3/1445","",""
"C09K3/1409","{Abrasive particles per se  (preparation of diamond C01B32/25)}","C01B32/25","Preparation of particles in general Abrasive particles for sand blasting Preparation of diamond Abrasives particles as fillers for polymers ","B01J|B24C11/00|C01B32/25|C08K3/00","","","",""
"C09K3/1454","{Abrasive powders, suspensions and pastes for polishing}","","Lapping Sawing fluids e.g. of silicon ingots, precious stones  Polishing of glass Methods and processes for polishing semi-conductors Polishing of semi-conductors ","B24B|B28D|C03C19/00|H01L|H01L21/00","","","",""
"C09K3/16","Anti-static materials","","Antistatic paper Photo paper","D21H5/00|G03C1/00","","","",""
"C09K3/18","for application to surfaces to minimize adherence of ice, mist or water thereto  (rendering particulate materials free flowing, in general, e.g. making them hydrophobic B01J2/30); Thawing or antifreeze materials for application to surfaces  (used in liquids for heat-transfer, heat-exchange or heat-storage or for the production of heat or cold other than by combustion, e.g. radiator liquids, C09K5/00)","B01J2/30|C09K5/00","Treatment of agricultural products Process for dewatering Treatment of bulk material e.g. sand or coal Glass surfacesDewatering of surfaces Treatment of textiles ","A01F25/00|B01D43/00|B65G3/00|C03C|C23G5/00|D06M","","","","This place covers: Compositions for non permanent treatment, with no formation of a permanent coating in order to reduce attachment of ice, mist or water to surfaces"
"C09K3/22","for dust-laying or dust-absorbing","","Treatment of fertilisers in powder form Treatment of road surfaces Treatment of mines  Treatment of tunnel walls ","C05G|E01H3/00|E21F5/00|E21F5/18","","","","This place covers: Compositions for non-permanent treatment in order to have dust-laying or dust absorbing"
"C09K3/24","for simulating ice or snow","","Artificial surfaces for winter sports  Fabrication of Ice or snow for sports ","E01C13/10|F25C3/00","","","",""
"C09K3/30","for aerosols  (aerosol containers B65D83/14)","B65D83/14","Sprayers for therapeutic purposes InhalatorsAerosol containers ","A61M11/00|A61M15/00|B65D83/14","","","","This place covers: Chemical compounds and mixtures of chemical compounds for aerosols, e.g. propellants"
"C09K3/32","for absorbing liquids to remove pollution, e.g. oil, gasoline, fat","","Litters for animalsSolid sorbents Treatment of waterApparatus for removing oil from water","A01K1/015|B01J20/22|C02F|E02B15/04","","","",""
"C09K5/00","Heat-transfer, heat-exchange or heat-storage materials, e.g. refrigerants; Materials for the production of heat or cold by chemical reactions other than by combustion","","Arrangement or adaptations of heating, cooling, ventilating, or other air-treating devices specially for passenger or goods spaces of vehiclesLubricating compositionsCorrosion inhibitorsUse of solar heat; selection of specific heat-exchange medium, , , , , , -Refrigeration machines, plants or systems, combined heating and refrigeration systems; heat systemsHeat-exchange apparatusDetails of heat-exchange and heat-transfer apparatus, of general application","B60H|C10M|C23F11/00|F24S10/501|F24S10/73|F24S10/80|F24S20/55|F24S23/11|F24S23/82|F24S70/00|F24S80/00|F25B|F28D|F28F","Last place rule appliesWhen classifying in ,  and  classification of additional information is done by using Indexing Codes:for indexing the chemical nature of the material:  - ","C09K5/042|C09K5/044|C09K5/045|C09K2205/00|C09K2205/48","","This place covers: Materials undergoing a change of physical change when used Materials not undergoing a change of physical change when used Materials undergoing chemical reactions when used Antifreeze additives"
"C09K8/00","Compositions for drilling of boreholes or wells; Compositions for treating boreholes or wells, e.g. for completion or for remedial operations","","",""," -  : Last Place RuleDrilling fluids with fluid loss additives : - and -when appropriate use Indexing Code for ""spotting"" and ","C09K8/02|C09K8/38|C09K8/02|C09K8/38|C09K8/50|C09K8/536|E21B31/03","",""
"C09K8/03","Specific additives for general use in well-drilling compositions","","","","mixtures of inorganic and organic additives :  only","C09K8/03","","This place covers: Only when the additive as such is disclosed without specification of the drilling fluid OR if it is for any kind of drilling fluid :  -"
"C09K8/145","{characterised by the composition of the clay}","","","","","","","This place covers: Aqueous well-drilling compositions characterised by well defined clay composition"
"C09K8/22","Synthetic organic compounds","","","","","","","This place covers: Monomers"
"C09K8/34","Organic liquids","","","","","","","This place covers: Specific non- oil components , e.g. olefins ,paraffins , special environmently friendly components"
"C09K8/42","Compositions for cementing, e.g. for cementing casings into boreholes; Compositions for plugging, e.g. for killing wells  (compositions for plastering C09K8/50)","C09K8/50","","","Documents classified in  and subgroups receive also a class and CIS codes in  in order to define the cementitious composition in more detail.Multiple classes can be used where appropriate.","C09K8/42|C04B","",""
"C09K8/50","Compositions for plastering borehole walls, i.e. compositions for temporary consolidation of borehole walls  (compositions for consolidating loose sand or the like around wells C09K8/56)","C09K8/56","","","- No last place rule in  - ,multiple classification when appropriate- When appropriate : use Indexing Code for fibers","C09K8/50|C09K8/94","","This place covers: Temporary seal , sealing for control of water flow in or out the formation, fluid loss control, profile modification"
"C09K8/516","characterised by their form or by the form of their components, e.g. encapsulated material","","","","For fibers : use Indexing Code","","",""
"C09K8/52","Compositions for preventing, limiting or eliminating depositions, e.g. for cleaning","","","","- No last place rule in  -  , multiple classification needed if material incorporated in characteristic form.- Compositions for removing drilling residues : - For preventing formation of hydrates formation  and Indexing Code for ""hydrates inhibition""-Compositions for removing /preventing specific depositions -","C09K8/52|C09K8/536|C09K8/52|C09K8/52|C09K8/524|C09K8/532","Cleaning remediation","This place covers: Compositions for use in the well also for removing drilling residues Cleaning is also called remediation"
"C09K8/532","Sulfur","","","","For H2S use corresponding Indexing Code","","","This place covers: Also sulfides"
"C09K8/54","Compositions for in situ inhibition of corrosion in boreholes or wells","","Corrosion inhibitors as such","C23F","","","",""
"C09K8/58","Compositions for enhanced recovery methods for obtaining hydrocarbons, i.e. for improving the mobility of the oil, e.g. displacing fluids","","Surfactants as such Bacteria, ","C09K23/00|C12P|C12R","- No last place rule in -, multiple classification might be needed- Viscolelastic surfactants : Indexing Code for VES","C09K8/58|C09K8/594","","This place covers: secondary and tertiary recovery"
"C09K8/582","characterised by the use of bacteria","","","","","","","This place covers: also enzymes"
"C09K8/584","characterised by the use of specific surfactants","","Surfactants as such","C09K23/00","Indexing Code for VES (viscoelastic surfactants )","","","This place covers: also polymeric surfactants"
"C09K8/594","Compositions used in combination with injected gas {, e.g. CO2 orcarbonated gas} (C09K8/592 takes precedence)","C09K8/592","","","","","",""
"C09K8/60","Compositions for stimulating production by acting on the underground formation","","","","Details of composition:  - ","C09K8/84|C09K8/88","",""
"C09K8/602","{containing surfactants}","","","","","","","This place covers: also demulsifiers surfactants"
"C09K8/607","{specially adapted for clay formations}","","","","","","","This place covers: capillary imbibition"
"C09K8/62","Compositions for forming crevices or fractures","","",""," should be used in combination with the classes for specific components","C09K8/62","",""
"C09K8/665","{containing inorganic compounds  (proppants C09K8/80)}","C09K8/80","","","","","","This place covers: gel breakers"
"C09K8/68","containing organic compounds","","","","- defined polymers  and classes -- defined surfactants , and class  and Indexing Code for viscoelastic surfactants (VES) when appropriate.-organic gel breakers :  and Indexing Code for "" gel breaker"" or ""bacteria or enzyme breaker""","C09K8/68|C09K8/88|C09K8/905|C09K8/68|C09K8/602|C09K8/68","","This place covers: monomers and polymers"
"C09K8/70","characterised by their form or by the form of their components, e.g. foams","","","","","","","This place covers: also gas"
"C09K8/706","{Encapsulated breakers}","","","","","","","This place covers: also breakers with any coating which delays the action of the breaker (i.e. also surfactant around the particles)"
"C09K8/72","Eroding chemicals, e.g. acids","","","","Acidizing in combination with drilling ,  and ","C09K8/72|C09K8/02","","This place covers: acid fracturing - acidizing, - fracture acidizing- matrix acidizing"
"C09K8/74","combined with additives added for specific purposes","","","","when appropriate, use Indexing Codes for :- anticorrosion- Viscoelastic surfactant (VES)- ""gel breaker"" or ""bacteria or enzyme breaker""","","","This place covers: - corrosion inhibitors - surfactants - breakers"
"C09K8/78","for preventing sealing","","","","","","","This place covers: Anti-sludge additives"
"C09K8/80","Compositions for reinforcing fractures, e.g. compositions of proppants used to keep the fractures open","","","","","","","This place covers: Compositions for consolidating fractures and compositions of proppants"
"C09K8/92","characterised by their form or by the form of their components, e.g. encapsulated material  (C09K8/70 takes precedence)","C09K8/70","","","","","","This place covers: also gas"
"C09K9/00","Tenebrescent materials, i.e. materials for which the range of wavelengths for energy absorption is changed as a result of excitation by some form of energy","","Luminescent materialsLiquid crystal materials","C09K11/00|C09K19/00","Markush formulae or generic formulae are not classified, only concrete embodiments or examples are classified. Simple lists of known compounds (without application in an example or embodiment) are not classified. covers organic tenebrescent materials,  covers organic photoluminescent materials, e.g. phosphors.The use of Indexing Codes of  for specific organic compounds is compulsory.Further classification has to be made in other places of section , e.g.  or , whenever appropriate.If an application of tenebrescent materials is described, e.g. semiconductor devices or markers in biotechnology, then classification has also to be allocated in the relevant application place.","C09K9/02|C09K11/06|C09K2211/00|C|C07|C08","","This place covers: Tenebrescent materials, i.e. materials for which the range of wavelength for energy absorption is changed as a result of excitation by some form of energy"
