"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C11C","FATTY ACIDS FROM FATS, OILS OR WAXES; CANDLES; FATS, OILS OR FATTY ACIDS BY CHEMICAL MODIFICATION OF FATS, OILS, OR FATTY ACIDS OBTAINED THEREFROM","","Fuels from fatty acids (Biodiesel)Lubricants from fatty acids","C10L|C10M","","","Fat Esters of glycerol and fatty acids, generally in solid formFatty acid A carboxylic acid consisting of a hydrocarbon chain, which may have unsaturations and a terminal carboxyl groupOil Fat which is in liquid formEsterificationReaction between acid and alcohol resulting in ester bondHydrogenationChemical process that adds hydrogen atoms to a moleculeIsomerizingProcess by which one molecule is transformed into another molecule which has exactly the same atomsLipidOrganic compounds based on fatty acids, generally hydrophobic WaxAny of a group of substances composed of hydrophobic hydrocarbons, alcohols, fatty acids, and esters that are solid at ambient temperatures.","This place covers: Methods and apparatus for preparation of fatty acids from fats, fatty oils, or waxes; compositions thereof Refining the fatty acids; methods and apparatus thereof Fats, oils, or fatty acids by chemical modification of fats, oils, or fatty acids obtained therefrom; methods and apparatus thereof Candles; compositions therefor, processes and apparatus for production thereof"
"C11C1/00","Preparation of fatty acids from fats, fatty oils, or waxes; Refining the fatty acids  (recovery of fatty acids from waste materials C11B13/00)","C11B13/00","","","","","","This place covers: Production of fatty acids in general."
"C11C1/002","{Sources of fatty acids, e.g. natural glycerides, characterised by the nature, the quantities or the distribution of said acids}","","","","","","","This place covers: Sources selected for production of particular types of fatty acids (e.g. HUFA, PUFA, CLA, branched fatty acids, etc.)"
"C11C1/005","{Splitting up mixtures of fatty acids into their constituents  (processes intended for both fats and fatty acids C11B7/00)}","C11B7/00","","","","","","This place covers: Processes specifically for separating fatty acids (e.g. stearic from oleic, CLA from C  in general)"
"C11C1/007","{using organic solvents}","","","","","","","This place covers: Recovery and refining of fatty acids specifically."
"C11C1/02","from fats or fatty oils","","","","","","","This place covers: Recovery and refining of fatty acids specifically from pre-separated oils/fats in general."
"C11C1/025","{by saponification and release of fatty acids}","","","","","","","This place covers: Recovery and refining of fatty acids specifically from pre-separated oils/fats using base hydrolysis."
"C11C1/04","by hydrolysis","","","","","","","This place covers: Recovery and refining of fatty acids specifically from pre-separated oils/fats using non-base hydrolysis."
"C11C1/045","{using enzymes or microorganisms, living or dead}","","","","","","","This place covers: Preparation of fatty acids from fatty acid containing material, e.g. hydrolysis of fats or fatty oils using esterase, lipase to prepare fatty acids"
"C11C1/06","using solid catalysts","","","","","","","This place covers: e.g. clays, resins, etc."
"C11C1/08","Refining","","","","","","","This place covers: Undefined processes for removing undesired material from fatty acids."
"C11C1/10","by distillation","","","","","","","This place covers: Processes for removing undesired material from fatty acids where process depends on change to gaseous phase., e.g. distillation, short path, wiped film"
"C11C1/103","{after or with the addition of chemicals}","","","","","","","This place covers: E.g. steam."
