"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C12H","PASTEURISATION, STERILISATION, PRESERVATION, PURIFICATION, CLARIFICATION OR AGEING OF ALCOHOLIC BEVERAGES; METHODS FOR ALTERING THE ALCOHOL CONTENT OF FERMENTED SOLUTIONS OR ALCOHOLIC BEVERAGES  (simulation ageing by flavouring C12G3/06)","C12G3/06","Preservation of foods or foodstuffs, in generalDistillation or rectification of fermented solutions to obtain pure alcoholRecovery of by-products from wine or beer Preparation of alcoholic beverages other than wine or beer by varying the composition of fermented solutions","A23L3/00|B01D3/00|C12F3/06|C12G3/08","","","AdsorptionCapability of all solid substances to attract to their surfaces molecules of gases or solutions with which they are in contactClarificationRemoval of the suspended material during agingLageringAgeing or ripening of the beer by storing. During lagering, fermentation and clarification take placeSulfitingProcess for adding sulfur dioxide (SO)",""
"C12H1/00","Pasteurisation, sterilisation, preservation, purification, clarification, or ageing of alcoholic beverages  (simulating ageing by flavouring C12G3/06)","C12G3/06","Subject-matter of general interest relating to chromatography","B01D15/08","Filtration is always to be classified in , irrespective of precipitation, adsorption, or the nature of the material to be separated.","C12H1/063","","This place covers: Methods as well as apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification, ageing of alcoholic beverages (typically wine, beer, distilled alcoholic beverages)."
"C12H1/003","{by a biochemical process}","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, by a biochemical process."
"C12H1/006","{using bacterial cultures}","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein bacterial cultures are used."
"C12H1/02","combined with removal of precipitate or added materials, e.g. adsorption material","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein the precipitate, e.g. protein haze or colloidal haze, and/or added materials, e.g. PVPP or silica gel is/are removed."
"C12H1/04","with the aid of ion-exchange material or inert clarification material, e.g. adsorption material","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein ion-exchange and/or inert clarification material is removed."
"C12H1/0408","{with the aid of inorganic added material}","","Silicon derived materials used in clarification, e.g. silica hydrogels and xerogels","C01B33/00","","","","This place covers: Methods as well as apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages e.g. wine, beer or distilled alcoholic beverages, wherein inorganic added clarification material is removed."
"C12H1/0416","{with the aid of organic added material}","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein added organic clarification material is removed."
"C12H1/0424","{with the aid of a polymer}","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein added polymeric organic clarification material is removed."
"C12H1/0432","{with the aid of ion-exchange material}","","",""," takes precedence over ,  and , in so far as the ion-exchange functionality is of essential importance (factually and/or according to the disclosed information)","C12H1/0432|C12H1/0408|C12H1/0416|C12H1/0424","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein an ion-exchange material is removed."
"C12H1/06","Precipitation by physical means, e.g. by irradiation, vibrations","","","","Until further notice, a large interpretation for the term ""irradiation "" is given. For instance the application of electric fields and magnetic fields is covered.","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g wine, beer or distilled alcoholic beverages, wherein precipitate is generated by physical means (in particular by irradiation and/or vibration) and/or separated by filtration."
"C12H1/061","{Separation by centrifugation}","","Centrifuges in general","B04B","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein precipitate is generated by physical means, in particular by irradiation and/or vibration, and removed by centrifugation."
"C12H1/063","{Separation by filtration}","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein (a) precipitation is generated by physical means, in particular by irradiation and/or vibration, and removed by filtration, or (more generally) (b) filtration is performed, irrespective of precipitation, adsorption, or the nature of the material to be separated."
"C12H1/08","by heating","","Boiling and cooling of beer wort (whereby haze is formed), ","C12C7/20|C12C7/24","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein precipitate is generated by heating."
"C12H1/10","Precipitation by chemical means","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages, wherein precipitate is generated by chemical means."
"C12H1/12","without precipitation","","Pasteurisation with non-precipitating compounds, by heating, ","C12H1/14|C12H1/18","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials."
"C12H1/14","with non-precipitating compounds, e.g. sulfiting; Sequestration, e.g. with chelate-producing compounds","","Preserving agents for non-alcoholic beveragesPreserving agents for beerSulfiting must in winemaking","A23L2/44|C12C5/02|C12G1/04","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials, wherein non-precipitating compounds e.g. sulfite or chelating agents, are used."
"C12H1/16","by physical means, e.g. irradiation","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials, wherein physical means (in particular irradiation and/or vibration) are applied."
"C12H1/165","{by irradiation}",""," Preservation of non-alcoholic beverages by heating by irradiation or electric treatmentPreservation of non-alcoholic beverages by irradiation or electric treatment without heating","A23L2/48|A23L2/50","Until further notice, a large interpretation for the term ""irradiation "" is given. For instance the application of electric fields and magnetic fields is covered.","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials, wherein irradiation is applied."
"C12H1/18","by heating","","Preservation of non-alcoholic beverages by heating","A23L2/46","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials, wherein heating is applied."
"C12H1/20","in containers allowing for expansion of the contents","","","","","","","This place covers: Methods or apparatus pertaining to pasteurisation, sterilisation, preservation, purification, clarification or ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages not relying on or involving precipitation and/or removal of added materials, wherein heating is applied and a flexible container allowing for expansion of the contents is used."
"C12H1/22","Ageing or ripening by storing, e.g. lagering of beer","","ContainersBeer flavouring preparations","B65D|C12C5/026","If flavouring with wood material and storing are essential aspects, both symbols  and  should be given.","C12H1/22|C12G3/07","","This place covers: Methods for ageing of alcoholic beverages, e.g. wine, beer or distilled alcoholic beverages. Apparatus, e.g. tanks or barrels, specifically adapted for ageing of alcoholic beverages."
"C12H3/04","using semi-permeable membranes","","Reverse osmosis processSemi-permeable membrane for separation processes - ","B01D65/00|B01D67/00|B01D71/00","","","","This place covers: Methods for reducing the alcohol content of fermented solutions or alcoholic beverages to obtain low alcohol or non-alcoholic beverages other than beer, wine (derived from grapes) or sparkling wine (derived from grapes) wherein membranes are used (e.g. ultrafiltration, dialysis, electrodialysis, osmosis, reverse osmosis), and apparatus specifically adapted therefor."
"C12H6/00","Methods for increasing the alcohol content of fermented solutions or alcoholic beverages","","","","","","","This place covers: Methods for preparing alcoholic beverages other than beer, wine (derived from grapes) or sparkling wine (derived from grapes), by increasing the alcohol content; Apparatus specifically adapted therefor."
"C12H6/02","by distillation","","Processes specially adapted for distillation or rectification of fermented solutions","B01D3/001","","","","This place covers: Methods for preparing alcoholic beverages other than beer, wine (derived from grapes) or sparkling wine (derived from grapes), by increasing the alcohol content by distillation. Apparatus specifically adapted therefor."
"C12H6/04","by freezing","","","","","","","This place covers: Methods for preparing alcoholic beverages other than beer, wine (derived from grapes) or sparkling wine (derived from grapes), by increasing the alcohol content by refrigeration and separation of the crystals thus formed (i.e. freeze-concentration); Apparatus specifically adapted therefor."
