"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C12M","APPARATUS FOR ENZYMOLOGY OR MICROBIOLOGY; {APPARATUS FOR CULTURING MICROORGANISMS FOR PRODUCING BIOMASS, FOR GROWING CELLS OR FOR OBTAINING FERMENTATION OR METABOLIC PRODUCTS, i.e. BIOREACTORS OR FERMENTERS}","","","","IPC groups  -  are not used in CPC.The CPC groups  -  do not correspond to former or current IPC groups.The concordance table ECLA:IPC under the title of the subclass should be disregarded.All the inventive technical features of the bioreactor should be classified in the corresponding groups and subgroups of . Additional information can also be classified in  and should be taken into account for proposing a classification in other subclasses.The last place rule for classification is not used in .","C12M1/00|C12M3/00|C12M21/00|C12M99/00|C12M|C12M|C12M","BioreactorApparatus comprising at least a container where the microorganisms or cells are placed and which is put under conditions that make it suitable for the culturing of the microorganisms or cells.FermenterTerm used for bioreactors for culturing bacteria or yeast with the purpose of obtaining their metabolic or fermentation products","This place covers: Apparatus or devices specially adapted to the fermentation or to the growth of microorganisms, animal or plant cells or tissues, i.e. bioreactors and fermenters. The apparatus or devices covered by this subclass are designed for producing biomass or artificial tissues in laboratory or industrial scale. The most simple bioreactor or fermenter is an apparatus comprising at least a container where the microorganisms or cells are placed and which is put under conditions that make it suitable for the culturing of the microorganisms or cells. This subclass covers also devices for the pre-treatment of the material to be treated in the apparatus and for the after-treatment of the biomass, cells or tissues grown in the apparatus. This subclass does not cover the methods or processes taking place in bioreactors which are not based on the use of the apparatus or its parts. In this subclass the term microorganism includes prokaryotic and eukaryotic cells. Viruses, human, animal or plant cells, protozoa and unicellular algae are considered microorganisms."
"C12M21/00","{Bioreactors or fermenters specially adapted for specific uses  (digesters for manure A01C3/023; apparatus for PCR B01L7/52; destroying or transforming solid waste B09B3/00; methods for genetic engineering C12N15/00, C12Q1/68; nucleic acid amplification reactions C12Q1/6844)}","A01C3/023|B01L7/52|B09B3/00|C12N15/00|C12Q1/68|C12Q1/6844","Digesters for manureApparatus for PCRDestroying or transforming solid wasteMethods for genetic engineering, Nucleic acid amplification reactions","A01C3/023|B01L7/52|B09B3/00|C12N15/00|C12Q1/68|C12Q1/6844","The main group  should not be used for classification.The titles of the subgroups of  form a non exhaustive list of the most common uses of bioreactors or fermenters covered by . Documents relating to one of the uses enumerated in the subgroups of  should be classified in the relevant subgroups. Documents on bioreactors or fermenters which are not related to one of the uses enumerated in the subgroups of  should not be classified in  or its subgroups at all.Notwithstanding the classification according to the use in , at least a further classification should be given in  -  according the technical features of the apparatus.","C12M21/00|C12M21/00|C12M|C12M21/00|C12M21/00|C12M21/00|C12M21/00|C12M23/00|C12M99/00","",""
"C12M21/02","{Photobioreactors  (culturing algae A01G33/00, A01H4/001, C12N1/12)}","A01G33/00|A01H4/001|C12N1/12","Methods for culturing algae, Apparatus for plant tissue culture","A01G33/00|C12N1/12|A01H4/001","","","PBRPhotobioreactor","This place covers: Bioreactors or fermenters using a source of illumination which is needed for achieving cellular growth. Photobioreactors can be closed systems or open systems such ponds or basins."
"C12M21/04","{for producing gas, e.g. biogas  (digesters for manure with production of biogas A01C3/028, biological treatment of water, waste water or sewage C02F3/00, C02F11/02, preparation of natural gas or syngas C10L3/06, C10L3/10)}","A01C3/028|C02F3/00|C02F11/02|C10L3/06|C10L3/10","Digesters for manure with production of biogasPreparation of natural gas or syngas or other gaseous fuels, , ","A01C3/028|C10L3/06|C10L3/08|C10L3/10","","","",""
"C12M21/06","{for in vitro fertilization}","","","","","","IVFin vitro fertilization",""
"C12M21/08","{for producing artificial tissue or for ex-vivo cultivation of tissue  (prostheses A61F2/00, grafts A61L27/00)}","A61F2/00|A61L27/00","Prostheses, artificial parts of the human bodyGrafts, transplant tissues","A61F2/00|A61L27/00","","","",""
"C12M21/12","{for producing fuels or solvents  (C12M21/04 takes precedence; liquid carbonaceous fuels C10L1/00, solid fuels C10L5/00)}","C12M21/04|C10L1/00|C10L5/00","Grafts, transplant tissuesLiquid carbonaceous fuelsSolid Fuels","A61L27/00|C10L1/00|C10L5/00","","","",""
"C12M21/16","{Solid state fermenters, e.g. for koji production}","","","","","","SSFSolid-state fermentationSLFSubmerged liquid fermentationNon submerged state fermenterSolid-state fermenter","This place covers: Bioreactors or fermenters for solid state fermentation. Solid state fermentation is characterized by a content of at least 90% of dry matter. In the solid state fermentation the liquid phase is not continuous."
"C12M23/00","{Constructional details, e.g. recesses, hinges  (flow directing inserts in C12M27/18-C12M27/24; apparatus for chemical or physical processes in general B01J, chemical or physical laboratory apparatus in general B01L)}","C12M27/18|C12M27/24|B01J|B01L","Apparatus for chemical or physical processes in general Chemical or physical laboratory apparatus in general ","B01J|B01L","","","","This place covers: Apparatus or devices for culturing microorganisms or cells or for culturing tissues characterized by constructional details of the vessel of the bioreactor or characterized by parts with a mechanical function not covered by groups   -  ."
"C12M23/02","{Form or structure of the vessel  (large containers B65D88/00)}","B65D88/00","","","","","",""
