"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C12P","FERMENTATION OR ENZYME-USING PROCESSES TO SYNTHESISE A DESIRED CHEMICAL COMPOUND OR COMPOSITION OR TO SEPARATE OPTICAL ISOMERS FROM A RACEMIC MIXTURE {(brewing of beer C12C; producing vinegar C12J; producing specific peptides or proteins C07K; producing enzymes C12N9/00; DNA or RNA concerning genetic engineering, vectors, e.g. plasmids, or their isolation, preparation or purification C12N15/00; measuring or testing processes involving enzymes or microorganisms C12Q; measuring or testing processes involving nucleic acid amplification reactions C12Q1/6844; fermentation processes to form a food composition, A21 or A23; compounds in general, see the relevant compound class, e.g. C01, C07)}","C12C|C12J|C07K|C12N9/00|C12N15/00|C12Q|C12Q1/6844|A21|A23|C01|C07","Biocides of microbiological originCosmetic preparations containing algae extractsCosmetic preparations containing MOsMedicinal preparations containing undetermined materials from MOsMedicinal preparations containing undetermined materials from algaeMedicinal preparations containing peptidesMedicinal preparations containing antigensElimination of harmful chemicals by enzymes or MOsDistillation or rectification of fermented solutionsSeparating processes involving the treatment of liquids with solid sorbentsBiological purification of waste gasesCatalysts comprising enzymesDestroying solid waste or transforming solid wasteBioremediation of contaminated soilMethods of preparing compounds without using enzymes or microorganisms , , Biological treatment of water, waste water or sewageBiological treatment of sludgeSeparation/ purification of alcohols (except phenols) e.g. ethanolSeparation/ purification of ketonesSeparation/ purification of carboxylic acidsSeparation/ purification of carboxylic acid estersPeptides, proteins and antibodiesPreparatory treatment of cellulose for making derivatives thereofPreparation of starch, degraded or non-chemically modified starch, amylose, or amylopectinPreparation of polysaccharides other than starch and cellulose or their derivativesPolyesters and preparation thereofMacromolecular compounds derived from lignocellulosic materialsRecovery of waste polymers by chemically breaking down the polymer chain by treatment with enzymesCompositions comprising polyestersMethods for enhanced recovery of hydrocarbons using bacteria Recovery of hydrocarbons, using a composition comprising bacteriaRefining of hydrocarbon oils by MOsLubricating compositionsProduction of fats or fatty oils from raw materialsPretreatment of raw materials for production of fats or fatty oils, using enzymes or MOsRefining of fats or oils by enzymes or MOsProduction of fatty acids by hydrolysis of fats or oils using enzymes or MOs (see above limitation)Fats, oils, fatty acids by esterification, , Detergent compositions containing enzymesRecovery of CO as by-productApparatus for enzymology, microbiology or cell cultureMOs (compositions containing them, processes of propagating, maintaining, preserving them, culture media)Methods involving directed evolution of proteins, DNA or RNAMeasuring and testing involving enzymes or MOsMeasuring or testing processes involving nucleic acid amplification reactions (PCR)Novel microorganismsProduction of sugar (saccharose) juicePurification of sugar juices using MOs or enzymesGlucose, maltose, lactose, fructose, invert sugar etc.Extraction of metal compounds from ores or concentrates using MOs or enzymesBleaching fibres etc. using enzymesBiochemical treatment of fibres, threads, yarns, fabrics or fibrous goods made from such materials, e.g. enzymaticPretreatment of the finely-divided cellulose-containing materials before digestingPulping cellulose-containing materialsTreatment of cellulose-containing material with MOs or enzymesMethods for enhanced recovery of hydrocarbons using bacteriaAssays involving biological materials from specific organisms or of a specific natureImmunoassays and enzyme assays - BioinformaticsBiochemical fuel cell (production of electricity)Biofuels, e.g. bio-dieselMethane (biogas) by fermentation of organic byproducts","A01N63/00|A61K8/9706|A61K8/99|A61K35/66|A61K36/02|A61K38/00|A61K39/00|A62D3/02|B01D3/001|B01D15/00|B01D53/84|B01J31/003|B09B3/00|B09C1/10|C01|C07|C08|C02F3/00|C02F11/02|C07C29/74|C07C45/78|C07C51/42|C07C67/48|C07K|C08B1/00|C08B30/00|C08B37/00|C08G63/00|C08H8/00|C08J11/105|C08L67/00|C09K8/58|C09K8/582|C10G32/00|C10M|C11B1/00|C11B1/025|C11B3/003|C11C1/045|C11C3/003|C11C3/02|C11C3/04|C11D3/386|C12F3/02|C12M|C12N1/00|C12N15/1058|C12Q1/00|C12Q1/6844|C12R|C13B10/00|C13B20/002|C13K|C22B3/18|D06L4/40|D06M16/00|D21C1/00|D21C3/00|D21C5/005|E21B43/16|G01N2333/00|G01N2400/00|G01N2430/00|G16B|H01M8/16|Y02E50/10|Y02E50/30","In the absence of an indication to the contrary, classification is made in the last appropriate place.Documents are primarily classified according to the compounds produced. In addition, if appropriate, classification according to the method or biocatalyst used to produce the compound is made.This subclass covers both major and minor chemical modifications.In this subclass:metal or ammonium salts of a compound are classified as that compound.compositions are classified in the relevant compound groups.The following groups should only be given together with the corresponding product group:  - , ,  - .Group  covers general processes using microorganisms or enzymes for preparing compounds or compositions and processes using microorganisms or enzymes for producing compositions and compounds not sufficiently identified to be classified in groups  - . Compounds identified only by their empirical formulae are not considered to be sufficiently identified to be classified in groups  - .In the case that a document relates to the production of ""fermentation products"" in general, or to the production of multiple fermentation products, then the document is classified only for the products experimentally exemplified (this may be more than 5  groups), or, in case that no examples are given or not all claimed products are exemplified, for those products for which there exists a reasonable support (this should be no more than 5 different  groups, but it may also only be a single product in some cases), or for the first products listed in case of no preference at all (maximum 5 different  groups). However, documents relating to the production of fermentation products without indication of any preferable product should if possible not be classified in  - .The following illustrates the case of a document relating to the production of a general family of products: A document relating to the production of ""an alcohol"" without further specification is classified in . However, if certain alcohols are further specified, then the document is also classified in the specific subgroup, e.g.  for butanol. Opposed to this, if the chemical structure of the product is largely unknown, and it is only known that the product comprises an alcohol group, then the document should rather be classified in the appropriate  subgroup. In case of Markush formulae, the same approach as for ""fermentation products"" (see above) should be used.The following Indexing Codes should, where applicable, be given as additional information (compulsory):Pretreatment of cellulosic or lignocellulosic material for subsequent enzymatic treatment or hydrolysisFermentation products obtained from optionally pretreated and/or hydrolyzed cellulosic or lignocellulosic material as the carbon source (ethanol )","C12P19/14|C12P19/24|C12P39/00|C12P41/00|C12P41/009|C12P1/00|C12P3/00|C12P37/00|C12P3/00|C12P37/00|C12P|C12P|C12P|C12P1/00|C12P1/06|C12P7/02|C12P7/16|C12P1/00|C12P2201/00|C12P7/10|C12P2203/00","Microorganism MicroorganismsComprises single-celled organisms such as bacteria, actinomycetales or single-celled fungi, e.g. yeasts; for the purposes of classification, this term also includes viruses, undifferentiated human, animal or plant cells, protozoa, tissues and unicellular algae. Saccharidepolyhydroxy-aldehyde or -ketone, or derivative thereof; the exact definition is given under ","This place covers: Processes wherein the product (compound or composition) is synthesised by a biochemical transformation of matter performed by using enzymes or microorganisms. Processes of separating enantiomers (optical isomers) from a racemic mixture by using enzymes or microorganisms. Explanatory Note: This subclass covers both major and minor chemical modifications."
"C12P1/00","Preparation of compounds or compositions, not provided for in groups C12P3/00 - C12P39/00, by using microorganisms or enzymes","C12P3/00|C12P39/00","Novel microorganisms","C12R","Documents which have been classified in this group should also be classified in , even if such compounds are produced by known strains. Note that this rule applies only to  - , and NOT to groups  - .","C12R|C12P1/00|C12P1/06|C12P3/00|C12P41/00","","This place covers: General processes using microorganisms or enzymes for preparing compounds or compositions Processes using microorganisms or enzymes for producing compositions and compounds ""not sufficiently identified"" to be classified in groups   -  . Compounds ""not sufficiently identified"" are compounds not identified with a chemical structure, or complex mixtures of compounds with no principal chemical compound identified. Examples are compounds identified only by their empirical formulae, their activity, their method of preparation, and/or their physical or chemical properties. Examples of ""complex mixtures"" are compositions obtained by fermentation without further specification of the (principal) chemical product(s) contained therein. In all other cases, a composition is classified with the relevant compound groups (one or more of  - ). Notable exceptions, which should NOT get a   classification, are (see also below table): Fermented food compositions and microorganisms or products thereof added to foodstuff, medicinal, or cosmetic preparations, which are covered by  ,   and  . Methods for biological treatment of waste, covered by other classes, e.g.  . Microorganisms per se or sub-cellular parts thereof, compositions containing them, processes of propagating, maintaining, preserving them, culture media therefore, which are covered by  - . Recombinant microorganisms, which are covered by  , e.g. a microorganism recombinantly expressing an enzyme is classified along with the enzyme in  . Documents relating to the production of a family of compounds, e.g. alcohols or hydrocarbons should not be classified in  , but rather in the corresponding general product group, e.g.   for alcohols and   for hydrocarbons. An positive example of a document to be classified in  : E.g., a document relating to an antibiotic produced by a certain bacterium, where the antibiotic is only defined by its activity and/or its preparation method. Such a document would have to be classified in  . ""not sufficiently characterized"" may e.g. mean that, although it is specified in the description that the antibiotic compound bears an alcohol group, it is not clear if it also bears other functional groups (e.g. amine) or a heterocycle, i.e. it could fall under  ,   or  . Note that in this case the document should also be classified in  .  Generally,   should not simply be used if the product or composition obtained by fermentation or enzymatic reaction is not found in  - . Reference is made to the list of fields not covered in   (see below table)."
"C12P3/00","Preparation of elements or inorganic compounds except carbon dioxide {(recovery of carbon dioxides as by-products C12F3/02)}","C12F3/02","Recovery of CO2 as by-product","C12F3/02","","","","This place covers: Production of inorganic compounds, i.e. all chemical compounds except organic compounds. Comprised within this group are inorganic gases (except carbon dioxide), fluids or solids including inorganic salts or inorganic polymers, minerals and metals. Salts of organic compounds are not classified in  , but are instead classified as that organic compound ( - )."
"C12P5/00","Preparation of hydrocarbons {or halogenated hydrocarbons}","","","","Terpenes are classified in  no matter if they are acyclic or cyclic (i.e. the last place rule does not apply in this case).","C12P5/007","","This place covers: The preparation of hydrocarbons or halogenated hydrocarbons"
"C12P5/007","{containing one or more isoprene units, i.e. terpenes  (carotenes C12P23/00)}","C12P23/00","","","Terpenes are classified in  no matter if they are acyclic or cyclic.Note that terpenoids (isoprenoids), i.e. compounds derived from terpenes (methyl groups removed and/or oxygen atoms added) are classified elsewhere in , e.g. in , , , , ,  or .","C12P5/007|C12P|C12P5/00|C12P7/00|C12P15/00|C12P17/00|C12P19/00|C12P23/00|C12P33/00","","This place covers: The preparation of terpenes, i.e. compounds containing and/or built from isoprene units  ."
"C12P5/023","{Methane}","","Biological treatment of water, waste water, or sewageAnaerobic digestion processesTreatment of sludgeAnaerobic treatment; Production of methane by such processes","C02F3/00|C02F3/28|C02F11/00|C02F11/04","In the case of methods of producing methane in biological waste treatment systems, classification in  is done if technical details of the fermentation step for forming methane are considered to be important features (in contrast to other features of the purification system or to apparatus features). Otherwise, classification in ,  and/or  is sufficient.","C12P5/023|C02F3/00|C02F11/00|C12M","Biogas methane containing gas produced by fermentation; in some instances, the term is also used to designate other gases produced by fermentation, such as hydrogen",""
"C12P7/00","Preparation of oxygen-containing organic compounds","","Separation/ purification of alcohols (except phenols) e.g. ethanolSeparation/ purification of ketonesSeparation/ purification of carboxylic acidsSeparation/ purification of carboxylic acid estersProduction of fats or fatty oils from raw materialsRefining of fats or oils by enzymes or MOsProduction of fatty acids by hydrolysis of fats or oils using enzymes or MOs (see limitations indicated under )Fats, oils, fatty acids by esterification, , ","C07C29/74|C07C45/78|C07C51/42|C07C67/48|C11B1/00|C11B3/003|C12P7/64|C11C1/045|C11C3/003|C11C3/02|C11C3/04","","","",""
"C12P7/22","aromatic","","","","","","Aromatic refers to compounds containing an aromatic group, wherein the hydroxy group need not be directly attached to the aromatic group, i.e. compounds such as phenylethanol are also comprised in this group.",""
"C12P7/62","Carboxylic acid esters","","Fatty acid esters ","C12P7/6436","","","","This place covers: This place covers the production of carboxylic acid esters, except fatty acid esters."
"C12P7/64","Fats; Fatty oils; Ester-type waxes; Higher fatty acids, i.e. having at least seven carbon atoms in an unbroken chain bound to a carboxyl group; Oxidised oils or fats","","Phosphoglycerides having carboxylic acids with less than seven carbon atoms","C12P7/62","Processes specially aimed at the production of biodiesel are classified in . If other features independent of the biodiesel production are considered to be a contribution over the prior art, the document is additionally classified in other subgroups of .Documents relating to the preparation of fatty acids by hydrolysis of fats or oils using enzymes or microorganisms are classified in  and in . If the method of preparation involves the use of enzymes or microorganisms as a main feature then the document should always be classified in . However, if the choice of particular enzymes or microorganisms, or the specific conditions for conducting the enzymatic or fermentative step do not seem to be the inventive feature of the process, then the document should rather only be classified in .A similar approach should be used for deciding whether to classify a document in  (or below) or only in any of the classes  and .The term ""fatty acids"" has been defined as below to include only carboxylic acids having a chain length of at least 7 carbon atoms. Documents relating to the production of ""volatile fatty acids"" normally relate to the production of carboxylic acids having a shorter chain, such as C-C carboxylic acids. These documents should be classified in the respective groups in  and subgroups.As an exception, documents relating to fatty acid glycerides, wherein the carbon chain of the carboxylic acid moieties is shorter than 7 carbons, but wherein the glyceride is evidently a fat or oil, such as tributyrin, should be classified in  or subgroups. Similarly, documents relating to alkyl esters wherein the carboxylic acid moiety has at least 4 carbon atoms, and wherein the alcohol moiety is a long chain alcohol, e.g. a fatty alcohol, should be classified in  if the number of carbon atoms in the alcohol chain is 6 carbon atoms or more.","C12P7/649|C12P7/64|C12P7/6418|C11C1/045|C12P7/6418|C11C1/045|C12P7/6436|C11B1/025|C11B3/003|C12P7/40|C12P7/6445|C12P7/6436","EsterificationFormation of an ester by reaction of an acid with an alcoholTransesterificationFormation of an ester by the reaction of an ester with an alcohol (=alcoholysis), by reaction of an ester with an acid (=acidolysis) or by reaction of an ester with another ester (=interesterification, ester exchange)Biodiesel or (bio)fuelFatty acid alkyl esters used as biodiesel, generally C-C alkyl (methyl, ethyl or propyl) esters or C and C alkyl esters of fatty acids Fatty acidCarboxylic acid having at least seven carbon atoms in an unbroken linear or branched chain bound to a carboxyl group, i.e. n-heptanoic acid and higher carboxylic acids, as well as unsaturated, or oxidized derivatives thereof, wherein oxidized derivative means that the carboxylic acid may contain hydroxy-, keto-, epoxy-, carboxy, peroxy, groups attached to the carbon chain. ","This place covers: Production of: Fatty acids, including saturated, unsaturated, hydroxylated or polycarboxylic fatty acids Fatty acid mono-, di- or triglycerides Phosphoglycerides containing at least one fatty acid moiety Fatty acid esters, including amides Nitrogen- or saccharide-containing lipids and any lipids containing a residue falling under product classes  -  should be classified both in   and in the appropriate place in  - . Examples are (the appropriate classification is indicated in parentheses): Phosphatidylcholine and phosphatidylethanolamine, see below Figure (  and  ) Sphingolipids, e.g. ceramides, see below Figure (  and  ) Phosphatidylserine (  and  ) Glycolipids, e.g. phosphatidylinositol (  and  ) Lipopeptides and lipoproteins (  and  ,  ,   or  ) Carotenoids or steroids (  and   or  ) Figure: (left) a ceramide, (right) phosphatidylcholine (R= fatty acid acyl)"
