"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C12Q"," MEASURING OR TESTING PROCESSES INVOLVING ENZYMES, NUCLEIC ACIDS OR MICROORGANISMS  (immunoassay G01N33/53); COMPOSITIONS OR TEST PAPERS THEREFOR; PROCESSES OF PREPARING SUCH COMPOSITIONS; CONDITION-RESPONSIVE CONTROL IN MICROBIOLOGICAL OR ENZYMOLOGICAL PROCESSES","G01N33/53","Microorganisms per seHuman, animal or plant cells per seViruses per seEnzymes per se, Investigating or analysing materials by determining their chemical or physical propertiesChemical analysis involving blood sugar, e.g. galactoseChemical analysis involving proteins, peptides and amino acidsChemical analysis involving lipids, e.g. cholesterol","C12N1/00|C12N5/00|C12N7/00|C12N9/00|C12N11/00|G01N|G01N33/66|G01N33/68|G01N33/92","In this subclass, in absence of an indication to the contrary, classification is made in the last appropriate place.In this subclass, test media are classified in the appropriate group for the relevant test process.In this subclass, viruses, undifferentiated human, animal or plant cells, protozoa, tissues and unicellular algae are considered as microorganisms.In this subclass, unless specifically provided for, undifferentiated human, animal or plant cells, protozoa, tissues and unicellular algae are classified together with microorganisms. Sub-cellular parts, unless specifically provided for, are classified with the whole cell.","","EnzymeProteinaceous material which causes a chemical change in a starting material without being consumed in the reaction.InvolvingWhen used in relation to a substance, includes the testing for the substance as well as employing the substance as a determinant or reactant in a test for a different substance.MicroorganismSingle-celled organisms such as bacteria, actinomycetales or single-celled fungi, e.g. yeasts; for the purposes of classification, this term also includes viruses, undifferentiated human, animal or plant cells, protozoa, tissues and unicellular algae.Nucleic acidComprises nucleic acids as in vitro compounds as well as sub-cellular parts in vivo like chromosome territories within the nucleus, plasmids, gene sequences, genetic information, mutations, polymorphisms such as SNPs, in silico base sequences, aptamers (ligand binding nucleic acids) and ribozymes (catalytic active RNA molecules).","This place covers: Processes in which there is a direct or indirect qualitative or quantitative measurement or test of a material which contains enzymes, nucleic acids or microorganisms. Processes in which a material containing enzymes, nucleic acids or microorganisms is used to perform a qualitative or quantitative measurement or test, e.g. testing for antimicrobial activity or cholesterol, geomicrobiological testing. In vivo or in vitro or in silico measuring or testing processes involving nucleic acid e.g. nucleic acid hybridisation including PCR (Polymerase Chain Reaction). Compositions or test papers containing enzymes, nucleic acids or microorganisms which can be used to detect or identify a chemical compound or composition, e.g. paper strips for the testing of blood sugar. Compositions or test papers distinguished by the use of indicators which can be used to detect or identify the presence of enzymes, nucleic acids or microorganisms. Processes of making such test compositions. Processes involving enzymes or microorganisms in which a process parameter is measured and that or another process parameter is varied in response to such measurement, i.e. condition responsive control."
"C12Q1/00","Measuring or testing processes involving enzymes, nucleic acids or microorganisms  (measuring or testing apparatus with condition measuring or sensing means, e.g. colony counters, C12M1/34); Compositions therefor; Processes of preparing such compositions","C12M1/34","Apparatus for condition-responsive control processesMicroorganisms per seHuman, animal or plant cells per seViruses per seEnzymes per se, Investigating or analysing materials by determining their chemical or physical propertiesObservation of the progress or of the result of processes specified in this group by any of the methods specified in groups  - Investigating or analysing biological material- Testing involving plant cellsImmunoassay for plant cellsImmunoassay for animal cellsChemical analysis involving blood sugar, e.g. galactoseChemical analysis involving proteins, peptides and amino acids Chemical analysis involving lipids, e.g. cholesterol","C12M1/36|C12N1/00|C12N5/00|C12N7/00|C12N9/00|C12N11/00|G01N|G01N3/00|G01N29/00|G01N|G01N33/48|G01N33/98|G01N33/5097|G01N33/56961|G01N33/56966|G01N33/66|G01N33/68|G01N33/92","In this group, test media are classified in the appropriate group for the relevant test process.In this group, viruses, protozoa, unicellular and multicellular fungi, yeasts and unicellular and multicellular algae are considered as microorganisms. Sub-cellular parts, unless specifically provided for, are classified with the whole cell.Classification in main group  and sub-groups  -  is further refined using Indexing Codes from the range  - . The definitions and scope of these Indexing Codes are self evident. The codes and definitions are listed at the end of this document.Due to the strong relationship between the range  -  and the range  - , ""Chemical analysis of biological material"", and the rather broad nature of the definitions of some of the  -  sub-groups, refinement of the classification in this area by allocation of Indexing Codes from the range  - , where possible, is considered mandatory.Observation of the progress or of the result of processes specified in this group by any of the methods specified in groups  -  may require additional classification in these groups.","C12Q1/00|C12Q1/001|C12Q1/66|C12Q2304/00|C12Q2337/52|C12Q1/00|C12Q1/66|G01N33/50|G01N33/98|C12Q1/001|C12Q1/66|G01N2333/00|G01N2800/60|G01N3/00|G01N29/00","","This place covers: Processes in which there is a direct or indirect qualitative or quantitative measurement or test of a material which contains enzymes, nucleic acids or microorganisms.  Processes in which a material containing enzymes, nucleic acids or microorganisms is used to perform a qualitative or quantitative measurement or test, e.g. testing for antimicrobial activity or cholesterol, geomicrobiological testing. In vivo or in vitro or in silico measuring or testing processes involving nucleic acid e.g. nucleic acid hybridisation including Polymerase Chain Reaction [PCR]. See section range   -  . Compositions or test papers containing enzymes, nucleic acids or microorganisms which can be used to detect or identify a chemical compound or composition, e.g. paper strips for the testing of blood sugar. Compositions or test papers distinguished by the use of indicators which can be used to detect or identify the presence of enzymes, nucleic acids or microorganisms. Processes of making such test compositions. Processes involving enzymes or microorganisms in which a process parameter is measured and that or another process parameter is varied in response to such measurement, i.e. condition responsive control."
"C12Q1/001","{Enzyme electrodes}","","Apparatus specifically adapted for solid-phase testing in biospecific ligand binding assays or immunological testing/immunoassaysInvolving physiochemical end-point determinationElectrodes.","G01N33/54366|G01N33/54373|G01N33/5438","","","","This place covers: Enzyme-based Electrochemical sensors where inventive concept lies in the enzyme aspect e.g. enzyme used, how attached to electrode, enzyme mediator involvement, enzyme sensing mechanism/system."
"C12Q1/002","{Electrode membranes}","","","","","","MembraneAny non-conductive porous structure","This place covers: Enzyme electrodes where inventive concept lies in the use of or construction of a membrane on or in which an enzyme or multi-enzyme sensing system is attached or entrapped"
"C12Q1/003","{Functionalisation}","","","","","","","This place covers: Inventive concept lies in chemical e.g. silylation or physical e.g. plasma treatment of the electrode membrane to alter/create functional groups for attachment of enzyme. May also include crosslinking or other treatments of membrane polymers. Overlap with  ,  ,  ."
"C12Q1/004","{mediator-assisted}","","","","","","","This place covers: Enzyme electrodes where the enzyme or multi-enzyme sensing system requires a mediator e.g. co-factors (NAD/FAD), ferrodoxins."
"C12Q1/005","{involving specific analytes or enzymes  (including groups of enzymes, e.g. oxydases; C12Q1/004 takes precedence)}","C12Q1/004","","","","","","This place covers: Enzyme electrodes directed to analysis of specific molecules or use of specific enzymes. Use of multi-enzyme systems such as oxido-reductase systems may also be classified in   if the mediator is of importance."
"C12Q1/006","{for glucose}","","","","","","","This place covers: Enzyme electrodes specifically designed for the analysis of glucose."
"C12Q1/007","{involving isoenzyme profiles  (for detection of an individual isoenzyme C12Q1/25 - C12Q1/66)}","C12Q1/25|C12Q1/66","Biospecific ligand binding assays or immunological testing/immunoassays for isoenzymes","G01N33/573","","","","This place covers: Methods for determining isoenzyme profiles.Overlap with  ,  ."
"C12Q1/008","{for determining co-enzymes or co-factors, e.g. NAD, ATP}","","Biospecific ligand binding assays or immunological testing/immunoassays for co-enzymes or co-factors","G01N33/5735","","","","This place covers: Methods for detecting, measuring or identifying co-enzymes or co-factors e.g. NAD, ATP involved in enzyme reactions."
