"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C21B","MANUFACTURE OF IRON OR STEEL  (preliminary treatment of ferrous ores or scrap C22B1/00; electric heating H05B)","C22B1/00|H05B","Furnaces, kilns, ovens or retorts in generalDetails or accessories of furnaces, kilns, ovens or retorts in general","F27B|F27D","In the group , reforming is based on a reaction with other hydrocarbon containing gases. In the group , shift reactions involve steam, water vapor, or water. concerns the specific purification and reuse of exhaust gases in metallurgical processes, while  concerns only the purification process in general of waste gases from metallurgy plants.","C21B2100/22|C21B2100/24|C21B2100/40|B01D2258/025","","This place covers: The production of iron or steel starting from iron ores, e.g. the production of pig-iron; The recovery of by-products, e.g. slag, from these production methods; Apparatus specially adapted therefore, e.g. blast furnaces, air heaters."
"C21B3/02","by applying additives, e.g. fluxing agents","","","","The group overlaps with , , , : depending on whether the additives are generally applicable or related to a specific process either in the Blast Furnace () or in Direct Reduction process (), double or single classification will apply.","C21B5/008|C21B5/02|C21B5/04|C21B13/008|C21B5/00|C21B13/00","","This place covers: Processes in which the additives can be added to dry products (e.g. pellets, briquettes), a metal melt or a slag."
"C21B3/04","Recovery of by-products, e.g. slag","","","","","","",""
"C21B3/06","Treatment of liquid slag  (slag wool C03B; slag stones C04B)","C03B|C04B","Processes or devices for granulating material","B01J2/00","","","",""
"C21B3/08","Cooling slag","","General arrangements of separating plantsIngredients other than water added to the slag ; treatment with gases or gas generating materialHandling or treating discharged material - ","B03B9/04|C04B5/06|F27D15/00|F27D15/02","","","","This place covers: Cooling covers both dry and wet methods of cooling."
"C21B5/00","Making pig-iron in the blast furnace","","","","","","","This place covers: Also the injection of additional (pure) oxygen and additional fuel; automatic control of the process; condition of the cokes or their characterisation; composition and distribution of the charge."
"C21B5/06","using top gas in the blast furnace process  (in coke ovens C10B)","C10B","In coke ovensProduction of fuel gases by carburetting air or other gases without pyrolysis or of combustible gases containing carbon monoxide from solid carbonaceous fuelsPurifying or modifying the chemical composition of combustible gases containing carbon monoxide","C10B|C10J|C10K","In case the top gas is treated before being sent back into the furnace, this aspect is also classified : either by the relevant class in another field (specific, e.g. , dust removal).","C10K1/02","",""
"C21B7/00","Blast furnaces  (lifts associated with blast furnaces B66B9/06)","B66B9/06","SeparationFiltering elements - Filtering materialCleaning of gases from solids - Separating solids from solids by wet methodsMagnetic or electrostatic separation of solid materials from solid materials or fluids, separation by high-voltage electric fieldsCentrifugesApparatus using free vortex flow, e.g. cyclonesPurfying or modifying the chemical composition of combustible gases containing carbon monoxide","B01D|B01D24/00|B01D35/00|B01D39/00|B01D45/00|B01D53/00|B03B|B03C|B04B|B04C|C10K","Groups  and  concern evacuating and treating of exhaust gases from blast furnaces in general. Further classification is mandatory in groups  - .","C21B7/002|C21B7/005|C21B2100/00|C21B2100/80","","This place covers: Features which relate to the lay-out of the BF area or to repair ; also the evacuation and treatment of exhaust gases and the control and regulation of the top pressure."
"C21B7/04","with special refractories  (refractory materials C04B)","C04B","Refractory materials","C04B","","","",""
"C21B7/06","Linings for furnaces","","Arrangements of linings in shaft furnacesLinings or walls for metallurgical furnaces in general","F27B1/14|F27D1/00","","","",""
