"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"C21D","MODIFYING THE PHYSICAL STRUCTURE OF FERROUS METALS; GENERAL DEVICES FOR HEAT TREATMENT OF FERROUS OR NON-FERROUS METALS OR ALLOYS; MAKING METAL MALLEABLE, e.g. BY DECARBURISATION OR TEMPERING  (surface treatment of metallic material involving at least one process provided for in class C23 and at least one process covered by this subclass C23F17/00; unidirectional solidification of eutectic materials or unidirectional demixing of eutectoid materials C30B)","C23|C23F17/00|C30B","Mechanical metal-working, , Working metallic powder, powder metallurgical apparatus or processes , Layered productsChanging the physical structure of non-ferrous metals or alloys Electrolytic production or refining of metalsFurnacesInvestigating or analysing material by determining their chemical or physical propertiesElectric heating","B21B|B21C|B21J|B22F|C22C1/04|B32B|C22F|C25C|F27|G01N|H05B","In  the last place rule is followed (classification in the last appropriate place) combined with multiple classifications, for a classification of a 100% disclosed alloy composition.When classifying in group , any aspect of the method for the heat treatment of ferrous alloys which is considered to represent information of interest for search may also be classified in groups  - . This can, for example, be the case when it is considered of interest to enable searching of heat treatment methods of ferrous alloys using a combination of classification symbols. Such non-obligatory classification should be given as ""additional information"".When classifying in  all essential features disclosed should be classified in EC classification.","C21D|C21D6/00|C21D1/02|C21D1/84|C21D","AlloyA composition of plural elements at least one of which is a free metal. It also includes material containing any combination of fibres, filaments, whiskers and particles, e.g. carbides, diamond, oxides, borides, nitrides, silicides, or other metal compounds, e.g. oxynitrides or sulfides embedded in a metallic matrixCast ironFerrous alloy which solidifies with an eutectic, with C 2.1-4%.SteelFerrous alloy with a carbon content C 0.2-2.1%.Air hardening steelSteel which does not require quenching from a high temperature to harden but which is hardened by cooling in air from above its critical temperature range.Sub-critical annealing/Stress relief annealingHeat treatment for relieving or dissipating stresses in weldaments, heavily machined parts, castings, forgings by heating them, uniformly heated through, and air cooled/slow cooled with subsequent finishing or heat treatment.Oil-hardeningProcess of hardening a ferrous alloy by heating within or above the transformation range and quenching in oilDecarburizationSubjecting the steel to high temperatures and heat treating in a media containing air, oxygen or hydrogen to remove carbon at the surface.RecrystallizationAfter all metal crystals have been dissolved by heating enough to lose its structural strength, the metal temperature then falls, allowing the crystals to re-formSpheroidizingHeating the carbon steel to approximately 700 °C for over 30 hours to form spheroidite, to soften higher carbon steels and allow more formability.Aging (or ageing)A process in which the hardness or strength of a metal alloy having a constituent in supersaturated solid solution is increased over time as the constituent precipitates out as a secondary phase containing the constituent. When occurring at room temperature the process is termed ""natural aging"", while a process that occurs when subjecting the metal alloy to elevated temperature is termed ""artificial aging"". Aging for a longer time than that corresponding to maximum strength or hardness at the particular temperature is termed ""over-ageing"".HardeningThe increase in resistance to deformationPrecipitation hardening As the quenched alloy ages, a new material precipitates out of the metallic crystal lattice, filling in abutting spaces, and increasing hardness NormalizingA process of heating metallic material above its critical temperature and cooling in air thereby establishing a fine uniform grain size and improving the microstructural uniformityQuenchingThe rapid cooling of metallic material either from elevated temperature to room temperature or cooling of metal to sub-ambient temperature, at a specific rate, with a given medium. TemperingHeating of a previously quenched or normalized metallic material to an elevated temperature, and then cooling under suitable conditions to obtain the desired mechanical properties.MartemperingHeat treatment of steel involving austenitisation of steel followed by quenching in heat extracting medium (e.g. salt), at a rate fast enough to avoid the formation of ferrite, pearlite or bainite to a temperature slightly above the martensite start (Ms) pointAustemperingIsothermal heat treatment applied to steel and cast iron, involves holding the metallic material at the quenching temperature for an extended period of time in order to produce a lower bainite microstructure for steels and a structure of acicular ferrite and high carbon, stabilized austenite known as ausferrite for cast-irons.Case HardeningHeat treatment or combination of heat treatments of surface hardening involving a change in the composition of the outer layer of an iron-base alloy in which the surface is made harder by inward diffusion of a gas or liquid followed by appropriate thermal treatment.","This place covers: Changing the physical structure of ferrous metals; General devices for heat treatments of ferrous or non-ferrous metals or alloys; making metal malleable by decarburisation, tempering or other treatments The term ""ferrous alloys"" refers to alloys based essentially on iron."
"C21D1/00","General methods or devices for heat treatment, e.g. annealing, hardening, quenching or tempering","","Rolling of metal Cooling-beds for metal rollingManufacture of metal sheets/bars/wires/tubes otherwise than by rollingForgingMachine tools; metal-working not otherwise provided forProduction of gases, Ferrous alloys, Coating material with metallic material, cementation (carburizing, nitriding, etc)/Chemical descalingProcesses for the electrolytic removal of materials from objectsFurnacesHeat exchange apparatus in which the heat-exchange media do not come into direct contactInvestigating or analysing material by determining their chemical or physical propertiesElectric heating","B21B|B21B43/00|B21C|B21J|B23|C01|C10|C22C37/00|C22C38/00|C23C|C25F|F27|F28D|G01N|H05B","In these groups, the last place rule is followed combined with multiple classifications.If the alloy composition is given it needs to be classified in  in the corresponding sub-group(s).All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example, a case hardened gear steel consisting of, by weight percent, 16.3Co, 7.5Ni, 3.5Cr, 1.75Mo, 0.2W, 0.11C, 0.03Ti, and 0.02V and the balance Fe, will be classified in this group in  as well as in , .","C22C38/00|C21D1/22|C22C38/44|C22C38/52","","This place covers: Methods and devices for heat treatments: annealing, hardening, quenching of ferrous alloys."
"C21D3/00","Diffusion processes for extraction of non-metals; Furnaces therefor  (local protective coatings C21D1/72)","C21D1/72","Rolling of metalManufacture of metal sheets/bars/wires/tubes otherwise than by rollingForgingProduction of gases, AlloysCoating material with metallic material, cementation (carburizing, nitriding, etc)/Chemical descalingProcesses for the electrolytic removal of materials from objectsFurnaces","B21B|B21C|B21J|C01|C10|C22C38/00|C23C|C25F|F27","In these groups, the last place rule is followed combined with multiple classifications.If the alloy composition is given it needs to be classified in  in the corresponding sub-group(s).All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example, a method for production of a surface-decarburized hot-rolled strip with the following composition C: 0.4-1.0%, Si: 0.1-0.5%, Mn: 0.3-1.2%,P: <0.02%, S: <0.008%, Al: 0.01-0.05%, Cr: 0.1-0.5%, Ni: 0.1-0.4%, Mo: <50.1%, balance Fe will be classified in , as well as in , in , , , .In case of a method for manufacturing oriented silicon steel: (in wt %): C 0.020-0.050%, Si 2.6-3.6%, S 0.015-0.025%, Al 0.008-0.028%, N 0.005-0.020%, Mn 0.15-0.5%, Cu 0.3-1.2%, balance Fe and inevitable impurities , involves smelting steel, refining molten steel, continuously casting steel to obtain slab, hot rolling, cold rolling, annealing and applying annealing separator and insulation coating on slab, the classification in this group is: , , as well as , , , , .","C22C38/00|C21D3/04|C21D1/74|C22C38/02|C22C38/04|C22C38/06|C22C38/40|C21D3/04|C21D1/26|C22C38/001|C22C38/02|C22C38/04|C22C38/06|C22C38/16","","This place covers: Diffusion processes for extraction of non-metals, furnaces thereof."
"C21D5/00","Heat treatments of cast-iron","","Refining of metals Making cast iron alloys - Steels","C22B|C22C33/08|C22C33/12|C22C38/00","In these groups, the last place rule is followed combined with multiple classifications.If the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example, a surface hardening cast iron parts by degraphitizing a surface layer part of cast iron member and thereafter irradiating a laser beam or an electron beam on said surface will be classified in , as well as  and .","C22C37/00|C21D5/00|C21D3/04|C21D1/09","","This place covers: Heat treatments of cast iron alloys - ferrous alloy which solidifies with an eutectic, with C 2.1% -4%."
"C21D6/00","Heat treatment of ferrous alloys","","Soldering/welding materials  - , Layered products ","B23K35/3053|B23K35/3093|C21D9/50|B32B1/00","In these groups, the last place rule is followed combined with multiple classifications.Since the alloy composition is given it needs to be classified in  in the corresponding sub-group(s).Heat treatment of ferrous alloys/steels containing Ni (and no Cr) are classified in  and .Heat treatment of ferrous alloys/steels containing Cr (and no Ni) are classified in  and -.Heat treatment of ferrous alloys/steels containing Cr and no Ni are classified in  and  - .All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example a case hardened gear steel having enhanced core fracture toughness includes by weight percent about 16.3Co, 7.5Ni, 3.5Cr, 1.75Mo, 0.2W, 0.11C, 0.03Ti, and 0.02V and the balance Fe, characterized as a predominantly lath martensitic microstructure essentially free of topologically close-packed (TCP) phases and carburized to include fine M2C carbides to provide a case hardness of at least about 62 HRC and a core toughness of at least about 50 ksiVin will be classified in ; ; ; , and also in ,  and , .","C22C38/00|C21D6/001|C22C38/08|C21D6/002|C22C38/18|C22C38/38|C21D6/004|C22C38/40|C22C38/58|C21D6/004|C21D6/007|C21D6/02|C21D6/04|C21D1/22|C21D1/25|C22C38/44|C22C38/52","Hardening by cooling below 0 degrees CelsiusControlled cooling below 0° C in order to alter the material microstructure, and enhance its strength and wear properties","This place covers: Heat treatment of ferrous alloys: iron based alloys and all types of steels (low alloy steels, dual-phase steels, tool steels, spring steels, maraging steels, stainless steels, ferritic, austenitic, martensitic, bainitic, pearlitic etc)."
"C21D7/00","Modifying the physical properties of iron or steel by deformation  (apparatus for mechanical working of metal B21, B23, B24)","B21|B23|B24","Working or processing of sheet metal or metal tubes, rods, or profiles without essentially removing material; punchingApparatus for mechanical working of metal , Ferrous alloys, ","B21D|B23|B24|C22C37/00|C22C38/00","In these groups, the last place rule is followed combined with multiple classifications.If the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example a high cleanliness spring steel useful in manufacturing a spring with SiO 2 -based inclusions being extremely controlled and excellent in fatigue properties is obtained by scalping -> patenting -> cold wire drawing working (wire drawing) -> oil tempering -> process equivalent to strain relieving annealing -> shot peening -> strain relieving annealing will be classified in , , as well as in .","C22C38/00|C21D7/04|C21D7/06|C22C","","This place covers: Cold working and hot working deformation process of iron and steel."
"C21D8/00","Modifying the physical properties by deformation combined with, or followed by, heat treatment  (hardening articles or materials formed by forging or rolling with no further heating beyond that required for the formation C21D1/02)","C21D1/02","Working or processing of sheet metal or metal tubes, rods, or Profiles without essentially removing material; punchingFerrous alloys, ","B21D|C22C37/00|C22C38/00","In this maingroup, the last place rule is followed combined with multiple classifications.If the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.","C22C38/00","","This place covers: Modifying the physical properties by deformation combined with, or followed by, heat treatment during manufacturing processes of plates or strips, plates or strips for deep drawing, rods or wires, tubular bodies, articles with special electromagnetic properties"
"C21D8/005","{of ferrous alloys  (C21D8/02 - C21D8/12 take precedence)}","C21D8/02|C21D8/12","Working or processing of sheet metal or metal tubes, rods, or Profiles without essentially removing material; punchingFerrous alloys, ","B21D|C22C37/00|C22C38/00"," -  take precedence.In these groups, the last place rule is followed combined with multiple classifications.Since the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example a method of producing a surface-decarburised hot-rolled strip consisting of heating the strip from heat-treated steel: C: 0.4-1.0%, Si: 0.1-0.5%, Mn: 0.3-1.2%, P: <0.02%, S: <0.008%, Al: 0.01-0.05%, Cr: 0.1-0.5%,Ni: 0.1-0.4%, Mo: <50.1%, the remainder being iron and unavoidable impurities, heating it while wound as an open coil within austenitizing temperature limits, keeping it incandescent in a carbon-free atmosphere for at least 90 minutes, in which the atmosphere absorbs carbon from the steel, and cooling at an accelerated rate is classified in: , , , ; ; ; .","C21D8/02|C21D8/12|C22C38/00|C21D8/0257|C21D1/74|C21D3/04|C22C38/02|C22C38/04|C22C38/06|C22C38/40","","This place covers: Modifying the physical properties by deformation combined with, or followed by, heat treatment of ferrous alloys, during manufacturing of plates or strips."
"C21D8/04","to produce plates or strips for deep-drawing","","Working or processing of sheet metal or metal tubes, rods, or Profiles without essentially removing material; punchingFerrous alloys, ","B21D|C22C37/00|C22C38/00","In these groups, the last place rule is followed combined with multiple classifications.Since the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example a microalloyed low carbon steel strip C:0.04-0.08, Mn:0.15-2.0, Si:0.06-0.60, P:0.010 max, S:0.010 max, Cr:0.35 max, Ni:0.20 max, Mo: 0.25 max, Cu:0.20 max, Nb:0.012-0.070, V:0.02-0.03, Ti<=0.11, Al:0.025-0.050, N:0.0115 max, rest Fe, , for the production of finished pieces by cold pressing and shearing, obtained by hot rolling at temperature of the pre-strip temperature never lower than 900 DEG C in the steps preceding the final rolling, will be classified in ; , , , , ; ; .","C22C38/00|C21D8/0405|C21D8/0415|C21D8/0415|C21D1/42|C22C38/02|C22C38/04|C22C38/06|C22C38/12","","This place covers: Modifying the physical properties by deformation combined with, or followed by, heat treatment of ferrous alloys, during manufacturing of plates or strips for deep-drawing."
"C21D8/06","during manufacturing of rods or wires","","Working or processing of sheet metal or metal tubes, rods, or Profiles without essentially removing material; punchingFerrous alloys, ","B21D|C22C37/00|C22C38/00","In these groups, the last place rule is followed combined with multiple classifications.Since the alloy composition is given it needs to be classified in  in the corresponding sub-group.All the disclosed heat treatments (claims, description, examples, figures/diagrams) are classified.For example a method of producing a steel wire suitable for reinforcement bar consists of choosing a steel of composition in wt. percent: less than 0.22% C; less than 0.5% Si; less than 1.5% Mn; and 0.01-0.15% V or 0.01-0.15% Nb or 0.01-0.15% V+Nb in which the carbon equivalent is less than 0.45 %, where the steel wire is hot rolled from billet, quenched at the end of the hot rolling stand and finally wound on a bobbin will be classified in , ,  .","C22C38/00|C21D8/08|C21D1/19|C22C38/12","","This place covers: Modifying the physical properties by deformation combined with, or followed by, heat treatment of ferrous alloys, during manufacturing of rods or wires."
