"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D01F","CHEMICAL FEATURES IN THE MANUFACTURE OF ARTIFICIAL FILAMENTS, THREADS, FIBRES, BRISTLES OR RIBBONS; APPARATUS SPECIALLY ADAPTED FOR THE MANUFACTURE OF CARBON FILAMENTS","","Cigarette filtersSynthetic grass, lawns for playground or sports grounds , Artificial hair BristlesMedical devices ,,  Strings for tennis racketsFiltersContinuous casting of metals, i.e. casting in indefinite lengthsTreatment of metallic powder characterized by its shape or structure, e.g. fibre structureShaping composites, i.e. plastics material comprising reinforcements, fillers, or preformed partsTyre yarnsCarbon nanotubes Production of ceramic fibresManufacture of articles or shaped materials containing macromolecular substancesRecycling or recovering of waste materialsAdditives in generalCrimping or curling fibres, filaments, threads, or yarnsYarns or threads; Processes or apparatus for the production thereof, not otherwise provided forFinishing or dressing of filaments, yarns, threads, cords, ropes or the likeChemical treatment of fibres after production, Dyeing of fibresStrings for musical instruments ","A24D3/00|A41G1/009|E01C13/08|A41G3/0083|A46D1/00|A61L|A61F|A63B51/02|B01D39/00|B22D11/00|B22F1/06|B29C70/00|B60C9/00|C01B32/15|C04B35/62227|C08J5/00|C08J11/00|C08K|D02G|D02G3/00|D02J|D06L|D06M|D06P|G10D3/10","Attention should be paid when blends or additives are used. These cases are classified in different subgroups and sometimes there is an overlap. As a general rule, additives are characterised by their function (e.g. stabilizer, pigment), whilst polymer blends have different properties compared to the single substances.In the case where classification is given under  a corresponding group under  should be given when a specific polymer is used. However, no classification should be given under  when a long list of polymers is mentioned.The table below is an example concerning polyethylene:PE homopolymerPE copolymerPE homopolymer with additives and PE copolymer with additives and Polymer blend (homo- or copolymer) Polymer blend with additives (homo- or copolymer) and ","D01F1/00|D01F6/00|D01F6/00|D01F6/04|D01F6/30|D01F6/04|D01F1/00|D01F6/30|D01F1/00|D01F6/46|D01F6/46|D01F1/00","Fibrerelatively short, elongated member of natural or artificial materialFilamentendless or quasi-endless, elongated member of natural or artificial materialThreadassembly of yarns or filaments, usually produced by twistingYarnunitary assembly of fibres, usually produced by spinning","This place covers: Chemistry-related aspects in the manufacture of artificial fibres, filaments and similar. It also covers - the chemical treatment of fibres and filaments during their production, e.g. before winding, the produced fibres as such. Apparatus specially adapted for the manufacture of carbon filaments is also covered."
"D01F1/00","General methods for the manufacture of artificial filaments or the like","","","","In the case where classification is given under  a corresponding group under  should be given when a specific polymer is used. However, no classification should be given under  when a long list of polymers is mentioned.When an additive is used in the spinning solution or in the melt, and this additive has none of the specific properties mentioned in the subgroups of , then two cases are envisaged:when the additive has an effect on the fibre production process (e.g. lubricant, viscosity modifier), the group  should be given;when the additive has an effect on the final properties of the fibre (e.g. additives for improving the tensile strength), the group  should be given.Please note that the composition of the spinning solution of viscose is dealt with in  and subgroups.Under , when an intrinsically electrically conductive additive (e.g. carbon nanotubes) is added for a different purpose (e.g. tensile strength), only the classification related to the desired function should be allocated.","D01F1/00|D01F6/00|D01F6/00|D01F1/00|D01F1/02|D01F1/10|D01F2/08|D01F1/09","","This place covers: Addition of additives to the spinning solution or melt.  covers the chemical nature of the additive, whereas the method of adding the additive, that would be considered to be a mechanical feature, is classified in  ."
"D01F1/09","for making electroconductive or anti-static filaments","","","","","","","This place covers: Also covers addition of additives to make antistatic fibres/filaments."
"D01F2/00","Monocomponent artificial filaments or the like of cellulose or cellulose derivatives; Manufacture thereof","","","","Fibres spun from amine oxide solutions (e.g. lyocell) are classified in .","D01F2/00","","This place covers: Artificial monocomponent fibres or the like of cellulose or its derivatives ."
"D01F2/02","from solutions of cellulose in acids, bases or salts","","","","","","","This place covers: Fibres spun from solutions of ionic liquids."
"D01F2/06","from viscose","","Preparation of alkali cellulose ","C08B1/08","","","",""
"D01F2/08","Composition of the spinning solution or the bath","","Preparing or dissolving cellulose xanthate ","C08B9/00","","","",""
"D01F2/10","Addition to the spinning solution or spinning bath of substances which exert their effect equally well in either","","","","","","","This place covers: Addition of substances to the spinning solution or bath, these substances having an effect on the solution, on the bath or on the final fibre."
"D01F2/24","from cellulose derivatives","","","","","","","This place covers: Cellulose carbamate fibres."
"D01F4/00","Monocomponent artificial filaments or the like of proteins; Manufacture thereof","","","","When a polyaminoacid or a polypeptide is obtained synthetically, classification in  should be given. Fibres from natural proteins are classified in , even when the protein has been chemically modified.","D01F6/68|D01F4/00","","This place covers: Monocomponent fibres or the like of proteins."
