"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D01H","SPINNING OR TWISTING  (twisting oakum D01G35/00; crimping or curling of fibres, filaments, or yarns D02G1/00)","D01G35/00|D02G1/00","Unwinding, paying-out, forwarding, winding or coiling filamentary material, not intimately associated with spinning or twisting Cores, formers, supports or holders for coiled or wound material, e.g. bobbinsThe formation of continuous synthetic filaments, Finishing or dressing of filaments, yarns, threads, cords, ropes, or the likeChenille fabrics, making chenille trimmings by weavingChenille trimmingsTesting yarns, rovings, slivers, fibres or fibre webs","B65H|B65H|D01D|D01F|D02J|D03D27/18|D04D3/00|G01","","","FibreA relatively-short, elongated member of natural or artificial materialFilamentAn endless or quasi-endless, elongated member of natural (e.g. silk) or artificial materialYarnA unitary assembly of fibres, usually produced by spinningThreadAn assembly of yarns or filaments, usually produced by twistingDrawingStretching and elongating yarns or filamentsDraftThe amount to which yarns or filaments are drawn","This place covers: The spinning or twisting of staple fibre yarns (i.e. comprising fibres of discrete length); e.g. cotton or wool spinning."
"D01H1/00","Spinning or twisting machines in which the product is wound-up continuously  (open-end spinning machines D01H4/00  {; doubling of yarns B65H54/00+T; doubled, plied or cabled threads D02G3/28, e.g. using hollow spindles D02G3/283; spin-twisting D02G3/281; threads with alternately ""S"" and ""Z"" direction of twist, e.g. self-twist process, D02G3/286; wrapping strands of filaments or staple fibres by a binder yarn D02G3/38})","D01H4/00|B65H54/00|T|D02G3/28|D02G3/283|D02G3/281|D02G3/286|D02G3/38","""open-end"" technique, whereby the fibre strand is interrupted","D01H4/00","","","","This place covers: the spinning processes where twist is inserted into a fibre strand, without interrupting the fibre strand."
"D01H1/003","{Twisting machines in which twist is imparted from the supply packages, e.g. uptwist}","","","","","","","This place covers: the cases where the supply package provides the twist."
"D01H1/006","{Twisting machines in which twist is imparted at the paying-out and take-up stations}","","","","","","","This place covers: the cases where twist comes from the collecting bobbin, and corresponds for example to ring spinning and similar processes."
"D01H1/02","ring type {(arrangements with two or more spinning or twisting devices in combination D01H7/90)}","D01H7/90","","","","","","This place covers: a spinning process in which a yarn is twisted and wound onto a revolving bobbin surrounded by a ring that moves up-and down, and caries a traveller set in motion by the yarn."
"D01H1/04","flyer type","","","","","","","This place covers: a spinning process in which a yarn (typically coarse woollen yarn) is twisted by a rotating flyer arm, that winds it onto a bobbin that is free to rotate."
"D01H1/06","cap type","","","","","","","This place covers: a spinning process in which a yarn (typically woollen yarn) is twisted and wound onto a revolving bobbin situated inside a stationary cap."
"D01H1/08","cup, pot or disc type, in which annular masses of yarn are formed by centrifugal action","","","","","","","This place covers: centrifugal spinning, where a yarn mass (or cake) is formed inside or on a rotating element, e.g. a pot, which at the same time imparts twist and collects the yarn."
"D01H1/10","for imparting multiple twist, e.g. two-for-one twisting","","Cabling","D02G3/285","","","","This place covers: twisting of several yarns, whereby one spindle turn causes several twist turns in the assembled yarn (obtained e.g. by multiple yarn reversal points in the yarn run path)."
"D01H1/11","Spinning by false-twisting {(twisting by false-twisting D01H7/92; D02G3/28; increasing the strength of a roving or sliver by false-twisting D01H7/92, during drafting D01H5/28)}","D01H7/92|D02G3/28|D01H7/92|D01H5/28","","","","","","This place covers: spinning techniques like friction spinning or air jet spinning, provided there is no fibre flow interruption."
