"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D03J","AUXILIARY WEAVING APPARATUS; WEAVERS' TOOLS; SHUTTLES","","","","","","","This place covers: Auxiliary apparatus combined with or associated with looms of subclass   not covered by the groups of that subclass. This aspect is covered by the main group  . All tools for working on and setting-up the loom. This aspect is covered by the main group  . Shuttles for weft insertion. This aspect is covered by the main group  ."
"D03J1/00","Auxiliary apparatus combined with or associated with looms","","","","","","","This place covers: Apparatuses which are closely associated with the loom but which are not covered by the groups of subclass  . These apparatuses are mounted normally on the loom and are often part of the loom."
"D03J1/001","{Cloth or warp beam replacement}","","","","","","","This place covers: Devices, often carriages, to replace the warp beam or the cloth beam."
"D03J1/002","{Climatic conditioning or removing lint or dust}","","Arrangements for confining or removing dust in winding, coiling, or depositing filamentary materiaArrangements for confining or removing dust, fly, or the like in spinning machinesDevices for removing lint or fluff in knitting machines","B65H54/702|D01H11/00|D04B35/32","","","",""
"D03J1/005","{Displays or displaying data}","","","","","","",""
"D03J1/006","{Controlling a group of looms}","","","","","","","This place covers: The control of a group of looms, often according to an optimisation routine."
"D03J1/007","{Fabric inspection on the loom and associated loom control}","","Inspecting textile materials (not on the loom)","D06H3/00","","","",""
"D03J1/008","{Cooling systems}","","","","","","","This place covers: Cooling systems present on machines of classes   (i.e. warpers, beaming machines etc),   (i.e. shedding mechanisms) and   (i.e. looms)."
"D03J1/02","for treating warp, e.g. cleaning, moistening","","Auxiliary apparatus combined with or associated with the loom for treating weft yarnsMoistening, sizing, oiling, waxing, colouring or drying filamentary material as additional measures during package formation s","D03J1/04|B65H71/00","","","",""
"D03J1/04","for treating weft","","Auxiliary apparatus combined with or associated with the loom for treating warp yarnsMoistening, sizing, oiling, waxing, colouring or drying filamentary material as additional measures during package formation ","D03J1/02|B65H71/00","","","",""
"D03J1/08","for slitting fabric","","","","","","",""
"D03J1/12","transferring bobbins between loom and winding station  (bobbin-winding machines B65H)","B65H","Skips, cages, racks, or containers, adapted solely for the transport or storage of bobbins, cops or the like","B65H49/38","","","",""
"D03J1/13","for leasing warp  (leasing in general D02H9/00)","D02H9/00","Leasing in general","D02H9/00","","","",""
"D03J1/16","Apparatus for joining warp ends  (knot-tying tools D03J3/00)","D03J3/00","Methods of, or devices for, interconnecting successive lengths of material","B65H69/00","","","",""
"D03J1/22","Temples","","Tretching, tentering, or spreading textile fabrics by rotary disc, roller, or like apparatus in general","D06C3/06","","","","This place covers: Devices and methods for width-wide spreading of the cloth on the loom."
"D03J3/00","Weavers' tools, e.g. knot-tying tools","","","","","","","This place covers: All tools used for working on and setting-up the loom."
"D03J5/00","Shuttles  (swivel shuttles D03D31/00; shuttles for smallware looms D03D35/00; circular loom shuttles D03D37/00; selvedge shuttles D03D47/46)","D03D31/00|D03D35/00|D03D37/00|D03D47/46","","","","","","This place covers: Shuttles, normally carrying a bobbin, for weft insertion."
