"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D04H","MAKING TEXTILE FABRICS, e.g. FROM FIBRES OR FILAMENTARY MATERIAL  (weaving D03; knitting D04B; braiding D04C; net-making D04G; sewing D05B; tufting D05C; finishing non-woven fabrics D06); FABRICS MADE BY SUCH PROCESSES OR APPARATUS, e.g. FELTS, NON-WOVEN FABRICS; COTTON-WOOL; WADDING {; NON-WOVEN FABRICS FROM STAPLE FIBRES, FILAMENTS OR YARNS, BONDED WITH AT LEAST ONE WEB-LIKE MATERIAL DURING THEIR CONSOLIDATION} (non-woven fabrics having an intermediate or external layer of a different kind, e.g. of woven fabric, B32B)","D03|D04B|D04C|D04G|D05B|D05C|D06|B32B","Wearing apparelManufacturing of hatsLaying carpeting or carpet tiles; Carpet underlayShaped articles from mixed fibresMaking or treating glass wool or mineral woolCompounding ingredients used as filler for mortars and likeSintering plastic particlesFibre reinforced materials, Formation of filaments, threads, or the likeCardingLap-forming devicesCurling or crimpling of fibres, filaments, or yarnsCellulose production or pulpingPaper web-making by wet methodsPaper or pulp-, , Pulp compositions and coating or treatment of paper-, -Making shaped products from liquid suspensions of celluloseRoof coverings or underlay, ","A41D|A42C|A47G27/04|B28B1/00|C03B37/00|C04B|C08J|C08J5/04|B29C70/00|D01D5/00|D01G|D01G25/00|D02G1/00|D21C|D21F|D21H1/00|D21H15/00|D21H21/00|D21H27/00|D21H17/00|D21H19/00|D21H23/00|D21H25/00|D21J|E04D5/00|E04D12/002","Looping references between  and  have been identified. Until this inconsistency is resolved in IPC, the current classification practice in CPC is as follows: non-woven fabric products having pile or tufts formed by the methods of  -  and resultant products of  would be classified in .","D04H|D05C|D05C1/00|D05C15/00|D05C17/00|D05C","Carded thermal bonded and resin bonded staplesfabrics formed by processing textile staple fibers over a card and bonding by resin or thermal means.Air laidfabrics formed by air laying and bonding pulp or staple fibers.Wet laidfabrics that contain long (longer than pulp) fibers and are made by papermaking techniques.Needle punched staplesfabrics formed by processing staple fibers over a card or other web forming device and entangling them by penetrating the fabric with multiple barbed needles.Spun laced or hydro entangled fabrics formed by carding, air laying or other web forming techniques and consolidated by hydraulic needling.Spun bondedfabrics formed by in-line melt extrusion spinning of filaments of conventional textile denier.Melt blownfabrics formed by in-line melt extrusion spinning of very fine fiber diameter, less than one denier.Non-woven fabricsfabrics formed wholly or partly of textile material by processes comprising operations other than the weaving, knitting, braiding, lacing, or knotting of yarns, threads, or filaments for which provision is made in other subclasses of Section . This expression includes felts, cotton-wool, and wadding.Composite fibres Conjugated fibres that are manufactured by composite spinning of two or more kinds of immiscible resins, of which the resins form such phase structures as side-by-side, sheath-core, sea-island, wood grain pattern, multi-layered, radial or mosaic in the cross section surface vertical to the fibre axis.Mixed fibres Mixture of two or more kinds of fibres made of different substances.FleeceNon-wovenPileUpright loop or nap raised from the surface of fabrics.Weldingbonding of fibres or filaments using heat and/or pressure or solvent bonding, i.e. autogenously bonding","This place covers: Felts, cotton wool and wadding; Non-woven fabrics formed wholly or mainly of staple fibres or like relatively short fibres; Non-woven fabrics formed wholly or mainly of yarns or like filamentary material of substantial length; Non-woven fabrics formed of mixtures of relatively-short fibres and yarns or like filamentary material of substantial length; Non-woven pile fabrics; Other non-woven fabrics; Methods or apparatus for making these products; Felting apparatus; Needling machine."
"D04H1/00","Non-woven fabrics formed wholly or mainly of staple fibres or like relatively short fibres","","","","","","","This place covers: Non-woven fabrics formed from fibres or filaments which have been specifically cut to a length less than continuous."
"D04H1/02","Cotton wool; Wadding","","","","","","WaddingA heap of voluminous and low-density fibre for use as fillers in furniture or quilting.","This place covers: Non-woven fabrics of short fibers are composed of cotton-wool or wadding (could be useful to look at carding  ) and are used to make cosmetic pads, absorbent pads, quilting materials etc."
"D04H1/04","from fleeces or layers composed of fibres having existing or potential cohesive properties, e.g. natural fibres, prestretched or fibrillated artificial fibres  (felting apparatus D04H17/00)","D04H17/00","","","","","","This place covers: Fleeces and webs, or layers of these, are composed of fibers having existing or potential cohesive properties and are consolidated by mechanical means such as natural fibers like wool or fibrillated artificial fibers. The fibers are crimped or crinkly and will entangle easily with each other (could be useful to look at felting apparatus  )."
"D04H1/06","by treatment to produce shrinking, swelling, crimping or curling of fibres","","Producing crimped or curled fibres, filaments, yarns, or threads, giving them latent characteristics","D02G1/00","","","",""
"D04H1/067","Regenerated cellulose series","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers of regenerated cellulose."
"D04H1/073","Acrylonitrile series","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers from the acrylonitrile series."
"D04H1/08","and hardened by felting; Felts or felted products","","","","","","","This place covers: Fleeces and webs, or layers of these, hardened by a felting technique including also felts and products made from felts."
"D04H1/09","Silk","","","","","","","This place covers: Fleeces and webs, or layers of these, hardened by a felting technique including also felts and products made from felts and the fibers are made of silk."
"D04H1/10","Felts made from mixtures of fibres","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of felts made from a mixture of different types of fibres."
"D04H1/12","and incorporating artificial organic fibres","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of felts made from a mixture of different types of fibres and incorporate artificial organic fibres."
"D04H1/14","and incorporating inorganic fibres","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of felts made from a mixture of different types of fibers and incorporate inorganic fibers."
"D04H1/26","Wood pulp","","","","","","","This place covers: Non-woven fabrics of short fibers having existing or potential mechanical cohesive properties are fleeces and webs, or layers of these, made of wood pulp."
"D04H1/28","Regenerated cellulose series","","","","","","","This place covers: Non-woven fabrics of short fibers having existing or potential mechanical cohesive properties are fleeces and webs or layers of these, made of regenerated cellulose series."
"D04H1/30","Collagen","","","","","","","This place covers: Non-woven fabrics of short fibers having existing or potential mechanical cohesive properties are fleeces and webs, or layers of these, made of fibers of collagen."
"D04H1/32","Synthetic pulp","","","","","","Synthetic pulptypically comprised of a thermoplastic polymer such as polyolefins or some polyamides and having a structure resembling wood pulp. That is, the synthetic pulp has a microfibrillar structure comprised of microfibrils exhibiting a high surface area as contrasted with the smooth, rod-like morphology of synthetic short staple fibers","This place covers: Non-woven fabrics of short fibers having existing or potential mechanical cohesive properties are fleeces and webs, or layers of these, made of synthetic pulp."
"D04H1/40","from fleeces or layers composed of fibres without existing or potential cohesive properties","","","","","","","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties."
"D04H1/407","containing absorbing substances, e.g. activated carbon","","","","","","Absorbing substanceswater-absorbing agents such as water-absorbing polymer, deodorant or humidity absorbing agents such as activated carbon","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties containing absorbing substances, e.g. activated carbon."
"D04H1/413","containing granules other than absorbent substances","","","","","","Granulesfor example, those having antibiotic properties or granular substances with flame retardant properties.","This place covers: Fleeces and webs, or layers of these, composed of fibers without existing or potential mechanical cohesive properties containing granules other than absorbent substances."
"D04H1/42","characterised by the use of certain kinds of fibres insofar as this use has no preponderant influence on the consolidation of the fleece","","","","","","","This place covers: Fleeces, webs or layers of fleeces or webs composed of fibres without existing or potential mechanical cohesive properties characterised by the fibres having particular fibre features, e.g. chemical composition, fineness or shape, regardless of the method of manufacturing the fleeces, webs or layers."
"D04H1/4209","Inorganic fibres","","","","","","","This place covers: Fleeces and webs, or layers of these, are inorganic fibers."
"D04H1/4218","Glass fibres","","","","","","","This place covers: Fleeces and webs or layers of these are inorganic glass fibers."
"D04H1/4226","characterised by the apparatus for manufacturing the glass fleece","","","","","","","This place covers: Fleeces and webs, or layers of these, are inorganic glass fibers and are characterized by the apparatus for manufacturing the glass fleece."
"D04H1/4234","Metal fibres","","","","","","","This place covers: Fleeces and webs or layers of these are inorganic metal fibres."
"D04H1/4242","Carbon fibres","","","","","","Carbon fibresa kind of inorganic fibre. Polyacrylonitrile (PAN) -based, pitch-based or rayon-based Carbon fibers are included.","This place covers: Fleeces and webs, or layers of these, are inorganic carbon fibres."
"D04H1/425","Cellulose series","","","","","","","This place covers: Fleeces and webs, or layers of these, are fibers belonging to the cellulose series egg. cotton, kapok, linen, jute, flax, ramie, sisal, hemp, kenaf, industrial hemp, rattan, vine fibers, fique, banana and agave."
"D04H1/4258","Regenerated cellulose series","","","","","","","This place covers: Fleeces and webs, or layers of these, are fibers belonging to the regenerated cellulose series egg. rayon, acetate, triacetate, bamboo fibers, rayon, lyocell, Tencel, Modal and Viscose."
"D04H1/4266","Natural fibres not provided for in group D04H1/425","D04H1/425","","","","","","This place covers: Fleeces and webs, or layers of these, are natural fibers not provided for in group   e.g. wool, silk (and other protein fibers)."
"D04H1/4274","Rags; Fabric scraps","","","","","","","This place covers: Non-woven fabrics which are composed of the fibres obtained and reused by cutting or fibreizing wastes or garnets, and which are also included in the scope of the upper group, namely, formed wholly or mainly of staple fibres or like relatively short fibres and formed from fleeces or layers composed of fibres without existing or potential cohesive properties insofar as this use has no preponderant influence on the consolidation of the fleece. Fleeces and webs, or layers of these, made from rags; Fabric scraps."
"D04H1/4282","Addition polymers","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from addition polymers. (e.g. PVC)"
"D04H1/4291","Olefin series","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from addition polymers from the olefin series."
"D04H1/43","Acrylonitrile series","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from addition polymers from the acrylonitrile series."
"D04H1/4309","Polyvinyl alcohol","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from addition polymers of polyvinyl alcohol."
"D04H1/4318","Fluorine series","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from addition polymers from the fluorine series."
"D04H1/4326","Condensation or reaction polymers","","","","","","","This place covers: Fleeces and webs, or layers of these, made from fibers made from condensation or reaction polymers."
"D04H1/4334","Polyamides","","","","","","","This place covers: These condensation polymers being polyamides."
"D04H1/4342","Aromatic polyamides","","","","","","","This place covers: Condensation polymers being aromatic polyamides."
"D04H1/435","Polyesters","","","","","","","This place covers: Condensation polymers being polyesters."
"D04H1/4358","Polyurethanes","","","","","","","This place covers: Reaction polymers being polyurethanes."
"D04H1/4366","Phenol series","","","","","","","This place covers: Reaction polymers belonging to the phenol series."
