"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D05B","SEWING  (appliances for the tailoring trade A41H; sewing tables A47B29/00; sewing in bookbinding B42B2/00; sewing machines modified for knitting D04B39/08)","A41H|A47B29/00|B42B2/00|D04B39/08","Making non-wovens  Embroidering and tufting  ","D04H|D05C","The classification in  is desirably complemented by a classification in the indexing scheme relating to sewing, embroidering and tuftingSelection of machines, accessories or parts of the same kind  Interface between the operator and the machine  Use of special elements  Use of special materials  Applied objects or articles  Operations on the work before or after sewing  In addition, the classification in  is desirably complemented by a classification for the application in the indexing scheme relating to textilesWearing apparel  Domestic or personal  Industrial  Sport; military  Medical; hygiene  ","D05B|D05D2203/00|D05D2205/00|D05D2207/00|D05D2209/00|D05D2303/00|D05D2305/00|D05B|D10B2501/00|D10B2503/00|D10B2505/00|D10B2507/00|D10B2509/00","SewingUniting or fastening by stitches.","This place covers: Sewing apparatus or machines Sewing processes dependent on their use The thread seams produced thereby"
"D05B1/00","General types of sewing apparatus or machines without mechanism for lateral movement of the needle or the work or both","","","","","","","This place covers: Sewing apparatus or machines wherein neither the needle nor the work moves laterally."
"D05B1/04","Running-stitch seams","","","","","","A running-stitchBasic stitch done through one or more layers, worked by passing the needle in and out the workpiece",""
"D05B1/06","Single chain-stitch seams","","","","","","Single chain stitch seamsSeams forming a chain on the upper surface of the workpiece.",""
"D05B1/12","Lock-stitch seams","","","","","","Lock-stitch seamsSeams using two threads, an upper and a lower, which lock together in the hole in the workpiece they pass through",""
"D05B1/20","Overedge seams","","","","","","Overedge seamsSeams that are typically used for sewing together and edge-finishing two fabric layers in one step",""
"D05B1/24","for making blind-stitch seams","","","","","","Blind stitch seamsSeams that are typically used for attaching lining to a garment where the stitches should not show on either side.",""
"D05B1/26","for making fluid-tight seams  (sewing machines for concurrently making thread and welded seams D05B17/00)","D05B17/00","","","","","","This place covers: Apparatus or machines for making non-welded fluid tight seams by sewing."
"D05B3/00","Sewing apparatus or machines with mechanism for lateral movement of the needle or the work or both for making ornamental pattern seams, for sewing buttonholes, for reinforcing openings, or for fastening articles, e.g. buttons, by sewing  (programme-controlled sewing machines D05B19/00; with devices for automatically controlling movement of work-carrier D05B21/00)","D05B19/00|D05B21/00","","","","","","This place covers: Sewing apparatus or machines with mechanism for lateral movement of the needle or the work or both, e.g. for bar-tacking, i.e. forming series of stitches used for reinforcing areas of stress on a garment, such as pocket openings."
"D05B3/10","for making piped openings","","","","","","Piped openingsare openings e.g. formed for making pockets in a garment. The machines for making piped openings may have two needles",""
"D05B3/12","for fastening articles by sewing","","Indexing Codes related to applied objects or articles  ","D05D2303/00","","","",""
"D05B5/00","Sewing machines for temporarily connecting articles, e.g. pairs of socks","","Pairing socks  Devices for keeping articles together during laundering, e.g. for keeping socks in pairs  ","A41B11/002|D06F95/008","","","Overlocking machineType of machine often used for temporarily connecting articles","This place covers: Sewing machines for temporarily connecting articles, e.g. for joining knitted articles."
