"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06F","LAUNDERING, DRYING, IRONING, PRESSING OR FOLDING TEXTILE ARTICLES","","DishwashersCleaning in generalTreating textile materials by liquids, gases or vaporsValvesDrying in generalSensorsElectric motors","A47L15/00|B08B|D06B|F16K|F26B|G01M|H02K","","","DrumWashing receptacle, rotating drum, washing drum or washing tub; the washing receptacle or drum is where the clothes are placed. Drums are generally perforated and are usually the rotating part of the washing machine, however, in  and subgroups,  and subgroups,  and subgroups,  and subgroups and  and subgroups,the drum is always stationary. TubEnclosing receptacle, external drum, external tub or fixed tub; the tub is the fixed part of the washing assembly, it contains the washing drum as well as the washing fluid; the tub is generally stationary and water-tight. Washing assemblyOscillating assembly, oscillating part or suspended part; it is generally composed by both the drum and the tub.LifterRib, elements mounted to a rotating drum and acting mainly on the clothesAgitator:Rotary and/or oscillating device mounted inside a stationary washing drum and acting mainly on the clothesImpellerRotary devices mounted inside a stationary washing drum and acting mainly on the washing liquid","This place covers: Domestic or laundry dry-cleaning apparatuses using volatile solvents; Domestic, laundry or tailors' ironing or other hot-pressing of clothes, linen or other textile articles; Controlling or regulating domestic laundry dryers (cf.  ). The Indexing Codes   -   cover user input for the control of domestic laundry washing machines, washer-dryers or laundry dryers. The Indexing Codes   -   cover parameters monitored or detected for the control of domestic laundry washing machines, washer-dryers or laundry dryers. The Indexing Codes   -   cover systems or parameters controlled or affected by the control systems of washing machines, washer-dryers or laundry dryers."
"D06F1/00","Washing receptacles  (of washing machines D06F37/00, D06F39/00)","D06F37/00|D06F39/00","Details of washing machines, ","D06F37/00|D06F39/00","","","","This place covers: Washing receptacles suitable for hand washing (e.g. wash-up bowls). Illustrative example of subject matter classified in this group."
"D06F1/02","Wash-tubs; Supports therefor","","","","","","","This place covers: Wash-up bowls per se. Illustrative example of subject matter classified in this group."
"D06F1/04","the tub walls or bottom having corrugations","","Rubbing boards","D06F3/02","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F1/06","Wash-boiler receptacles","","","","","","","This place covers: Wash-up bowls (generally made of metal) which can be heated by e.g. a gas burner. Illustrative example of subject matter classified in this group."
"D06F1/08","with special means for water circulation by heat, e.g. fountain-washers","","","","","","","This place covers: Wash-up bowls (generally made of metal) comprising means for concentrating the heat of e.g. a burner and for applying it in such a way (e.g. to a hot water circuit), that steam within the boiler is quickly generated and, together with hot water, it is discharged on the garments to be washed. Illustrative example of subject matter classified in this group."
"D06F1/10","Covers; Handles","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"D06F1/12","Racks or other rigid open containers of skeleton or like apertured construction supporting clothes in washing receptacles","","","","","","","This place covers: Wire frame baskets or perforated metal containers suitable for supporting clothes in washing receptacles. Illustrative example of subject matter classified in this group."
"D06F3/00","Hand rubbing apparatus  (corrugated tub-walls D06F1/04)","D06F1/04","","","Wash-up bowls incorporating a corrugated surface have to be classified in  only.Rubbing boards have to be classified in  only.","D06F1/04|D06F3/02","","This place covers: Corrugated means against which the clothes are rubbed. Illustrative example of subject matter classified in this group."
"D06F3/02","Rubbing boards","","","","","","","This place covers: Corrugated boards against which the clothes are rubbed. Illustrative example of subject matter classified in this group."
