"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06M","TREATMENT, NOT PROVIDED FOR ELSEWHERE IN CLASS D06, OF FIBRES, THREADS, YARNS, FABRICS, FEATHERS OR FIBROUS GOODS MADE FROM SUCH MATERIALS","D06","Apparatus for applying liquids or other fluent materials to surfacesProcesses for applying liquids or other fluent materials to surfaces","B05C|B05D","When a textile material is manufactured for special purposes or uses, then it is also classified in the corresponding subclasses.When a composition or a compound appears to be essential, then it is also classified in the corresponding composition/ compound subclass.When the textile structure appears to be essential, then it is classified in the corresponding subclass.In case of composition comprising several compounds, a class is allocated for each compound.In case of macromolecular compounds comprising several monomers or copolymers, a class is given for each monomer.For example a copolyether-ester should be classified in  and .A copolymer acrylic acid/styrene should be classified in  and .In case of compounds bearing several functional groups, a class is given for each essential functional group.Normally, the subject-matter disclosed in both the claims and the examples is to be classified. Other components mentioned or disclosed in the description can be optionally classified provided that their function is not essential.In these cases class allocation is at the discretion of the classifier.But in case the subject matter of the claim is too broadly defined or unclear, or too many possibilities are disclosed, for example, Markush formulas, then only the subject matter of the examples is classified.And in case no examples are provided, it is recommended to allocate a class for the most probable compounds or combination of compounds or compositions.In case of doubt between two groups/subgroups, it is recommended to allocate both.To conclude, it is recommended that classification is complete as much as possible: it is always preferable to allocate too many classes than too few.When possible and when relevant, it is strongly recommended to allocate Indexing Codes corresponding to the chemical nature of the fibre or the functionality of the treatment:for example for an anti-shrinking treatment of wool,  and  should be allocated, because an anti-shrinking treatment of wool should be different from an anti-shrinking treatment of cotton;on the contrary, for a treatment imparting flame resistance to textile materials made of cotton,  should be allocated, but  might be considered as optional.","D06M15/53|D06M15/507|D06M15/233|D06M15/263|D06M2101/12|D06M2200/45|D06M2200/30|D06M2101/06","","This place covers: The chemical and physical treatment of fibrous materials in any form like fibres, nanofibers, microfibers, threads, yarns, knits, fabrics, non-wovens, feathers made from organic natural, synthetic macromolecular compounds or carbon to modify their properties or impart specific functions."
"D06M7/00","{Treating fibres, threads, yarns, fabrics, or fibrous goods made of other substances with subsequent freeing of the treated goods from the treating medium, e.g. swelling, e.g. polyolefins  (D06M10/00 takes precedence; treating fibres or filaments made of glass, mineral -, or slag wool C03C; carbon fibres D01F11/10)}","D06M10/00|C03C|D01F11/10","","","","","","This place covers: The treatment of fibrous materials with subsequent freeing of the treated good from treating medium: these group and subgroup are not used."
"D06M10/00","Physical treatment of fibres, threads, yarns, fabrics, or fibrous goods made from such materials, e.g. ultrasonic, corona discharge, irradiation, electric currents, or magnetic fields; Physical treatment combined with treatment with chemical compounds or elements","","","","In this group, it might happen an overlapping with -. When it is not clear whether a graft polymerisation is taking place or not, or how the chemical compounds are reacting with the fibre, then it is recommended to use a double classification.For example, when a plasma treatment is carried out in the presence of acrylic acid or ethylene, then a grafting reaction onto the fibre surface might occur. In case it is not explicitly mentioned, then both classes  and  should be allocated.","D06M14/18|D06M14/34|D06M10/025|D06M14/28","","This place covers: The physical treatment of fibrous materials or the physical treatment of fibrous materials combined with chemical compounds, simultaneously or successively, like treatment with lasers, U.V., plasma, microwaves, X-rays or gamma-rays etc."
"D06M10/04","Physical treatment combined with treatment with chemical compounds or elements  (graft polymerisation using wave energy or particle radiation D06M14/18  {; treatment with radioactive elements D06M10/008})","D06M14/18|D06M10/008","Physical Vapour DepositionChemical Vapour Deposition","C23C14/00|C23C16/00","In this group, it might happen an overlapping with -. If not clear, then it is recommended to use double classification.","D06M14/18|D06M14/34","","This place covers: The physical treatment combined with treatment with chemical compounds, both treatments can be carried out simultaneously or consecutively and in any order. The chemical/physical vapour deposition on textile materials."
"D06M11/00","Treating fibres, threads, yarns, fabrics or fibrous goods made from such materials, with inorganic substances or complexes thereof; Such treatment combined with mechanical treatment, e.g. mercerising  (D06M10/00 takes precedence)","D06M10/00","","","In this group, classification of the elements is to be understood in accordance with CPC subclass , i.e. according to the Periodic System of chemical elements that is represented by a table with columns IA, IIA, IIIB-VIIIB, IB, IIB, and IIIA-VIIIA.","C07F","","This place covers: The chemical treatment of fibrous materials with inorganic compounds."
"D06M11/32","with oxygen, ozone, ozonides, oxides, hydroxides or percompounds; Salts derived from anions with an amphoteric element-oxygen bond  (with water or heavy water D06M11/05; with oxides or oxyacids of halogens D06M11/30)","D06M11/05|D06M11/30","","","","","",""
"D06M11/38","Oxides or hydroxides of elements of Groups 1 or 11 of the Periodic System","","","","","","",""
"D06M11/40","combined with, or in absence of, mechanical tension, e.g. slack mercerising","","","","","","","This place covers: The mercerising of textile materials in any form."
"D06M11/77","with silicon or compounds thereof  (with silanes or disilanes D06M11/01)","D06M11/01","","","","","","This place covers: The treatment of textiles with silicon or compounds thereof. This group also covers the treatment of fibrous materials with silicium carbide (SiC)."
"D06M11/79","with silicon dioxide, silicic acids or their salts","","","","In case of a sol-gel treating composition, it is recommended in addition to this class to allocate the Indexing Code .","D06M2400/02","","This place covers: The treatment of textile materials with silicon dioxide, silicic acid or their salt in any form. The treatment of textiles materials with silicates, zeolites, talc, diatomaceous, clays, ceramics. Silicon based sol-gel classified in this group."
