"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D06P","DYEING OR PRINTING TEXTILES; DYEING LEATHER, FURS OR SOLID MACROMOLECULAR SUBSTANCES IN ANY FORM","","Dyeing of human hair, Typewriters, ink-jet printers or thermal printersPrinting on surfaces of materials other than textilesColouring of polymersChemical treatment or coating of shaped articles made of macromolecular substancesSynthesis of organic dyes or organic pigmentsInorganic pigmentsInk compositionsPigment pastesChemical treatment of leatherIndustrial bleaching of textile materialsOptical bleachingFinishing of textile materials; mordantingChemical aspects of textile decorationDyeing paper","A61Q5/10|A61Q5/065|B41J|B41M|C08J3/20|C08J7/00|C09B|C09C|C09D11/00|C09D17/00|C14C|D06L|D06L4/60|D06M|D06Q|D21H","In case of a composition comprising several compounds, a class is allocated for each compound.Informative aspects or complementary aspects of the invention are classified as additional symbols, e.g. when the invention is focused on a reactive dye, then a group corresponding to reactive dye is allocated:  as additional symbols. In case there are examples concerning the dyeing of wool or cotton with this dye and the process is very well-known,  and  are given as additional symbols.When mechanical and chemical aspects are mentioned, then it should be classified in all subclasses, i.e. a group is allocated in  and  and/or .When dyeing and finishing processes are combined, it is recommended to also classify the finishing aspect in the corresponding  groups.Generally, documents disclosing the dyeing of natural polyamide fibres or keratin fibres like wool or hair should be classified in both  and  only in case there are examples for both textile fibres and hair. When the given examples are only disclosing the dyeing of hair, then it is recommended that the document should only be classified in . Would the classifier consider the process or the dye used very special or of great interest for the field, then he/she may always allocate a group in .In groups  - , in the absence of an indication to the contrary, a compound is classified in the last appropriate place.","D06P1/38|D06P3/148|D06P3/66|D06P|D06B|D06C|D06M|D06P|A61Q|A61Q|D06P|D06P5/04|D06P5/10","FibreFibre is a relatively short, elongated member of natural or artificial material.ThreadThread is an assembly of yarns or filaments usually produced by twisting.YarnYarn is a unitary assembly of fibres or filaments, usually produced by spinning.FabricFabric is a planar textile structure produced by interlacing yarns, threads, fibres or filaments by a weaving, knitting or non-woven process.","This place covers: Dyeing and printing in general of organic macromolecular substances in any form, like fibres, leather, furs and feathers. Dyeing compositions for textiles as well as dyeing inks for textiles. The dyeing of optical lenses. The bleaching of dyed materials when bleaching means complete or partial removal of dyes or decolourization. The treatment of textile materials to improve their dyeability."
"D06P1/00","General processes of dyeing or printing textiles, or general processes of dyeing leather, furs, or solid macromolecular substances in any form, classified according to the dyes, pigments, or auxiliary substances employed","","","","It is recommended to allocate a class for each compound present in the dye bath.When a compound is bearing several functional groups, then it is recommended to allocate a class for each special functional group.In case of copolymers it is recommended to allocate a class for each monomer or each part of the copolymer.The same rule applies to dye, e.g. when the document discloses a process for dyeing with a reactive disperse dye, then a class for the disperse dye should be allocated - - as well as a class for the reactive dye .","D06P1/16|D06P1/38","","This place covers: General processes for dyeing, compositions for dyeing or printing classified according to the chemical structure of the dyes or the compounds used. Special processes for dyeing, e.g. dyeing with dyes in special form, specific dyeing recipes, specific dyes used like phosphorescent dyes, obtaining special effects like multicolour dyed textile materials, e.g. different colours on the same thread. All the compounds which might be used in dye baths or printing pastes or inks, i.e. dyes, mineral, organic or macromolecular compounds."
"D06P1/0004","{General aspects of dyeing}","","","","","","","This place covers: The general aspects of dyeing which are not well specified or broadly defined or dyeing processes which cannot be covered by any other subgroups. Dyeing processes using enzymes in the dye bath."
"D06P1/0008","{Dyeing processes in which the dye is not specific (waste liquors)}","","Treatment of waste liquors","C02F","When a textile material is dyed with a waste liquor comprising a specific dye, it is recommended to also classify in the group corresponding to the dye used.","","","This place covers: The dyeing of textile where the dye is not specific, or dyeing with waste liquors, i.e. dyeing with dye baths which have already been used, dyeing by immersing the textile several times in the same bath."
"D06P1/0032","{Determining dye recipes and dyeing parameters; Colour matching or monitoring}","","","","A document disclosing that at instant T, compound A is added to dye bath and then the temperature is raised until boiling point in X minutes and further maintained for Y hours... should be classified in that group.It is recommended that in addition to this class to also allocate classes corresponding to the different compounds used during the dyeing process.","","","This place covers: Specific processes for dyeing when specific details are provided on the process, e.g. it is disclosed when a specific compound is added to the dye bath, when temperature raises are occurring, when dyeing times are particular, important or well described."
"D06P1/0036","{Dyeing and sizing in one process}","","","","It is recommended to allocate a class for each compound used in the dye bath in  but also in .","D06P|D06M","","This place covers: The dyeing and sizing in one process but also the dyeing and finishing in one process, i.e. when the finishing agent is applied simultaneously with the dye, e.g. dyeing combined with a softening treatment."
"D06P1/004","{Dyeing with phototropic dyes; Obtaining camouflage effects}","","Wearing apparelsArmours, protective apparels, camouflage in general","A41|F41H","","","","This place covers: The dyeing with dyes changing of colours according to the circumstances, e.g. color indicators or thermochromic dyes. Dyed textile materials changing colours according to light orientation. Textile materials printed with certain patterns to obtain camouflage fabrics, or dyed with specific dyes; e.g. which are reflecting or absorbing infrareds. These textile materials are generally used for military purposes."
"D06P1/0076","{Dyeing with mineral dye}","","Inorganic pigments","C09C","","","","This place covers: The dyeing of textile materials with mineral dyes like carbon black or ferrous oxides."
"D06P1/0096","{Multicolour dyeing}","","","","In case of dyeing of mixture of fibres, it is recommended to also classify in  and its subgroups as well as to allocate the Indexing Code corresponding to the nature of the fibre dyed by a specific class of dye, e.g. when a textile material comprising polyester and cotton fibres is dyed with a blue disperse dye and a red reactive dye, then a multicolour effect will be obtained. should be allocated but also  as well as  in addition to .","D06P3/82|D06P3/8252|D06P3/66|D06P3/54|D06P1/0096","","This place covers: Dyeing processes to obtain multicoloured textiles, i.e. different colours on the same piece, space dyeing, dyeing mixtures of fibres having different dye affinities with dyes of different classes."
"D06P1/34","using natural dyestuffs","","","","In case the natural dye is indigo,  and its subgroups takes precedence.","D06P1/228","","This place covers: The dyeing with natural dyestuffs, of plant or animal origins."
