"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"D21D","TREATMENT OF THE MATERIALS BEFORE PASSING TO THE PAPER-MAKING MACHINE","","Discs for beating or refining in generalCyclones in general","B02C7/00|B04C","Subgroups and head groups.If a document concerns embodiments which are covered by several subgroups dependent on a higher hierarchy group, the following rules apply:the specific technical information relevant for some of the subgroups is classified in all said subgroups;if relevant, the structural association (e.g. the combination) of the elements covered by the subgroups is classified in the head group;analogously, if generic technical information common to all of the subgroups is disclosed and only schematic embodiments of the specific subgroup embodiments are represented, the documents is classified in the head group only.","","Hollander special historical equipment for beating fibrous suspensions, see definition statement of Beatingtreatment of fibrous suspensions in Hollander type equipment in order to fibrillate, shorten or flexibilize fibersRefiningtreatment of fibrous suspensions for the same purpose in all other types of equipmentJordanrefiner having a frusto-conical rotor revolving inside a complimentary stator Bed platestator of Hollander or Jordan devices","This place covers: Beating and refining methods and equipments for fibrous materials; purification methods and equipments for pulp suspensions acting by mechanical means, i.e. straining, screening, centrifugal cleaning, sorting, de-aeration; tanks for storing or agitating pulp."
"D21D1/00","Methods of beating or refining; Beaters of the Hollander type  (knotter screens D21F)","D21F","","","","","","This place covers: Methods of beating and refining of pulp fibers in general."
"D21D1/004","{Methods of beating or refining including disperging or deflaking}","","","","","","","This place covers: Disperging (i.e. separating rather small impurities sticking to the surface of a fiber) or deflaking (i.e. separating flakes or flocs formed by fibers into the individual fibers again) methods and equipments for fibrous materials."
"D21D1/006","{Disc mills}","","","","","","","This place covers: Disc mills only if particularly suitable for disperging or deflaking."
"D21D1/008","{Discs}","","","","","","","This place covers: Discs for disc mills only if particularly suitable for disperging or deflaking."
"D21D1/02","Methods of beating; Beaters of the Hollander type","","","","","","","This place covers: Treatment in Hollander equipment, i.e. in a device using at least one wheel like beating rotor (roll) equipped with beating tools (knifes) revolving in a trough having a beating stator (bed plate), also equipped with beating tools (knifes), in which trough the suspension is circulated to pass multiple times through the beating zone formed between the rotor and the stator."
"D21D1/34","Other mills or refiners","","","","","","","This place covers: Refiners or mills not provided before, for example cylindrical rotors and stators, belt refiners, kneaders causing a refining action, compression refiners, planetary gear like equipment."
"D21D1/40","Washing the fibres","","","","","","","This place covers: Equipment and methods for washing and dewatering pulp."
"D21D5/00","Purification of the pulp suspension by mechanical means; Apparatus therefor  (centrifuges, cyclones B04)","B04","Degasification of liquids in generalOther filters with filtering elements stationary during filtration, e.g. pressure or suction filters in generalSieving, screening, sifting, or sorting solid materials using networks, gratings, grids, or the like, in general","B01D19/00|B01D29/00|B07B1/00","","","","This place covers: Purification methods and equipments for pulp suspensions acting by mechanical means, i.e. straining, screening, centrifugal cleaning, sorting, de-aeration; tanks for storing or agitating pulp."
"D21D5/005","{Forming fibrous aggregates}","","","","","","","This place covers: Forming fiber bundles by agitating suspensions; magnetic deinking of suspensions by attaching ink particles in the paper pulp to a magnetic carrier material with the help of an agglomeration agent."
"D21D5/18","with the aid of centrifugal force","","","","","","","This place covers: Purification, sorting and fractioning methods using centrifugal force. Equipment for performing the methods."
"D21D5/24","in cyclones","","cyclones in general","B04C","","","",""
"D21D5/26","De-aeration of paper stock","","Degassing of liquids in general ","B01D19/00","","","",""
"D21D99/00","Subject matter not provided for in other groups of this subclass","","","","","","","This place covers: Subject-matter that fits within the scope of the subclass but is not covered by any of the other groups, such as for example fractioning methods, methods dividing the total suspension stream in portions, not for cleaning purposes, but for obtaining fibre fractions of different properties, e.g. separating longer from shorter fibres, finer from coarser fibres; and treating at least one of these portions differently from remaining portion(s) in subsequent process steps."
