"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"E04H","BUILDINGS OR LIKE STRUCTURES FOR PARTICULAR PURPOSES; SWIMMING OR SPLASH BATHS OR POOLS; MASTS; FENCING; TENTS OR CANOPIES, IN GENERAL  (foundations E02D)","E02D","","","","","","This place covers: Structures specially adapted for buildings for special purposes; general layout of buildings as a whole, e.g. modular co-ordination; details which are peculiar to different types of the buildings for special purposes specified in the groups"
"E04H1/00","Buildings or groups of buildings for dwelling or office purposes; General layout, e.g. modular co-ordination, staggered storeys {small buildings} (E04H3/00 takes precedence; buildings for two or more purposes, e.g. drive-in buildings E04H14/00; building construction in general E04B1/00)","E04H3/00|E04H14/00|E04B1/00","Domestic public installationsExtraordinary structures Heat, sound or noise insulation, absorption, or reflection for buildingsCanalisation per seConducts for ventilation, heating, systems or air-conditioning","E03C|E04B1/34|E04B1/74|F16L|F24F","Use also  -  to classify buildings characterised by their shape or layout grid","E04B2001/0053|E04B2001/0092","","This place covers: Buildings made of building modules; Dwelling houses in generally, i.e. apartment houses arranged in two or more levels; Office buildings Small buildings for limited occupation"
"E04H1/12","Small buildings or other erections for limited occupation, erected in the open air or arranged in buildings, e.g. kiosks, waiting shelters for bus stops or for filling stations, roofs for railway platforms, watchmens' huts, dressing cubicles  (movable screens as household equipment A47G5/00)","A47G5/00","Transformer housesStructures against air-raid or other war like actions, arranged in or forming part of buildings, independent sheltersBathing or beach cabins","E04H5/04|E04H9/04|E04H15/003","Use  to classify sauna cabins,  to classify small buildings of the ISO-containers type,  to classify the booths for smoking","E04H2001/1288|E04H2001/1283|E04H2001/1294","",""
"E04H3/00","Buildings or groups of buildings for public or similar purposes; Institutions, e.g. infirmaries, prisons  (portions of buildings for individual occupation, e.g. cubicles E04H1/00; structures covering a large free area E04B1/342)","E04H1/00|E04B1/342","Portions of buildings for individual occupation, e.g. cubiclesSwimming pool coverings consisting of rigid elementsBuildings against air-raid or other war-like actions or against adverse climate conditions, Buildings of drive-in typeCollapsible, erectable or rotatable buildingsRoof structures with movable roof parts","E04H1/00|E04H4/08|E04H9/04|E04H9/16|E04H14/00|E04B1/343|E04B7/16","Use  to classify sporting buildings with vertically movable or tillable playing fields or sections,  for those with reconfigurable seating arrangement and  for those using horizontally movable sections of tribunes.","E04H2003/142|E04H2003/145|E04H2003/147","","This place covers: Buildings for hotels, restaurants, shops, department stores, museums, hospitals, mobile medical centres; Public institutions like schools, prisons; Buildings like e.g. stadiums, arenas or halls for meetings, entertainment and sport; Tribunes, grandstands and terraces for spectators, i.e. telescopic grandstands as well as foldable retractable or tiltable tribunes; Other sporting buildings, like e.g. buildings housing swimming pools; Buildings for theatres, concert halls, studios; Stages, i.e. revolving stages or stages with shiftable or portable platforms; Constructional features of auditoriums"
"E04H4/00","Swimming or splash baths or pools  (wave-producers for baths A47K3/10; separation B01D; treatment of water C02F; wave-producing pumps F04D35/00)","A47K3/10|B01D|C02F|F04D35/00"," Devices for generating a current of water in swimming pools, e.g. for teaching swimming  Walls made by casting, pouring, or tamping in situ , e.g. in permanent forms","A63B69/125|E04B2/86","Use  to classify pools made of plastic shells or plastic elements including at least parts of walls and floors","E04H2004/0068","","This place covers: Devices for producing waves in swimming pools; Floating swimming pools; Easy movable and transportable swimming pools, i.e. with inflatable parts or made of shell type elements or of panes; Safety devices for swimming pools, i.e. floors adjustable in height; Swimming pool coverings made of rigid elements or of flexible materials; Devices or arrangements for circulating water, i.e. devices for removal of polluted water, cleaning baths or for water treatment; Devices and accessories peculiar to swimming pools, i.e. coping elements, liner fixing means, step units, lighting means; Devices and apparatuses specially adapted for cleaning, i.e. hand-held strainers, powered cleaners, suction cleaners, self-propelled cleaners"
"E04H4/12","Devices or arrangements for circulating water {, i.e. devices for removal of polluted water, cleaning baths or for water treatment}","","Solar collectors using pools, Solar heat systems for swimming pools","F24S10/10|F24S10/17|F24S20/02","","","","This place covers: Treatment of water for swimming pools; Devices for removal of polluted water, i.e. circumferential gutters; Bottom drains; Recirculating pumps for swimming pool water, arm-mounted debris traps; floating skimmers and skimmers integrated in the pool wall; Devices for distributing chemical products in the water of swimming pools and systems for heating the water content of swimming pools"
"E04H4/14","Parts, details or accessories not otherwise provided for","","","","Use  and  to classify the fixing aspects of the liners","E04H2004/146|E04H2004/147","","This place covers: Devices and accessories peculiar to swimming pools, i.e. coping elements; Liner fixing means; Means for facilitating access, e.g. step units or slides; Dividing means for swimming pool, e.g. panels, bulkheads; Lighting means"
"E04H4/16","specially adapted for cleaning  (cleaning devices peculiar to vessels B63B59/00)","B63B59/00","","","","","","This place covers: Devices and apparatuses specially adapted for cleaning the swimming pool, e.g. hand-held strainers, powered cleaners, suction cleaners, self-propelled cleaners, cleaners wherein the propulsion results from an intermittent interruption of the waterflow through the cleaner; Connection between the cleaners and the water circulation system; Cleaning whips; Pool nozzles"
"E04H5/00","Buildings or groups of buildings for industrial or agricultural purposes  (building construction in general E04B1/00)","E04B1/00","Spray boothsServicing, maintaining, repairing or refitting vehicles Building constructions in general","B05B16/00|B60S5/00|E04B1/00","Use  to classify the buildings for data processing centers","E04H2005/005","","This place covers: Buildings for industrial purposes, e.g. for power-plants, factories, data processing centers; Buildings forming pars of cooling plants; Transformer houses; Substations or switchgear houses; Pits for inspection or services and coverings therefore; Buildings for agricultural purposes; Cooling towers"
"E04H6/00","Buildings for parking cars, rolling stock, aircraft, vessels or like vehicles, e.g. garages  (tents for use as garages E04H15/00; bicycle stands B62H; storing of vessels on land B63C15/00; construction of ground-supported surfaces E01C; marking of parking areas on the ground E01F9/50; building construction in general E04B1/00)","E04H15/00|B62H|B63C15/00|E01C|E01F9/50|E04B1/00","Servicing, maintaining, repairing or refitting vehicles TurntablesStorage devicesLifting frames Building constructions in generalSolar heat collectors ","B60S5/00|B60S13/02|B65G1/02|B66F|E04B1/00|F24S","","","","This place covers: Garages for vehicles on two wheals; Small garages, for one or two cars, like e.g. carports, small garages of the wheeled, hinged, foldable, telescopic, swinging or otherwise movable type, small garages using tiltable floors or ramps; Garages for many vehicles with mechanical means for shifting or lifting vehicles or without mechanical means for shifting or lifting vehicles, like e.g. with means for transport in vertical direction only or independently in vertical and horizontal directions, either the cars rolling freely from the transfer means or using different transfer means or by the use of movable platforms for horizontal transport or characterised by the use of turntables, rotary elevators or the like on which the cars are not permanently parked; Devices or arrangements peculiar to garages, not covered elsewhere, e.g. securing devices, safety devices, automatically operated car-parks, devices for collecting oil or further fluids under parked cars."
"E04H7/00","Construction or assembling of bulk storage containers employing civil engineering techniques in situ or off the site  (tower aspects E04H12/00; storage aspects, e.g. floating roofs, sealing means, filling or discharging means B65D, B65G, F17B, F17C; foundations E02D27/38)","E04H12/00|B65D|B65G|F17B|F17C|E02D27/38","Storing agricultural producesProcesses or apparatus for separating the constituents of gaseous mixtures involving the use of liquefaction or solidification; Details of the apparatus usedDrying solid materials","A01F25/00|F25J3/00|F26B5/00","Use  to classify the silos with retaining wall type elements, e.g. trench silos","E04H2007/225","","This place covers: Containers for fluids or gases mainly made of metal, with vertical axis, roof constructions therefore, with horizontal axis or ball shaped or mainly made of reinforced or prestressed concrete; Containers for fluent solids, e.g. silos, bunkers, supports therefore, e.g. with or without perforated walls mainly made of reinforced concrete, of metal or of wood"
