"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"E21B","EARTH DRILLING, e.g. DEEP DRILLING  (mining, quarrying E21C; making shafts, driving galleries or tunnels E21D); OBTAINING OIL, GAS, WATER, SOLUBLE OR MELTABLE MATERIALS OR A SLURRY OF MINERALS FROM WELLS","E21C|E21D","","","","","","This place covers: Earth drilling, e.g. deep drilling;obtaining oil, gas, water, soluble or meltable materials or a slurry of minerals from wells. This subclass also includes drilling at shallow depths but over extended distances, such as drilling for laying a pipeline under surface obstacles."
"E21B1/00","Percussion drilling  (drives used in the borehole E21B4/00)","E21B4/00","Drives for combined percussion and rotary drillingPortable drilling rigsDerricks, mastsRotary drilling machines in general","E21B6/00|E21B7/20|E21B15/00|B23B","","","","This place covers: Machines and methods in which the drilling action is done principally by percussion. The percussive drive is placed outside of the borehole, and the drilling can be for any depth, including drillholes and mining applications:"
"E21B3/00","Rotary drilling  (drives used in the borehole E21B4/00; rotary drilling machines in general B23B)","E21B4/00|B23B","Drives for combined percussion and rotary drillingPortable drilling rigsDerricks, mastsRotary drilling machines in general","E21B6/00|E21B7/20|E21B15/00|B23B","Reference  is non-limiting in the main group . CPC will be corrected once this inconsistency is resolved in IPC.","B23B|E21B3/00","","This place covers: Machines and methods in which the drilling action is done principally by rotation:"
"E21B3/045","{movably mounted on the drilling structure or platform  (derricks adapted to be moved on their substructure E21B15/003)}","E21B15/003","Supports for the drilling machine specially adapted for underwater drilling","E21B15/02","","","",""
"E21B4/00","Drives for drilling, used in the borehole","","Rotary-piston machines or pumpsMoineau motorsArrangements for handling mechanical energy structurally associated with the machine, e.g. structural association with mechanical driving motor or auxiliary dynamo-electric machine","F04C2/00|F04C2/107|H02K7/00","","","","This place covers: Drives located inside the borehole for powering drilling units:"
"E21B4/003","{Bearing, sealing, lubricating details  (for roller bits E21B10/22)}","E21B10/22","Bearings in generalSealing in generalLubricating in general","F16C|F16J|F16N","","","",""
"E21B4/006","{Mechanical motion converting means, e.g. reduction gearings  (E21B4/10 takes precedence)}","E21B4/10","Gearings in general","F16H","","","",""
"E21B4/06","Down-hole impacting means, e.g. hammers  (percussion drill bits E21B10/36; boring rams E21B11/02; releasing-jars E21B31/107)","E21B10/36|E21B11/02|E21B31/107","Boring rams","E21B11/02","Looping references between  and  have been identified. Until this inconsistency is resolved in IPC, the current classification practice in CPC is as follows: Reference  is non-limiting in the subgroup . CPC will be corrected once this inconsistency is resolved in IPC.","E21B11/02|E21B4/06|E21B11/02|E21B4/06","",""
"E21B6/00","Drives for drilling with combined rotary and percussive action  (drives used in the borehole E21B4/00; portable percussive machines with superimposed rotation B25D16/00)","E21B4/00|B25D16/00","Drives for combined percussion and rotary drillingPortable drilling rigsDerricks, mastsMethods or apparatus for generating mechanical vibrations of infrasonic, sonic or ultrasonic frequencyPortable percussive machines with superimposed rotation","E21B6/00|E21B7/20|E21B15/00|B06B1/00|B25D16/00","Reference  is non-limiting in the main group . CPC will be corrected once this inconsistency is resolved in IPC.","B25D16/00|E21B6/00","","This place covers: Drives outside the borehole for combined percussion and rotary drilling:"
"E21B7/00","Special methods or apparatus for drilling","","Rotary or percussion drill bitsDerricks or mastsDrilling rods or pipesSetting of casings when not simultaneous with drilling of the boreholeDetails of, or accessories for, portable power-driven percussive toolsVehicles adapted to transport or to comprise special loadsUnderwater drilling for submerged foundationsErecting posts for fencesMachines for drilling and setting anchoring boltsDetails of hydraulic circuits","E21B10/00|E21B15/00|E21B17/00|E21B43/10|B25D17/00|B60P3/00|E02D27/52|E04H17/263|E21D20/003|F15B","","","","This place covers: Drilling methods and apparatus characterised by any aspect that differs from those of conventional drilling, which is understood as drilling a vertical borehole with a roller or drag type bit, using a derrick or mast."
"E21B7/006","{combined with a bucket-type container}","","Bailers with helical conveying means","E21B27/04","","","",""
"E21B7/007","{Drilling by use of explosives  (underwater drilling using explosives E21B7/1245)}","E21B7/1245","Setting-tools actuated by explosives, Cutting or destroying objects in boreholes by explosivesFreeing objects using explosivesGun or shaped-charge perforatorsFracturing by explosives, Taking samples using explosives","E21B23/04|E21B23/065|E21B29/02|E21B31/1075|E21B43/116|E21B43/263|E21B43/248|E21B49/04","","","",""
