"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"E21C","MINING OR QUARRYING","","Drill bits, bore reamers, core taking devices, drilling pipes or rods, handling, racking or connecting arrangements for drilling pipes or rods, counterboring or enlarging drilled holes, flame drilling, or other drilling apparatus, even though they may be disclosed only for mining or quarrying","E21B","","","","This place covers: Methods or apparatus specific to mining or quarrying."
"E21C25/00","Cutting machines, i.e. for making slits approximately parallel or perpendicular to the seam  (dislodging machines with slitting means E21C27/02, E21C27/10, E21C27/18)","E21C27/02|E21C27/10|E21C27/18","Guiding the machine","E21C35/08","","","","This place covers: Machines having cutting means for making a slit or a plurality of slits in the seam, so that the material in the seam can be removed in a subsequent step. Illustrative example:"
"E21C27/00","Machines which completely free the mineral from the seam","","Guiding the machine","E21C35/08","","","PlanerA fixed-blade device for continuous longwall mining of narrow seams of friable coal; the machine is operated along the coal face, planing a narrow cut from the solid coal as it travels.","This place covers: Machines that can break the mineral by any means that dislodge it completely from the seam."
"E21C27/02","solely by slitting  (rods, drums, for same E21C25/10; saws, discs, wheels E21C25/18; chains, chain guides, for same E21C25/28)","E21C25/10|E21C25/18|E21C25/28","","","","","","This place covers: Machines which completely free the mineral from the seam solely by slitting; Shearer loaders. While   is only for slitting, with the material remaining in place and needing to be removed by other means, in   the material is slit and removed in one go. The machines of this groups have e.g. drums with spiral-shaped cutters for slitting and extracting the cut material. Illustrative example:"
"E21C27/24","by milling means acting on the full working face {, i.e. the rotary axis of the tool carrier being substantially parallel to the working face  (similar machines for tunneling E21D9/1026)}","E21D9/1026","","","","","","This place covers: Mineral freed by milling means acting on the full working face not involving slitting; Continuous miners. llustrative example:"
"E21C27/34","Machine propelled along the working face by cable or chain","","","","","","","This place covers: Machine propelled along the working face by cable or chain; Coal ploughs. Illustrative example:"
"E21C29/00","Propulsion of machines for slitting or completely freeing the mineral from the seam","","","","","","","This place covers: Propulsion of machines for slitting or completely freeing the mineral from the seam; Propulsion of machines along the seam. Illustrative example: Propulsion of machines into the seam, as in highwall mining. Illustrative example:"
"E21C31/00","Driving means incorporated in machines for slitting or completely freeing the mineral from the seam","","","","","","","This place covers: Drive units for energising any of the parts forming the machine. Illustrative example:"
"E21C33/00","Trucks or other devices for transporting machines for slitting or completely freeing the mineral from the seam","","Equipment transport systems adapted to underground conditions","E21F13/006","","","",""
"E21C35/00","Miscellaneous items relating to machines for slitting or completely freeing the mineral from the seam","","Picks for tearing up asphalt","E01C23/12","Means for placing or orienting the machine are classified in  and subgroups. Inventions relative to obtaining information about the position or the status of the machine and processing that information to control the machine are classified in . If the positioning is done in combination with operation of a shield for step-by-step movement, then this aspect is classified in .","E21D35/08|E21C35/24|E21D23/00","","This place covers: Specific details of mining machines not disclosed in   -  ."
"E21C35/187","with arrangement of fluid-spraying nozzles  (supply of fluid to the nozzles E21C35/22)","E21C35/22","supply of fluid to the nozzles","E21C35/22","Looping references between  and  have been identified. Until this inconsistency is resolved in IPC, the current classification practice in CPC is as follows: Reference  is non-limiting in the subgroup .","E21C35/22|E21C35/187|E21C35/22|E21C35/187","",""
"E21C37/00","Other methods or devices for dislodging with or without loading  (breaking-down by means inserted in slits E21C27/14)","E21C27/14","Excavating tunnels by blasting methodsRock blasting","E21D9/006|F42D3/04","","","","This place covers: Techniques for dislodging minerals for mining applications."
"E21C39/00","Devices for testing in situ the hardness or other properties of minerals, e.g. for giving information as to the selection of suitable mining tools","","","","","","",""
"E21C41/00","Methods of underground or surface mining  (E21C45/00 takes precedence); Layouts therefor  (for peat E21C49/00)","E21C45/00|E21C49/00","","","","","","This place covers: Methods disclosing sequences of steps or combinations of operations of mining."
"E21C45/00","Methods of hydraulic mining; Hydraulic monitors  (E21C25/60 takes precedence)","E21C25/60","","","","","","This place covers: Methods of hydraulic mining; Hydraulic monitors; Excavating alluvial or other mineral deposits by means of high-pressure water jets. Illustrative example:"
"E21C47/00","Machines for obtaining or the removal of materials in open-pit mines  (obtaining peat E21C49/00)","E21C49/00","","","","","","This place covers: Machines for obtaining or the removal of materials in open-pit mines. Illustrative example:"
"E21C49/00","Obtaining peat; Machines therefor  (treating peat C10F)","C10F","","","","","","This place covers: Methods and machinery for draining and preparing the peat deposit before exploitation, as well as for the extraction of peat."
"E21C50/00","Obtaining minerals from underwater, not otherwise provided for  (suction dredgers or component parts thereof E02F3/88; equipment for conveying or separating excavated material E02F7/00; dippers G01N1/12)","E02F3/88|E02F7/00|G01N1/12","","","","","","This place covers: Methods and machinery for obtaining minerals from sea bodies, such as ocean floors, or lake or river beds."
"E21C51/00","Apparatus for, or methods of, winning materials from extraterrestrial sources  (cosmonautics B64G)","B64G","Cosmonautics","B64G","","","",""
