"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F02K","JET-PROPULSION PLANTS  (features of jet-propulsion plants common to gas-turbine plants, air intakes or fuel supply control of air-breathing jet-propulsion plants F02C7/00, F02C9/00)","F02C7/00|F02C9/00","Arrangement or mounting of jet-propulsion plants in land vehicles or vehicles in generalArrangement or mounting of jet-propulsion plants in waterborne vesselsControlling aircraft attitude, flight direction or altitude by jet reactionArrangement or mounting of jet-propulsion plants in aircraftPlants characterised by the power of the working fluid being divided between jet propulsion and another form of propulsion, e.g. propeller, ","B60K|B63H|B64C15/00|B64D|F02B61/00|F02C6/20","In this subclass the Indexing Code scheme  is used as follows: Mathematical features Working fluid Application Manufacture Components Geometry Function Control Materials","F05D|F05D2200/00|F05D2210/00|F05D2220/00|F05D2230/00|F05D2240/00|F05D2250/00|F05D2260/00|F05D2270/00|F05D2300/00","Jet-propulsion plantsmeans plants using combustion to produce a fluid stream from which a propulsive thrust on the plant is obtained on the reaction principleJet pipemeans the exhaust duct of a jet engine that carries the exhaust to the nozzle ",""
"F02K1/00","Plants characterised by the form or arrangement of the jet pipe or nozzle; Jet pipes or nozzles peculiar thereto  (rocket nozzles F02K9/97)","F02K9/97","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/002","{with means to modify the direction of thrust vector  (F02K1/54 takes precedence; thrust vectoring of rockets F02K9/80)}","F02K1/54|F02K9/80","Aerodynamic vectoring surfaces","B64C","","","",""
"F02K1/004","{by using one or more swivable nozzles rotating about their own axis}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/006","{within one plane only}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/008","{in any rearward direction}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/04","Mounting of an exhaust cone in the jet pipe","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/08","by axially moving or transversely deforming an internal member, e.g. the exhaust cone","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/085","{by transversely deforming an internal member}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/09","by axially moving an external member, e.g. a shroud  (F02K1/12 takes precedence)","F02K1/12","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/10","by distorting the jet pipe or nozzle","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/11","by means of pivoted eyelids","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1207","{of one series of flaps hinged at their upstream ends on a fixed structure  (F02K1/1215 - F02K1/1292 take precedence)}","F02K1/1215|F02K1/1292","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1215","{of two series of flaps, the upstream series having its flaps hinged at their upstream ends on a fixed structure, and the downstream series having its flaps hinged at their downstream ends on a fixed structure}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1223","{of two series of flaps, the upstream series having its flaps hinged at their upstream ends on a fixed structure and the downstream series having its flaps hinged at their upstream ends on the downstream ends of the flaps of the upstream series}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/123","{of two series of flaps, both having their flaps hinged at their upstream ends on a fixed structure}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1238","{of two series of flaps, the upstream series having its flaps hinged at their upstream ends on a fixed structure and the downstream series having its flaps hinged at their upstream ends on a substantially axially movable structure}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1246","{of two series of flaps, the upstream series having its flaps hinged at their upstream ends on a fixed structure and the downstream series having its flaps hinged at their downstream ends on a substantially axially movable structure}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1261","{of one series of flaps hinged at their upstream ends on a substantially axially movable structure}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/1269","{of three series of flaps, the upstream series having its flaps hinged at their upstream ends on a fixed structure and the internal downstream series having its flaps hinged at their downstream ends on the downstream ends of the flaps of the external downstream series hinged on a fixed structure at their upstream ends}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/36","having an ejector","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/40","Nozzles having means for dividing the jet into a plurality of partial jets or having an elongated cross-section outlet","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/42","the means being movable into an inoperative position","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/44","Nozzles having means, e.g. a shield, reducing sound radiation in a specified direction  (F02K1/40 takes precedence)","F02K1/40","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/46","Nozzles having means for adding air to the jet or for augmenting the mixing region between the jet and the ambient air, e.g. for silencing  (F02K1/28, F02K1/36, F02K1/38 take precedence)","F02K1/28|F02K1/36|F02K1/38","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/48","Corrugated nozzles","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/50","Deflecting outwardly a portion of the jet by retractable scoop-like baffles","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/52","Nozzles specially constructed for positioning adjacent to another nozzle or to a fixed member, e.g. fairing","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/563","{in specified direction, e.g. to obviate its reinjection}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/566","{by blocking the rearward discharge by means of a translatable member}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/58","Reversers mounted on the inner cone or the nozzle housing {or the fuselage}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/60","by blocking the rearward discharge by means of pivoted eyelids or clamshells, e.g. target-type reversers","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/605","{the aft end of the engine cowling being movable to uncover openings for the reversed flow}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/62","by blocking the rearward discharge by means of flaps","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/625","{the aft end of the engine cowling being movable to uncover openings for the reversed flow}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/645","{using inflatable diaphragms}","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/66","using reversing fan blades","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/68","Reversers mounted on the engine housing downstream of the fan exhaust section","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
"F02K1/70","using thrust reverser flaps or doors mounted on the fan housing","","","","","","","This place covers: Illustrative example of subject matter classified in this group."
