"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F02M","SUPPLYING COMBUSTION ENGINES IN GENERAL WITH COMBUSTIBLE MIXTURES OR CONSTITUENTS THEREOF","","Internal-combustion piston engines; Combustion engines in general","F02B","","","CarburettorsApparatus for mixing fuel with air, the fuel being brought into mixing contact with the air by lowering the air pressure, e.g. in a venturiFuel-injection apparatusApparatus for introducing fuel into a space, e.g. engine cylinder, by pressurising the fuel, e.g. by a pump acting behind the fuel, and thus includes the so-called ""solid-fuel injection"" in which liquid fuel is introduced without any admixture of gasLow-pressure fuel injectionFuel injection in which the fuel-air mixture containing fuel thus injected will be substantially compressed in the compression stroke of the enginePumping elementA single piston-cylinder unit in a reciprocating-piston fuel-injection pump or the equivalent unit in any other type of fuel-injection pump","This place covers: Apparatus for supplying fuel, air or non fuel substances to combustion engines, e.g. carburettors for liquid fuel; apparatus for feeding, or treating combustion-air, fuel, or fuel-air mixture; Fuel injection apparatus"
"F02M1/00","Carburettors with means for facilitating engine's starting or its idling below operational temperatures","","Idling devices","F02M3/00","","","IdlingEngine running stationaryPrimingPumping extra fuelFloat chamberFuel collection chamber controlled by float member","This place covers: When the engine is cold, fuel vaporizes less readily and tends to condense on the walls of the intake manifold, starving the cylinders of fuel and making the engine difficult to start; thus, a richer mixture is required to start and run the engine until it warms up. To provide the extra fuel, a choke is typically used; this is a device that restricts the flow of air at the entrance to the carburettor, before the venturi. With this restriction in place, extra vacuum is developed in the carburettor venturi, which pulls extra fuel through the main metering system to supplement the fuel being pulled from the idle and off-idle circuits. This provides the rich mixture required to sustain operation at low engine temperatures. In addition, the choke can be connected to a cam or other device which prevents the throttle plate from closing fully while the choke is in operation. This causes the engine to idle at a higher speed. Fast idle serves as a way to help the engine warm up quickly, and give a more stable idle while cold by increasing airflow throughout the intake system which helps to better atomize the cold fuel. In many carburetted cars, the choke is controlled by a cable connected to a pull-knob on the dashboard operated by the driver. In some carburetted cars it is automatically controlled by a thermostat employing a bimetallic spring, which is exposed to engine heat, or to an electric heating element. This heat may be transferred to the choke thermostat via simple convection, via engine coolant, or via air heated by the exhaust. Some carburettors do not have a choke but instead use a mixture enrichment circuit. Typically used on small engines, enricheners work by opening a secondary fuel circuit below the throttle valves. This circuit works exactly like the idle circuit, and when engaged it simply supplies extra fuel when the throttle is closed."
"F02M3/00","Idling devices for carburettors  (with means for facilitating engine's idling below operational temperatures F02M1/00)","F02M1/00","Carburettors with means for influencing, e.g. enriching or keeping constant, fuel/air ratio of charge under varying conditionsApparatus for adding secondary air to fuel-air mixture","F02M7/00|F02M23/00","","","","This place covers: Devices for delivering the correct amount of fuel and air under idling i.e. slow running conditions of the engine."
"F02M5/00","Float-controlled apparatus for maintaining a constant fuel level","","Details, component parts, or accessories of carburettors, not provided for in, or of interest apart from, the apparatus of groups  - ","F02M1/00|F02M17/00|F02M19/00","","","FloatHollow body floating on fuel level and acting on fuel inlet valve","This place covers: To ensure a ready mixture, the carburettor has a float chamber that contains a quantity of fuel at near-atmospheric pressure, ready for use. This reservoir is constantly replenished with fuel supplied by a fuel pump. The correct fuel level in the bowl is maintained by means of a float controlling an inlet valve When fuel is used up, the float drops, opening the inlet valve and admitting fuel. As the fuel level rises, the float rises and closes the inlet valve. The level of fuel maintained in the float bowl can usually be adjusted by a setscrew."
"F02M5/12","Other details, e.g. floats, valves, setting devices or tools","","Floats in general","F16K33/00","","","",""
"F02M7/00","Carburettors with means for influencing, e.g. enriching or keeping constant, fuel/air ratio of charge under varying conditions  (choke valves for starting F02M1/00)","F02M1/00","Carburettors with means for influencing, e.g. enriching or keeping constant, fuel/air ratio of charge under varying conditions","F02D35/00","","","Aerated fuel spray nozzlesNozzle with air and fuel dispersionEqualiser jetsJets for equalising the air/fuel ratio","This place covers: Under all engine operating conditions, the carburettor must measure the airflow of the engine, deliver the correct amount of fuel to keep the air/fuel mixture in the proper range and distribute the two finely and evenly. This job would be simple if air and gasoline were ideal fluids; in practice, however, their deviations from ideal behaviour due to viscosity, fluid drag, inertia, etc. require a great deal of complexity to compensate for exceptionally high or low engine speeds. A carburettor must provide the proper air/fuel mixture across a wide range of ambient temperatures, atmospheric pressures, engine speeds and loads and centrifugal forces, like cold start, hot start, idling, acceleration, high speed at full throttle (high load), slow speed at part throttle (light load). To function correctly under all these conditions, carburettors contain a complex set of mechanisms to support several different operating modes."
"F02M7/02","Carburettors having aerated fuel spray nozzles","","With valve control for amount of air for aerating fuel","F02M7/24","","","",""
"F02M9/00","Carburettors having air or fuel-air mixture passage throttling valves other than of butterfly type  (register-type carburettors F02M11/00); Carburettors having fuel-air mixing chambers of variable shape or position","F02M11/00","Throttle valves having slidably mounted valve members","F02D9/12","","","Iris diaphragmsSeries of metal plates that can fold in over an opening on each other","This place covers: A carburettor basically consists of an open pipe through which the air passes into the inlet manifold of the engine. The pipe is in the form of a venture, which narrows in section and then widens again, causing the airflow to increase in speed in the narrowest part. Below the venturi is a valve called the throttle valve. This valve controls the flow of air through the carburettor throat and thus the quantity of air/fuel mixture the system will deliver, thereby regulating engine power and speed. The throttle valve is connected through a mechanical linkage of rods and joints to the accelerator pedal."
"F02M11/00","Multi-stage carburettors, Register-type carburettors, i.e. with slidable or rotatable throttling valves in which a plurality of fuel nozzles, other than only an idling nozzle and a main one, are sequentially exposed to air stream by throttling valve","","Arrangements of two or more separate carburettorsCarburettors using more than one fuel","F02M13/00|F02M13/06","","","","This place covers: Carburettors with a plurality of means for adjusting the air to fuel mixing ratio according to the operational requirements, like acceleration, deceleration and idling of the engine."
"F02M13/00","Arrangements of two or more separate carburettors  (re-atomising condensed fuel or homogenising fuel-air mixture F02M29/00); Carburettors using more than one fuel  (apparatus for adding small quantities of secondary fuel F02M25/00)","F02M29/00|F02M25/00","Multi-stage carburettorsApparatus for testing, tuning, or synchronising carburetorsControlling engines by throttling air or fuel and air induction conduits or exhaust conduits. ","F02M11/00|F02M19/01|F02D9/00","","","","This place covers: The arrangement of two or more carburettors on the intake conduits of internal combustion engines and related constructional features."
"F02M15/00","Carburettors with heating, cooling or thermal insulating means for combustion-air, fuel, or fuel-air mixture","","Carburettors with means for facilitating engine's starting or its idling below operational temperaturesHeating, cooling, or thermally insulating float apparatusCarburettors having pertinent characteristics not provided for in, or of interest apart from, the apparatus of preceding main groupsApparatus for thermally treating combustion-air, fuel, or fuel-air mixture not being part of a carburettor","F02M1/00|F02M5/00|F02M17/00|F02M31/00","","","","This place covers: Carburettors with means for preventing freezing or overheating of the carburettor."
"F02M17/00","Carburettors having pertinent characteristics not provided for in, or of interest apart from, the apparatus of preceding main groups F02M1/00 - F02M15/00  (apparatus for treating combustion-air, fuel, or fuel-air mixture by catalysts, electric means, magnetism, rays, sonic waves, or the like F02M27/00; combinations of carburettors and low-pressure fuel-injection apparatus F02M71/00)","F02M1/00|F02M15/00|F02M27/00|F02M71/00","","","","","","This place covers: Carburettors with a different type of configuration, like fuel bath carburettors or normal carburettors having special properties, like membrane carburettors."
"F02M17/16","Carburettors having continuously-rotating bodies, e.g. surface carburettors","","Fuel injection by centrifugal forces","F02M69/06","","","",""
"F02M19/00","Details, component parts, or accessories of carburettors, not provided for in, or of interest apart from, the apparatus of groups F02M1/00 - F02M17/00","F02M1/00|F02M17/00","Carburettors having pertinent characteristics not provided for in, or of interest apart from, the apparatus of preceding main groupsMeasuring or testing apparatus in general","F02M17/00|G01","","","DashpotType of damper","This place covers: Residual group for details of carburettors which are not covered by main groups   –  . This group covers, e.g. metering orifices, spray nozzles, venturis, external control gear."
"F02M19/03","Fuel atomising nozzles; Arrangement of emulsifying air conduits","","Atomising in general","B05B","","","",""
"F02M21/00","Apparatus for supplying engines with non-liquid fuels, e.g. gaseous fuels stored in liquid form","","Carburettors adapted to use liquid and gaseous fuelsEngines characterised by pre-combustion chambers","F02M13/08|F02B19/00","","","Gaseous fuelFuel being a gas at atmospheric pressure and room temperature","This place covers: Systems like tanks, vaporizers, pumps and injectors for supplying engines with a non-liquid, mostly gaseous fuel. A gas engine differs from a petrol engine in many ways. The fuel and air are mixed differently. The combustion of a gas/ air mixture is different form a liquid fuel/ air mixture and requires adaptation of the combustion space. Also the energy contents of gas is much lower than that of a liquid fuel. Since (natural) gas is a clean, economical and readily available fuel, many industrial engines are either designed or modified to use gas, as distinguished from gasoline."
"F02M21/02","for gaseous fuels","","Apparatus for vaporising liquid fuel by heatEngines with apparatus generating gas from solid fuel, e.g. from wood","F02M31/00|F02B43/08","","","",""
"F02M21/04","Gas-air mixing apparatus","","Carburettors adapted to use liquid and gaseous fuelsCarburetting gases in general","F02M13/08|C10J","","","",""
"F02M21/06","Apparatus for de-liquefying, e.g. by heating","","Discharging liquefied gases in general","F17C","","","",""
"F02M23/00","Apparatus for adding secondary air to fuel-air mixture","","Carburettors with means for influencing, e.g. enriching or keeping constant fuel/air ratio of charge under varying conditions","F02M7/00","","","Secondary airair not entering the engine via the main air intake","This place covers: Apparatus for adding secondary air to the air/fuel mixture for varying or keeping constant the air/fuel ratio under varying engine operating circumstances, like acceleration, deceleration, cold start and high torque."
"F02M25/00","Engine-pertinent apparatus for adding non-fuel substances or small quantities of secondary fuel to combustion-air, main fuel or fuel-air mixture  (adding secondary air to fuel-air mixture F02M23/00; adding exhaust gases F02M26/00; fuel-injection apparatus operating simultaneously on two or more fuels or on a liquid fuel and another liquid F02M43/00)","F02M23/00|F02M26/00|F02M43/00","Crankcase ventilating or breathingExhaust or silencing apparatus having means for purifying, rendering innocuous, or otherwise treating exhaustMethods of operating engines involving adding non-fuel substances or anti-knock agents to combustion air, fuel or fuel-air mixtures of engines","F01M13/00|F01N3/00|F02B47/00","","","","This place covers: Apparatus for adding water, lubricant vapours or fuel vapours to the combustion mixture. These substances are added to improve the combustion properties of the fuel/air mixture and/or make the exhaust gases cleaner or prevent harmful gases from escaping to atmosphere."
