"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F02N","STARTING OF COMBUSTION ENGINES; STARTING AIDS FOR SUCH ENGINES, NOT OTHERWISE PROVIDED FOR","","","","","","","This place covers: Devices and methods for initiating operation of machines using oxidation of a fuel."
"F02N1/00","Starting apparatus having hand cranks  (with intermediate power storage F02N5/00 - F02N15/00)","F02N5/00|F02N15/00","","","","","","This place covers: Starting apparatus having hand cranks. In old vehicles the engine was started using hand cranks. Nowadays these are limited to special applications like some airplanes"
"F02N3/00","Other muscle-operated starting apparatus  (with intermediate power storage F02N5/00 - F02N15/00)","F02N5/00|F02N15/00","Starting using hand cranks","F02N1/00","","","","This place covers: Starting of engines achieved by manual actuation by the operator"
"F02N3/02","having pull-cords","","","","","","","This place covers: Pull-cord actuated starting, e.g. recoil mechanisms used in lawn movers."
"F02N3/04","having foot-actuated levers","","","","","","","This place covers: Kick starters for motorbikes and similar arrangements"
"F02N5/00","Starting apparatus having mechanical power storage","","","","","","","This place covers: Starting apparatus having mechanical power storage"
"F02N5/02","of spring type","","","","","","","This place covers: Starting apparatus, whereby the energy for starting is at least partially stored in a spring and subsequently released to effect starting."
"F02N5/04","of inertia type","","","","","","","This place covers: Starting apparatus, whereby the energy for starting is stored in moving parts. This can be the engine flywheel. Also covers the connection of the engine via the clutch to the wheels of a moving vehicle to accelerate the engine for starting (e.g. in hybrid vehicles) and the acceleration of the starter before the starter and the engine are connected."
"F02N7/00","Starting apparatus having fluid-driven auxiliary engines or apparatus","","","","","","","This place covers: Starting apparatus, starting of engine by using auxiliary engine or hydraulic motors, e.g. air motor."
"F02N9/00","Starting of engines by supplying auxiliary pressure fluid to their working chambers","","","","","","","This place covers: Supply of high pressure fluid to engine to achieve engine start."
"F02N11/00","Starting of engines by means of electric motors","","Arrangement or mounting of prime-movers consisting of electric motors and internal combustion engines for mutual or common propulsion","B60K6/20","Subgroups also cover control of engine starting.","","","This place covers: The usual way to start an engine is to use one or more electric motors."
"F02N11/04","the motors being associated with current generators","","","","","","","This place covers: The starter is also used as a generator during normal engine running. Normally called starter/generator or starter/alternator."
"F02N11/06","and with ignition apparatus","","","","","","","This place covers: Starting apparatus with ignition apparatus."
"F02N11/08","Circuits {or control means} specially adapted for starting of engines","","","","","","","This place covers: Circuits or control means specially adapted for starting engines; Starting apparatus."
"F02N11/0803","{characterised by means for initiating engine start or stop  (F02N11/0814 takes precedence)}","F02N11/0814","Ignition switches","H01H27/06","Safety means, especially for preventing engine start for safety reasons, should additionally be classified in ","F02N11/10","","This place covers: Means to initiate the engine start, could be related to specific arrangements of ignition switches but also automatic restart at engine stall or based on temperature measurements, both in driver cabin (for trucks) and engine temperature. Furthermore automatically stopping the engine at extended idling (important for the US) or after they have been automatically started."
"F02N11/0807","{Remote means}","","","","","","","This place covers: Automatic engine start using a remote, popular especially in the US to preheat the vehicle or the engine."
"F02N11/0814","{comprising means for controlling automatic idle-start-stop}","","","","","","","This place covers: Starting apparatus comprising means for controlling automatic idle-start-stop. Starting apparatus with a start-stop system wherein the engine is automatically stopped when the vehicle has stopped at e.g. a traffic light. The engine will then be automatically restarted based on driver's intention to continue driving or based on system requirements."
"F02N11/0822","{related to action of the driver}","","","","","","","This place covers: Means for detecting driver's will to continue driving or to maintain current vehicle position."
"F02N11/0825","{related to prevention of engine restart failure, e.g. disabling automatic stop at low battery state}","","","","","","","This place covers: Means not allowing automatic engine stop is if restart cannot be guaranteed, e.g. at low battery or starter failure."
"F02N11/0829","{related to special engine control, e.g. giving priority to engine warming-up or learning}","","","","","","","This place covers: Means prohibiting automatic stop is if engine running is required for other reasons related to the engine, e.g. for adaptation, cleaning of catalysts or purging of fuel vapors."
"F02N11/084","{State of vehicle accessories, e.g. air condition or power steering}","","Engine is started if battery charge is lowEngine running is required for engine related aspects","F02N11/0825|F02N11/0829","","","","This place covers: The engine is automatically started (or not stopped) if the engine running is required to support vehicle accessories."
"F02N11/0844","{with means for restarting the engine directly after an engine stop request, e.g. caused by change of driver mind}","","Control of engagement between starter pinion and engine gear while engine is still rotating","F02N11/0855","","","","This place covers: Means restarting engine when engine is still rotating."
"F02N11/0848","{with means for detecting successful engine start, e.g. to stop starter actuation}","","","","","","","This place covers: Means for detecting successful engine start, e.g. to stop starter actuation; Means detecting when the engine has started, e.g. to stop the starter or for other engine control."
"F02N11/0851","{characterised by means for controlling the engagement or disengagement between engine and starter, e.g. meshing of pinion and engine gear}","","More mechanical aspects concerning the connection between the engine and the starter","F02N15/02","","","","This place covers: Means for controlling the engagement or disengagement between engine and starter, e.g. meshing of pinion and engine gear; Control or circuit aspects for connecting the starter and the engine, mainly starters using pinions."
"F02N11/0855","{during engine shutdown or after engine stop before start command, e.g. pre-engagement of pinion}","","","","","","","This place covers: Engagement of pinion while the engine is still rotating , e.g. by accelerating starter first and thereafter engage the pinion with the engine gear. Also engaging the pinion when the engine has stopped but when no engine start request has been detected. This can be done when future engine start is likely, e.g. based on vehicle door opening."
"F02N11/0859","{specially adapted to the type of the starter motor or integrated into it}","","Starter/generators","F02N11/04","","","","This place covers: All circuits specially adapted to a certain type of motor, e.g. all inverter circuits are inside here."
"F02N11/0862","{characterised by the electrical power supply means, e.g. battery}","","","","","","","This place covers: Anything related to the battery or other means for supplying energy for starting."
"F02N11/0866","{comprising several power sources, e.g. battery and capacitor or two batteries}","","","","","","","This place covers: Everything related to the use of two batteries or power supplies in a vehicle in relation with starting: choice of battery; one battery for starting and one battery for accessories; capacitor charging, e.g. before engine start."
"F02N11/10","Safety devices  (F02N11/08 takes precedence)","F02N11/08","","","","","","This place covers: Safety devices; diagnosis of starters."
"F02N11/101","{for preventing engine starter actuation or engagement}","","Preventing unauthorised use or theft of vehicle","B60R25/04","","","","This place covers: Devices prohibiting engine start, and therefore the starter actuation, in order to protect the engine, the starter or the environment."
"F02N11/105","{when the engine is already running  (F02N11/0848 takes precedence)}","F02N11/0848","","","","","","This place covers: Devices preventing new starter actuation when the engine is already or still running in order to protect the starter, e.g. the pinion."
"F02N13/00","Starting of engines, or driving of starting apparatus by use of explosives, e.g. stored in cartridges","","","","","","","This place covers: Systems or Methods for starting combustion engines moved by explosive mixture other than the combustion mixture, in particular explosive cartridges. It could be either portable or constructional fixed to the engine. This is e.g. the case for model cars"
"F02N13/02","Cartridges specially adapted therefor","","Gas cartridges in general","F42B3/04","","","","This place covers: This group covers cartridges that are specially adapted for starting engines."
"F02N15/00","Other power-operated starting apparatus; Component parts, details, or accessories, not provided for in, or of interest apart from groups F02N5/00 - F02N13/00","F02N5/00|F02N13/00","","","","","","This place covers: Covers all remaining aspects of starting devices, especially the connection between the starting apparatus and the engine."
"F02N15/02","Gearing between starting-engines and started engines; Engagement or disengagement thereof","","","","","","","This place covers: Connections between the engine and the starting means."
"F02N15/04","the gearing including disengaging toothed gears","","Electrical or electronical control of the engagement and disengagement and circuits therefore ","F02N11/0851","","","","This place covers: The gearing between the engine and the starting means (mainly starter) is disengaged."
"F02N19/00","Starting aids for combustion engines, not otherwise provided for","","","","","","","This place covers: Starting aids; means for aiding engine start."
"F02N19/004","{Aiding engine start by using decompression means or variable valve actuation}","","","","","","","This place covers: Means for reduction of the necessary torque for starting using decompression valves or variable intake or exhaust valve actuation"
"F02N19/005","{Aiding engine start by starting from a predetermined position, e.g. pre-positioning or reverse rotation}","","","","","","","This place covers: Means for reducing torque needed to start the engine taking into account engine crank angle, e.g. by moving the engine to a certain position the necessary torque can be reduced."
"F02N19/02","Aiding engine start by thermal means, e.g. using lighted wicks","","Control of glow plugs","F02P19/02","","","","This place covers: Heating the engine or its components prior to engine start."
"F02N19/04","by heating of fluids used in engines","","Heating of lubricants","F01M5/02","","","",""
"F02N99/00","Subject matter not provided for in other groups of this subclass","","","","","","","This place covers: Subject matter not provided for in other groups of this subclass."
"F02N99/002","{Starting combustion engines by ignition means}","","","","","","","This place covers: So-called direct start by injecting fuel into one engine cylinder and igniting it, can be without or combined with starter actuation."
"F02N99/006","{Providing a combustible mixture inside the cylinder}","","","","","","","This place covers: Starting whereby the fuel is injected directly into the combustion chamber and then ignited to achieve engine start."
