"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F02P","IGNITION, OTHER THAN COMPRESSION IGNITION, FOR INTERNAL-COMBUSTION ENGINES; TESTING OF IGNITION TIMING IN COMPRESSION-IGNITION ENGINES  ({anti-pollution means for internal-combustion engines F02B17/00}; specially adapted for rotary-piston or oscillating-piston engines F02B53/12; {ignition of gas turbine plants F02C7/26; ignition of jet propulsion plants F02K9/95; starting of combustion engines F02N9/00}; ignition of combustion apparatus in general, glowing plugs F23Q; measuring of physical variables in general G01; controlling in general G05; data processing in general G06; electrical components in general see Section H; {ignition coils H01F38/12}; sparking plugs H01T13/00)","F02B17/00|F02B53/12|F02C7/26|F02K9/95|F02N9/00|F23Q|G01|G05|G06|H|H01F38/12|H01T13/00","Ignition of gas turbine plantsIgnition of jet propulsion plants ","F02C7/26|F02K9/95","","","","This place covers: Systems and arrangements for causing ignition in internal combustion engines. Details of electrically actuated spark ignition systems, this includes the generation and supply of the ignition energy to the spark plugs. Testing of and feedback about the ignition. Control of the engine by using parameters of the ignition, e.g. the ignition timing or the ignition strength."
"F02P1/00","Installations having electric ignition energy generated by magneto- or dynamo- electric generators without subsequent storage {(combination starter-magneto F02N11/06; magneto- or dynamo-electric generators H02K21/00)}","F02N11/06|H02K21/00","","","","","","This place covers: Installations wherein spark ignition is generated by a spark plug fed by a coil responsive to the field changes of a magnet fixed on a flywheel and rotating with it. This is used in most of small engines without battery, as well as on small piston airplanes."
"F02P1/08","Layout of circuits","","Details of inductive ignition circuitsDetails of capacitive ignition circuitsControl of ignition timing ","F02P3/02|F02P3/06|F02P5/00","","","","This place covers: Circuits specially adapted to ignition circuits without batteries, e.g. the arrangement of capacitors, coils, resistors, semiconductors. coils."
"F02P1/083","{for generating sparks by opening or closing a coil circuit}","","","","","","","This place covers: Circuits wherein the current which has been generated after a change of magnetic fields is transformed in (high) voltage by opening (here mechanically) the coil-plug circuit."
"F02P1/086","{for generating sparks by discharging a capacitor into a coil circuit}","","","","","","","This place covers: Circuits with switching capacitors to increase the voltage created by opening the coil-plug circuit."
"F02P3/00","Other installations","","","","","","","This place covers: Ignition installations comprising a battery, a switching circuit and an ignition transformer."
"F02P3/02","having inductive energy storage, e.g. arrangements of induction coils {(ignition coils structurally combined with sparking plugs F02P13/00; constructional details of ignition coils H01F38/12)}","F02P13/00|H01F38/12","Ignition coils structurally combined with sparking plugs Constructional details of ignition coils ","F02P13/00|H01F38/12","","","","This place covers: Circuits wherein a current is drawn into a coil storing magnetic energy and wherein the current is subsequently interrupted and the magnetic energy is discharged between the electrodes of a spark plug. In this group are mostly found: the cabling of the coils; the connection of the ignition coil to the spark plug connectors; rod-type spark plugs."
"F02P3/06","having capacitive energy storage  (piezo-electric or electrostatic ignition F02P3/12)","F02P3/12","Piezo-electric or electrostatic ignition ","F02P3/12","","","","This place covers: Circuits for capacitive discharge ignition (CDI) wherein a discharge current from a capacitor is used to generate the spark, usually by discharging the output to an ignition coil."
"F02P3/10","Low-tension installation, e.g. using surface-discharge sparking plugs","","Sparking-plugs characterised by a discharge along a surface","H01T13/52","","","","This place covers: Ignition installations having plugs with a high resistive, e.g. carbon, surface where a spark slowly propagates."
"F02P3/12","Piezo-electric ignition; Electrostatic ignition","","","","","","","This place covers: Ignition installation using a shock on a piezo-electrical crystal to trigger a spark."
