"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F03D","WIND MOTORS","","Vehicles for transportationPropulsive devices of ships or other waterborne vessels directly acted on by wind, using the Magnus effectRotors for airplanes and helicoptersHandling by cranes, hoisting, liftingMachines or engines for liquids, Water turbinesVentilatorsDynamo-electric machinesStructural association of electric generator with mechanical driving motor in dynamo-electric machines, e.g. turbine","B60P3/40|B63H9/02|B64C27/00|B66C|F03B|F04D25/08|H02K|H02K7/18","","","RotorWind engaging parts of the wind motor and the rotary member carrying themRotation axisAxis of rotation of the rotor","This place covers: Mechanisms for converting the energy of wind into useful mechanical power. In particular: Wind motors with rotation axis substantially parallel to the flow of air entering the machine Wind motors with rotation axis substantially at right angle to the flow of air entering the machine Other wind motors Controlling wind motors Adaptations of wind motors for special use Combinations of wind motors with apparatus driven thereby Other details, component parts, or accessories of wind motors"
"F03D1/00","Wind motors with rotation axis substantially parallel to the air flow entering the rotor   (controlling thereof F03D7/02)","F03D7/02","Solar updraft","F03G6/045","","","","This place covers: Wind motors having their rotation axis substantially parallel to the flow of air entering the machine. When the flow has been guided into a direction other that the original wind direction, the final flow into the wind motor should be considered for classification."
"F03D3/00","Wind motors with rotation axis substantially perpendicular to the air flow entering the rotor   (controlling thereof F03D7/06)","F03D7/06","","","","","","This place covers: Wind motors having their rotation axis substantially perpendicular to the flow of air entering the machine. When the flow has been guided into a direction other that the original wind direction, the final flow into the wind motor should be considered for classification."
"F03D3/0427","{with augmenting action, i.e. the guiding means intercepting an area greater than the effective rotor area  (F03D3/0463, F03D3/049 take precedence)}","F03D3/0463|F03D3/049","","","When the guiding means form also a shield means on one side of the rotor  or  take precedence.","F03D3/0463|F03D3/049","","This place covers: Wind motors characterised by the ""effective area"" of the rotor which is the cross section area of the rotor which contributes positively, i.e. causes a torque in/ to the desired rotation. The ""augmenting"" guiding means are those guiding means which intercept an area of flow greater than this ""effective rotor area"", and direct the flow into the rotor. The guiding means which fulfil this intercepting role are bounded on all sides from inlet to outlet into rotor, and therefore also accelerate or ""concentrate"" the flow into the rotor. Example: EP0226526 $ GB2420831"
"F03D3/0454","{and only with concentrating action, i.e. only increasing the airflow speed into the rotor  (F03D3/0463 takes precedence)}","F03D3/0463","","","","","","This place covers: Wind motors with a concentrating means, i.e. the guiding means only increase the flow speed into the rotor without intercepting an area of flow greater than the effective rotor area (see definition of this effective area in   entry). These concentrating guiding means can be either bounded on all sides or only on some. US1596373 AU597755B (see channel 12)"
"F03D3/067","{the wind engaging parts having a cyclic movement relative to the rotor during its rotation}","","","","","","","This place covers: Wind motors wherein the wind engaging parts, i.e. the blades, vanes, paddles or cups, undergo a change of orientation within each cycle of rotation of the wind rotor, coming back to their original position after each revolution. This change of orientation happens of itself, passively, the direct result of the wind acting on the wind engaging parts as the relative wind direction changes with the rotation. Example: WO2010102517"
"F03D3/068","{the cyclic relative movement being coupled to the movement of rotation; Controlling same, e.g. according to wind direction or force}","","","","","","","This place covers: Wind motors whereby the cyclic movement of the wind engaging parts during each revolution of the rotor are forcibly and actively related to the rotor rotation, not the result of the action on the part by the wind flow itself . Examples: US2011091322 DE202008006980U"
"F03D5/00","Other wind motors  (controlling thereof F03D7/00)","F03D7/00","","","","","",""
"F03D5/005","{Wind motors having a single vane which axis generate a conus or like surface}","","","","","","","This place covers: Illustrated example of subject matter classified in  . US4561826"
"F03D5/02","the wind-engaging parts being attached to endless chains or the like","","","","","","","This place covers: Illustrated example of subject matter classified in  . WO2010060911"
