"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F16G","BELTS, CABLES, OR ROPES, PREDOMINANTLY USED FOR DRIVING PURPOSES; CHAINS; FITTINGS PREDOMINANTLY USED THEREFOR","","","","","","","This place covers: Belts, e.g. V-belts, cables, ropes or chains that are specially adapted for transferring power/force from an input point to an output point to move or drive at least one mechanical part. The belts, cables, ropes or chains being either formed into a loop that is intended to travel around an endless path and engage two or more pulleys, sprockets or similar rotating elements and transfer power/force while travelling along its path; or an elongated element that is intended to travel backward or forward along a path to transfer power/force between one point along its length to another point along its length, e.g. from a drum to a load. Chains, e.g. hauling- or hoisting-chains, that are not specially adapted for transferring power/force. Fittings and attachments primarily intended to be connected to or used with the above types of belts, cables, ropes or chains. These include: means for fastening ends of belts together to form closed loops, e.g. fastenings for conveyor belts or V-belts; means for fastening cables or ropes to one another or to other objects; caps or sleeves for fixing on cables or ropes; means for coupling chains; components of chains, e.g. shackles, swivels, chain joints, chain links or chain bushes; hooks as integral parts of chains."
"F16G1/00","Driving-belts  (V-belts F16G5/00; conveyor belt B65G)","F16G5/00|B65G","Woven fabrics designed to make specified articlesGearings using endless flexible members, Belts specially adapted for gearings with variable ratio by using endless flexible membersPreventing or carrying off electrostatic charges","D03D1/00|F16H7/00|F16H9/00|F16H9/24|H05F","","","","This place covers: Belts adapted for transferring power/force from an input point to an output point to move or drive at least one mechanical part. Belts being either formed into a loop that is intended to travel around an endless path and engage two or more pulleys, sprockets or similar rotating elements and transfer power/force while travelling along its path; or an elongated element that is intended to travel backward or forward along a path to transfer power/force between one point along its length to another point along its length, e.g. from a drum to a load."
"F16G1/04","made of fibrous material, e.g. textiles, whether rubber-covered or not  (F16G1/28 takes precedence; making thereof D03D {; consisting of several parts F16G1/22})","F16G1/28|D03D|F16G1/22","","","","","","This place covers: Illustrative example of subject matter classified in this group (US5429555): "
"F16G1/06","made of rubber  (F16G1/28 takes precedence; making thereof B29D29/00 {consisting of several parts F16G1/22})","F16G1/28|B29D29/00|F16G1/22","","","","","Rubber polymer containing dienes (see main groups -  and depending lower groups), e.g. HNBR, CR, acrylonitrile butadiene rubber (""NBR""), styrene-butadiene rubber (""SBR""), alkylated chlorosulfonated polyethylene (""ACSM""), epichlorohydrin, butadiene rubber (""BR""), natural rubber (""NR""), ethylene alpha olefin elastomers, ethylene propylene terpolymer or ethylene propylene diene terpolymer (""EPDM""), ethylene propylene copolymer (""EPM"") ",""
"F16G1/08","with reinforcement bonded by the rubber","","","","","","","This place covers: Illustrative example of subject matter classified in this group (WO2010047029):"
"F16G1/10","with textile reinforcement","","","","","","","This place covers: Illustrative example of subject matter classified in this group. For external use see layer 19 and 20 in WO2011003090: or internally see inserts 20 of US3911755:"
"F16G1/12","with metal reinforcement","","","","","","","This place covers: Illustrative example of subject matter classified in this group (GB2026940: metal reinforced belt):"
"F16G1/14","made of plastics  (F16G1/28 takes precedence; making thereof B29D29/00 {consisting of several parts F16G1/22})","F16G1/28|B29D29/00|F16G1/22","","","","","","This place covers: Illustrative example of subject matter classified in this group (WO2007054065: made of thermoplastic): Example of common plastics are: Polyester (PES),Polyethylene terephthalate (PET),Polyethylene (PE),High-density polyethylene (HDPE), Polyvinyl chloride (PVC),Polyvinylidene chloride (PVDC),Low-density polyethylene (LDPE),Polypropylene (PP), Polystyrene (PS),High impact polystyrene (HIPS),Polyamides (PA) (Nylons), Acrylonitrile butadiene styrene (ABS), Polycarbonate (PC), Polycarbonate/Acrylonitrile Butadiene Styrene (PC/ABS), Polyurethanes (PU)."
"F16G1/18","made of wire  (making thereof B21F43/00 {; consisting of several parts F16G1/22})","B21F43/00|F16G1/22","","","","","","This place covers: Illustrative example of subject matter classified in this group (GB551595): "
"F16G1/20","made of a single metal strip  (making thereof B21D53/14)","B21D53/14","Making of metallic belts or rings, Manufacturing of metal belts","B21D53/14|B21D53/16|B23K26/00","","","","This place covers: Illustrative example of subject matter classified in this group (EP0428280):"
"F16G1/21","built-up from superimposed layers, e.g. zig-zag folded","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US2004219850):"
"F16G1/22","consisting of several parts","","","","","","","This place covers: Illustrative example of subject matter classified in this group (EP2116487):"
"F16G1/28","with a contact surface of special shape, e.g. toothed","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US2010120566):"
"F16G3/00","Belt fastenings, e.g. for conveyor belts  (for V-belts F16G7/00)","F16G7/00","","","","","","This place covers: Fittings and attachments primarily intended to be connected to or used with the above types of belts. These include: means for fastening ends of belts together to form closed loops, e.g. fastenings for conveyor belts"
"F16G3/003","{Apparatus or tools for joining belts  (stapler B25C5/00)}","B25C5/00","","","","","","This place covers: Apparatus to insert rivet. Illustrative example (WO2009106013): Apparatus to insert staples. Illustrative example (EP2101080):  Same subject-matter as "
"F16G3/006","{Traction devices to bring together belts, cables or chains}","","","","","","","This place covers: Illustrative examples of subject matter classified in this group. GB191127337 US3999738"
"F16G3/02","with series of eyes or the like, interposed and linked by a pin to form a hinge  (F16G3/09 takes precedence)","F16G3/09","","","","","","This place covers: Illustrative example of subject matter classified in this group (EP1967758):"
"F16G3/04","in which the ends of separate U-shaped or like eyes are attached to the belt by parts penetrating into it","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US5048675):"
"F16G3/06","with outwardly-bent, mutually-connected belt ends","","","","","","","This place covers: Illustrative example of subject matter classified in this group (US2008200295):"
"F16G3/08","consisting of plates and screw-bolts or rivets  (F16G3/06 takes precedence)","F16G3/06","","","","","","This place covers: Illustrative example of subject matter classified in this group (FR2803836):"
"F16G3/10","Joining belts by sewing, sticking, vulcanising, or the like; Constructional adaptations of the belt ends for this purpose","","Joining of plastics","B29C65/00","","","","This place covers: Sewing. Illustrative example (WO2005095248): Gluing. Illustrative example (DE102008019540): Vulcanising/interlocking Illustrative example (US2002157786):"
"F16G3/12","Joining belts by lacing","","","","","","","This place covers: Illustrative example of subject matter classified in this group (DE4010795): "
