"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F16H","GEARING","","lArrangement of transmissions in vehiclesFluid pressure actuators, Hydraulics or pneumatics in generalCouplings for transmitting rotationClutches","B60K|F15B|F16D|F16D","The use of the available Indexing Codes in this subclass is mandatory and should be assigned for additional information to facilitate searching. However, please note that the classifications in the Indexing Codes of this subclass are only complete after January 2014. Also note that the Indexing Codes under  are no longer used for classifying new documents ","F16H2700/00","Gearingmechanical, hydraulic, electric, or other means for transmitting mechanical motion or forceToothed gearingincludes worm gearing and other gearing involving at least one wheel or sector provided with teeth or the equivalent, except gearing with chains or toothed belts, which is treated as friction gearingConveying motionincludes transmitting energy, and means that the applied and resultant motions are of the same kind, though they may differ in, e.g. speed, direction or extentRotary motionimplies that the motion may continue indefinitelyOscillating motionmeans moving about an axis to an extent which is limited by the construction of the gearing and which may exceed one revolution, the movement being alternately forwards and backwards during continued operation of the gearingReciprocating motionmeans moving substantially in a straight line, the movement being alternately forwards and backwards during continued operation of the gearingReversing or reversalmeans that an applied movement in one direction may produce a resultant movement in either of two opposed directions at willCentral gearsincludes any gears whose axis is the main axis of the gearing, e.g. sun or ring gearCreepingmeans that when the vehicle has come to a stop, the engine is at idle (i.e., there is no request by the operator for a higher engine speed/torque), but due to the rotation of various transmission components, the vehicle starts to move, and the vehicle operator has some control over movement with a brakeInchingmeans that the vehicle operator has some control, besides using a brake, over moving the vehicle by small degrees","This place covers: Gearings for conveying rotary motion Toothed gearings Friction gearings, e.g. gearings using endless flexible members Fluid gearings Change speed or reversing gearings Differential gearings Using intermittently-driving members Gearings not limited to rotary motion Mechanical gearings using levers, links or cams Using intermittently-driving members Combination of gearings General details of gearings Control of gearings"
"F16H1/00","Toothed gearings for conveying rotary motion  (specific for conveying rotary motion with variable gear ratio or for reversing rotary motion F16H3/00)","F16H3/00","Gears associated with electric machines","H02K7/116","","","","This place covers: Transmission layout for gearing with fixed ratio and using gears with teeth"
"F16H1/006","{the driving and driven axes being designed to assume variable positions relative to one another during operation}","","Angle drives for power tools ","B23Q5/045","","","",""
"F16H1/14","comprising conical gears only","","Angle drives for power tools ","B23Q5/045","","","",""
"F16H1/16","comprising worm and worm-wheel","","Taking up backlash for transmissions with crossing shaftsSupport of worm gear shafts Worm gears associated with electric machines ","F16H55/24|F16H2057/0213|H02K7/1166","","","",""
"F16H1/32","in which the central axis of the gearing lies inside the periphery of an orbital gear","","Wave gearings with flexsplines Cycloidal or planetary mechanisms for adjustable back-rest in which the central axis of the gearing lies inside the periphery of an orbital gear, e.g. one gear without sun gear ","F16H49/001|B60N2/2252","","","",""
"F16H3/00","Toothed gearings for conveying rotary motion with variable gear ratio or for reversing rotary motion  (speed-changing or reversing mechanisms F16H59/00 - F16H63/00)","F16H59/00|F16H63/00","","","","","","This place covers: Using only gears with teeth."
"F16H3/12","with means for synchronisation not incorporated in the clutches","","Synchronised clutches ","F16D23/02","","","",""
"F16H3/426","{the teeth being arranged on a generally flat, e.g. disc-type surface}","","With eccentric arranged lever arms for driving a disc","F16H21/14","","","",""
"F16H7/00","Gearings for conveying rotary motion by endless flexible members  (specific for conveying rotary motion with variable gear ratio or for reversing rotary motion F16H9/00 {; chainwheels F16H55/30})","F16H9/00|F16H55/30","Pulleys per seEndless flexible members per se, e.g. belts, V-belts, ropes, cables, and chains","F16H55/36|F16G","","","","This place covers: Belts drives, chain drives, rope drives with a fixed ratio, and tensioning mechanisms and guiding means used in such systems and ways or tools to mount the belt or chain or rope on the pulley or sprocket."
"F16H9/00","Gearings for conveying rotary motion with variable gear ratio, or for reversing rotary motion, by endless flexible members  (control of change-speed or reversing-gearings conveying rotary motion F16H59/00 - F16H63/00)","F16H59/00|F16H63/00","Gearings for conveying rotary motion by endless flexible members with fixed gear ratioCombinations of gearing conveying rotary motion by endless members and toothed gearingPulleys per seEndless flexible members per se, e.g. belts or chains","F16H7/00|F16H37/00|F16H55/52|F16G","","","","This place covers: Only transmission layout of belt or chain or rope drives for conveying rotary motion with variable gear ratio or for reversing rotary motion."
"F16H9/12","engaging a pulley built-up out of relatively axially-adjustable parts in which the belt engages the opposite flanges of the pulley directly without interposed belt-supporting members","","","","","","","This place covers: Transmission layout of transmission where a belt is axially squeezed between two sheaves of at least on one pulley."
"F16H9/24","using chains or toothed belts, belts in the form of links; Chains or belts specially adapted to such gearing","","Toothed belts V-belts in the form of linksToothed V-belts","F16G1/28|F16G5/18|F16G5/20","","","",""
"F16H13/00","Gearing for conveying rotary motion with constant gear ratio by friction between rotary members {(friction discs F16H55/32)}","F16H55/32","Friction gearings for conveying rotary motion with variable gear ratio or for reversing rotary motion","F16H15/00","","","","This place covers: Transmission layout of transmissions where rotary motion is transferred with a fixed ratio by the friction of the surfaces of members where the surfaces are pressed to each other; systems to keep the cylindrical members in contact such that rotary motion can be transferred."
"F16H15/00","Gearings for conveying rotary motion with variable gear ratio, or for reversing rotary motion, by friction between rotary members  ({gearings for reversal only F16H3/14, F16H3/60} ; control of change-speed or reversing-gearings conveying rotary motion F16H59/00 - F16H63/00)","F16H3/14|F16H3/60|F16H59/00|F16H63/00","Combination of friction gearing and toothed gearing","F16H37/00","","","","This place covers: Transmission layout of transmissions where rotary motion is transferred with a variable ratio by the friction of the surfaces of members where the surfaces are pressed to each other."
"F16H15/04","Gearings providing a continuous range of gear ratios","","","","","","","This place covers: Only transmission layout of conveying rotary motion with a continuously variable ratio by friction between rotary members that are not using flexible endless members and where the rotary members are not in planetary motion, examples of this group are toroidal transmission or friction ring transmissions."
"F16H19/00","Gearings comprising essentially only toothed gears or friction members and not capable of conveying indefinitely-continuing rotary motion  (with intermittently-driving members F16H27/00 - F16H31/00)","F16H27/00|F16H31/00","","","","","","This place covers: Gearings for converting limited rotary movement, e.g. oscillation, into an other rotary movement or a limited rotary movement into reciprocating movement or vice versa in particular by using flexible means, or rack and pinion mechanisms. Gearings for converting reciprocating movement into another reciprocating movement by flexible means."
"F16H19/005","{for conveying oscillating or limited rotary motion}","","","","","","","This place covers: Mechanisms conveying limited rotary motion by a flexible member Example:"
"F16H19/006","{for converting reciprocating into an other reciprocating motion}","","","","","","","This place covers: Mechanisms converting reciprocating movements by a flexible member. Example:"
