"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F16L","PIPES; JOINTS OR FITTINGS FOR PIPES; SUPPORTS FOR PIPES, CABLES OR PROTECTIVE TUBING; MEANS FOR THERMAL INSULATION IN GENERAL","","Watering gardens, fields, sports grounds, or the like, e.g. perforated pipe-linesVacuum cleaners, e.g. corrugated hoses; leaning machines, e.g. hose connections combined with electrical contacts, steam hoses with cables for steam ironingConnectors in the medical field, e.g. cathetersFire fighting; fire fighting hoses; sprinkler systemsMicro/macro connectors, e.g. for lab on chipSprayersCleaning of pipesAir conditioning ducts in vehiclesFuel conduits in vehicles, connections to LPG tankFixing of hoses or cables in motors vehiclesArrangement of piping or air hoses for brake systemsPipe laying shipsContainers/bags/vessels/tanks Connections to containers in general; Closing strapsBends for conveying concreteWear protection for bends for conveying concreteLPG couplings/filling nozzles/ Transferring fluids, e.g. fuel from bulk to vehicles or portable containersDispensing fluids, e.g. filling bottles or cansFastening of pipes or cables to bridgesCouplings for dredgersDomestic plumbing: shower hoses; toilet installations; drainage; Sewage, , , Downpipes for roof drainage, fixing means thereforeVertical ducts, channels in buildings, e.g. chimneysFluid concrete transportAir ducts for ventilation of mines or tunnels, connections thereforeSuspension devices for tubes or the like in mines or tunnelsExhaust pipesAir intake in motor engines, e.g. ducts between motor and filterFixing devices, e.g. hollow screwsValvesConduits, junctions for lubrication systemsConnections to gas tanksPipelines/pipe systemsWater tubes of steam boilersJoints, connection for chimneys or fluesHot water systems, central heating, e.g. distributors for heating built up from modulesDucting arrangements for air-conditioningHeat exchangersSealing elements into header boxes or end plates of heat-exchangersPipes in nuclear reactorsInstallation of electric cables, e.g. cable or pipe binders, cable or pipe channels","A01G25/00|A47L|A61M|A62C|B01L|B05B|B08B|B60H|B60K15/00|B60R|B60T17/04|B63B|B65D|B65G|B65G53/52|B67D|B67D1/00|E01D19/00|E02F3/3609|E03C|E03D|E02B|E03F|E04D|E04F|E04G|E21F1/04|E21F17/00|F01N|F02M|F16B|F16K|F16N21/00|F17C|F17D|F22B37/00|F23J13/00|F24D|F24F13/02|F28D|F28F9/00|G21C15/00|H02G","Classification is not allocated when the features in the document concerning this subclass are obviously of no technical value, or a mere reference (e.g. if in a document it is mentioned that the connection can be also made by gluing, welding, screwing... without a further relevant technical information)Documents mainly concerning the material of the pipe or hose are classified in main groups  or There is a horizontal indexing scheme for further details not related to a specific CPC group:Uses or applications of pigs or moles Special arrangements for pipe couplings ","F16L9/00|F16L11/00|F16L2101/00|F16L2201/00","","This place covers: Methods and machines for laying pipes ( ) Devices to support, fix or hold pipes ( ) Pipes: conduits of closed cross-section which are specially adapted to convey fluids, material or objects (  and  ) Joints between pipes (  -  ,  ,  ) Energy and noise absorbers associated with pipes ( - ) Means for stopping flow from or in pipes ( - ) Devices for covering leaks in pipes ( - ) Pipe pigs primarily for repairing pipes ( - ) Protection of pipes against wear, heat, cracking, buckling and corrosion (  and  ) Thermal insulation of pipes, or in general, e.g. when no other special application of the insulation is given ( ) Tubular bodies that are not used to carry fluid, material or objects, e.g. pipes for scaffoldings, or furniture are only classified in the associated field, e.g. scaffoldings or furniture. If the pipe or connection is adapted for a specific use, it is only classified in the use field (e.g. medical connectors, microconnectors or vacuum cleaners) Documents that concern the specific material or a specific use for thermal insulation are classified in the specific fields for the material or use (e.g. fridges, building panels or motor compartments) The class is divided in the following main groups  Laying of pipes  Fixation of pipes  Pipes passing through walls  Pipe support inside other pipes  Rigid pipes  Hoses (the product)  Non-disconnectable pipe-joints (not made of plastic material)  Screw-threaded joints  Sealing by fluid pressure  Connection of pipes with swivel nuts  Male-female couplings  Flanged joints  Special types of connections for pipes (not in  - )  Adjustable joints (e.g. for allowing movements)  Joints with cut-off means  Connection of two hoses or two flexible sleeves  Connection of hoses to rigid members  Safety connections of hoses  Quick-acting couplings  Multiple/double-walled joints of fittings for pipes or hoses  Branching pipes or joining pipes to walls or pipes  Bends  Pipe units with apertures  Connection of plastic pipes; Connectors made of plastic  Connection of pipes or to pipes of brittle material  Expansion compensation devices (e.g. thermal expansion)  Heating/cooling pipes or pipe-systems  Energy absorbers, noise absorbers, means for plugging pipes, pigs, repairing pipes etc.  Protection of pipes, e.g. against external/internal damage or wear  Protection of pipes against corrosion of incrustation (e.g. by coatings)  Thermal insulations"
"F16L1/00","Laying or reclaiming pipes; Repairing or joining pipes on or under water","","Lining of pipes, replacement of damaged part of a pipe, replacing an existing pipe with a new pipe, wherein the old pipe is being rupturedSoldering or weldingPipe laying shipsLifting-gear and load-engaging elementsHydraulic installations, soil drainageExcavations or underwater constructionsMachines for digging trenches in combination with pipe-assemblyTunnellingLaying electric, or combined optical and electric, cables","F16L55/16|B23K|B63B|B66|E02B|E02D|E02F|E21D|H02G","","","",""
"F16L1/0246","{at a certain height off the ground}","","","","","","","This place covers: Pipes passing over streets or bodies of water"
"F16L1/038","the pipes being made in situ","","","","","","","This place covers: Methods of laying pipes wherein the material which forms the pipe later, takes the pipe-shape at the building site, e.g. concrete"
"F16L1/12","Laying or reclaiming pipes on or under water","","Buoyant hoses","F16L11/133","","","",""
"F16L1/123","{Devices for the protection of pipes under water}","","Protection of pipes in general","F16L57/00","","","","This place covers: protection against fishing, cortex induced vibrations"
"F16L1/15","vertically","","","","","","","This place covers: pipes that stay vertically, for example: riser pipes"
"F16L1/161","{the pipe being composed of sections of short length}","","","","","","","This place covers: e.g.pipe laying methods wherein the pipe segments are joined together on the bottom of the body of water."
"F16L1/20","Accessories therefor, e.g. floats, weights","","Buoys","B63B22/00","","","",""
"F16L1/225","Stingers","","","","","","","This place covers:"
