"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F17C","VESSELS FOR CONTAINING OR STORING COMPRESSED, LIQUEFIED OR SOLIDIFIED GASES; FIXED-CAPACITY GAS-HOLDERS; FILLING VESSELS WITH, OR DISCHARGING FROM VESSELS, COMPRESSED, LIQUEFIED, OR SOLIDIFIED GASES  (storing fluids in natural or artificial cavities or chambers in the earth B65G5/00; construction or assembling of bulk storage containers employing civil-engineering techniques E04H7/00; variable-capacity gas-holders F17B; liquefaction or refrigeration machines, plants, or systems F25)","B65G5/00|E04H7/00|F17B|F25","AutoclavesConstruction or assembling of bulk storage containers employing civil engineering techniquesAccumulators for supplying fluid under pressureMethods or means for influencing the flow of gases or liquidsMethods or apparatus for combustion using only solid fuelStoves for gaseous fuelsDomestic or central heating systemsFluid heatersLiquefaction or refrigeration machines, plants or systems","B01J3/04|E04H7/00|F15B1/04|F15D|F23B|F24C3/00|F24D|F24H|F25","Documents classified in  should also get classifications in the 2000 series of this subclass. Classification in those Indexing Codes is mandatory.Each technical feature in line with a definition should get this classification. There is theoretically no limitation to the quantity of symbols that can be attributed to one single document. A document contains a technical feature when either this feature is explicitly mentioned in the text or undoubtedly visible in the drawings (e.g.: a weld seam symbol in a drawing has to be classified). Features that are implicit but not mentioned should generally not be considered. Exceptionally, when a feature is not explicitly mentioned but there is no doubt that this particular feature is meant, it may be classified too.All embodiments have to be considered individually and their features separately identified and classified.In the exceptional case that one feature reasonably fits into more than one definition, it can be classified in all of them.Documents should, be classified within this 2000 series completely or not at all, to identify easily if complete classification of all features have been given. Simply attributing e.g. a single classification in that range to a document and not classifying all the other technical features should be avoided. If the text contains a term which is very specific in the art of ""pressure vessels for gas storage and transport"" (e.g. ""liner"" or ""LNG""), but its definition or use in the document seems to be in contradiction with the definition herein or the general knowledge of person skilled in the art, the term should in any case be considered and a classification code related to the term should be attributed.When prior art (e.g. in form of patent numbers, summaries or drawings about prior art) is specifically mentioned in the document, its technical features are NOT considered for classification. Warning about reorganisation!Only a part of the documents classified in main groups  -  and  have been coded completely in the 2000 series.Consequently, in future all documents of subclass  should be classified in the 2000 series of . No documents from subclass  have been classified so far in this scheme.","F17C|F17C1/00|F17C9/00|F17C13/00|F17C|F17C|F17B","Gassubstance that is in gaseous state of matter at normal conditions (atmospheric pressure and normal ambient temperature. Substances that are in a gaseous state of matter but would not be gaseous at normal conditions are not considered in this subclass. Gas can be put in liquid (liquefied gas), or solidified state of matter, for transport and storagePressure vesselcontainer containing gas for storage and/or transportFluid or handled fluidfluid contained in, charged into or discharged out of the pressure vessel","This place covers: Gas vessels for the storage of compressed, liquefied or solidified gas. The complete pressure range is covered: sub-atmospheric, low pressure like vapour pressure of liquefied gas, up to very high pressure without upper restriction. Storage and transport of gas are the only purpose of pressure vessels of this subclass. Gases are stored in the pressure vessel in gaseous, liquefied or solidified state. Pressures vessels that are cooled and insulated to maintain a certain state of contents. The only processes that might take place inside pressure vessel of this subclass are sublimation and vaporisation, usually due to voluntary or accidental heat input into the vessel. Sublimation and vaporisation that takes place outside the pressure vessel is to be classified too, as long as it happens in the context of voluntary regasification of liquefied gas to deliver the fluid in gaseous form to a user or accidental heat input. Groups in the 2000-range: The groups   -   cover features of the pressure vessel itself: the pressure vessel's form and size the pressure vessel's wall structure and the material the wall is made of Arrangements for mounting or grouping pressure vessels Components in connection with the pressure vessel. the pressure vessel's manufacturing methods The groups   -   consider the fluid contained in the pressure vessel and its charging and discharging into and from the pressure vessel. the fluid's composition and state before and after the transfer. the methods of filling and emptying the pressure vessel and ways to transfer the fluid into and out of the pressure vessel Group   for dealing with the controlling, indicating, monitoring or regulating of various parameters in relation with the vessel or the fluid, like pressure or temperature Group   for purposes or effects achieved by the gas storage and its handling Group   for applications or the locations where pressure vessels are used Layout of definition statements: ""Positive"" examples have been chosen among patents to illustrate the definition statement and what is to be classified in the groups of the 2000 range. The qualifying features are marked in green in these drawings. To illustrate the boundaries of the definition statement, ""negative"" examples have been chosen among patents to illustrate what would not lead to or even disqualify from a classification in a group. The corresponding features are marked in red in these drawings."
"F17C1/00","Pressure vessels, e.g. gas cylinder, gas tank, replaceable cartridge  (pressurised apparatus for purposes other than storage, see the relevant subclasses such as A62C, B05B; associated with vehicles, see the appropriate subclass of classes B60 - B64; pressure vessels in general F16J12/00 {; autoclaves B01J3/04; tank vehicles B60P3/22; railway tank wagons for carrying fluent materials B61D5/00; accumulators for supplying fluid under pressure F15B1/04; liquefied gas stoves F24C3/00})","A62C|B05B|B60|B64|F16J12/00|B01J3/04|B60P3/22|B61D5/00|F15B1/04|F24C3/00","Pressurised apparatus for purposes other than storage, Pressurised apparatus for purposes other than storage associated with vehicles - Tank vehiclesRailway tank wagons for carrying fluent materialsAccumulators for supplying fluid under pressurePressure vessels in generalLiquefied gas stoves ","A62C|B05B|B60|B64|B60P3/22|B61D5/00|F15B1/04|F16J12/00|F24C3/00","","","","This place covers: Constructional aspects of vessel for containing gas under high pressure."
"F17C3/00","Vessels not under pressure","","","","","","","This place covers: Constructional aspects of vessel for containing liquefied gas or cryogenic fluid which is not under high pressure such as details about the insulation or about the suspension of an inner vessel within an outer vessel."
"F17C5/00","Methods or apparatus for filling containers with liquefied, solidified, or compressed gases under pressures  (adding propellants to aerosol containers B65B31/00)","B65B31/00","","","","","","This place covers: The filling of a receiver vessel with a gas at a high pressure."
"F17C6/00","Methods and apparatus for filling vessels not under pressure with liquefied or solidified gases","","","","","","","This place covers: The filling a vessel with a low pressure as for liquefied gas or cryogenic fluid."
"F17C7/00","Methods or apparatus for discharging liquefied, solidified, or compressed gases from pressure vessels, not covered by another subclass","","","","","","","This place covers: The discharging of a vessel comprising a gas stored with a high pressure therein."
"F17C9/00","Methods or apparatus for discharging liquefied or solidified gases from vessels not under pressure","","","","","","","This place covers: The discharging of a vessel comprising a gas stored with a low pressure therein as for liquefied gas or cryogenic fluid."
"F17C11/00","Use of gas-solvents or gas-sorbents in vessels {(absorbing compositions for acetylene C10L3/04; absorbing compositions for hydrogen C01B3/0005)}","C10L3/04|C01B3/0005","","","","","",""
"F17C13/00","Details of vessels or of the filling or discharging of vessels","","","","","","","This place covers: Means for coding or identifying vessels or their content, special adaptations of indicating, measuring, monitoring and regulating, mounting arrangements of vessels, it means their integration in their area of use, arrangement or mounting devices for preventing or minimising the effect of explosion, arrangement of valves, and closures."
"F17C2201/00","Vessel construction, in particular geometry, arrangement or size","","","","","","","This place covers: Pressure vessels for which either the shape or axis orientation can be determined or the size either determined or estimated."
"F17C2201/01","Shape","","","","In most cases, the exterior shape of a vessel is identical to the interior shape of the vessel. It may though happen that a pressure vessel discloses a visible exterior shape that is different from the interior contour. In these exceptional cases, the classification codes of both shapes have to be allocated.","","Shapethe shape of a pressure vessel is the visible external form of the pressure vessel when reduced to its core. The core comprises only the layers that contribute to the structural integrity of the vessel and enable it to withstand the pressure of the contained fluid. ","This place covers: Pressure vessels the shape of which can be identified. For grouped vessel, the shape of the single vessel has to be considered individually, not the shape of the group per se. In this positive example from GB818073: the shape of the vessel is the shape of the inner vessel. In this negative example from GB818073, the outer jacket shape is NOT to be considered, as the definition of ""shape"" excludes the contour of external frames, covers, boxes etc... In this negative example from US20080178611, the shape is not classified, as in this purely functional drawings, the vessels is represented symbolically. Symbolic information is generally not considered sufficient to determine a shape, unless the drawing is explicit and realistic, which is not the case here."
"F17C2201/0104","cylindrical","","","","","","End-pieceend parts of a cylindrical pressure vessel, complementary to the middle part. End-pieces and middle part form the whole vessel.Middle partpart of a cylindrical pressure vessel between the end-pieces. End-pieces and middle part form the whole vessel.","This place covers: Pressure vessels with an axis and a cylindrical form with circular sections"
"F17C2201/0109","with exteriorly curved end-piece","","","","","","","This place covers: Cylindrical pressure vessels with at least one exteriorly curved end-piece. The form of the end-piece is convex when considered from the outside and this convex form has to be dominant. In this positive example from DE8619754U, the shape is a half-globe. In this positive example from WO2053966, the shape has a flat bottom, but is dominantly exteriorly curved. In this negative example from DE19952611, the round corners seem related to the manufacturing of the vessel. The flat bottom is dominant: the vessel is classified as having flat end-pieces."
"F17C2201/0114","with interiorly curved end-piece","","","","","","","This place covers: Cylindrical pressure vessels with at least one interiorly curved end-piece. The form of the end-piece is concave when considered from the outside and this concave form has to be dominant. In this positive example from DE877461, the shape of the vessel is interiorly curved."
"F17C2201/0119","with flat end-piece","","","","","","","This place covers: Cylindrical pressure vessels with at least one flat end-piece. The flat form has to be dominant. In this positive example from CH1480971, the shape of the vessel is flat.  In this negative example from DE490791, the curved portion is dominant upon the flat one: the vessel is classified as having exteriorly curved end-pieces."
"F17C2201/0123","with variable thickness or diameter","","","","","","","This place covers: Cylindrical pressure vessels for which in the middle part, the cross section has not a constant surface along the axis. Cylindrical pressure vessels for which the wall thickness in the middle part is not constant along the axis. The variations in thickness or diameter can be the result of a variable wall thickness along the axis, but also the result of e.g. rings added externally on the middle part. In this positive example from US2280501, the thickness of the wall is not constant. In this positive example from BE405843, the thickness of the wall is constant, but not the surface of the section. In this negative example from DE10325598, the wall of the end piece, but not of the middle part, has a variable thickness."
"F17C2201/0128","spherical or elliptical","","","","","","","This place covers: Pressure vessels with a spherical or elliptical shape. In this positive example from DE3131040, the shape is elliptical . In this positive example from WO9612914, the shape is spherical. In this negative example from DE800230, the shape seems elliptical but from the text indicated that the vessel is cylindrical (cross sections may be misleading)."
"F17C2201/0133","toroidal","","","","","","","This place covers: Pressure vessels with toroidal form, like a hoop or a tire, that actually often replace spare tires in cars. In this positive example from DE3316539, the shape is a tore."
"F17C2201/0138","tubular","","","","","","","This place covers: Pressure vessels in form of a tube or a hose. The diameter of the tube is small in comparison with the extended length of the tube. In this positive example from DE2305840 , the shape is tubular, even if the entire construction may look like a cylinder. In this positive example from DE19547752, the shape is tubular. In this negative example from US2008256960, the middle part is tubular, but the vessel is actually cylindrical."
"F17C2201/0142","conical","","","","","","","This place covers: Pressure vessels in a general conical form, i.e. cylindrical with an increasing and/or decreasing cross section. In this positive example from WO2004005790, the shape is conical. In this positive example from DE19747907 the shape is conical. In this negative example from GB521979, the vessel is cylindrical, with an intermediate conical connection to the end-piece."
"F17C2201/0147","complex","","","","","","","This place covers: Pressure vessels the shape of which is not covered by the groups above, i.e. not cylindrical, spherical, elliptical, tubular or conical. Pressure vessels the shape of which is not an association of fluidly connected shapes covered by the groups above, not cylindrical, spherical, elliptical, tubular or conical. In this positive example from DE2931947, the shape is simple, but compliant with the definition of complex. In this negative example from WO0049330, two cylindrical pressure vessel are bundled. This vessel ""cylindrical with exteriorly curved end pieces"" ( ) and the bundle is considered as ""two or more vessels "" ( )."
"F17C2201/0152","Lobes","","","","","","","This place covers: Pressure vessels with the shape of connected curved wall segments. In this positive example from DE1944315, the external shape consists of lobes, with an single internal volume. In this positive example from EP1355105, the external shape consists of lobes, with several distinct internal volumes."
"F17C2201/0157","Polygonal","","","","","","","This place covers: Pressure vessels with the shape of connected flat wall segments with generally sharp edges. In this positive example from FR2781555, the external shape is polygonal, with several distinct internal volumes. In this negative example from CH148097, the shape seems polygonal, but the pressure vessel is actually cylindrical (cross sections may be misleading)."
"F17C2201/0161","Honeycomb","","","","","","","This place covers: Pressure vessels with a honeycomb structure (6 edges) inside the vessel, in contact with the stored fluid. In this positive example from FR1268538, the honeycomb structure is in contact with the fluid. In this negative example from NL7414082, the honeycomb structure is located in the insulation layer and is thus not in contact with the stored fluid."
"F17C2201/0166","divided in several chambers","","","","","","","This place covers: Pressure vessels with the inner storage volume subdivided in individual volumes. These volumes are separated by common walls. In this positive example from FR2781555 , 10 chambers are visible. In this positive example from GB412814, 2 chambers are visible. In this negative example from DE1946465, several distinct cylindrical vessels are fluidly connected and arranged in a bundle ( ). In this negative example from US1692670, two clearly distinguishable cylindrical vessels are mounted one inside the other ( )."
"F17C2201/0171","comprising a communication hole between chambers","","","","","","","This place covers: Pressure vessel forming a single vessel wherein pressure balance between several distinct chambers is obtained via a permanent open hole between these chambers. For ""pressure vessels divided in several chambers"", the permanent open hole is situated in the common wall. In this positive example from DE63206430, the 3 chambers of the "" pressure vessel divided in several chambers"" are connected by two permanent holes. In this positive example from FR783241, a single vessel, materialized by its common external hull and its common fittings, is created by connecting cylindrical chambers via a permanent connection. This connection can be assimilated to holes as the cylindrical chambers are close to each other. In this negative example from GB693156, two strictly separated vessels are simply connected by a pipe. No common vessel is created and the pipe is too long to be considered a hole. In this negative example from DE531720, a hole connects two chambers of the vessel, but an inserted valve allows no pressure balance."
"F17C2201/0176","variable","","Large flexible containersGas holders with variable capacity, with flexible walls","B65D88/16|F17B1/26","Warning about pending reorganisation: Documents from  that will be deep-indexed with be classified herein.","F17B","","This place covers: Pressure vessel with a non-constant or variable shape or with a non-constant or variable inner or outer volume. In this positive example from DE102009017650, the shape is constant, but the volume changes."
"F17C2201/018","with bladders","","","","When counting the number of layers in the group , a bladder is not counted.","F17C2203/0612","","This place covers: Pressure vessel with an inflatable bag located in the vessel to retain the fluid. In this positive example from US6234352, the bladder is attached on top."
"F17C2201/0185","with separating membrane","","Shape flexible with bladders","F17C2201/018","Bladders have the function of a separating membrane, but are only classified in .","F17C2201/018","","This place covers: Pressure vessel with volume separating membrane attached to the inner wall of the vessel along a line. In this positive example from GB80450, a membrane separates the vessel in two. In this negative example from DE29816811U, a bladder separates the vessel in two."
"F17C2201/019","with pistons","","Positive displacement machines for liquids; pumps:","F04B","","","","This place covers: Pressure vessel with a volume separating piston. In this positive example from US5253682, a free piston in the vessel helps discharging. In this negative example from US3426545, the piston is part of a pump."
"F17C2201/0195","with bellows","","","","","","","This place covers: Pressure vessel in form of a bellows. In this positive example from US3270905, the whole pressure vessel is a bellows."
"F17C2201/03","Orientation","","","","","","","This place covers: Pressure vessels for which an axis can be defined and for which this axis has a defined orientation when mounted or in use. The orientation is mostly suggested by a device that allows or constrains the pressure vessel to be oriented a certain way. Such devices can be supporting feet, hanging up devices, frames etc. In this positive example from GB494426, the pressure vessel has a vertical orientation due to its flat bottom acting as a mounting foot. In this negative example from DE19934851, the vessel is a cylindrical bottle that can be turned upside down or oriented in any direction, without any preferred direction. In this negative example from US3468264, no main axis of the vessel on the ship is identifiable."
"F17C2201/032","with substantially vertical main axis","","","","Pressure vessels with toroidal shape are classified herein, their axis passing through the middle of the hole.","","","This place covers: Pressure vessels for which the axis has a vertical orientation. In this positive example from DE199106, the pressure vessel is cylindrical and has a flat bottom."
"F17C2201/035","with substantially horizontal main axis","","","","","","","This place covers: Pressure vessels for which the axis has a horizontal orientation In this positive example from DE10022741, the cylindrical vessel rests on mounting feet."
"F17C2201/037","with sloping main axis","","","","","","","This place covers: Pressure vessels for which the axis is neither horizontal nor vertical. In this positive example from EP2312196, the pressure vessel is mounted on an inclined frame."
"F17C2201/05","Size","","","","In case of bundled pressures vessels from , the volume of the individual pressure vessel has to be classified, not the resulting overall volume.The rule of classification, according to which a technical feature has to be explicitly mentioned, is not strictly applicable here: the size is a technical feature that can be estimated.The boundaries indicated in the groups (30 liters, 1 m³, 1000 m³) are merely to be understood as an indication and an order of magnitude. They are not binding or strict.In doubt, it is recommended to classify into two adjacent classes (portable and small, or small and medium, or medium and large) simultaneously.","F17C2205/0134","","This place covers: Pressure vessels for which the inner storage volume can be determined. Pressure vessels for which the inner storage volume can be estimated. The volume can be suggested by any hint, like objects in the drawings or knowledge from the context the pressure vessel is used in. In this positive example from US20040003743, the size of the human allows to estimate the size of the vessel. In this negative example from BE427219, the pressure vessel ""looks"" small, but there is no hint about the size.  In this negative example from NL7314739, the storage capacity of the whole ship is certainly large, but not to be considered as the vessels are probably bundled, and the size of the individual vessel is difficult to estimate."
"F17C2201/052","large (>1000 m3)","","Large containersComponent parts, details or accessories for large containers","B65D88/00|B65D90/00","","","","This place covers: Pressure vessels of large size, an order of magnitude being 1000 m³. Such pressure vessels often appear in terminals, on subterranean caverns, on maritime gas carriers or sewage plants and hints that suggest a large size are often houses or ships. In this positive example from WO9962794, the large size of the vessel is suggested by the building."
"F17C2201/054","medium (>1 m3)","","","","","","","This place covers: Pressure vessels of medium size (between 1 m³ and 1000 m³), often appearing e.g. on trailers supplying fuel stations, in installations for gas supply or in domestic use, e.g. buried LPG tanks. In this positive example from DE10027619, the vessel is mounted on a trailer."
"F17C2201/056","Small (<1 m3)","","","","","","","This place covers: Pressure vessels of small size (between 0,03 m³ and 1 m³), often appearing on cars, in domestic use or with transporting means on wheels. In this positive example from US2005183425, the pressure vessel stores gas fuel in a car."
"F17C2201/058","portable (<30 l)","","","","","","","This place covers: Pressure vessels of small size (up to 30 liters), like gas bottles or cartridges, which are typically portable or liftable by a single human by muscular force. In this positive example from NL7708523, the pressure vessel is a gas cartridge."
"F17C2201/06","Vessel construction using filling material in contact with the handled fluid","","Use of gas-solvents or gas-sorbents in vessels ","F17C11/00","","","","This place covers: Pressure vessels containing floating elements in the liquid, which have only a physical and no chemical interaction with the fluid. Such elements are for instance microspheres or open spheres that prevent slosh. In this positive example from US2008272130, spheres fill the whole container.  In this negative example from WO0211860, the pressure vessel is filled with an adsorbing medium, allowing adsorption and desorption of the fluid ( )"
"F17C2203/00","Vessel construction, in particular walls or details thereof","","","","Overlapping filament wraps are considered as one layer, as long as they form a functional envelope. They are often manufactured in one single process step.The following items are not counted as wall or layer (convention for counting walls and layers): a thermal insulation envelope, a bladder, a coating.","","WallEnvelope that forms the vessel and creates a structure capable of withholding the inner fluid pressure. A wall can be discerned from other functional envelopes around the vessel by answering the question: would the structural integrity of the pressure vessel be threatened if this wall was absent?LayerSingle functional sub-envelope, and must be clearly distinguishable from other layers, e.g. by its function or method of manufacturing. ","This place covers: Pressure vessels for which technical features of the vessel wall and its structure can be determined."
"F17C2203/011","Reinforcing means","","","","","","","This place covers: Pressure vessels for which means, additionally to the wall, are provided, to strengthen the wall."
"F17C2203/012","on or in the wall, e.g. ribs","","","","","","","This place covers: Pressure vessels in which the means to strengthen the wall are integrated in the wall or placed on the wall, e.g. in form of ribs or bars. In this positive example from GB476713, circumferential reinforcing rings are mounted on the middle part. In this positive example from FR2799526, a reinforcing bar is mounted in the inner separation wall, in particular in a column inside the vessel. In this negative example from US5822838, the wall is made of wound filament. This filament is no additional means to reinforce the wall, but defines the wall itself."
"F17C2203/013","in the vessel, e.g. columns","","","","","","","This place covers: Pressure vessels in which the means to strengthen the wall are wall-to-wall bars, columns or rods in the interior of the pressure vessel. In this positive example from EP0166492, wall-to-wall columns connect and support the two upper and lower flat walls. In this negative example from DE4300484, the reinforcing means on the inner wall do not have a wall-to-wall column structure."
"F17C2203/014","Suspension means","","","","Bearing means for the vessel itself are classified in .","F17C2205/0192","","This place covers: Pressure vessels with an inner and a separate outer vessel wall, the inner vessel wall being held in the outer vessel wall by suspensions means, which are mostly designed to minimize thermal transfer. In this negative example from DE101347733, the whole vessel is mounted in a frame. In this negative example from WO2010020431, circumferential bearing means ( ) are no suspension means, as they hold the entire vessel upright from the outside. ."
"F17C2203/015","Bars","","","","","","","This place covers: Pressure vessels in which the suspension means are in form of stiff bars, that can be submitted to traction or compression. In this positive example from WO9859195, bars hold the inner tank."
"F17C2203/016","Cords","","","","","","","This place covers: Pressure vessels in which the suspension means are in form of cords, submitted to traction only. In this positive example from DE603062, the inner vessel is held by a cord. In this negative example from US6345933, cords attach the entire vessel to the ground ( )."
"F17C2203/017","Magnetic means","","","","","","","This place covers: Pressure vessels in which the suspension means are in form of magnetic means, avoiding contact between the vessel walls. In this positive example from WO2006034521, the inner vessel is held in place by magnets."
"F17C2203/018","by attachment at the neck","","","","Bladders  are usually attached at the neck, but they are not to be classified here.","F17C2201/018","","This place covers: Pressure vessels in which the inner vessel is attached at its neck to the outer vessel. In this positive example from US4218892, the inner vessel of the vertical pressure vessel is attached at the neck only. In this negative example from EP1041337, a bladder is attached at the neck."
"F17C2203/03","Thermal insulations","","Thermal insulation in general","F16L59/00","When counting the number of layers in the group , the thermal insulation layer is not counted.Any material surrounding a pressure vessel has some thermal insulating effect, but only those documents should be considered having a thermal insulation in which the function of thermal insulation is explicitly mentioned.","F17C2203/0612","","This place covers: Pressure vessels in which insulating means are provided to avoid or reduce thermal transfer between the fluid in the pressure vessel and the environment."
"F17C2203/0304","by solid means","","","","","","","This place covers: Pressure vessels in which the insulating means have a solid consistency."
"F17C2203/0308","Radiation shield","","","","","","","This place covers: Pressure vessels in which the insulating means prevent radiation thermal transfer, like e.g. aluminum coating. In this positive example from GB2454475, a radiation shield is wrapped around the vessel."
"F17C2203/0312","cooled by external means","","","","","","","This place covers: Pressure vessels in which the radiation shield is cooled and the heat is transferred by external means. In this positive example from GB2414539, a cooling medium in form of a fluid is circulated and in contact with the shield."
"F17C2203/0316","cooled by vaporised gas from the interior","","","","","","","This place covers: Pressure vessels containing gas in a liquefied phase and in which the radiation shield is cooled by the gas in vaporized form. Usually, the gas has a cooling effect because of its discharge. In this positive example from GB2025029, a constant flow of very cold vaporised helium serves as coolant for the shield."
"F17C2203/032","Multi-sheet layers","","","","","","","This place covers: Pressure vessels comprising a layer made of several thin reflective foils, sometimes in form of pads. In this positive example from US6521077, multi-sheet blankets form insulation pads. In this negative example from US3133659 a thicker ribbon is wrapped around the vessel in an overlapping helical scheme. In this negative example from US3092148, a thicker sheet is wrapped several times around the vessel."
"F17C2203/0325","Aerogel","","","","","","","This place covers: Pressure vessels in which the insulating means is made of aerogel, a material comprising about 99% pores. In this positive example from US2010146992, granular aerogel surrounds the inner vessel."
"F17C2203/0329","Foam","","","","","","","This place covers: Pressure vessels in which the insulating means is made of foam In this positive example from EP0166492, foam is integrated in the wall."
"F17C2203/0333","Polyurethane","","","","","","","This place covers: Pressure vessel in which the foam is made of polyurethane."
"F17C2203/0337","Granular","","","","","","","This place covers: Pressure vessels in which the insulating means is in granular form. In this positive example from AU439960, ceramic balls are integrated in the wall."
"F17C2203/0341","Perlite","","","","","","","This place covers: Pressure vessels in which the insulating means is perlite in granular form. In this positive example from WO2006001711, perlite is integrated in the wall."
"F17C2203/0345","Fibres","","","","","","","This place covers: Pressure vessels in which the insulating means is in fiber form. In this positive example from US2004256395, fibers fulfill the explicit task of thermal insulation. In this negative example from DE3103646, insulation is not mentioned in relation with the fibers."
"F17C2203/035","Glass wool","","","","","","","This place covers: Pressure vessels in which the fibers are glass wool. In this positive example from US4366917, two glass wool fiber layers are used. In this positive example from US3583351, a single glass wool fibre layer is used."
"F17C2203/0354","Wood","","","","","","","This place covers: Pressure vessels in which the insulating means is wood. In this positive example from DE2349100, wooden heat insulation is used on a ship."
"F17C2203/0358","in form of panels","","Panels into ships","B63B3/68","","","","This place covers: Pressure vessels in which the insulating means is in form of panels, usually placed next to each other. In this positive example from EP0543686, insulation on a ship is in form of panels."
"F17C2203/0362","by liquid means","","","","","","","This place covers: Pressure vessels in which the insulating means is in liquid form. In this positive example from US2507778, a liquid serves as insulating means."
"F17C2203/0366","Cryogen","","","","","","","This place covers: Pressure vessels in which the liquid insulating means is a cryogen. In this positive example from WO2007026332, liquefied cryogenic gas at its boiling point is used for insulation"
"F17C2203/037","Water","","","","","","","This place covers: Pressure vessels in which the liquid insulating means is water. In this positive example from US2009114290, water is the insulating means."
"F17C2203/0375","by gas","","","","","","","This place covers: Pressure vessels in which the insulating means is gaseous. In this positive example from WO2009147162, an insulating cavity is filled with gas."
"F17C2203/0379","Inert","","","","","","","This place covers: Pressure vessels in which the gaseous insulating means is an inert, non-reactive gas. In this positive example from US3319431, an insulating cavity is filled with a non-combustible gas."
"F17C2203/0383","Air","","","","","","","This place covers: Pressure vessels in which the gaseous insulating means is air. In this positive example from GB832880, air surrounds the vessel."
"F17C2203/0387","Cryogen","","","","","","","This place covers: Pressure vessels in which the gaseous insulating means is a cryogen."
"F17C2203/0391","by vacuum","","","","","","","This place covers: Pressure vessels in which the insulation is reached by evacuating an insulating cavity. In this positive example from WO03018344, a vacuum cavity surrounds the vessel."
"F17C2203/0395","Getter","","","","","","","This place covers: Pressure vessels in which the vacuum is maintained at a desired level by a getter, a reactive material used to remove traces of gas. The getter can be in form of a specific coating applied to the surface within the evacuated chamber. In this positive example from WO9325843, the getter is placed in the intermediate evacuated space."
"F17C2203/06","Materials for walls or layers thereof; Properties or structures of walls or their materials","","","","","","","This place covers: Pressure vessels for which the wall composition and layer structure and properties of these layers can be determined."
"F17C2203/0604","Liners","","","","A liner is counted as a layer.A layer fulfilling all the requirements of a liner (solid layer on the inner side to prevent diffusion) is to be classified herein too, even if the word ""liner"" does not explicitly appear.If the word ""liner"" appears in the document, but the functionality of this ""liner"" differs from the requirements of a liner (solid layer on the inner side to prevent diffusion), the document is to be classified herein too.If the word ""liner"" appears in the document without any further explanation, the document is to be classified herein too.Simple coatings for corrosion protection are not to be considered as a liner.","","","This place covers: Pressure vessels comprising a liner, a solid layer located on the inner side of the vessel that prevents diffusion of the fluid and thus contact of the fluid with other layers and eventually corrosion. Liners are usually thin, and only moderately contribute to the mechanical resistance of the vessel. In this positive example of EP0343098, a liner made of stainless steel is mounted in a pressure vessel for high-purity fluid. The term ""liner"" does not appear in the text. In this negative example from EP2166260 coating for corrosion protection is sprayed on the vessel surface."
"F17C2203/0607","Coatings","","","","A coating is not is counted as a layer.A layer fulfilling all the requirements of a coating (very thin, painted or sprayed) is to be classified here too, even if the word ""coating"" does not explicitly appear.If the word ""coating"" appears in the document, like for cement coating, but the functionality of this ""coating"" differs from the requirements of a coating (very thin, painted or sprayed), the document is to be classified here too,If the word ""coating"" appears in the document without any further explanation, the document is to be classified here too.","","","This place covers: Pressure vessels comprising a coating, a very thin painted or sprayed protection, usually against corrosion. In this positive example from US2004089440, a coating is sprayed on the outside."
