"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F21V","FUNCTIONAL FEATURES OR DETAILS OF LIGHTING DEVICES OR SYSTEMS THEREOF; STRUCTURAL COMBINATIONS OF LIGHTING DEVICES WITH OTHER ARTICLES, NOT OTHERWISE PROVIDED FOR","","Storing cable in generalLuminescent materials per seCandlesStands for supporting apparatus or articles in generalSafety devices in generalIncandescent bodies heated by combustion. e.g. mantlesNon-electric light sources using luminescenceLight sources using electrochemiluminescenceLight sources using charges of combustible material, e.g. illuminating flash devicesLight sources using semiconductor devices as light generating elements, e.g. using light-emitting diodes [LED] or lasersLight sources not otherwise provided forBurnersOptical elements or systems in generalLight guides per se, structural details of arrangements of light guides with other optical elementsDetails of light guides adapted for lighting devices or systemsElectric discharge tubes or discharge lampsElectric incandescent lampsSemiconductor devices specially adapted for light emissionOrganic semiconductor devices specially adapted for light emissionMasers, lasersElectric protective circuit arrangements per seElectric arc lampsElectroluminescent light sourcesElectric light sources using a combination of different types of light generationCircuit arrangements for light sources - ","B65H75/00|C09K11/00|C11C5/00|F16M11/00|F16P|F21H|F21K2/00|F21K2/08|F21K5/00|F21K9/00|F21K99/00|F23D|G02B|G02B6/00|G02B6/0001|H01J|H01K|H01L33/00|H01L51/50|H01S|H02H7/00|H05B31/00|H05B33/00|H05B35/00|H05B47/00|H05B46/00","Structural combinations of lighting devices with other articles are classified in , unless specifically provided for elsewhere in this subclass or elsewhere in the CPC.Details of non-electric lighting devices or systems are classified in groups  -  only if a special adaptation related to the use of a non-electric light source is of interest. If there is no such special adaption, classification is made in a relevant general place, e.g. in  for suspending arrangementsIn this subclass, it is desirable to add the indexing codes of subclass  in order to indicate the uses or applications of lighting devices, and of  in order to indicate the form of the light sources of lighting devices.","F21V33/00|F21V35/00|F21V37/02|F21V21/00|F21W|F21Y","Light sourceThe entity (e.g. light bulb, fluorescent tube, gas mantle or combustible charge) that generates light for a lighting device.","This place covers: Functional features or details of lighting devices or systems of lighting devices, for example: Aspects related to light emission or distribution: Reflectors, refractors, light filters, shades, globes, bowls, cover glasses, or other screens, and fastening thereof Use of light guides Producing or changing characteristics or distribution of the light  Aspects not related to light emission or distribution, e.g. fittings: Protecting, supporting, suspending, or attaching arrangements for lighting devices Arrangements of electric circuit elements in or on lighting devices Fastening of light sources or lamp holders Safety devices or cable stowing arrangements structurally associated with lighting devices Cooling or heating arrangements Gas-tight or water-tight arrangements Lighting devices combined with articles having a primary function unrelated to lighting that are not otherwise provided for."
"F21V1/04","rigid  (F21V1/08 takes precedence)","F21V1/08","","","","","",""
"F21V1/06","foldable or collapsible","","Fastening of component parts of lighting devices, e.g. shades, globes, refractors, reflectors, filters, screens, grids or protective cages, with provision for shipment or storage","F21V17/007","","","",""
"F21V1/08","adjustable","","Controlling the distribution of the light emitted by adjustment of elements ","F21V14/00","","","",""
"F21V1/10","Rotating shades","","","","","","","This place covers: Illustrative example of subject matter classified in this group. Example: US1972687 Rotating glass cover or globe or shade or fins due to heat of a light source"
"F21V1/14","Covers for frames; Frameless shades","","","","","","","This place covers: Shades characterised by the material Stretched fly attached to a ceiling frame Example: FR2952087 A stretched fly attached to a ceiling frame"
"F21V3/00","Globes; Bowls; Cover glasses  (with refracting properties F21V5/00; with reflecting properties F21V7/00; characterised by cooling arrangements F21V29/506)","F21V5/00|F21V7/00|F21V29/506","Transparent cover plates for vehicle headlamps and rear lamps, ","F21S41/20|F21S43/20","","","","This place covers: Globes for street lighting devices Glass cover for automotive vehicles Globes, bowls, cover glasses characterised by their shapes Globes, bowls, cover glasses characterised by material, coatings or surface treatments"
"F21V5/00","Refractors for light sources  (characterised by cooling arrangements F21V29/504)","F21V29/504","Combinations of only two kinds of elements being reflectors and refractors Combinations of only three kinds of elements being reflectors, refractors, and filters Changing the characteristics or distribution of the light emitted by adjustment of parts by movement of refractorsProducing optical elements, e.g. lenses, prisms (grinding or polishing of optical elements ; constructional form of optical elements ; optical parts of spectacles )  Refractors for vehicle headlamps and rear lamps,  Optical elements","F21V13/04|F21V13/14|F21V14/06|B24B|G02B|G02C7/00|B29D11/00|F21S41/20|F21S43/20|G02B","","","",""
"F21V5/007","{Array of lenses or refractors for a cluster of light sources, e.g. for arrangement of multiple light sources in one plane  (combination of two or more refractors F21V5/008)}","F21V5/008","Simple or compound lenses; Arrays","G02B3/0006","","","",""
"F21V5/02","of prismatic shape  (F21V5/04 takes precedence)","F21V5/04","","","","","",""
