"cpc_code","title","title_cpc_codes","informative_references","informative_references_cpc_codes","special_rules","special_rules_cpc_codes","glossary_of_terms","definition_statement"
"F22B","METHODS OF STEAM GENERATION; STEAM BOILERS  (steam engine plants where engine aspects predominate F01K; domestic central-heating systems using steam F24D; heat exchange or heat transfer in general F28; generation of vapour in the cores of nuclear reactors G21)","F01K|F24D|F28|G21","Cooking vesselsApparatus for making beveragesBaking, Roasting, Grilling, FryingMachines for cleaning floors, carpets, furniture, walls, or wall coverings with arrangements for steam generationBathing devices for special therapeutic or hygienic purposesCleaning by methods involving the use or presence of liquid steamWashing machines with steam generationHand ironsReciprocating piston steam engines","A47J27/00|A47J31/00|A47J37/00|A47L11/4086|A61H33/00|B08B3/00|D06F39/008|D06F75/00|F01B17/04","Attention is drawn to the definition of ""steam"" and ""vapour"". In cases where a specific entry for vapour is missing, documents related to special vapours are classified in groups where only ""steam"" is explicitly mentioned.","","Once through boilertype of boiler, in which water is input at one side, and steam is extracted from the other side of the flow pathForced flow boilerType of boiler, in which a pump ensures flowForced once through boilercombination of a once through and a forced flow boiler (a pump ensures flow of a boiler in which water is input at one side, and steam is extracted from the other side of the flow path)Forced circulation boilerthe circulation is achieved by a circulation pumpNatural circulation boilerthe circulation is achieved by the difference in density of the heated water in the boiler causing convection currents","This place covers: This subclass covers general aspects of, or methods for, steam generation. Methods of steam generation characterised by the form of heating method, constructional features of steam boilers, control systems for steam boilers and all component parts or details of steam boilers are covered. Thereby this subclass is limited in only methods of, or apparatus for, the generation of steam under pressure for heating or power purposes."
"F22B1/00","Methods of steam generation characterised by form of heating method  (solar heating F24S; jackets or other cooling means in which steam is generated and which serve for cooling other apparatus, see the subclasses for such apparatus)","F24S","Steam power plants using electrical heatPower plants using steam created by combustion of hydrogen with oxygenDevices for producing mechanical power from solar energySolar power plantsProduction of supercritical steam, Superheating using an electrical heat source independent from heat supply of the steam boiler","F01K3/186|F01K25/005|F03G6/00|F03G6/02|F22G|F22B3/08|F22G1/165","","","","This place covers: Methods of steam generation using combustion of hydrogen with oxygen, using solar heat by the exploitation of the heat content of hot heat carriers, for example the heat carrier being hot slag, hot residues, or heated blocks of the heat carrier being molten like a molten metal, the heat carrier being hot liquid or hot vapour (i.e. steam), the heat carrier being a hot gas (i.e. waste gat or exhaust gas) using heat evolved in a solution absorbing steam like for example soda steam boilers using combustion under pressure substantially exceeding atmospheric pressure boilers heated electrically"
"F22B3/00","Other methods of steam generation; Steam boilers not provided for in other groups of this subclass","","Steam engine plants characterised by the use of special working fluids ","F01K25/00","","","","This place covers: This covers all other methods of steam generation and steam boilers, which are not covered by the group  . These methods of steam generation and steam boilers include involving working media other than water, steam generation by drop in pressure of high-pressure hot water within pressure reducing chambers, by transformation of mechanical (kinetic) energy into heat energy and steam generation at critical or supercritical pressure values."
"F22B5/00","Steam boilers of drum type, i.e. without internal furnace or fire tubes, the boiler body being contacted externally by flue gas","","Instantaneous boiler with rotating heat exchange elementsSteam generation plants with a boiler of furnace tube type and a boiler of water tube type","F22B27/12|F22B33/04","","","","This place covers: Steam boilers containing a closed vessel designed to withstand internal pressure for generating steam. The drum is contacted externally by flue gases. The group also covers old documents (state of the art, which basis is not up to date, for example basic techniques used at the beginning of the 19th century) with big rotating drums, documents with auxiliary water tubes outside the boiler body and components and accessories of the drum."
"F22B7/00","Steam boilers of furnace-tube type, i.e. the combustion of fuel being performed inside one or more furnace tubes built-in in the boiler body","","Steam generation plants comprising boilers of water-tube type in mutual association with a boiler of furnace-tube typeSteam generation plants comprising boilers of furnace-tube type in mutual association with a boiler of fire-tube typeAuxiliary devices for promoting water circulation fitted to furnace tubes","F22B33/04|F22B33/06|F22D7/02","Steam boilers with drums having a furnace tube or a furnace box also in combination with drums contacted externally with flue gases should be classified in  and . This applies also to boilers with special shape of furnace tube and subsequent flue.","F22B7/00|F22B13/005","","This place covers: Boilers in which combustion of fuel is performed inside one or more furnace-tubes running through a sealed container of water. Combustion heat is transferred through the walls of the tubes by thermal conduction, thereby heating water and creating steam. The group also covers steam boilers of furnace-tube type with auxiliary water tubes inside the furnace tube and outside the boiler body, with auxiliary fire tubes and component parts of the boiler, like for example walling of flues. Components and accessories of the furnace-tubes itself are classified in  ."
"F22B9/00","Steam boilers of fire-tube type, i.e. the flue gas from a combustion chamber outside the boiler body flowing through tubes built-in in the boiler body","","Methods of steam generation with heating tubes in which flows a non-specified heating fluidMethods of steam generation with hit gas heating tube boilers with one or more heating tubesSteam generation plants comprising boilers of furnace-tube type in mutual association with a boiler of fire-tube typeSteam generation plants comprising boilers of water tube-type in mutual association with a boiler of fire-tube type","F22B1/021|F22B1/1884|F22B33/06|F22B33/08","In this group boilers which are mainly of fire-tube type are classified. If the boiler contains also water tubes, the boiler is considered of being a combined fire-tube and water-tube boiler. Concerned documents should be classified in .","F22B11/00","","This place covers: Boilers in which hot flue gases from a combustion chamber outside the boiler body said body being a sealed container, are channelled through tubes built-in the boiler body that are surrounded by the fluid to be heated. Heat of the gases is transferred through the walls of the tubes by thermal conduction, heating the water and creating steam. This group covers also arrangements of the fire-tubes and the boiler as well as components of the boiler itself."
"F22B11/00","Steam boilers of combined fire-tube type and water-tube type, i.e. steam boilers of fire-tube type having auxiliary water tubes","","Steam boilers of drum type with auxiliary water tubes outside the boiler body.Steam boilers of furnace-type with auxiliary water tubes., , , Steam boilers of furnace-type with auxiliary fire tubesSteam boilers of furnace-type with auxiliary fire-tubes and auxiliary water tubesSteam boilers of fire box-type with flues other than fire tubes and with auxiliary water tubes inside the fire box, Steam boilers of fire box-type with auxiliary water tubes inside the fire box, ","F22B5/02|F22B7/04|F22B7/06|F22B7/08|F22B7/10|F22B7/12|F22B7/14|F22B13/023|F22B13/026|F22B13/10|F22B13/12","","","","This place covers: All combinations of the steam boilers of fire-tube type with steam boilers of water-tube type consisting of a fire-tube boiler with auxiliary water tubes or a water-tube boiler having auxiliary fire-tubes in a water or steam containing vessel. This group covers also boilers with fire-tubes being in upright and horizontal arrangement."
"F22B13/00","Steam boilers of fire-box type, i.e. the combustion of fuel being performed in a chamber or fire-box with subsequent flue(s) or fire tube(s), both chamber or fire-box and flues or fire tubes being built-in in the boiler body","","Modifications of boiler construction with combustion in a fluidized bed for boilers of shell type (furnace-box)Modifications of boiler construction with combustion in a fluidized bed for boilers of shell type (furnace-box) with auxiliary water tubesSteam generation plants comprising boilers of water-tube type in mutual association with a boiler of furnace-tube typeSteam generation plants comprising boilers of furnace-tube type in mutual association with a boiler of fire-tube typeWater heaters with water mantle surrounding the combustion chamber including one or more furnace or fire tubes","F22B31/0046|F22B31/0053|F22B33/04|F22B33/06|F24H1/282","","","","This place covers: Boilers in which combustion of fuel is performed inside a chamber called fire box and fire tubes of flues being attached to the wall of the fire-box and carry the hot gaseous products of combustion through the boiler water, heating it, before they escape to the atmosphere. Both, the fire-box and fire-tubes are built-in in the boiler body. This group covers locomotive boilers, fire-box boiler with flues other than fire-tubes and component parts of said boilers."
"F22B15/00","Water-tube boilers of horizontal type, i.e. the water-tube sets being arranged horizontally","","Water tube boilers of horizontally-inclined typeWater tube boilers of combined horizontally-inclined type and vertical typeWater tube boilers of vertical or steeply-inclined typeWater tube boilers built up from sets of spaced double-walled water tubesWater tube boilers built up from sets of water tubes with internally arranged flue tubes or fire tubesFluid heaters with water tube or tubes","F22B17/00|F22B19/00|F22B21/00|F22B23/00|F22B25/00|F24H1/40","","","","This place covers: Details and constructional features of water tube boiler in which water circulates in tubes heated externally and characterised by strictly horizontal arranged water tubes or water tube walls. If the water tube sets are inclined slightly with respect to the horizontal plane, than group   should be considered."
"F22B17/00","Water-tube boilers of horizontally-inclined type, e.g. the water-tube sets being inclined slightly with respect to the horizontal plane","","Water-tube boilers of horizontal typeWater tube boilers of combined horizontally-inclined type and vertical typeWater tube boilers of vertical or steeply-inclined typeWater tube boilers built up from sets of spaced double-walled water tubesWater tube boilers built up from sets of water tubes with internally arranged flue tubes or fire tubesFluid heaters with water tube or tubes","F22B15/00|F22B19/00|F22B21/00|F22B23/00|F22B25/00|F24H1/40","","","","This place covers: Details, constructional features and component parts of water tube boilers in which water circulates in tubes heated externally and characterised by horizontally-inclined water tubes or water tube walls."
